"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ostrya.Carpinus","Picea","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Poaceae","Ambrosia.type","Potentilla.type","Quercus","Ranunculaceae.undiff.","Populus","Larix","Sarcobatus.vermiculatus","Galium","Rumex","Ulmus","Lamiaceae","Rosaceae.undiff.","Myrica","Ranunculus","Fraxinus","Fabaceae","Polygonum","Shepherdia.argentea","Saxifragaceae","Shepherdia.canadensis","Juglans","Ericaceae","Primulaceae","Acer","Caryophyllaceae","Apiaceae","Rubus","Urticaceae","Asteraceae.subf..Cichorioideae","Lonicera","Elaeagnus","Cupressaceae","Plantago"
250,5584,0.00264550264550265,0.248677248677249,0.185185185185185,0.0211640211640212,0.00793650793650794,0.0476190476190476,0,0.0238095238095238,0.0555555555555556,0.00529100529100529,0.0132275132275132,0.0925925925925926,0.142857142857143,0.126984126984127,0.00793650793650794,0,0,0,0.00529100529100529,0,0,0,0,0.00264550264550265,0,0,0.00793650793650794,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6045,0,0.182072829131653,0.173669467787115,0.0336134453781513,0,0.0644257703081232,0,0.0420168067226891,0.0728291316526611,0.00280112044817927,0.0224089635854342,0.0952380952380952,0.168067226890756,0.120448179271709,0.00280112044817927,0,0,0.00840336134453781,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280112044817927,0.00280112044817927,0.00280112044817927,0,0,0,0,0,0,0,0,0
290,6506,0,0.328571428571429,0.117857142857143,0.0142857142857143,0,0.0571428571428571,0,0.0178571428571429,0.0535714285714286,0.00357142857142857,0.00357142857142857,0.0928571428571429,0.175,0.0964285714285714,0.0142857142857143,0,0,0,0.00714285714285714,0,0.00714285714285714,0.00714285714285714,0,0,0,0.00357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,6967,0,0.336507936507937,0.20952380952381,0.0317460317460317,0.00317460317460317,0.0476190476190476,0,0.0158730158730159,0.0317460317460317,0.00634920634920635,0.00952380952380952,0.111111111111111,0.13015873015873,0.053968253968254,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,7428,0,0.347107438016529,0.192837465564738,0.0275482093663912,0.00550964187327824,0.0495867768595041,0,0.0110192837465565,0.0440771349862259,0.00275482093663912,0.0220385674931129,0.0578512396694215,0.090909090909091,0.115702479338843,0.00550964187327824,0,0,0,0.00826446280991736,0,0.00275482093663912,0,0,0,0,0.00550964187327824,0,0.00550964187327824,0,0,0.00275482093663912,0,0,0,0,0,0,0,0.00275482093663912,0,0,0,0,0,0,0,0
350,7889,0,0.298136645962733,0.180124223602484,0.0590062111801242,0.0031055900621118,0.0838509316770186,0,0.0279503105590062,0.031055900621118,0.0062111801242236,0.0217391304347826,0.062111801242236,0.077639751552795,0.102484472049689,0.0062111801242236,0,0,0.0062111801242236,0.0031055900621118,0,0,0,0,0,0,0.0093167701863354,0,0,0,0,0,0.0062111801242236,0.0062111801242236,0.0031055900621118,0,0,0.0031055900621118,0,0,0.0031055900621118,0,0,0,0,0,0,0
370,8351,0,0.432885906040268,0.087248322147651,0.0671140939597315,0.00335570469798658,0.0369127516778524,0,0.023489932885906,0.0167785234899329,0.00335570469798658,0.0167785234899329,0.0805369127516778,0.0503355704697987,0.144295302013423,0.00671140939597315,0,0,0,0,0,0,0,0,0,0,0.0100671140939597,0.00335570469798658,0,0,0,0,0.00335570469798658,0.00671140939597315,0,0,0,0,0,0,0.00335570469798658,0.00335570469798658,0,0,0,0,0,0
390,8812,0,0.406716417910448,0.0970149253731343,0.0447761194029851,0,0.041044776119403,0,0.0186567164179104,0.0298507462686567,0,0.0111940298507463,0.0970149253731343,0.0671641791044776,0.149253731343284,0.0186567164179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111940298507463,0.00373134328358209,0,0,0,0,0,0,0,0.00373134328358209,0,0,0,0,0
410,9273,0,0.455128205128205,0.0576923076923077,0.0737179487179487,0,0.0641025641025641,0,0.0192307692307692,0.0256410256410256,0.00320512820512821,0.016025641025641,0.0769230769230769,0.032051282051282,0.137820512820513,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0.00320512820512821,0,0,0,0.00320512820512821,0,0,0,0
430,9734,0,0.309148264984227,0.0757097791798107,0.0599369085173502,0,0.107255520504732,0,0.0347003154574132,0.0662460567823344,0.00315457413249211,0.0189274447949527,0.0441640378548896,0.0441640378548896,0.182965299684543,0.0157728706624606,0,0,0,0.00315457413249211,0,0.00315457413249211,0,0,0,0,0.0189274447949527,0,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,0.00315457413249211,0,0,0.00315457413249211,0.00315457413249211,0,0,0
450,10195,0,0.436213991769547,0.1440329218107,0.106995884773663,0,0.037037037037037,0,0.0617283950617284,0.0329218106995885,0,0.0164609053497942,0.037037037037037,0.0411522633744856,0.0411522633744856,0.0288065843621399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411522633744856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123456790123457,0,0
470,10656,0,0.410958904109589,0.089041095890411,0.0856164383561644,0,0.065068493150685,0,0.047945205479452,0.023972602739726,0.0102739726027397,0.00342465753424658,0.0273972602739726,0.0753424657534247,0.113013698630137,0.0205479452054795,0,0,0,0.00684931506849315,0,0.00684931506849315,0,0,0,0,0.00684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342465753424658,0.00342465753424658,0,0,0
490,11117,0,0.410526315789474,0.0552631578947368,0.0710526315789474,0,0.0736842105263158,0,0.0315789473684211,0.0421052631578947,0.00789473684210526,0.00526315789473684,0.0657894736842105,0.0421052631578947,0.168421052631579,0.0105263157894737,0,0,0,0,0,0.00789473684210526,0,0,0,0,0.00526315789473684,0,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,11463,0,0.394029850746269,0.0746268656716418,0.134328358208955,0.00298507462686567,0.0955223880597015,0,0.026865671641791,0.017910447761194,0.00298507462686567,0.00298507462686567,0.0447761194029851,0.0417910447761194,0.107462686567164,0.0238805970149254,0,0,0.00597014925373134,0.00298507462686567,0,0.00895522388059702,0,0,0,0,0.00597014925373134,0,0,0,0,0,0.00298507462686567,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0
515,11693,0,0.374331550802139,0.0641711229946524,0.0962566844919786,0.00267379679144385,0.13903743315508,0,0.109625668449198,0.0240641711229947,0.00267379679144385,0.0106951871657754,0.00802139037433155,0.0427807486631016,0.0828877005347594,0.0374331550802139,0,0,0,0.00267379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0
525,11924,0,0.323907455012853,0.0694087403598972,0.0796915167095116,0.0051413881748072,0.141388174807198,0.0025706940874036,0.169665809768638,0.0179948586118252,0,0.0025706940874036,0.0154241645244216,0.0437017994858612,0.0719794344473008,0.0437017994858612,0,0,0,0.0051413881748072,0,0.0025706940874036,0,0,0,0.0025706940874036,0.0025706940874036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,12154,0,0.35258358662614,0.0729483282674772,0.060790273556231,0.0060790273556231,0.0972644376899696,0,0.164133738601824,0.0303951367781155,0.00911854103343465,0.00303951367781155,0.0212765957446809,0.0516717325227964,0.0699088145896656,0.033434650455927,0,0,0.00911854103343465,0,0,0.00303951367781155,0.00303951367781155,0,0,0,0.00303951367781155,0,0,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060790273556231,0
545,12385,0.00546448087431694,0.26775956284153,0.101092896174863,0.040983606557377,0,0.046448087431694,0,0.30327868852459,0.0382513661202186,0.0191256830601093,0.00546448087431694,0.00819672131147541,0.0628415300546448,0.0327868852459016,0.00546448087431694,0,0,0.0355191256830601,0.00273224043715847,0,0.00273224043715847,0.00273224043715847,0,0,0,0,0.00273224043715847,0,0,0,0,0.00273224043715847,0.0109289617486339,0.00273224043715847,0,0,0,0,0,0,0,0,0,0,0,0,0
555,12616,0.00346020761245675,0.318339100346021,0.211072664359862,0.069204152249135,0.0069204152249135,0.055363321799308,0,0.13840830449827,0.0622837370242214,0.0069204152249135,0.013840830449827,0.013840830449827,0.0103806228373702,0.055363321799308,0.0069204152249135,0,0,0.0069204152249135,0.00346020761245675,0,0,0.00346020761245675,0,0,0,0.00346020761245675,0,0,0,0,0,0,0,0.00346020761245675,0,0,0,0,0,0.00346020761245675,0,0,0,0.00346020761245675,0,0,0
560,12731,0.00636942675159236,0.238853503184713,0.200636942675159,0.0828025477707006,0,0.0859872611464968,0,0.130573248407643,0.0318471337579618,0.0127388535031847,0.0191082802547771,0.0159235668789809,0.0668789808917197,0.0191082802547771,0.0414012738853503,0,0,0,0,0,0.00318471337579618,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0.0127388535031847,0,0,0,0.00318471337579618,0,0,0,0,0,0,0.00636942675159236,0,0.0159235668789809
567,12892,0,0.118466898954704,0.198606271777003,0.048780487804878,0.00348432055749129,0.0905923344947735,0,0.299651567944251,0.0278745644599303,0.00348432055749129,0.0139372822299652,0.0104529616724739,0.0348432055749129,0.0557491289198606,0.0383275261324042,0,0,0,0.0174216027874564,0,0.00696864111498258,0,0,0.00696864111498258,0,0.00348432055749129,0,0.00348432055749129,0,0,0,0.00348432055749129,0,0.0104529616724739,0,0,0,0,0,0.00348432055749129,0,0,0,0,0,0,0
570,12961,0,0.207317073170732,0.048780487804878,0.0274390243902439,0.00304878048780488,0.0823170731707317,0,0.51219512195122,0.024390243902439,0.00304878048780488,0.0121951219512195,0.00304878048780488,0.048780487804878,0.00914634146341463,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0.00304878048780488,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0
575,13077,0,0.0745341614906832,0.077639751552795,0.0031055900621118,0,0.142857142857143,0,0.630434782608696,0.0217391304347826,0,0,0.0031055900621118,0.0093167701863354,0.0031055900621118,0.015527950310559,0,0,0,0,0,0.0031055900621118,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0.0031055900621118,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0.0031055900621118,0,0
580,13192,0.003125,0.08125,0.065625,0.0125,0,0.21875,0,0.4875,0.028125,0.00625,0.009375,0,0.053125,0,0,0,0.0125,0,0,0,0.00625,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009375
585,13307,0,0.0108695652173913,0.0353260869565217,0,0,0.173913043478261,0,0.766304347826087,0.00543478260869565,0,0,0,0.00543478260869565,0.00271739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,13422,0.0028328611898017,0.0113314447592068,0.0198300283286119,0,0,0.390934844192635,0,0.518413597733711,0.0084985835694051,0,0,0,0.0453257790368272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028328611898017,0,0,0,0,0,0,0,0,0,0,0,0,0
593,13492,0.00476190476190476,0.00476190476190476,0.00476190476190476,0,0,0.00476190476190476,0,0.928571428571429,0,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476190476190476,0,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0,0
