"sample.depths","sample.ages","upland.sum","Acer.negundo","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Juglans.cinerea","Platanus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Poaceae","Humulus","Plantago","Rosaceae","Acer.saccharum","Fraxinus.nigra","Ostrya","Artemisia","Picea","Fraxinus.pennsylvanica","Tilia","Larix","Asteraceae.subf..Cichorioideae","Morus","Thalictrum","Iva.annua","Abies","Ranunculus.undiff.","Myrica","Ephedra.nevadensis.type","Celtis","Juglans.nigra","Ericaceae","Galium","Brassicaceae","Lamiaceae","Acer.rubrum","Sarcobatus.vermiculatus","Iva.xanthifolia","Castanea","Ranunculus.subg..Batrachium","Apiaceae"
480,3312,1320,0,24,5,0,1,5,2,11,17,0,1,60,0,0,9,0,10,0,17,0,113,1,1003,0,0,0,10,9,11,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,3356,306,0,19,2,2,0,0,1,30,6,0,3,45,0,0,4,0,15,0,9,1,140,0,1,0,0,0,8,3,8,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500,3400,309,0,16,5,0,1,2,1,27,9,0,3,43,0,2,6,2,11,0,9,1,121,0,2,0,0,0,26,1,8,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
510,3444,311,0,14,9,0,0,2,11,34,10,0,2,48,0,0,6,0,15,0,5,1,120,0,0,0,0,0,12,5,5,1,1,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
520,3488,309,0,16,8,0,0,0,4,39,9,1,1,61,0,0,3,0,12,0,8,3,108,0,2,0,0,0,15,4,7,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,3532,308,0,16,3,0,1,2,4,26,8,0,0,33,0,0,2,0,6,0,3,0,180,0,0,0,0,0,11,7,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,3576,305,0,23,3,0,3,2,33,30,5,0,3,46,0,0,1,1,15,0,3,0,102,0,3,0,0,0,16,3,5,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,3620,302,0,3,1,0,0,0,47,2,2,0,1,32,0,0,5,1,6,0,2,0,167,0,1,0,0,0,25,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
560,3664,307,0,9,13,0,0,0,21,33,7,1,3,52,0,0,3,1,12,0,6,2,127,0,1,0,0,0,5,2,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,3708,305,0,4,5,0,0,1,23,11,5,0,3,39,0,1,1,2,2,0,3,1,190,0,0,0,0,0,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,3765,307,0,21,1,0,2,2,9,36,8,2,0,66,0,0,3,0,17,0,5,1,94,0,0,0,0,0,15,5,15,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,3796,307,0,12,3,0,1,1,35,25,7,0,3,51,0,0,3,1,11,0,11,0,116,0,0,0,0,0,9,3,9,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,3840,302,0,10,5,0,0,1,29,15,1,2,2,42,0,0,4,0,2,0,4,0,167,0,0,0,0,0,9,0,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,3884,307,0,15,10,0,0,1,5,41,7,1,1,53,0,1,3,0,17,0,7,3,107,0,1,0,0,0,11,4,8,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
620,3928,300,0,4,1,0,0,8,8,1,0,0,3,21,0,0,8,0,0,0,0,1,237,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,3972,305,0,9,6,1,0,3,12,0,2,1,0,20,0,1,14,0,2,0,0,0,207,1,0,0,0,0,17,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
640,4016,302,0,5,3,0,0,3,68,4,2,2,1,55,0,0,4,3,6,0,1,0,133,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,4059,363,0,11,1,1,0,3,26,13,4,1,0,68,0,0,3,0,9,0,10,0,132,0,59,0,0,0,9,3,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,4103,306,0,14,7,0,0,1,4,27,6,2,2,59,0,1,7,0,12,0,12,1,121,0,1,0,0,0,15,3,6,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,4147,303,0,19,2,0,0,0,7,51,3,4,1,61,0,1,6,1,6,0,6,1,98,0,4,0,0,0,12,0,10,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,4191,300,0,9,2,2,0,3,3,9,0,1,0,46,0,1,8,2,12,0,6,0,172,0,3,0,0,0,14,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,4235,304,0,14,4,0,0,5,9,12,4,0,1,29,0,0,19,7,5,0,3,0,172,0,0,0,0,0,8,2,5,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,4279,304,0,16,4,0,0,1,6,16,3,2,2,36,0,1,8,7,5,0,20,1,148,0,0,0,0,0,13,1,7,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
710,4323,305,0,14,4,0,0,0,1,13,5,0,0,32,0,1,7,2,8,0,14,1,175,0,2,0,0,0,15,1,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
720,4367,301,0,21,2,1,0,13,2,28,1,2,0,49,0,0,6,0,9,0,9,0,129,0,0,0,0,0,14,0,9,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,4411,305,0,18,14,0,0,3,2,23,5,4,1,83,0,0,9,0,17,0,3,3,95,0,0,0,0,0,12,2,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,4455,304,0,28,11,0,1,1,2,18,4,2,0,88,0,0,5,0,13,0,9,3,91,1,2,0,0,0,12,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
750,4499,310,0,30,4,0,0,2,0,34,9,0,3,55,0,1,8,0,21,0,8,1,83,0,11,0,0,0,13,4,13,1,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
764,4561,309,0,26,11,0,0,4,2,17,6,4,1,67,0,0,7,1,15,0,12,0,112,0,3,0,0,0,6,4,4,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
770,4587,307,0,13,3,0,0,2,3,13,4,1,2,49,0,1,8,2,9,0,25,0,123,0,22,0,0,0,10,1,4,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1
780,4631,312,0,13,8,0,1,1,0,23,8,1,1,43,0,0,9,1,8,0,18,1,136,0,13,0,0,0,10,6,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
