"sample.depths","sample.ages","upland.sum","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Pinus","Plantago","Acer.saccharum","Ilex.Nemopanthus","Fraxinus.nigra","Fraxinus.americana","Salix","Tilia","Populus","Brassicaceae","Abies","Artemisia","Larix","Rumex","Celtis","Zea.mays","Asteraceae.subf..Cichorioideae","Platanus","Thalictrum","Castanea","Juglans.nigra","Humulus","Ericaceae","Sarcobatus.vermiculatus","Corylus","Shepherdia.canadensis","Iva.annua","Caryophyllaceae","Sanguisorba"
160,665,200,19,4,0,22,0,16,1,2,8,1,37,24,1,4,3,1,0,34,0,11,0,3,3,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,708,200,21,2,0,18,1,6,1,1,3,3,38,25,1,11,2,0,0,43,0,6,0,0,5,0,3,3,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
180,752,200,24,8,0,6,0,13,1,0,6,2,50,21,0,15,4,1,0,31,0,4,0,5,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,795,200,29,5,0,9,0,20,0,0,13,3,45,18,0,12,1,1,0,25,0,10,0,0,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,839,200,33,4,0,15,0,14,0,4,6,5,36,8,0,17,6,0,0,21,0,14,0,4,2,0,3,3,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,896,200,26,1,0,12,0,36,0,2,7,1,27,23,2,11,5,0,0,23,0,13,0,1,4,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,973,201,20,4,0,6,0,37,1,1,8,0,28,23,1,18,3,2,0,23,0,17,0,3,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1051,200,26,5,0,9,0,38,0,0,3,3,30,16,0,12,1,0,0,20,0,20,0,8,1,0,4,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
240,1128,200,31,4,0,1,0,49,1,1,7,1,35,12,0,12,2,1,0,22,0,8,0,1,3,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1205,200,15,1,0,7,0,50,0,1,6,1,20,10,0,23,5,1,0,26,0,16,0,3,4,0,6,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,1283,200,26,2,0,16,0,46,0,1,15,2,23,7,1,10,3,0,0,18,0,16,0,3,5,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
270,1360,200,20,1,1,11,0,44,1,2,9,0,27,18,2,13,5,0,0,21,0,15,0,2,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,1438,200,24,1,0,8,0,51,0,0,7,2,21,11,0,12,3,0,0,29,0,15,0,5,4,1,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1515,200,29,1,0,5,0,36,0,1,6,0,31,16,0,16,3,1,0,25,0,11,0,5,4,0,4,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,1569,200,27,5,0,4,0,31,1,0,5,1,33,19,0,12,5,2,0,22,0,11,0,7,9,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
310,1670,200,35,1,0,21,1,22,1,0,6,2,30,10,1,12,4,1,0,23,0,11,0,4,9,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
320,1748,200,28,8,0,9,0,40,0,1,7,2,31,7,0,14,3,0,0,22,0,8,0,7,7,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1825,200,29,7,1,13,1,34,0,1,8,2,26,15,0,12,2,0,0,17,0,13,0,5,2,0,5,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
340,1902,200,37,1,0,5,0,37,1,5,14,1,21,15,0,24,2,0,0,15,0,17,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1980,199,26,4,0,12,0,34,1,2,15,1,20,15,0,15,5,0,0,15,0,23,0,4,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
360,2057,200,28,3,0,5,0,44,0,1,14,0,15,8,0,18,0,1,0,24,0,21,0,4,5,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,2135,199,22,1,0,7,1,48,0,4,9,3,20,19,0,14,2,0,0,14,0,16,0,5,7,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,2212,200,24,5,0,13,0,46,1,2,7,0,16,20,0,15,3,0,0,14,0,13,0,8,8,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,2290,200,19,3,0,9,0,60,1,2,8,2,20,18,1,14,2,0,0,13,0,14,0,4,4,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400,2367,200,23,3,0,23,1,43,0,0,8,2,21,19,0,7,2,1,0,13,0,15,0,8,4,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
410,2445,200,22,1,0,14,0,49,0,0,11,1,12,11,0,21,2,0,0,18,0,21,0,5,5,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2560,200,29,3,0,12,0,43,0,0,9,0,25,13,0,10,3,2,0,16,0,18,0,4,8,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
430,2675,200,24,2,0,1,0,46,0,0,8,1,15,19,0,15,3,0,0,28,0,26,0,6,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2790,200,20,5,1,3,0,46,0,1,6,0,17,16,0,18,2,1,0,26,0,15,0,1,7,0,5,1,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
450,2905,200,23,2,0,13,0,57,0,0,7,1,22,8,0,10,4,0,0,19,0,16,0,4,5,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,3020,200,30,5,0,6,0,41,0,0,3,2,15,13,1,18,1,3,0,17,0,19,0,8,5,0,8,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
470,3135,200,21,4,0,8,0,46,1,0,5,2,19,10,0,17,2,0,0,23,0,19,0,7,10,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
480,3250,200,20,2,0,8,1,45,0,3,5,1,19,13,0,11,3,0,0,29,0,21,0,8,4,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490,3365,200,24,4,0,6,0,51,0,2,7,1,31,10,1,10,0,0,0,27,0,17,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,3480,200,30,3,0,3,0,37,0,1,7,1,24,18,0,17,1,0,0,25,0,9,0,3,6,0,5,2,0,0,1,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
510,3595,201,29,3,1,18,0,37,1,3,6,2,16,17,0,11,0,0,0,24,0,21,0,1,7,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,3710,200,24,1,0,10,3,52,0,0,5,1,26,13,0,9,4,0,0,25,0,24,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,3825,200,21,0,0,12,1,47,0,0,4,3,17,11,1,12,3,0,0,34,0,20,0,4,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,3940,200,30,4,0,12,1,43,2,2,8,1,19,7,0,12,2,0,0,16,0,26,0,2,3,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,4055,200,25,0,0,18,0,35,0,7,8,2,20,5,1,10,4,0,0,33,0,18,0,1,6,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
560,4170,192,29,3,0,0,0,33,0,1,6,0,25,7,0,16,1,1,0,29,0,26,1,6,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,4285,197,29,1,0,1,1,47,0,4,7,0,14,13,0,17,3,0,0,39,0,12,1,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,4400,200,17,2,0,13,0,53,1,3,7,1,25,2,0,15,2,0,0,34,0,11,0,1,3,0,6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,4515,200,17,2,0,10,1,34,0,0,16,1,29,6,0,10,2,2,0,34,0,18,0,6,5,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
598,4607,199,26,2,0,13,0,32,0,5,11,0,22,5,0,17,3,0,0,26,0,21,0,7,1,0,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
610,4745,200,18,1,0,13,0,19,0,4,10,2,23,1,2,32,3,3,0,34,0,16,0,4,6,0,3,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
620,4860,200,29,7,0,9,1,33,0,6,9,1,21,7,0,18,1,0,0,24,0,18,0,6,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,4975,200,29,3,0,7,1,30,0,10,3,2,24,8,0,20,1,0,0,21,0,23,0,6,5,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,5090,199,29,2,0,7,1,57,0,3,9,1,16,10,0,16,1,0,0,12,0,17,0,6,5,0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
650,5660,203,19,5,0,5,0,41,0,2,7,0,10,40,1,18,2,1,0,26,0,17,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,5923,200,23,2,1,4,0,36,1,2,9,1,16,45,0,13,0,0,0,24,0,13,0,3,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,6186,200,15,0,0,25,0,27,1,1,7,0,17,39,0,17,1,0,0,28,0,13,0,1,4,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
680,6450,200,16,1,0,18,0,46,0,0,7,0,16,33,0,15,0,0,0,27,0,11,0,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,6713,200,12,2,0,14,1,39,0,0,3,0,18,41,1,18,3,0,0,30,0,6,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
700,6976,200,4,2,1,7,0,37,1,2,8,0,7,59,0,21,2,1,0,29,0,10,0,3,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
710,7240,200,4,0,0,4,0,41,0,1,12,0,28,27,0,15,1,0,0,34,0,24,0,3,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
720,7589,200,7,1,0,0,0,34,0,0,13,0,25,26,0,16,0,1,0,44,0,19,0,4,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
730,7938,200,9,3,1,0,2,9,2,1,10,0,21,42,0,12,0,0,0,67,0,9,0,4,2,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,8287,200,9,0,2,0,0,0,0,0,20,1,21,9,0,20,2,1,0,99,0,8,0,0,0,1,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
750,8637,200,17,0,0,4,0,6,0,0,14,0,41,1,0,6,0,0,0,95,0,3,0,4,3,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
760,8986,200,17,0,0,0,1,0,1,0,12,0,25,1,0,7,0,0,0,120,0,9,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
770,9335,200,24,0,0,0,0,0,1,0,14,1,23,0,0,4,1,0,0,125,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,9684,200,19,0,0,0,0,1,0,0,8,0,45,1,0,8,0,0,0,104,0,4,0,6,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,10034,200,10,1,0,1,0,1,1,0,9,1,12,3,2,8,0,1,0,141,0,0,0,2,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
800,10383,200,20,2,0,0,0,0,0,0,2,1,12,2,0,5,0,1,0,149,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,10558,200,17,1,1,0,1,0,1,0,2,1,17,1,0,5,1,1,0,142,0,0,0,4,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,10732,203,23,0,0,3,1,0,1,0,3,3,20,1,0,13,0,0,0,122,0,0,0,3,0,0,1,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,10907,200,26,0,0,1,0,0,3,0,6,7,20,1,0,6,0,1,0,117,0,2,0,0,3,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,11212,200,27,1,0,2,1,0,4,2,11,17,22,0,2,4,1,0,0,63,0,1,0,1,0,1,0,29,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,11518,201,6,1,0,0,7,0,1,1,8,25,21,2,1,10,0,0,0,72,0,2,0,4,0,0,0,23,0,4,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
830,12534,200,11,0,1,4,2,0,5,3,4,63,14,0,1,2,2,0,0,58,0,0,0,1,0,1,0,21,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
835,13550,200,10,0,0,1,12,0,1,0,1,123,4,0,0,0,0,1,0,39,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
840,NA,198,5,1,1,1,19,0,1,0,4,114,5,2,0,1,3,3,0,25,0,0,0,0,0,1,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
845,NA,200,13,0,0,2,49,0,1,0,11,48,12,0,5,3,1,1,0,33,0,0,0,4,1,6,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,NA,200,0,2,0,1,34,0,0,0,7,59,9,0,2,2,1,4,0,61,0,0,0,1,0,2,0,3,0,3,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
855,NA,200,2,2,0,0,22,0,1,0,17,53,21,0,2,0,1,1,0,58,0,0,0,0,0,1,0,1,0,2,11,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0
860,NA,200,3,0,1,0,32,0,1,0,8,77,13,0,1,2,0,5,0,47,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
865,NA,199,2,0,0,0,41,0,5,0,3,75,5,0,3,2,0,4,0,48,0,0,0,0,0,1,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
870,NA,200,3,0,2,2,28,0,4,1,14,59,6,0,1,0,0,3,0,71,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
875,NA,200,4,2,1,5,14,0,6,0,1,78,3,0,7,8,2,2,0,55,0,1,0,2,0,2,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,NA,220,4,0,1,1,6,0,5,0,1,61,10,0,12,1,1,0,0,97,0,0,0,0,0,4,0,3,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,NA,200,5,1,0,0,17,0,4,1,2,46,3,0,4,1,3,1,0,101,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
900,NA,200,0,0,0,0,30,0,0,0,1,31,9,0,2,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
910,NA,201,0,0,0,0,10,0,3,0,2,84,0,0,1,1,0,0,0,96,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,NA,200,0,0,0,2,13,0,3,0,1,50,5,0,1,1,0,0,0,121,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,NA,200,0,4,0,1,18,0,9,0,2,59,7,0,0,1,0,0,0,88,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
940,NA,201,1,0,0,1,17,0,6,0,7,82,7,0,4,2,0,2,0,64,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
950,NA,200,4,2,0,3,14,0,2,1,1,65,8,1,1,2,0,1,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
960,NA,200,5,0,0,1,12,0,4,0,6,44,5,0,0,1,0,0,0,117,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
970,NA,200,1,2,0,1,7,0,6,0,0,43,7,0,1,1,3,1,0,121,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
980,NA,200,5,1,0,0,7,0,2,0,5,48,12,0,2,4,0,0,0,111,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
