"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Rosaceae.undiff.","Juniperus.type","Ephedra","Poaceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Ericaceae","Brassicaceae","Rhamnus.cathartica","Acer.spicatum","Tilia","Carya.ovata","Castanea.dentata","Salix.undiff.","Populus.balsamifera.type","Corylus.cornuta","Amaranthaceae","Impatiens","Taxus","Nemopanthus.mucronatus","Thalictrum","Caryophyllaceae","Polygonum.lapathifolium.type","Acer.saccharinum","Morus.rubra.type","Pinus.resinosa.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Prunus.pensylvanica","Acer.cf..A..pensylvanicum","Salix.herbacea.type","Lonicera","Epilobium","Polygonaceae.undiff.","Viburnum","Onagraceae.undiff.","Salix.vestita.type","cf..Oxyria.digyna","Prunus.undiff.","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Oxytropis.maydelliana.type","Potentilla.palustris.type","Saxifraga.cernua.type"
250,3050,0,0.00485436893203883,0,0.00485436893203883,0,0,0.456310679611651,0.118932038834951,0.00970873786407767,0.00485436893203883,0,0.00485436893203883,0.00728155339805825,0,0.00242718446601942,0.0388349514563107,0,0.0315533980582524,0,0,0.0194174757281553,0,0.00242718446601942,0.00242718446601942,0,0.00970873786407767,0.0194174757281553,0.0461165048543689,0,0.0461165048543689,0.0509708737864078,0,0,0.0728155339805825,0.00242718446601942,0.0218446601941748,0,0,0,0.00485436893203883,0,0.00485436893203883,0,0.00728155339805825,0,0,0,0,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3355,0,0.00364963503649635,0.0182481751824818,0.00547445255474453,0,0.00182481751824818,0.458029197080292,0.0638686131386861,0.0237226277372263,0.0127737226277372,0,0.00182481751824818,0.0072992700729927,0,0.0145985401459854,0.0346715328467153,0,0.0291970802919708,0,0.00182481751824818,0.0164233576642336,0,0.00182481751824818,0.00547445255474453,0,0.0127737226277372,0.0109489051094891,0.0456204379562044,0.00182481751824818,0.041970802919708,0.0656934306569343,0,0,0.0784671532846715,0.0072992700729927,0.0237226277372263,0.00182481751824818,0,0,0.00182481751824818,0.00364963503649635,0,0,0,0,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3608,0,0.00278164116828929,0,0.0125173852573018,0,0.00139082058414465,0.504867872044506,0.0709318497913769,0.0139082058414465,0.00834492350486787,0.00139082058414465,0,0.0111265646731572,0,0.00417246175243394,0.0764951321279555,0.00556328233657858,0.0333796940194715,0,0.00278164116828929,0.00973574408901252,0,0.00139082058414465,0.00417246175243394,0,0.0125173852573018,0.00695410292072323,0.0250347705146036,0.00417246175243394,0.0264255910987483,0.0695410292072323,0,0,0.0598052851182197,0.00278164116828929,0.0111265646731572,0.00139082058414465,0,0,0,0,0.00556328233657858,0,0.00278164116828929,0,0.00278164116828929,0,0,0.00139082058414465,0.00278164116828929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,3741,0,0.00246305418719212,0.00985221674876847,0.00738916256157635,0,0,0.524630541871921,0.0714285714285714,0.00738916256157635,0.00492610837438424,0,0.00492610837438424,0.00738916256157635,0,0.00738916256157635,0.0295566502463054,0,0.0270935960591133,0,0,0.0246305418719212,0,0.00246305418719212,0.00985221674876847,0,0.00738916256157635,0.0172413793103448,0.041871921182266,0.00246305418719212,0.00985221674876847,0.041871921182266,0,0,0.11576354679803,0.00246305418719212,0.0147783251231527,0,0,0,0,0,0,0,0.00246305418719212,0,0,0,0,0.00246305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3874,0,0,0.00220264317180617,0.013215859030837,0,0,0.486784140969163,0.10352422907489,0.0066079295154185,0.00440528634361234,0,0,0.0066079295154185,0,0.0066079295154185,0.0484581497797357,0,0.0308370044052863,0,0.00220264317180617,0.0198237885462555,0,0,0.00220264317180617,0,0.00881057268722467,0.0066079295154185,0.026431718061674,0,0.0330396475770925,0.0220264317180617,0,0,0.123348017621145,0.0066079295154185,0.0154185022026432,0.00220264317180617,0,0,0.00440528634361234,0.00220264317180617,0,0,0.00440528634361234,0,0.00220264317180617,0.00220264317180617,0,0.00440528634361234,0.00220264317180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4007,0,0.00181159420289855,0.0217391304347826,0,0,0,0.559782608695652,0.0579710144927536,0.00181159420289855,0.00181159420289855,0.00181159420289855,0,0.00181159420289855,0,0.016304347826087,0.0108695652173913,0,0.0398550724637681,0,0,0.0217391304347826,0,0,0.00181159420289855,0,0.0036231884057971,0.00181159420289855,0.0199275362318841,0,0.0851449275362319,0.052536231884058,0,0.00181159420289855,0.068840579710145,0,0.0144927536231884,0.00543478260869565,0,0,0.0036231884057971,0,0.00181159420289855,0,0,0,0,0,0,0,0,0,0.00181159420289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4139,0,0.0050251256281407,0.0134003350083752,0,0.0016750418760469,0.0016750418760469,0.512562814070352,0.0351758793969849,0.0083752093802345,0.0033500837520938,0.0016750418760469,0.0016750418760469,0.0050251256281407,0,0.0100502512562814,0.0737018425460637,0.0016750418760469,0.033500837520938,0,0.0016750418760469,0.0150753768844221,0,0,0.0033500837520938,0,0.0083752093802345,0.0083752093802345,0.0469011725293132,0.0033500837520938,0.0720268006700168,0.0536013400335008,0,0.0016750418760469,0.050251256281407,0.0067001675041876,0.0134003350083752,0.0016750418760469,0,0,0,0.0016750418760469,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,4272,0,0.00487012987012987,0.0113636363636364,0.00811688311688312,0,0,0.550324675324675,0.0649350649350649,0.00811688311688312,0.00487012987012987,0,0,0.00974025974025974,0,0.00324675324675325,0.0113636363636364,0.00487012987012987,0.0373376623376623,0,0.00324675324675325,0.012987012987013,0,0.00162337662337662,0.00162337662337662,0,0.0146103896103896,0,0.0308441558441558,0.00162337662337662,0.0551948051948052,0.0941558441558442,0,0.00324675324675325,0.0454545454545455,0,0.0064935064935065,0.00324675324675325,0,0,0,0,0.00324675324675325,0,0.00162337662337662,0,0,0.00162337662337662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,4405,0,0.00419287211740042,0.0230607966457023,0.00209643605870021,0.00209643605870021,0,0.515723270440252,0.0482180293501048,0.0125786163522013,0.00209643605870021,0,0,0.00628930817610063,0,0.00628930817610063,0.0775681341719078,0.00838574423480084,0.0209643605870021,0,0,0.010482180293501,0,0,0.00209643605870021,0,0.00838574423480084,0.00419287211740042,0.0419287211740042,0.00419287211740042,0.0649895178197065,0.0566037735849057,0,0,0.0419287211740042,0.00419287211740042,0.0146750524109015,0.00209643605870021,0,0,0.00628930817610063,0.00209643605870021,0,0,0,0,0.00419287211740042,0,0,0,0,0,0,0,0.00209643605870021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,4538,0,0.00204498977505112,0.0184049079754601,0.0081799591002045,0.00408997955010225,0,0.513292433537832,0.032719836400818,0.0122699386503067,0.00613496932515337,0.00204498977505112,0,0.00613496932515337,0,0.00408997955010225,0.0449897750511247,0,0.0777096114519427,0,0,0.0143149284253579,0,0.00204498977505112,0.00204498977505112,0,0,0.00613496932515337,0.0388548057259714,0.00204498977505112,0.0695296523517382,0.0715746421267894,0,0,0.0306748466257669,0.00204498977505112,0.0224948875255624,0.00204498977505112,0,0,0,0,0.00204498977505112,0,0,0,0.00204498977505112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
