"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Moraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Lycopodium","Osmunda","Pteridium","Sphagnum"
215,1751,3,17,8,194,1,0,1,0,0,0,7,2,0,0,2,0,2,27,110,141,0,0,27,2,2,40,15,4,5,2,2,0,1,0,0,0,0,0,1,2
240,1958,2,9,20,217,3,0,1,0,0,0,1,0,0,6,0,7,4,20,234,160,1,0,28,0,0,69,14,6,10,2,3,1,1,0,0,0,1,0,3,2
260,2124,2,11,13,156,0,0,4,0,0,0,1,0,0,1,0,3,3,21,186,379,0,0,34,0,0,18,5,5,6,1,1,0,2,0,0,0,0,1,1,4
270,2207,4,9,18,132,2,0,1,0,0,0,5,0,0,0,0,5,4,18,150,234,1,0,29,0,0,4,5,5,6,3,2,1,3,1,0,0,1,0,0,0
280,2290,5,22,23,114,2,0,4,1,0,0,3,1,1,0,0,10,2,29,284,256,0,0,31,1,2,0,17,5,11,0,2,3,2,0,0,0,0,0,2,1
290,2373,6,12,10,71,0,0,2,0,0,0,6,0,2,0,0,3,4,20,121,263,0,0,30,0,1,5,6,3,9,1,2,2,1,0,0,0,1,0,2,3
300,2456,3,11,35,61,1,0,2,0,0,0,4,1,1,0,0,5,2,78,145,263,2,0,46,0,2,3,15,6,11,2,3,2,1,0,0,0,0,1,2,1
320,2622,2,19,24,82,0,0,3,0,1,0,3,3,0,2,0,25,1,79,259,313,0,0,50,0,0,8,22,5,7,3,0,0,6,0,0,0,0,1,3,3
330,2705,0,9,17,44,1,0,0,0,0,0,8,0,0,0,0,2,0,17,202,288,0,0,36,0,3,67,9,5,9,2,2,0,2,0,0,0,1,0,2,1
340,2788,0,8,20,70,1,0,2,0,0,0,6,0,0,0,1,4,0,7,159,352,0,0,31,1,0,31,15,8,4,3,0,0,3,0,0,0,4,0,2,0
350,2871,0,8,10,32,0,0,0,0,0,0,11,0,0,0,0,3,0,17,193,191,0,0,30,1,1,119,10,8,4,2,0,1,3,0,0,0,0,0,1,1
360,2954,0,12,13,55,1,0,1,0,0,0,6,0,4,3,0,10,0,41,201,292,0,0,40,0,2,33,17,11,9,2,4,1,4,0,0,0,1,0,4,1
365,2995,1,5,10,49,2,0,3,0,1,0,7,0,0,0,0,10,1,25,117,279,0,0,30,2,0,15,16,0,7,4,6,3,0,0,0,0,0,1,0,0
370,3037,1,6,15,36,0,0,2,0,0,1,7,0,1,0,0,7,0,37,214,322,0,0,23,2,0,5,6,6,3,5,1,0,1,0,0,0,0,0,4,0
375,3078,0,11,19,36,1,0,4,0,0,0,8,0,0,0,0,6,0,60,206,261,2,0,42,3,1,4,12,10,6,0,6,1,0,0,0,0,0,0,10,0
380,3120,2,4,7,38,2,0,1,0,0,0,7,0,0,0,0,9,0,33,223,260,0,0,29,1,0,1,8,5,9,1,1,0,2,0,0,0,0,1,0,0
385,3161,0,6,16,32,0,0,4,0,0,0,9,0,2,0,0,7,0,47,107,229,0,0,26,1,0,2,7,5,3,0,4,1,3,0,0,0,0,1,2,0
390,3203,0,4,11,21,0,0,3,0,0,0,3,0,0,0,0,6,0,14,136,340,0,0,10,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0,2,0
395,3244,0,3,42,42,0,0,1,0,0,0,7,0,0,0,0,6,0,26,224,236,2,0,33,1,2,1,12,2,10,2,2,0,2,0,0,0,3,0,10,0
400,3286,0,11,24,59,1,0,0,0,0,0,7,0,0,1,0,24,1,36,309,349,0,0,44,4,1,4,25,11,10,2,5,2,2,0,1,0,1,0,13,1
415,3413,0,6,16,66,0,0,3,0,0,0,2,0,1,0,0,6,1,33,125,249,1,0,33,1,0,0,13,7,3,0,6,3,4,0,0,0,1,0,1,1
420,3457,4,20,25,72,0,0,11,0,2,0,7,0,0,0,0,14,0,8,147,394,1,0,29,1,1,0,27,8,7,2,7,2,4,0,0,0,2,1,11,0
425,3501,2,14,20,43,0,0,1,0,0,0,6,0,1,0,0,10,0,13,154,344,0,0,35,1,2,0,17,5,3,4,1,1,0,0,0,0,0,1,1,0
480,3987,2,0,22,69,0,0,2,0,0,0,3,0,2,2,1,5,8,87,116,447,0,0,15,1,0,0,26,9,10,4,7,5,5,1,0,0,0,0,7,0
498,4147,4,5,49,59,5,0,0,0,0,0,8,0,3,2,1,8,27,146,38,522,0,1,36,0,0,0,24,6,11,4,7,7,6,0,0,0,3,0,6,1
520,4341,2,1,58,71,1,0,1,0,0,0,6,0,1,2,0,6,12,65,13,479,1,0,26,2,0,0,39,16,9,7,4,6,3,0,0,0,1,0,22,1
560,4815,3,0,0,42,4,1,5,1,1,1,15,0,5,0,1,11,223,1,6,22,0,0,52,24,0,0,8,0,91,24,6,168,10,2,1,0,0,0,20,1
600,6131,0,4,4,29,0,0,0,1,0,0,4,1,0,0,0,5,22,10,10,92,0,0,14,14,0,0,6,14,21,4,1,31,11,1,0,0,0,0,1,0
