"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Iva.xanthifolia","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Impatiens","Larix","Rumex","Iva.annua","Urtica","Thalictrum","Plantago","Platanus","Tsuga","Amorpha","Carya","Juglans.nigra","Xanthium","Dalea.purpurea","Polygonum.persicaria.type","Apiaceae","Rosaceae","Celtis","Humulus","Pinus.undiff.","Acer.negundo","Asteraceae.subf..Cichorioideae","Fagus","Juglans.cinerea","Dalea.candida.type","Shepherdia.canadensis","Vitis","Ericaceae"
450,5152,404,0,0,27,42,0,9,1,10,81,1,59,5,2,12,4,23,13,14,3,1,19,0,0,0,0,14,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1,0
460,5239,375,0,0,13,24,4,2,4,8,68,0,126,2,0,19,5,15,11,10,4,3,4,0,1,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0
470,5328,413,0,0,28,37,4,13,2,12,67,1,110,4,0,4,3,13,11,23,1,2,17,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,1,1,0,0,0
480,5419,467,0,0,35,35,9,8,0,10,22,1,135,5,1,2,12,19,10,40,5,2,20,2,0,0,0,8,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0,0,1,0,0,0,0,0
500,5610,567,0,0,75,18,17,5,3,32,22,0,88,10,0,4,13,10,26,35,3,1,75,1,1,0,0,11,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,1,0,0,0,106,0,1,0,0,1,0,1,0
520,5815,425,0,0,42,19,6,1,5,12,23,0,108,5,1,3,10,9,14,24,3,0,35,0,0,0,0,3,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,96,0,0,0,0,0,0,0,0
540,6037,442,0,0,32,25,6,7,2,19,35,0,97,6,2,1,8,12,15,16,1,3,25,0,0,0,0,2,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,122,0,0,0,0,0,0,0,0
560,6278,442,0,0,30,51,11,9,0,19,27,2,97,8,0,3,6,13,8,17,3,4,33,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,91,1,1,0,0,0,0,0,0
580,6541,333,0,0,32,33,9,9,2,5,20,2,73,5,1,1,5,15,9,8,1,1,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,0
600,6829,396,1,0,39,45,14,8,0,16,36,0,73,7,3,3,3,10,13,16,2,5,21,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,73,0,0,0,0,1,0,0,0
620,7144,448,0,0,32,40,12,7,0,13,34,0,122,3,0,0,4,19,12,32,6,7,16,0,1,0,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,0
640,7490,438,0,0,47,18,13,13,0,11,6,0,132,1,2,0,6,19,6,41,3,7,37,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
660,7868,502,0,0,50,18,13,20,3,15,8,0,166,2,3,0,11,24,7,45,9,1,41,1,1,5,50,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
670,8071,547,0,0,59,20,25,10,3,18,12,1,137,9,1,0,9,18,8,70,6,10,45,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,0,2,0,0,0,0
680,8282,566,0,0,46,13,31,18,1,11,6,0,140,6,0,0,11,24,14,97,2,4,31,1,2,8,76,2,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
690,8504,625,0,0,97,13,23,10,4,29,5,2,93,21,0,0,10,20,8,95,1,5,91,0,0,0,0,6,0,1,0,6,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,78,0,0,0,1,0,0,0,0
700,8735,476,1,0,38,22,16,6,5,16,3,0,39,6,0,0,4,13,6,44,3,3,35,0,2,16,191,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
710,8975,465,0,0,55,59,10,5,2,13,2,2,12,7,2,0,7,6,8,19,1,2,20,0,0,14,211,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
720,9221,408,1,0,26,34,6,4,1,9,0,0,28,6,1,0,6,11,6,17,0,5,12,0,0,0,228,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,9472,376,2,0,14,64,13,3,1,3,4,6,8,6,0,0,3,10,0,25,0,4,18,0,0,4,179,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,9726,381,1,0,23,27,6,3,3,3,6,5,8,5,0,0,4,3,23,15,1,4,20,0,1,0,208,5,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,9982,392,1,0,25,41,7,3,0,10,4,4,7,5,0,0,4,13,9,20,0,4,12,0,1,0,217,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
760,10241,366,3,0,16,39,6,3,0,9,3,2,8,7,0,0,1,11,5,11,0,0,11,0,0,5,221,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,10501,342,0,0,6,24,1,4,3,4,5,8,10,4,1,0,0,7,5,8,0,3,7,0,0,5,225,6,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
780,10763,374,12,0,5,105,5,3,0,4,8,13,11,1,0,0,1,15,5,9,0,0,8,0,3,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0
790,NA,364,2,0,6,62,2,8,2,6,6,20,14,4,1,0,0,26,2,6,1,3,4,0,2,0,176,3,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
800,NA,344,0,0,11,32,0,4,0,6,6,59,15,0,0,0,1,13,3,3,0,9,7,0,0,4,159,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
810,NA,345,1,0,10,23,1,2,3,14,2,228,9,2,0,0,0,7,1,2,0,1,9,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0
820,NA,385,0,0,18,13,2,1,8,32,8,221,5,12,1,0,3,3,5,2,1,8,16,1,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
840,NA,239,0,0,15,7,2,1,3,46,2,130,1,5,0,0,2,0,2,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,1,0,3
860,NA,211,0,0,30,9,1,1,3,54,2,52,4,4,0,0,7,0,0,14,1,2,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,2
