"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Cephalanthus","Cyperaceae","Ericaceae","Liquidambar","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Fraxinus","Juglans","Pinus","Poaceae","Polygonum.cf..P..hydropiperoides","Itea","Asteraceae.subf..Cichorioideae","Fagus","Tsuga","Apiaceae","Amaranthaceae","Acer.saccharum.type","Myrica","Ilex","Fabaceae","Picea","Thalictrum","Abies","Vitis","Juniperus.type","Caryophyllaceae","Tilia","Cornus","Salix","Sanguisorba","Arceuthobium"
360,21189,304,0,3,0,3,1,0,0,6,0,0,0,3,0,17,2,1,0,0,0,250,8,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0
380,21670,307,0,0,2,0,1,0,0,8,0,0,0,4,0,9,7,0,1,0,0,257,8,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0
400,22151,304,0,1,0,4,0,0,0,10,0,0,0,2,1,11,1,0,0,0,0,250,15,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
420,22632,308,0,1,0,0,1,0,0,9,0,0,0,4,0,13,2,0,0,0,0,248,15,0,0,0,1,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0
440,23113,301,0,4,0,0,0,0,0,6,0,0,0,4,0,7,0,0,4,0,1,259,5,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0,1
460,23594,303,0,0,1,0,2,0,0,6,0,0,0,4,0,10,0,0,1,0,0,258,11,0,0,0,0,0,1,1,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0
480,NA,302,0,1,1,0,2,0,0,3,0,0,0,1,0,5,0,1,1,0,0,271,6,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0
500,NA,306,0,0,1,3,2,0,0,7,0,0,0,4,0,5,5,1,0,0,1,251,14,0,0,0,0,0,1,0,0,0,0,0,8,1,1,0,1,0,0,0,0,0,0
520,NA,302,0,1,1,1,4,0,0,1,0,0,0,5,0,10,0,1,1,1,0,258,7,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0
540,NA,306,0,2,2,5,3,0,0,4,0,0,0,1,0,9,3,0,1,1,0,249,7,0,0,0,0,0,1,0,0,1,0,0,13,0,0,0,2,0,0,0,1,0,1
550,NA,299,0,0,1,2,1,0,0,7,0,0,0,5,0,13,1,0,1,0,1,236,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
560,NA,299,0,1,1,3,3,0,0,8,0,0,0,7,1,21,0,1,0,0,0,238,7,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0
580,NA,304,0,2,0,1,4,0,0,7,0,0,0,2,0,12,4,1,0,0,0,250,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
