"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus","Galium","Ilex","Impatiens","Isoëtes","Juglans","Larix","Liliaceae","Liriodendron","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Pontederiaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Viburnum"
627.5,6506,0,14,7,0,149,2,2,0,5,7,0,41,0,7,0,3,0,0,0,10,5,0,0,0,0,0,0,43,24,0,2,0,5,0,0,0,0,0,0,0,0,0,7,0,12,10,0,51,0,12,10,0,0,0,0,0,0,0,24,525,0,0,4,0,0,0,0,0,2,0,0,0,7,2,7,17,0
637.5,6592,0,16,8,0,109,0,10,0,4,6,0,46,0,4,0,0,0,4,0,2,10,0,0,0,4,0,0,67,34,0,4,0,0,2,0,0,0,0,0,0,0,2,6,0,0,12,3,57,0,0,10,0,0,0,1,0,0,0,18,470,2,0,4,0,0,0,0,0,0,0,0,0,50,0,22,16,0
643.8,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669.5,6830.5,0,17,1,2,116,2,6,0,0,0,0,38,0,15,0,2,0,6,0,4,6,0,0,0,0,0,0,48,25,0,0,0,13,4,0,0,0,0,0,0,2,8,10,0,10,19,0,41,0,1,13,0,0,0,4,0,0,0,4,545,0,0,0,0,0,0,0,0,0,0,0,0,42,0,8,10,0
680.5,6993.5,0,4,7,0,137,0,11,0,4,0,0,24,0,4,0,0,0,7,0,0,4,0,0,0,0,0,4,43,22,0,4,0,25,0,0,0,0,0,4,0,0,0,4,0,11,14,4,47,0,18,14,0,0,0,4,0,0,0,7,565,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
692.5,7227,0,20,0,0,73,0,0,0,0,12,12,40,0,16,0,0,0,4,2,0,16,0,0,0,0,0,0,65,8,0,4,0,0,0,0,0,0,0,8,0,0,4,0,0,0,24,0,34,0,0,20,0,0,0,2,0,0,0,16,588,0,2,2,4,0,0,4,0,0,0,0,0,40,0,4,0,0
702,7421,0,27,8,0,91,0,6,0,0,4,0,37,0,2,0,2,0,2,4,2,6,0,0,0,0,0,0,52,27,0,0,0,25,0,0,0,0,0,0,0,2,6,4,0,6,8,0,40,0,23,16,0,0,0,0,0,0,0,12,553,0,2,0,0,2,0,0,0,0,0,0,0,43,2,21,12,0
705,7475,1,7,1,0,67,1,6,0,0,4,0,73,0,2,0,5,0,4,1,1,6,0,0,0,0,0,0,25,11,0,1,0,16,0,0,0,0,0,6,0,0,6,2,0,10,20,4,91,0,1,10,0,0,0,2,0,0,2,31,589,0,0,0,0,2,0,1,0,0,1,0,0,27,1,11,8,0
712.8,7591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,7628,0,7,5,0,80,0,8,0,2,0,0,57,0,5,0,8,0,8,3,7,12,0,0,0,0,0,0,38,26,0,0,0,38,1,0,0,0,0,3,1,0,4,5,0,8,14,1,53,0,9,10,0,0,1,1,3,0,0,25,558,0,0,0,0,0,0,0,0,0,0,3,0,41,3,17,0,0
719.5,7716,0,9,2,0,64,0,11,0,0,6,0,55,0,6,0,2,0,4,2,6,6,0,0,0,0,0,0,38,33,0,0,0,35,4,0,0,0,2,0,0,3,0,2,0,12,9,1,55,0,17,9,0,0,0,2,0,0,0,26,589,0,0,2,0,0,0,0,0,2,0,0,0,36,0,21,4,0
724.5,7835.5,0,7,11,0,68,0,14,2,0,5,0,52,0,9,0,0,0,0,2,4,4,0,0,0,0,0,0,36,27,0,0,0,43,0,0,0,0,2,2,0,0,7,4,0,5,4,3,35,0,41,4,0,0,0,0,0,0,0,29,596,0,2,0,0,0,0,2,0,0,0,0,0,32,2,14,18,0
725,7848,0,6,7,1,106,0,15,0,3,2,0,51,0,2,0,1,0,10,1,3,6,0,0,0,1,0,1,30,23,0,2,1,45,2,0,0,0,0,4,0,0,1,2,0,9,8,2,45,0,14,9,0,0,3,2,0,0,0,30,564,0,0,0,0,0,0,3,0,1,2,2,0,42,1,10,8,0
734.5,8126,0,2,10,1,80,1,20,0,0,4,0,49,0,1,0,6,0,11,0,2,2,0,0,0,0,0,0,28,21,0,2,0,24,1,0,0,0,0,0,0,0,0,2,0,1,16,1,70,0,5,5,0,0,0,1,0,0,0,40,581,0,0,0,2,2,0,0,0,5,0,0,0,44,1,15,6,0
739,8267,0,4,4,0,64,0,7,0,0,3,0,56,0,0,1,3,0,9,1,4,12,0,0,0,0,1,0,19,32,0,3,0,19,4,0,0,0,0,10,0,0,6,1,0,3,18,1,107,0,1,13,1,0,1,0,0,0,0,34,554,0,0,0,0,1,0,0,0,1,0,3,0,34,1,10,13,0
759,8908,0,6,2,0,54,0,24,0,1,10,0,70,0,5,0,2,0,6,1,2,5,0,0,0,0,0,0,11,23,0,1,0,16,0,0,0,0,0,6,0,0,1,2,0,2,20,4,84,0,1,11,0,0,0,1,0,0,0,12,586,0,0,0,0,0,0,0,0,0,0,0,0,30,0,11,12,0
779,9503,0,10,0,1,78,2,33,0,0,2,0,52,0,1,0,1,1,2,0,1,11,0,0,0,1,0,0,2,24,0,2,0,26,1,0,0,0,0,12,0,0,0,2,0,7,6,2,148,0,0,20,0,0,0,1,0,0,2,15,508,0,0,0,0,0,0,3,0,2,0,2,0,34,0,19,10,1
789,9676,0,3,17,0,60,0,13,0,0,10,0,55,1,4,0,1,0,1,3,6,13,0,0,0,0,0,0,4,25,0,0,0,13,1,0,0,0,0,11,0,3,1,0,0,3,15,8,220,0,4,11,0,0,0,10,0,0,0,21,446,0,0,1,0,0,0,1,0,3,0,0,0,36,3,10,8,0
799,9828,3,14,1,1,74,3,20,0,1,0,0,56,0,0,0,3,0,1,2,0,12,0,0,1,0,0,0,2,16,0,1,0,10,0,0,0,0,1,14,0,1,3,1,0,1,12,6,222,0,0,12,0,0,0,17,0,0,2,46,434,0,0,0,1,0,0,1,0,2,2,0,0,43,0,14,4,0
805,9911,2,5,2,2,54,0,12,0,0,0,0,61,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,5,19,0,0,0,35,0,0,0,0,0,5,0,0,7,0,0,13,12,14,261,0,2,17,0,0,0,5,0,0,0,35,421,0,2,0,0,0,0,0,0,7,0,0,0,42,7,0,16,0
816,10046,0,8,6,0,46,2,8,0,0,2,0,38,0,2,0,0,0,0,2,2,18,0,0,0,0,0,0,4,20,0,0,0,22,0,0,0,0,2,30,0,0,2,0,0,12,16,6,297,0,0,6,0,0,0,10,0,0,0,48,410,0,0,0,0,0,0,2,0,0,0,0,0,40,2,22,4,0
820.2,10091,2,3,2,0,41,0,10,0,2,0,0,68,0,0,0,2,0,0,0,3,5,0,0,0,0,0,0,2,11,0,0,0,22,0,0,0,0,0,14,0,5,5,0,0,5,24,6,380,0,0,14,0,0,0,10,0,0,0,26,321,0,0,0,0,0,0,0,0,5,0,0,0,51,0,12,12,0
837,10194,0,7,10,0,34,1,4,0,1,1,0,75,0,0,0,4,0,0,0,3,8,0,0,0,0,0,0,1,12,0,1,0,22,0,0,0,0,1,1,0,0,8,0,0,1,20,7,366,0,1,18,0,0,1,8,0,0,0,28,349,0,0,2,1,0,0,0,0,2,0,0,0,54,5,4,4,0
849,10259,0,2,2,0,76,0,2,0,2,0,0,80,1,2,0,0,0,3,2,2,8,0,0,0,0,0,0,0,10,0,1,0,10,0,0,0,0,0,20,0,0,13,0,0,0,18,1,361,0,2,10,0,0,1,11,0,2,0,29,314,0,0,0,0,0,0,5,0,0,0,0,0,39,0,14,11,0
860,10406,0,0,0,2,22,0,0,0,0,7,0,60,0,4,0,0,0,0,2,0,7,0,0,0,0,0,2,2,21,0,0,0,2,0,0,0,0,2,14,0,0,7,0,0,0,23,2,475,0,0,2,0,0,0,7,0,0,0,33,266,0,0,0,0,0,0,2,0,0,2,0,0,48,0,20,4,0
865.5,10534.5,2,2,10,0,31,2,3,0,2,0,0,82,0,0,0,3,0,0,0,2,13,0,0,0,0,0,0,1,10,0,5,0,11,3,0,0,0,2,0,0,0,0,0,0,2,5,6,426,0,0,8,0,0,0,8,0,0,0,18,301,0,0,0,0,0,0,0,0,5,0,0,0,63,0,8,2,0
870.8,10690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882.8,11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,11164,6,6,6,0,72,0,0,0,0,3,0,131,0,0,0,2,0,0,0,2,5,0,0,0,0,0,2,2,10,0,5,0,3,2,3,0,0,3,6,0,0,0,0,0,2,18,10,522,0,0,5,0,0,0,8,2,0,0,29,72,0,0,0,2,0,0,0,0,3,2,0,0,13,5,3,13,0
897,11449,22,0,0,0,95,0,0,0,0,6,0,190,0,0,0,2,0,0,2,4,14,0,0,0,1,0,0,0,21,0,6,0,6,0,6,0,0,16,21,2,0,0,0,0,0,12,92,368,0,0,12,0,0,0,16,0,0,2,60,50,0,0,0,4,0,2,4,0,8,6,0,0,19,2,8,10,0
907.6,11780,62,0,0,0,198,0,0,0,0,10,0,143,0,0,0,0,0,0,4,3,24,0,0,0,2,0,0,0,0,0,0,0,10,0,16,2,0,4,2,0,0,0,0,0,0,4,208,223,0,0,26,0,0,0,14,0,0,0,27,40,0,0,0,0,0,0,0,0,6,4,0,2,6,4,0,10,0
915.2,12016,32,0,2,0,158,0,2,0,3,5,0,164,0,0,0,0,0,0,5,2,26,0,0,1,1,0,0,5,5,0,1,0,19,0,10,0,0,7,7,1,0,0,0,1,0,6,200,299,0,0,23,0,0,0,15,1,0,0,21,22,0,0,0,0,1,1,3,0,7,4,0,0,5,2,1,7,3
925,12286,26,0,0,0,130,0,3,0,2,10,0,59,0,0,0,0,0,0,0,6,26,0,0,0,3,0,0,3,0,0,0,0,3,0,19,0,0,6,16,3,3,0,0,0,0,10,248,328,0,0,32,0,0,0,3,0,0,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,10,3
930,12408,22,0,0,0,190,0,0,0,0,9,0,63,0,0,0,1,0,0,3,1,44,0,0,0,0,0,0,0,8,0,4,0,17,0,6,0,0,4,8,0,0,0,0,0,0,12,210,310,0,0,29,0,0,0,0,0,0,0,27,21,0,0,0,1,0,0,4,0,13,7,0,0,3,2,3,16,0
937.5,12579.5,16,0,2,0,159,0,2,0,2,10,0,64,0,0,0,0,0,0,2,2,36,0,0,2,2,0,0,0,0,0,0,0,28,0,20,0,0,6,8,0,2,0,0,0,2,8,191,383,0,0,30,0,0,0,26,0,0,0,14,26,0,0,0,0,0,0,4,0,12,2,0,0,0,0,4,2,0
943.7,12721,14,0,0,0,176,1,2,0,1,3,0,96,0,2,0,0,0,0,0,0,46,0,0,0,1,0,0,1,14,0,1,0,28,0,8,0,0,1,14,0,0,0,0,0,0,18,138,356,0,0,28,0,0,0,0,0,0,0,22,37,0,0,0,0,0,0,6,0,1,4,0,0,0,6,0,12,0
948.7,12840.5,8,0,0,0,92,0,0,0,3,8,0,76,0,0,0,0,0,5,0,2,76,0,3,3,13,0,0,8,31,5,0,0,18,0,29,0,0,0,5,3,3,0,0,0,3,5,184,342,0,0,34,0,0,0,29,0,0,0,21,29,0,0,0,3,0,0,5,0,5,0,0,0,0,5,0,10,0
950,12873,24,0,0,0,42,0,5,0,3,0,0,117,0,0,0,0,0,0,5,3,32,0,0,0,18,0,0,5,13,0,0,0,3,0,16,0,0,6,13,0,0,0,0,0,3,40,247,321,0,0,29,0,0,0,5,0,0,0,13,45,0,0,0,0,0,0,3,0,5,0,0,0,0,5,0,8,0
955.8,13022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957.1,13056.5,7,0,0,0,51,0,9,0,2,14,0,88,0,1,0,1,0,0,5,9,60,0,0,0,0,0,0,12,27,0,0,0,25,0,6,0,0,23,14,0,0,0,0,0,2,50,178,298,0,0,52,0,0,0,0,15,0,0,15,81,0,0,0,1,0,0,2,0,5,1,0,0,0,7,0,7,0
962.6,13205,13,0,6,0,33,0,3,0,0,17,0,89,0,3,0,0,0,0,3,6,75,0,0,0,0,0,0,8,6,0,0,0,36,0,11,0,0,6,25,3,0,0,0,0,0,47,176,283,3,0,70,0,0,0,33,0,0,0,20,59,0,0,3,3,3,0,3,3,11,3,0,0,0,11,6,10,0
970,13411,8,0,0,0,12,0,0,0,0,12,0,87,0,4,0,0,0,0,12,8,71,0,0,0,0,0,0,12,43,0,0,0,47,0,20,0,0,1,0,0,0,0,0,0,0,31,162,328,0,0,31,0,0,0,36,0,0,0,0,103,0,0,0,12,0,0,4,0,0,0,0,0,0,1,0,4,0
974,13525,11,0,0,0,13,0,0,0,0,10,0,65,0,3,0,0,0,0,0,10,39,0,0,3,3,0,0,13,13,0,0,0,13,0,19,0,0,13,13,3,0,0,3,0,0,10,176,416,3,0,39,0,0,0,19,0,0,0,32,94,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,19,0
980.2,13701,8,0,0,0,9,1,1,1,0,12,0,69,0,1,1,0,0,0,3,14,36,0,1,0,4,0,0,1,10,0,0,0,50,0,5,0,0,13,12,0,0,0,0,0,0,64,148,372,0,0,56,0,0,0,51,4,1,0,13,88,0,0,0,3,1,0,12,0,0,0,0,0,0,0,5,1,0
986.2,13871,5,0,0,0,14,0,2,0,0,14,0,79,0,2,0,0,0,0,2,21,60,0,2,2,0,0,0,0,29,0,0,0,27,0,12,0,0,6,17,0,0,0,0,0,0,35,270,230,0,0,60,0,0,0,44,4,0,0,19,81,0,0,0,2,0,0,10,0,4,8,0,0,2,4,0,6,0
992.6,14051,6,0,0,0,10,0,4,2,0,2,2,67,0,0,0,0,0,0,0,10,69,2,4,0,0,0,0,0,10,0,0,0,52,0,6,0,0,8,13,2,0,0,0,0,0,28,280,250,0,0,59,0,0,0,36,4,0,0,28,105,0,0,0,0,0,0,15,0,6,0,0,2,2,4,2,19,0
996.3,14154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,14684,0,0,0,0,67,0,0,0,6,16,0,110,0,0,0,0,0,4,4,39,324,0,0,0,8,0,0,0,8,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,4,4,49,136,4,0,110,0,0,0,45,4,0,0,16,34,0,0,0,4,0,0,47,0,4,12,0,0,0,0,4,30,0
1023,15023,0,5,0,0,28,0,5,0,0,14,0,115,0,5,5,0,0,0,0,14,285,0,5,0,0,0,0,0,9,0,0,0,37,0,0,0,0,0,5,0,0,0,0,0,0,18,41,138,0,0,87,0,0,0,46,0,0,0,14,23,0,0,0,0,5,0,120,0,9,14,0,0,0,0,9,28,0
