"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Rumex","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Alnus.viridis","Juniperus.Thuja","Populus","Poaceae","Pinus.strobus","Salix","Taxus","Ericales","Acer.undiff.","Celtis","Myrica","Juglans.cinerea","Juglans.nigra","Impatiens","Rosaceae","Ilex.Nemopanthus","Rubiaceae.undiff.","Liquidambar","Brassicaceae","Castanea","Thalictrum","Sarcobatus.vermiculatus","Ephedra","Cephalanthus","Apiaceae","Shepherdia.canadensis","Cornus","Polygonum.viviparum"
984,1493,1131,5,9,0,4,507,1,0,0,14,11,5,0,8,5,9,182,3,31,0,2,95,0,20,26,2,66,2,3,117,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
992,1653,1004,3,24,0,2,296,1,2,0,5,12,1,1,7,12,7,188,1,16,0,0,209,1,9,16,2,41,4,6,124,3,3,1,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1000,1815,1066,1,31,2,4,386,3,0,1,4,17,5,1,9,19,5,210,5,35,0,1,107,0,23,19,1,65,1,7,90,1,5,0,3,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1008,1979,1140,1,29,1,2,415,1,3,4,6,16,6,3,9,18,8,231,1,38,0,1,94,0,17,29,0,38,4,2,157,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1016,2144,941,7,20,1,5,286,1,0,1,2,8,7,6,11,13,8,213,3,56,1,0,56,1,21,14,0,37,1,2,156,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,2311,999,8,11,1,4,312,1,0,3,3,8,4,1,6,19,12,307,3,36,0,0,25,2,10,32,1,24,0,3,147,1,1,0,1,0,8,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
1032,2479,978,5,25,1,3,295,2,0,1,6,12,6,2,1,9,9,183,3,30,0,2,63,1,11,18,0,100,2,0,184,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1040,2650,1086,5,33,2,1,322,1,0,4,7,12,9,3,4,11,9,304,3,45,0,0,81,0,17,21,0,76,8,3,99,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,2995,1109,4,16,4,3,353,0,1,0,2,8,7,3,11,15,8,319,5,56,0,1,64,2,12,26,0,57,1,4,119,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1064,3171,984,5,10,2,0,267,0,0,4,11,7,8,1,6,12,8,297,3,35,0,0,67,0,14,19,0,53,3,6,135,0,3,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1072,3348,1025,6,14,1,1,319,0,2,1,8,8,6,1,12,9,11,285,2,58,0,0,68,3,9,11,1,56,4,3,118,0,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,3526,1035,3,14,1,4,324,2,0,0,8,4,7,2,6,10,6,268,1,50,1,0,45,1,12,21,2,71,1,5,155,3,3,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0
1088,3707,1072,3,16,0,0,410,1,0,6,4,17,12,1,6,13,8,200,0,46,0,0,37,1,21,29,1,75,0,9,147,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1096,3889,1022,3,17,2,2,379,0,2,2,5,8,4,4,4,16,8,260,0,37,0,0,15,1,13,15,4,50,0,3,158,0,2,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,4095,1038,3,13,0,5,276,4,1,2,7,10,13,3,4,15,5,200,6,52,0,0,18,2,21,23,3,126,8,3,200,2,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,4258,1190,8,13,0,5,308,4,2,1,3,9,12,1,1,18,10,189,6,50,0,1,39,2,10,14,0,137,6,3,330,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,4445,1029,1,13,1,1,292,0,0,0,6,12,10,3,3,22,11,230,3,49,0,1,23,0,11,16,0,50,2,0,255,1,5,0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,4633,976,3,11,1,2,333,1,2,0,4,6,7,1,4,16,6,181,3,55,0,0,23,0,11,22,0,68,5,5,196,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1136,4824,1069,5,7,5,2,319,0,0,1,11,7,8,4,6,10,9,241,3,48,0,0,18,0,14,15,0,55,3,1,263,1,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1144,5016,1069,4,22,0,3,260,3,1,2,3,6,15,5,0,14,7,382,8,49,0,0,14,2,12,23,4,40,3,7,159,1,2,1,7,0,3,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
1152,5209,985,1,4,4,3,206,1,0,4,5,10,9,1,2,2,8,342,3,27,0,1,39,1,16,24,5,21,3,2,230,0,3,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1160,5405,1036,1,13,1,7,212,1,2,1,6,4,12,5,1,4,7,315,5,36,0,0,71,0,21,25,3,17,3,1,256,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,5602,986,2,9,7,1,332,1,2,2,6,9,4,6,2,13,2,269,5,64,0,0,36,1,13,44,1,13,6,7,106,2,6,1,1,0,9,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1176,5801,1091,2,14,2,2,179,2,2,0,3,14,9,0,1,15,5,299,6,42,0,0,103,0,25,30,2,22,0,7,295,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,6001,1046,1,19,6,5,114,1,0,1,0,6,11,4,1,10,6,328,9,48,0,0,156,0,21,24,1,12,5,2,249,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1192,6203,1060,3,5,3,2,96,2,1,1,7,8,12,5,2,14,6,444,6,52,0,1,75,0,13,18,4,16,6,2,249,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,6305,1087,5,14,1,2,133,0,1,7,5,5,8,3,0,20,2,374,10,77,0,3,49,1,30,22,10,6,4,3,281,1,6,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1200,6407,1078,1,3,4,2,141,1,0,3,1,6,5,0,6,12,10,336,11,45,0,0,89,1,16,18,8,14,1,1,332,1,6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1204,6509,981,6,13,1,1,99,2,0,4,3,11,4,2,1,10,6,463,2,43,0,0,14,1,13,17,8,1,1,0,248,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1208,6612,1023,4,6,2,4,77,2,2,0,2,9,4,4,1,8,6,399,12,48,0,1,16,0,21,21,3,16,6,2,332,1,6,0,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1212,6716,972,4,11,2,0,93,0,1,3,7,11,4,0,0,22,1,448,4,38,0,0,17,0,17,8,0,7,2,1,255,2,11,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1216,6819,1012,3,9,4,2,66,0,1,5,7,12,11,5,4,10,3,453,8,47,0,0,15,0,15,26,9,5,3,4,276,2,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,6924,1082,3,5,4,2,72,3,0,1,2,5,6,3,0,18,4,534,5,37,0,2,2,1,25,23,10,2,1,4,305,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1224,7028,1047,6,6,4,5,86,2,0,2,2,8,6,2,5,14,3,446,7,42,0,0,5,1,25,31,7,3,4,0,307,0,12,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1229,7160,1013,2,4,0,4,57,1,1,2,4,14,7,1,2,11,3,529,2,23,0,1,6,0,19,11,2,0,0,3,295,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1234,7292,1118,4,7,2,2,77,1,1,1,4,1,6,1,7,12,8,471,6,42,0,1,5,2,22,18,3,5,1,0,401,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1237,7371,1046,2,7,4,4,66,0,2,1,2,4,4,0,1,8,3,558,3,24,0,0,2,1,13,14,1,7,3,4,301,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,7451,1016,7,8,1,3,43,3,1,3,7,7,4,2,2,8,5,480,6,35,0,0,3,3,24,30,14,7,8,4,285,1,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1252,7772,1067,0,2,3,1,69,3,3,1,4,4,7,2,1,12,6,493,7,32,0,0,5,3,17,12,8,4,12,1,343,1,4,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,7880,973,6,4,4,3,123,2,5,3,5,3,4,0,5,13,12,519,5,50,0,0,3,2,18,8,11,4,7,6,137,3,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,7988,955,1,0,5,1,63,2,0,3,5,5,3,1,4,13,5,430,9,29,0,0,2,0,15,6,2,4,1,1,337,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1264,8097,1122,15,9,4,4,95,1,5,3,8,5,12,6,2,20,18,516,5,47,0,0,2,0,21,10,3,4,23,7,262,5,3,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,8206,1067,5,5,5,3,162,0,4,2,7,1,5,0,8,9,20,554,2,42,0,0,1,0,17,18,50,3,6,6,120,5,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1272,8316,1030,13,5,5,1,199,2,1,5,9,3,4,3,5,16,22,555,7,21,0,0,2,4,18,8,40,1,9,7,50,2,6,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,8426,1140,19,3,7,5,188,1,3,3,5,2,3,4,2,15,23,646,1,28,0,0,1,4,13,10,92,4,7,6,36,1,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,8536,1004,14,3,5,6,392,0,2,3,4,1,2,1,7,17,31,343,3,35,0,0,2,0,19,2,56,7,23,3,13,1,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,8647,1046,15,3,8,6,265,2,2,2,4,3,4,2,8,16,19,459,5,73,0,0,2,1,9,5,68,1,16,9,31,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,8759,1052,12,8,8,9,168,2,2,2,6,0,9,3,8,25,35,577,11,44,0,0,1,0,13,1,43,15,8,5,14,3,8,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1292,8870,1002,20,4,8,4,194,2,6,2,8,2,5,3,6,16,18,500,5,60,0,0,1,5,14,5,60,7,5,5,28,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1296,8982,1075,8,7,2,4,177,1,4,1,2,1,5,1,19,25,18,631,3,56,0,0,0,0,18,2,58,4,5,3,6,2,3,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,9208,1072,3,0,2,8,206,3,1,5,11,0,7,2,10,29,27,491,3,86,0,0,0,3,16,3,91,20,14,6,4,10,1,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1312,9435,987,9,2,4,7,148,1,1,0,6,0,6,2,9,12,36,477,2,51,0,0,3,1,20,0,118,19,12,5,7,6,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
1320,9664,993,2,1,1,5,134,3,2,2,5,1,10,2,13,18,62,597,3,46,0,0,4,2,19,2,13,5,5,2,6,2,2,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1328,9895,1067,0,5,2,11,215,0,0,1,3,0,5,1,27,18,93,490,9,71,0,0,1,5,18,2,5,15,24,0,7,7,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336,10127,1048,0,7,2,9,190,10,0,2,6,0,26,5,18,21,225,248,1,75,0,0,0,3,59,0,7,16,13,7,5,14,0,1,0,0,68,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0
1344,10361,1016,0,0,5,17,235,4,3,1,8,1,13,3,22,20,185,270,5,84,0,0,2,1,26,0,5,21,11,8,1,15,2,0,2,0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1360,10833,1007,1,4,3,13,85,2,3,3,20,0,26,2,7,33,212,186,6,110,0,0,2,3,37,0,0,47,50,5,9,14,2,0,0,0,115,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
