"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fraxinus","Herbs.undiff.","Ilex","Juglans","Liliaceae","Malvaceae","Myrica","Nyssa","Onagraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Poaceae","Populus","Quercus","Rhus","Salix","Sparganium.type","Tilia","Typha.latifolia","Ulmus","Unknown"
105,6108,0,0,0,8,13,3,0,25,0,0,1,0,0,0,15,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,100,3,16,0,0,0,0,0,0,11
115,6451,0,2,0,15,7,6,0,27,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,72,3,35,0,2,0,0,0,0,11
125,6793,0,3,2,13,5,9,0,27,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,1,0,0,0,2,0,0,61,3,51,0,0,0,0,0,0,7
135,7136,0,0,1,12,6,1,1,28,0,0,0,0,1,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,82,3,37,0,0,0,0,1,0,6
145,7478,0,0,1,18,16,1,0,45,0,0,0,0,0,0,9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,20,0,0,0,0,0,1,12
155,7821,0,0,0,20,10,3,0,23,0,0,0,1,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,90,3,20,0,0,0,0,1,0,7
165,8163,0,0,0,10,7,3,0,31,0,0,0,1,0,0,22,0,5,2,0,0,0,0,0,0,1,0,0,0,4,0,0,80,3,20,0,0,0,0,0,0,11
175,8506,0,17,0,12,9,1,0,30,1,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,63,7,22,1,0,0,0,0,0,4
185,8848,0,9,1,12,42,1,1,25,0,0,0,0,0,0,9,0,4,1,0,0,0,0,0,0,4,0,0,0,7,0,0,53,3,24,0,0,0,0,1,0,3
195,9191,0,0,2,11,43,2,0,24,0,0,0,0,8,0,13,0,0,1,0,2,1,0,0,0,6,0,0,0,4,0,0,41,2,37,0,1,0,0,0,0,2
205,9533,0,128,0,6,5,0,0,8,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,19,0,19,0,1,0,0,0,0,0
215,9875,0,165,0,5,2,1,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,9,0,0,0,0,0,0,1
225,10218,0,58,2,8,3,1,0,19,0,0,0,0,0,0,24,1,0,6,0,4,0,0,0,0,4,0,0,0,4,0,0,27,3,33,0,1,0,0,0,0,2
235,10560,0,40,2,16,13,0,0,14,5,2,5,0,0,0,34,0,0,11,0,0,0,0,0,0,1,0,0,0,4,0,0,16,4,28,0,0,0,0,0,2,3
245,10903,0,2,5,28,24,2,0,72,0,0,0,0,0,0,15,1,0,3,0,0,0,1,0,0,1,0,0,0,3,0,0,22,0,8,1,6,0,0,1,2,3
255,11205,0,6,1,24,20,4,0,32,2,0,2,0,0,0,45,0,0,5,0,0,0,2,0,0,3,1,0,0,8,0,0,12,7,11,2,1,0,0,1,5,2
265,11506,0,22,0,24,18,3,0,25,0,0,2,0,0,0,16,0,3,8,0,6,0,0,0,0,3,0,0,0,0,11,0,24,2,18,3,6,2,0,0,2,0
275,11808,0,13,1,22,29,0,0,24,8,0,3,0,0,0,13,0,0,18,1,0,0,0,0,0,9,0,0,0,0,14,1,21,0,16,4,2,0,0,0,0,0
285,12110,0,128,0,19,2,0,0,4,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,2,0,1,0,0,1,0,0
295,12411,0,98,0,12,7,0,0,15,2,1,0,1,0,0,12,0,0,9,2,0,0,0,0,0,0,0,0,0,0,4,0,11,1,16,2,6,0,0,0,0,1
305,12713,0,61,0,22,8,3,0,20,1,1,3,0,0,0,14,0,0,11,0,0,0,0,0,0,1,0,0,0,4,0,0,34,3,6,4,1,1,0,0,0,0
315,13015,0,111,0,8,0,0,0,9,1,0,11,0,0,0,10,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,17,2,8,12,0,0,0,1,0,3
325,13316,0,143,1,7,1,0,0,5,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,2,0,0,0,4,0,0,10,1,6,7,1,1,0,2,0,0
335,13618,0,134,2,10,0,1,0,11,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,2,0,0,0,2,0,0,16,0,4,4,0,0,0,0,2,0
345,13920,0,110,0,16,0,1,0,25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,7,0,0,3,0,0,21,0,4,0,0,0,0,0,0,0
355,14221,0,95,1,24,0,3,0,22,1,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,17,0,10,3,0,0,0,1,1,0
365,14523,0,72,1,30,0,3,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,8,0,0,9,0,0,35,2,7,2,4,0,0,4,0,0
375,14825,0,81,2,20,4,6,0,15,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,41,0,7,4,0,0,0,6,0,0
385,15127,0,94,2,18,3,5,0,19,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,30,0,8,2,1,0,0,4,0,2
395,15428,0,113,0,5,1,2,0,11,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,4,44,0,0,1,0,4
405,15730,1,127,0,5,1,1,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,17,4,14,0,6,0,0,0,0,1
415,16032,0,120,0,8,1,4,0,15,0,1,6,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,20,1,0,3,8,0,0,0,1,2
425,16333,1,72,0,27,5,6,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,27,3,28,0,3,1,0,0,0,3
435,16635,0,116,4,14,1,5,0,20,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,2,7,2,4,1,0,0,0,0
445,16937,0,49,1,42,0,6,0,27,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,1,1,0,0,1,6,0,0,32,0,24,0,2,0,0,0,0,0
455,17191,0,106,2,13,2,3,0,8,0,1,0,0,1,0,9,1,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,16,2,18,0,9,0,0,0,0,1
465,17445,0,86,1,19,4,9,0,8,0,0,0,4,2,0,0,0,2,0,18,0,0,2,0,1,0,0,0,0,1,0,0,10,0,12,1,21,0,0,0,0,0
475,17700,0,43,0,16,0,0,1,21,0,4,0,1,1,0,7,0,0,0,0,0,1,0,0,4,0,0,0,0,8,0,0,22,0,21,8,33,2,0,1,2,4
485,17954,0,66,0,11,3,0,0,12,16,0,1,0,4,0,9,0,6,2,1,0,0,0,0,36,0,0,0,0,0,1,0,8,9,6,3,2,0,0,0,0,3
495,18208,0,50,0,15,41,4,0,5,1,0,0,0,1,0,17,1,1,4,0,0,0,1,0,7,1,0,0,1,5,0,1,25,0,15,0,0,0,0,0,0,0
505,18463,0,46,0,24,0,3,0,13,1,0,0,0,1,0,12,0,0,0,0,8,0,0,0,0,0,0,0,1,19,0,0,25,3,28,0,1,2,0,0,10,0
515,NA,2,75,0,18,2,0,0,11,0,1,0,3,3,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,34,2,21,0,0,0,1,1,1,0
525,NA,1,131,0,7,0,0,0,9,0,2,0,0,3,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,14,1,24,0,0,0,0,0,3,0
535,NA,1,22,0,12,0,0,0,24,0,1,6,0,2,0,31,0,3,2,0,1,0,1,0,1,4,0,0,3,15,0,0,53,1,0,0,10,1,5,1,0,0
545,NA,0,39,0,15,3,34,1,0,0,0,0,0,0,0,16,0,0,0,1,1,0,0,1,0,4,0,0,2,9,0,0,55,2,7,0,5,0,0,3,0,0
