"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Abies.balsamea","Acer.saccharum","Morus.rubra.type","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Plantaginaceae","Rhamnus.cathartica","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Ilex.Nemopanthus.undiff.","Fraxinus.pennsylvanica.type","Acer.cf..A..pensylvanicum","Carya.ovata","Rhamnus.alnifolia.R..frangula","Ostrya.Carpinus","Picea.glauca.type","Taxus","Tilia","Corylus.cornuta","Nemopanthus.mucronatus","Juglans.cinerea","Populus.balsamifera.type","Lamiaceae","Potentilla.palustris.type","Acer.saccharinum","Prunus.pensylvanica","Rubiaceae","Viburnum.nudum","Sambucus","Thalictrum","Castanea.dentata","Campanula.type","Cornus.canadensis","Acer.pensylvanicum","Polygonum.lapathifolium.type","cf..Taxus","Impatiens","Rhamnus.Vitis.undiff.","Shepherdia.canadensis","Urtica.type","Prunus.undiff.","Fabaceae","cf..Oxyria.digyna","Saxifragaceae","Ranunculaceae.undiff.","Brassicaceae","Salix.vestita.type","Polygonum.viviparum","Salix.herbacea.type","Armeria.maritima","Asteraceae.undiff.","Onagraceae"
350,2837,580,2,2,9,3,0,0,320,0,2,0,22,11,4,11,26,3,10,2,6,1,4,0,0,1,24,0,7,49,0,19,0,0,0,2,22,4,5,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,3040,572,1,0,3,3,0,0,343,0,14,1,24,4,4,5,34,0,16,1,10,0,6,0,1,1,11,0,1,32,0,21,0,0,0,1,25,3,0,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,3243,636,1,0,0,4,0,1,381,0,8,1,28,12,2,3,29,7,2,3,12,0,0,0,5,1,29,0,4,20,0,33,0,0,0,0,14,8,17,0,3,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,3446,865,4,4,0,10,0,1,448,0,27,1,25,8,3,14,35,2,10,3,14,0,6,0,20,18,30,0,9,30,0,78,0,0,0,1,20,5,1,0,5,0,1,0,5,0,3,0,16,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,3648,526,0,0,18,2,0,1,288,0,3,0,20,8,3,4,6,0,32,2,10,2,4,1,5,2,23,0,0,42,0,31,0,0,0,1,5,1,0,1,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,3851,591,2,0,7,0,0,1,363,0,13,1,20,7,3,5,19,8,15,0,7,0,6,0,2,1,26,0,3,28,0,20,0,0,0,5,12,6,1,0,2,0,2,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4054,426,3,0,7,1,0,2,265,0,4,1,27,7,1,1,11,1,8,0,6,1,1,0,5,3,17,0,3,9,0,22,0,0,0,0,6,1,0,0,0,0,3,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,4256,643,2,2,4,1,3,1,412,1,12,0,13,7,1,4,45,1,26,1,4,0,6,0,1,0,22,0,1,29,0,18,0,0,0,3,9,2,2,0,1,0,0,0,5,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,4459,537,1,0,7,5,0,2,288,2,14,1,9,4,3,3,30,2,21,1,12,3,3,0,2,1,16,0,5,46,0,26,0,0,0,1,10,4,3,0,1,0,0,0,6,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,4662,549,2,3,4,1,0,1,393,0,10,0,7,10,1,4,8,1,13,0,9,1,0,1,1,0,9,0,0,30,0,11,0,0,0,4,12,2,2,0,1,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,5118,611,2,0,18,1,6,3,339,0,8,0,12,7,8,1,18,0,19,0,12,0,0,1,1,1,16,0,1,35,0,22,0,0,0,0,58,2,0,1,3,0,1,0,1,0,2,1,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,5575,625,2,1,5,2,1,0,377,0,1,0,5,4,3,1,34,3,11,1,3,0,0,0,3,0,10,0,7,26,0,13,0,0,0,0,97,1,0,0,2,0,1,0,3,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,6032,431,0,0,1,2,0,0,244,0,3,0,8,4,2,1,5,0,10,1,11,1,0,1,0,0,4,0,0,31,0,18,0,0,0,1,71,4,0,1,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,6489,643,0,1,0,3,1,2,252,0,5,0,5,6,1,0,45,2,35,0,9,0,0,1,6,4,14,0,6,23,0,79,0,0,0,0,123,2,1,0,2,0,1,0,1,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,6945,639,0,2,4,18,2,1,266,0,2,0,12,5,2,0,43,2,24,0,14,1,1,0,0,0,20,0,9,37,0,65,0,0,0,0,96,0,4,0,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,7402,577,2,0,3,9,1,0,249,1,5,1,7,7,0,1,30,2,22,1,12,3,0,1,3,4,12,0,3,32,0,69,0,0,0,0,76,0,1,0,3,0,0,0,4,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,7859,831,2,0,13,3,2,1,212,0,3,0,4,7,6,2,133,1,58,0,11,1,1,4,6,5,9,2,11,12,0,219,0,0,0,4,66,3,2,0,4,0,2,1,8,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
775,8316,519,0,1,4,0,1,0,145,0,9,0,4,15,0,4,52,2,47,0,12,0,3,0,5,0,20,0,0,62,0,103,0,0,0,0,17,3,0,0,4,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,8772,709,2,2,11,13,1,0,186,1,2,1,2,8,2,13,68,10,47,1,22,2,4,0,2,5,5,0,1,61,0,190,0,0,0,5,12,3,1,0,0,0,0,0,8,0,7,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
815,9046,770,0,0,9,55,2,2,209,0,6,0,3,5,6,6,99,17,22,1,10,0,6,2,4,18,1,1,19,70,0,148,0,0,0,1,1,2,4,0,7,0,1,0,7,0,10,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
825,9229,755,0,3,0,48,4,0,218,0,2,0,0,3,17,11,67,17,40,1,5,1,3,1,4,13,6,0,28,160,0,67,0,0,0,1,4,0,3,0,4,0,0,0,11,0,4,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,9566,814,0,4,46,4,4,0,361,0,0,0,9,7,3,3,160,1,34,3,8,0,0,1,2,0,3,0,2,51,0,81,0,0,0,0,1,11,2,0,2,0,0,0,1,0,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,10302,831,1,0,1,64,2,4,279,1,7,1,0,5,11,8,63,25,33,0,5,0,10,3,5,15,2,1,31,210,0,22,0,0,0,2,3,6,2,0,1,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
860,10792,1020,0,1,81,14,0,4,510,0,3,0,4,12,13,9,58,24,28,9,7,0,3,0,10,0,1,1,30,31,0,82,0,0,0,1,1,57,4,0,1,0,0,0,11,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
875,11528,542,1,0,1,4,1,3,193,0,11,0,11,18,7,25,6,38,52,3,15,1,11,1,6,2,1,0,25,33,0,48,0,0,0,3,1,1,12,0,2,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,12019,1125,0,0,4,14,0,19,334,0,63,0,1,46,0,8,25,290,61,11,28,0,34,1,2,0,5,1,10,17,0,37,0,0,0,17,10,7,3,0,0,0,2,0,11,0,0,0,11,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
895,12376,1256,1,0,5,13,0,53,377,6,220,1,9,13,0,5,112,58,49,8,2,0,6,0,28,0,4,0,1,11,0,50,0,0,0,0,11,18,143,0,0,0,1,0,11,0,1,2,3,0,1,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
905,12600,1147,0,0,17,10,5,20,451,1,100,3,3,17,0,7,53,162,48,13,9,0,15,1,8,0,0,1,6,9,0,58,0,0,0,2,4,17,39,0,0,0,7,0,22,0,0,0,12,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,1,0,0,0,0,0,0
915,NA,745,0,0,7,0,0,24,284,5,87,1,0,8,0,0,42,73,30,6,10,0,4,3,20,3,4,0,2,6,0,34,0,0,0,0,1,14,59,0,0,0,1,0,8,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
920,NA,829,0,0,22,32,3,24,64,9,234,6,1,3,2,0,25,1,30,4,10,9,7,1,59,0,0,1,1,2,0,84,0,0,0,0,5,16,80,0,0,0,1,0,0,0,0,0,8,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,67,0,0,0
925,NA,637,0,0,16,4,2,16,45,4,262,0,0,1,0,1,42,5,9,3,2,1,2,0,24,3,1,0,1,7,0,31,0,0,0,1,1,25,106,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0
930,NA,702,0,0,16,8,2,29,54,3,182,0,0,1,0,0,26,0,11,4,4,22,0,0,132,0,0,0,0,2,0,78,0,0,0,0,3,13,67,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,34,0,0,0
935,NA,463,0,0,9,2,1,13,18,8,187,2,0,2,0,0,25,2,10,2,1,6,0,0,41,0,0,1,1,15,0,24,0,0,0,2,1,22,42,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,3
945,NA,392,2,0,6,0,5,8,15,1,161,0,0,1,0,5,16,4,16,2,2,2,3,0,59,0,1,0,0,8,0,17,0,0,0,2,0,8,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
