"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Cerealia","Corylus","Cupressaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Liquidambar","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Quercus","Rosaceae","Rumex","Salix","Tilia","Tsuga","Ulmus","Unknown"
45,123,2,20,1,16,2,0,13,5,3,0,0,0,11,2,4,6,2,0,0,0,1,0,28,0,1,22,100,0,23,0,1,2,0,5
47,130,2,10,0,1,0,0,6,2,2,0,0,0,4,3,5,0,0,0,1,0,1,0,8,0,0,3,27,0,0,0,0,8,0,5
49,136,2,23,0,12,0,0,18,8,1,0,2,0,8,4,7,6,0,0,0,6,0,1,29,1,1,26,99,0,11,2,1,7,0,5
53,149,7,59,0,4,0,0,18,16,1,0,0,1,7,3,7,3,1,1,0,1,2,2,27,0,0,23,101,5,12,1,0,10,2,6
55,155,8,37,1,16,0,0,17,10,3,0,1,1,4,5,14,9,1,0,3,1,0,1,15,0,0,44,84,3,30,0,0,1,1,2
59,168,6,37,1,18,0,0,15,6,3,0,0,1,4,0,9,14,0,1,7,0,4,1,22,1,0,25,92,6,17,1,0,8,3,4
63,181,3,30,0,22,0,0,21,6,6,0,1,0,4,0,8,8,0,0,2,0,2,1,17,0,1,35,94,4,31,1,0,2,0,2
67,193,3,38,1,17,0,0,15,8,1,0,1,0,6,2,7,16,0,0,3,0,2,2,21,0,0,25,117,5,29,0,0,7,1,1
71,206,1,52,1,5,1,2,29,2,8,0,2,4,7,3,3,8,0,0,0,3,0,2,12,0,1,16,97,1,18,1,0,4,3,6
75,219,5,71,0,8,0,4,16,12,3,0,1,0,6,3,4,7,0,0,2,0,1,0,21,0,0,11,100,4,8,1,0,12,3,6
79,231,5,37,0,5,0,7,30,6,3,0,0,1,5,5,5,13,0,0,1,0,1,0,21,0,0,10,123,3,0,0,0,10,3,3
83,244,7,42,1,13,0,3,25,11,0,0,3,0,8,2,5,9,1,0,3,0,4,0,22,0,1,6,121,3,5,0,0,7,2,6
87,269,6,63,0,5,0,7,21,8,4,0,1,1,8,2,3,5,0,0,4,0,1,2,17,0,0,3,141,3,5,0,0,3,1,2
91,306,5,42,0,8,0,3,37,9,1,0,0,0,8,4,1,13,0,0,1,1,1,1,24,0,1,4,124,7,1,0,0,6,2,3
95,343,5,58,0,12,1,5,14,7,2,0,0,2,5,1,3,10,0,0,1,1,1,1,25,0,2,6,119,4,3,0,0,4,4,5
99,380,3,53,0,15,3,7,28,8,4,0,0,0,11,6,1,9,0,0,2,0,2,1,27,0,0,4,99,2,4,0,0,9,4,4
103,416,10,41,1,6,2,9,31,2,1,0,0,1,10,2,5,8,1,0,4,1,3,3,21,0,1,4,126,2,1,0,0,5,0,4
107,453,7,45,1,13,3,0,16,8,1,0,3,1,6,2,7,15,0,0,4,1,3,1,22,0,0,7,121,3,5,0,0,7,3,5
111,490,5,59,0,6,1,7,23,12,6,0,0,1,7,1,6,6,1,0,2,1,1,1,12,0,0,6,119,2,2,0,0,7,2,6
115,527,13,41,0,3,1,4,23,14,2,0,0,0,6,6,2,7,2,0,3,1,3,2,22,0,1,1,127,6,2,0,0,11,1,3
119,564,8,45,0,7,0,4,14,12,4,0,0,1,5,3,5,8,1,0,2,2,3,1,24,0,1,4,131,3,1,0,0,13,3,5
123,601,5,47,0,2,1,7,23,12,0,0,0,1,6,4,2,12,0,1,2,0,0,2,21,0,0,4,127,2,1,0,2,13,3,4
125,619,5,54,0,1,1,2,26,18,0,0,1,1,8,3,3,4,0,0,2,1,1,2,17,0,1,0,172,1,1,0,0,6,1,1
131,674,5,52,0,0,0,0,26,14,1,0,1,1,4,2,2,9,0,0,3,0,2,0,22,0,0,2,155,2,0,0,0,6,1,6
135,711,7,50,0,0,0,4,22,7,1,0,1,1,7,4,4,6,0,0,2,2,3,1,10,0,0,2,152,1,0,0,0,10,0,4
139,748,7,46,0,1,0,3,20,22,6,0,0,0,7,3,2,8,0,0,3,0,2,2,11,0,0,4,164,1,0,0,0,5,0,1
143,784,3,37,0,1,0,5,30,19,2,0,1,2,13,5,1,5,0,0,0,2,2,2,23,0,0,4,163,1,0,0,0,8,1,4
147,819,3,37,2,2,1,2,35,12,1,0,1,2,9,3,2,6,0,0,0,0,0,0,23,0,0,0,148,1,0,0,0,8,3,4
149,837,9,34,0,0,0,0,21,15,2,0,0,1,11,7,4,12,0,0,0,0,3,0,8,0,1,2,170,1,0,0,0,8,2,3
155,890,5,43,0,0,0,3,19,18,2,0,0,0,9,5,2,12,1,0,3,0,1,2,16,0,0,2,136,4,0,0,0,13,1,4
159,925,6,40,1,0,0,0,22,16,1,0,1,1,13,4,5,8,0,0,1,0,2,2,6,0,0,1,167,4,0,0,0,6,3,8
163,960,6,40,0,0,0,4,23,17,2,0,0,0,13,6,0,12,0,0,0,0,1,0,14,0,1,1,152,4,0,0,1,8,0,5
167,995,1,44,0,0,0,0,22,11,0,0,1,0,16,5,2,7,0,0,0,0,2,1,18,0,1,3,166,3,0,0,0,10,0,6
171,1031,4,39,0,0,0,7,23,20,1,0,0,1,14,6,1,8,0,0,1,1,0,0,19,0,1,1,149,5,0,0,0,17,0,4
175,1066,3,42,0,0,0,0,29,12,1,0,1,1,13,4,8,7,1,0,0,1,1,1,19,0,2,1,146,1,0,1,0,5,0,4
179,1101,3,49,0,0,0,1,21,11,3,0,0,3,5,4,0,5,0,0,0,0,5,2,21,0,1,1,159,4,0,0,0,9,2,4
183,1137,4,52,0,2,0,0,25,11,4,0,0,0,17,0,5,9,1,1,2,0,5,1,10,0,2,0,143,1,0,0,0,7,2,2
187,1172,6,44,0,1,0,2,32,15,2,0,2,3,12,6,1,11,1,2,0,2,3,1,15,0,2,2,166,3,0,0,0,6,1,4
