"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rosaceae","Rumex","Salix","Thalictrum","Tilia","Trees.undiff.","Tsuga","Ulmus"
557,1546,0,14,0,0,1,0,1,0,10,0,1,0,1,15,12,0,1,1,0,0,8,0,4,8,0,0,2,101,0,0,0,0,2,0,1,12
617,2283,0,11,0,0,0,1,1,1,9,0,0,1,1,28,21,0,4,0,0,0,8,0,5,12,0,0,1,69,0,0,0,0,2,1,0,21
657,2992,0,14,0,0,0,0,0,3,6,0,1,0,0,36,21,0,2,0,0,0,22,1,2,11,1,0,0,61,0,0,1,0,2,0,2,22
703,3807,0,14,0,0,4,0,0,0,2,0,0,0,2,22,18,0,1,0,0,0,3,0,3,11,4,0,0,86,0,0,0,0,0,2,0,26
771,5012,0,9,2,1,2,1,0,4,7,0,2,0,3,9,14,0,3,0,0,0,10,0,6,3,7,0,1,87,0,0,0,0,0,0,0,33
831,6041,0,2,1,1,0,0,0,2,7,0,2,0,1,20,18,0,4,0,0,0,4,0,3,12,1,0,1,75,1,0,0,2,1,0,0,41
876,6804,0,5,0,1,0,1,0,2,2,0,1,0,1,18,14,2,12,0,0,0,9,0,7,6,2,0,0,100,0,0,0,0,0,0,0,18
916,7483,0,9,0,1,2,1,1,1,7,0,2,0,0,28,15,0,0,1,0,0,9,0,2,15,0,0,0,58,0,0,1,0,0,0,0,40
976,8501,0,6,0,0,1,2,0,5,10,1,3,0,0,6,6,1,1,0,0,0,11,3,0,8,1,0,0,71,0,0,0,0,0,0,0,42
1016,9442,0,4,1,0,4,1,1,2,4,0,0,0,1,0,8,0,1,0,0,0,7,0,19,2,4,0,0,106,0,0,1,0,1,1,0,31
1035,10097,0,6,0,0,0,1,0,6,5,0,0,0,0,0,18,0,1,0,0,0,22,0,12,2,2,0,1,118,0,0,1,0,2,0,0,5
1050,10614,0,4,0,0,1,2,0,2,3,0,0,1,2,0,16,1,1,0,0,0,23,0,48,4,0,0,0,78,0,0,0,0,1,0,0,14
1065,11311,1,4,0,0,3,0,1,3,8,0,0,0,0,0,16,0,0,0,0,0,14,0,64,1,5,0,1,64,0,0,1,0,1,0,1,16
1085,11837,1,1,2,0,0,2,0,6,6,0,3,0,2,0,20,0,1,3,0,0,10,3,72,0,2,0,7,35,0,0,0,0,1,0,0,25
1100,12232,3,2,1,0,0,0,1,6,2,0,1,0,2,0,8,0,0,5,0,0,13,8,124,1,2,0,3,22,0,0,2,0,0,0,0,7
1141,13311,0,0,3,0,0,0,0,3,0,0,0,1,4,0,0,0,0,2,0,0,4,41,124,0,2,0,7,3,0,0,0,0,0,0,1,5
1163,13890,6,0,0,0,3,15,0,3,0,0,0,2,4,0,5,1,0,2,1,0,9,94,18,0,4,1,3,20,0,0,9,2,0,1,0,2
1183,14417,1,1,0,0,2,9,1,0,1,2,4,1,17,0,13,0,0,1,0,0,17,36,2,0,9,0,5,8,1,0,3,1,0,1,0,2
1198,NA,0,0,0,0,2,3,0,2,0,0,0,1,7,0,19,1,0,0,0,0,9,26,1,0,4,0,5,10,0,0,3,0,0,0,0,0
1226,NA,0,0,1,0,4,3,0,0,0,0,0,6,2,0,35,0,0,0,0,0,5,16,1,0,2,0,13,3,0,0,1,0,0,0,1,2
1246,NA,0,1,0,0,3,3,0,0,1,1,1,11,5,0,26,0,0,1,0,0,4,29,0,0,4,0,1,6,0,0,0,0,0,0,0,0
1291,NA,0,0,1,0,10,0,0,0,0,0,0,20,8,0,16,0,0,0,0,0,1,21,0,0,2,0,5,6,0,0,0,0,0,0,0,0
1363,NA,1,1,2,1,6,13,1,3,2,0,0,3,12,0,9,0,0,0,2,0,4,47,4,0,9,0,5,12,4,0,6,0,0,0,1,3
1400,NA,0,0,1,0,1,2,0,2,0,0,0,5,2,0,8,4,0,0,0,0,0,21,0,0,4,0,0,3,0,0,0,0,0,0,0,0
