"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Brassicaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Melilotus.type","Dalea.undiff.","Picea","Pinus.subg..Pinus","Pinus.undiff.","Populus.undiff.","Populus.balsamifera.type","Quercus","Rumex","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.argentea","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Rosaceae.undiff.","Avena.Triticum","Brassica","Trifolium.repens.type","Acer.rubrum","Carya","Iva.annua.type","Fraxinus.nigra.type","Fabaceae.undiff.","Pinus.subg..Strobus","Asteraceae.tribe.Cynareae","Avena.type","Humulus","Plantago","Secale.type","Triticum.type","Acer.saccharinum","Acer.saccharum","Fraxinus.pennsylvanica","Allium","Amorpha.type","Populus.tremuloides.type","Ostrya.Carpinus","Alnus.undiff.","Celtis","Apiaceae","Campanula.rotundifolia.type","Morus","Dalea.purpurea.type","Pinaceae..vesiculate..undiff.","Juglans.cinerea","Vitis","Prunus.type","Ranunculaceae.undiff.","Amelanchier.type","Dalea.candida","Lycopus.type","Thalictrum","Platanus","Ranunculus.pensylvanicus.type","Galium","Ephedra.viridis.type","Polygonum.aviculare.type","Caryophyllaceae","Elaeagnus","Fagus","Euphorbia","Asteraceae.subf..Cichorioideae","Cannabaceae.undiff.","Liliaceae","Sphaeralcea","Ephedra.trifurca.type","Gaura","Gentiana.andrewsii.type","Epilobium","Juglans.nigra","Shepherdia.canadensis","Rhus","Polygonum.amphibium"
1056,NA,630.5,0,4,7,0,33,230.5,4,27,1,2,0,51,0,151,0,0,0,2.5,2,72,0,0,1.5,0,6,0,5,0,15,4,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,NA,406.5,0,2,1,6,2,151,6,15,0,1,2,59,0,84,0,0,0,0,15,35.5,2,0,4,0,1,0,1,0,13,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,NA,393.5,0,0,1,0,16,114.5,6,14,1,0,0,48,0,117,4,0,0,0,0,33,0,0,4,0,2,0,4,0,10,4,2,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,NA,428,0,1,2,1,12,200,7,16,0,0,1,23,1,91,0,0,1,0.5,2,34.5,3,0,4,0,2,0,2,0,18,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,NA,455.5,0,2,10,1,14,183.5,4,25,0,1,0,40.5,0,76,4,0,0,1.5,1,42,0,1,6,0,5,0,1,0,13,2,0,1,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,NA,568,0,1,5,1,17,217,13,28,3,0,0,40,1,132,0,0,3,0.5,11.5,42.5,4,0,11,0,3,0,8,0,14,3,0,2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,NA,474.5,0,1,6,0,19.5,110,11,4,3,0,1,51,0,128,0,0,0,0,0,50,0,5,9,0,1,0,1,0,24,6,1,1,0,1,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,5,0,0,18,3,0,0,0,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,NA,611.5,0,5,0,5,13,296,4,11,1,0,0,77,1,102,0,0,1,0.5,9.5,31.5,2,0,3,0,6,0,3,0,21,4,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1184,NA,500,0,1,4,0,19,191.5,3,22,0,0,0,52,0,113,2,0,0,0.5,0,47,0,0,10,0,2,0,2,0,15,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,NA,425,0,2,2,5,5,136,7,19,2,0,2,79,1,91,0,0,1,3,7,30,0,0,4,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1216,NA,462.5,0,0,5,0,6,144,6,19,1,0,1,60,0,132,1,0,0,0,0,42.5,0,0,4,0,2,0,6,0,19,0,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1232,NA,631,0,1,5,2,16,215,6,24,0,0,3,71,0,190,0,0,0,0,14.5,46.5,0,0,5,0,1,0,1,0,19,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1248,NA,403.5,0,0,3,0,5,151.5,4,17,0,0,0,49.5,0,102,1,0,0,0,0,39.5,0,0,2,0,1,0,2,0,10,1,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1264,1295,514,0,3,6,3,15,188,7,25,1,2,0,73,1,107,1,0,0,0,10.5,35.5,1,0,0,0,2,0,3,0,19,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,1348,418.5,0,1,3,1,10,130,6,15,0,0,0,67,0,124.5,0,0,0,1,0,33,0,0,1,0,5,0,2,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,1404,626,0,0,7,1,18,238,26,40,1,0,0,81,1,107,3,0,0,0,5.5,45.5,4,0,4,1,1,0,3,1,29,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1312,1462,445,0,1,9,0,12,139,6,26,0,0,4,44,0,111,5,0,2,0.5,12,40,1,1,7,0,0,0,2,0,9,4,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,1524,411,0,0,4,1,8,144.5,8,22,1,0,0,42,0,108,0,0,0,0,0,40.5,0,0,4,0,5,0,3,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1344,1591,415,0,0,0,1,13,207,2,15,0,0,3,50,0,57,0,0,1,0,5,24,0,1,2,1,5,0,1,0,20,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,1665,402,1.5,1,3,3,12,150.5,7,20,0,0,0,45,0,86,0,0,0,0,0,29.5,0,1,5,1,4,0,1,0,17,2,4,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,1745,446,0.5,1,1,4,9,188,6,17,1,0,2,50,2,85,1,0,7,1.5,7,23,1,0,2,0,2,0,0,0,21,1,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1392,1833,411.5,1,3,2,1,15,101.5,4,13,0,0,0,35,0,151,0,0,0,0.5,4,46.5,0,0,3,0,1,0,1,0,6,3,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1408,1931,744.5,0,0,6,4,20,254,6,32,1,0,5,86,2,200,2,0,1,1,8.5,66.5,1,0,3,1,7,0,2,0,20,5,0,0,0,0,0,0,0,0,0,1,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,2040,476,0,1,1,4,12,216.5,8,16,0,0,1,21,0,102,1,0,0,0.5,2,43,0,0,4,2,5,0,6,0,15,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,2159,418.5,0,0,2,1,11,174,3,23,0,0,2,38,0,93,0,0,2,0,5,38.5,0,0,3,1,2,0,5,0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,2291,428.5,0,0,2,5,10,158.5,2,31,0,0,0,36,0,97,1,0,0,0,0,40,0,0,4,0,10,0,2,0,22,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,2433,593,0,0,5,5,15,252,6,19,1,0,0,70,0,112,0,0,1,1,16,54,2,0,1,0,1,0,3,0,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1488,2586,408.5,0,1,6,0,18,143.5,4,13,1,0,0,18,0,119,0,0,0,0,1,37,0,0,7,0,3,0,4,2,18,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,2750,415.5,0,1,4,7,15,146,2,25,0,0,3,35,2,75,1,0,3,1,9,43.5,1,0,3,1,3,0,1,0,20,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1520,2923,418,1,1,3,2,22.5,154.5,5,13,0,2,0,23,0,90,2,0,0,1,1,50,0,0,7,0,1,0,6,0,17,2,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536,3105,623.5,0,2,1,3,20,270,4,25,0,0,3,61,1,128,1,0,2,0,4,50.5,0,0,2,1,2,0,9,0,26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,3296,417.5,0,0,4,3,23,179.5,4,34,2,1,1,14,0,77,1,0,0,0,0,34,0,0,3,1,2,0,4,0,14,1,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1568,3496,435.5,1,1,5,6,13,226,2,10,1,0,2,24,1,66,1,0,1,0,3.5,33,0,0,3,0,7,0,1,0,21,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1584,3703,423.5,0,0,2,1,41,187,3,31,0,0,0,13,0,53,4,0,0,0,0,37,0,0,3,2,10,0,0,0,20.5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1603,3958,440.5,0,0,6,4,50,142,5,35,0,0,4,20,1,83,4,0,1,1.5,6.5,38.5,1,0,5,0,4,0,3,0,16,1,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,4138,436.5,1,1,1,1,12,168.5,5,27,0,0,0,25,0,91,1,0,0,0,0,42,0,0,1,0,30,0,4,0,14,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,4365,395.5,0.5,0,1,3,9,113,0,25,2,0,4,34,0,118,0,0,2,0.5,7.5,29,0,0,4,0,24,0,2,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648,4596,486.5,0,0,5,3,19,230,0,15,1,0,3,36,0,74,0,0,2,0.5,8,30,1,0,4,0,6,0,4,0,24,3,1,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,4826,417,0,0,3,3,20,144,9,20,1,0,2,37,0,62,0,0,3,2,18.5,47.5,3,0,5,1,6,0,1,0,20,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1680,5055,561.5,0.5,0,6,4,36,196.5,6,44,1,0,0,27,0,121,0,0,0,0,0,67.5,0,0,4,0,6,0,4,0,18,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1691,5209,402.5,0.5,0,5,0,23,155,3,32,0,0,4,27,0,80,0,0,2,0,9.5,35,1,0,3,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,3,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,5493,404,0,0,2,0,29,184.5,3,35,0,0,0,7,0,57,2,0,0,0.5,0,36,0,0,3,0,0,0,1,0,29,1,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728,5698,542,0,0,4,4,73,203,2,26,2,0,2,36,0,66,1,0,5,0.5,21.5,29,5,1,8,3,0,0,1,0,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
