"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Koenigia.islandica","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Poaceae","Onagraceae","Rosaceae","Campanula.type","Oxyria.digyna.type","Pinus.banksiana.type","Polygonum.viviparum","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Picea.undiff.","Salix.undiff.","Ambrosia.type","Amaranthaceae","Fraxinus.nigra.type","Populus.tremuloides.type","Quercus","Pinus.strobus","Impatiens","Thalictrum","Viburnum.edule","Salix.herbacea.type","Myrica.gale","Juglans.cinerea","Fagus","Brassicaceae","Saxifraga.stellaris.type","Castanea.dentata","Apiaceae","Saxifragaceae.undiff.","Tsuga.canadensis","Acer.spicatum","Polygonaceae.undiff.","Acer.saccharum"
85,6598,470,1,145,7,95,1,127,1,3,0,4,5,0,2,0,3,1,26,0,7,0,7,2,0,1,0,1,6,20,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
90,6875,617,2,184,12,151,0,130,5,0,0,19,9,5,0,0,1,0,41,0,9,0,13,0,0,0,0,0,5,23,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.5,6998,491,2,133,6,73,1,133,1,2,0,16,7,4,7,0,1,1,33,0,3,0,12,17,0,0,0,1,6,27,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
105,7120,443,0,137,6,108,2,74,1,0,0,5,0,25,2,0,0,1,30,0,0,0,21,0,0,1,0,4,1,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.5,7243,444,0,78,12,59,3,102,4,6,0,10,3,29,5,0,0,0,53,0,6,0,24,13,0,2,0,3,5,16,3,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0
120,7366,559,0,93,17,77,2,55,2,0,0,21,0,144,1,0,0,3,66,0,3,0,26,0,1,4,0,1,1,31,6,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
127.5,7488,395,0,64,10,18,2,83,3,1,0,9,1,25,4,0,0,0,96,0,3,0,37,3,0,2,0,2,5,17,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
135,7611,457,0,60,12,34,1,69,5,2,0,6,7,48,11,0,0,1,99,0,23,0,18,10,2,4,1,7,6,23,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
140,7692,372,0,20,12,14,6,66,2,0,0,2,3,60,11,0,0,0,107,0,13,0,19,4,0,1,0,1,7,15,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
145,NA,447,0,18,4,7,2,83,1,0,0,1,2,131,25,0,0,0,125,1,13,0,7,5,0,0,0,2,4,12,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,NA,428,0,5,8,0,3,80,2,1,0,1,0,108,2,0,0,0,108,0,11,0,16,1,0,1,0,0,2,33,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
