"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Carya.ovata","Castanea.dentata","Centaurea","cf..Oxyria.digyna","Pinus.banksiana.type","Pinus.strobus","Salix.herbacea.type","Picea.undiff.","Salix.undiff.","Rosaceae.undiff.","Amaranthaceae","Tsuga.canadensis","Ostrya.Carpinus","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Polygonum.viviparum","Larix","Alnus.incana.type","Myrica.gale","Urtica.type","Juniperus.type","Onagraceae","Abies.balsamea","Taxus","Thalictrum","Ulmus","Ephedra","Potentilla.palustris.type","Fabaceae","Corylus.cornuta","Saxifraga.oppositifolia.type","Populus.balsamifera.type","Acer.saccharum","Salix.vestita.type","Liliaceae","Asteraceae.subf..Cichorioideae","Acer.pensylvanicum","Shepherdia.canadensis","Brassicaceae","Juniperus.communis.Thuja.occidentalis.type","Acer.spicatum","cf..Sarcobatus.vermiculatus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Polygonaceae.undiff.","Plantaginaceae","Saxifraga","Prunus","Tilia","Salix.reticulata.type"
60,3459,693,248,1,13,134,0,167,19,0,43,4,0,18,0,0,0,5,14,1,0,17,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3748,611,261,3,9,95,2,139,15,0,31,4,0,14,0,0,0,0,4,8,0,13,4,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4036,548,201,1,6,80,0,145,10,0,51,5,1,8,0,0,0,0,11,2,0,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4324,808,341,3,11,167,0,133,8,5,42,4,1,24,0,0,0,1,18,6,0,26,3,4,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4613,556,192,2,14,151,1,88,9,0,40,4,2,4,0,0,0,2,23,1,0,14,3,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4901,392,131,4,12,81,1,90,0,1,29,3,5,4,0,0,0,3,7,6,1,8,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5189,754,286,1,6,233,0,127,8,2,22,3,3,17,0,0,0,0,18,5,0,5,6,0,2,0,0,3,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5477,611,233,1,10,174,0,111,7,0,18,2,0,15,0,0,0,2,19,2,0,4,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5766,416,131,2,17,129,1,70,6,0,5,6,2,7,0,0,0,6,14,9,0,3,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,6054,659,234,6,8,159,2,157,2,0,13,7,1,14,0,0,0,1,15,6,0,4,9,2,2,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
110,6342,491,168,1,9,105,0,126,2,0,25,8,4,4,0,0,0,1,15,2,0,7,3,4,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6631,536,121,6,17,135,3,160,4,0,22,3,1,13,0,0,0,2,10,15,1,4,7,4,0,0,0,0,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6919,473,72,6,23,75,1,180,2,0,32,9,1,2,0,0,0,3,39,3,3,4,6,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,7207,539,99,4,34,28,3,159,4,0,15,9,3,25,0,0,0,19,38,12,0,4,21,3,2,0,0,2,0,38,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
130,NA,413,81,9,22,48,1,110,5,0,11,15,1,21,0,0,0,1,31,3,0,1,19,1,0,0,0,4,0,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0
135,NA,341,34,12,22,15,3,105,3,0,18,11,1,2,0,0,0,4,88,2,0,6,1,5,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,NA,98,19,3,8,18,0,7,1,0,4,8,4,0,0,0,0,5,6,4,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,NA,184,16,6,14,15,3,53,4,0,14,4,0,13,0,0,0,7,10,2,0,5,3,1,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
150,NA,113,16,3,13,19,3,7,4,0,15,1,3,2,0,0,0,2,10,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,NA,76,11,2,8,14,0,10,1,0,6,4,3,1,0,0,0,2,4,1,0,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
160,NA,418,72,3,14,75,1,158,8,0,15,2,0,5,0,0,0,4,42,2,1,3,2,1,1,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,NA,157,37,2,12,17,3,38,2,0,3,4,0,5,0,0,0,1,14,0,2,5,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
170,NA,84,13,5,13,23,0,2,5,0,3,1,1,3,0,0,0,3,2,2,0,3,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,NA,87,19,11,16,14,3,0,5,0,2,1,1,1,0,0,0,1,6,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NA,94,6,9,17,8,1,6,3,0,6,1,4,12,0,0,0,2,6,2,0,3,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,NA,135,11,5,15,15,9,6,6,0,7,7,3,29,0,0,0,2,5,4,0,3,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
