"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Shepherdia.canadensis","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Plantago.lanceolata.type","Rhamnus.alnifolia.R..frangula","Rumex.type","Tsuga.canadensis","Picea.undiff.","Juglans.cinerea","Taxus","Thalictrum","Rosaceae.undiff.","Caryophyllaceae","Picea.glauca.type","Fabaceae","Onagraceae","Acer.saccharinum","Nemopanthus.mucronatus","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Myrica.gale","Ranunculaceae.undiff.","Zea.mays","Pinus.resinosa.type","Castanea.dentata","Corylus.cornuta","Rubiaceae","Acer.spicatum","Fraxinus.americana.type","Prunus.pensylvanica","Sambucus","Caprifoliaceae.undiff.","Brassicaceae","Viburnum.nudum","Viburnum.lentago","Impatiens","Cornus","cf..Oxyria.digyna"
75,2070,0,0.00258397932816537,0.0103359173126615,0.00258397932816537,0.00516795865633075,0.400516795865633,0.00516795865633075,0.0232558139534884,0.0723514211886305,0.0129198966408269,0.00258397932816537,0,0,0,0.00258397932816537,0.0129198966408269,0.0387596899224806,0,0,0.00258397932816537,0.0129198966408269,0,0,0.00775193798449612,0,0.0258397932816537,0,0,0.0129198966408269,0.020671834625323,0.00258397932816537,0.00516795865633075,0.10594315245478,0,0,0,0.204134366925065,0.00516795865633075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258397932816537,0,0,0,0,0,0,0,0,0,0,0,0
80,2279,0,0.00168350168350168,0.00505050505050505,0.0101010101010101,0,0.35016835016835,0,0.0420875420875421,0.132996632996633,0.00673400673400673,0.00336700336700337,0.00168350168350168,0.00505050505050505,0,0.00168350168350168,0.00673400673400673,0.0656565656565657,0,0,0,0.0185185185185185,0,0,0.0134680134680135,0,0.031986531986532,0,0.00168350168350168,0.00841750841750842,0.0202020202020202,0,0.0488215488215488,0.0808080808080808,0,0,0.00168350168350168,0.122895622895623,0.0101010101010101,0,0,0,0,0,0.00168350168350168,0,0,0,0,0,0.00168350168350168,0,0,0,0,0,0.00336700336700337,0,0,0,0.00168350168350168,0,0,0,0,0,0,0,0
90,2698,0.00179856115107914,0.00179856115107914,0.0161870503597122,0.00359712230215827,0,0.352517985611511,0.00539568345323741,0.00179856115107914,0.12410071942446,0.0251798561151079,0.00359712230215827,0.00179856115107914,0.00179856115107914,0,0.00539568345323741,0.012589928057554,0.0431654676258993,0,0,0,0.0143884892086331,0,0,0.00719424460431655,0,0.0251798561151079,0.00179856115107914,0,0.00719424460431655,0.0251798561151079,0.00179856115107914,0.0377697841726619,0.129496402877698,0,0,0,0.129496402877698,0.00539568345323741,0,0,0,0,0,0.00359712230215827,0,0,0,0,0,0.00179856115107914,0,0,0,0,0,0.00719424460431655,0.00179856115107914,0,0,0,0,0,0,0,0,0,0,0
100,3037,0,0,0.0072463768115942,0,0,0.364734299516908,0.00241545893719807,0.0217391304347826,0.070048309178744,0.0144927536231884,0.0072463768115942,0,0,0,0.00483091787439614,0.0193236714975845,0.103864734299517,0,0,0,0.0241545893719807,0.00241545893719807,0,0.00483091787439614,0,0.00966183574879227,0,0,0.00241545893719807,0.0217391304347826,0,0.0193236714975845,0.219806763285024,0,0,0,0.0579710144927536,0.0120772946859903,0,0,0,0.00241545893719807,0,0,0,0,0,0,0,0,0,0,0,0.00241545893719807,0,0.00241545893719807,0.00241545893719807,0,0,0,0,0,0,0,0,0,0,0
110,3299,0,0.00176678445229682,0.0176678445229682,0,0,0.362190812720848,0.0123674911660777,0.00530035335689046,0.0954063604240283,0.019434628975265,0.0106007067137809,0,0,0,0,0.0229681978798587,0.109540636042403,0,0,0,0.049469964664311,0,0,0.00353356890459364,0,0.0353356890459364,0,0,0.00706713780918728,0.0353356890459364,0.00353356890459364,0,0.148409893992933,0,0,0,0.0565371024734982,0.00176678445229682,0,0,0,0,0,0,0,0,0,0,0,0.00176678445229682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3560,0,0,0.0146520146520147,0,0.00183150183150183,0.340659340659341,0.0347985347985348,0.0531135531135531,0.0952380952380952,0.0274725274725275,0.00732600732600733,0.00366300366300366,0.00366300366300366,0,0,0.00732600732600733,0.0879120879120879,0,0,0,0.0402930402930403,0,0,0.00366300366300366,0,0.0164835164835165,0,0.00183150183150183,0.00915750915750916,0.0146520146520147,0,0,0.177655677655678,0,0,0,0.0494505494505494,0.00183150183150183,0.00366300366300366,0,0.00183150183150183,0.00183150183150183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3691,0.00178890876565295,0.00178890876565295,0.0125223613595707,0.0071556350626118,0.0035778175313059,0.282647584973166,0.0232558139534884,0.0339892665474061,0.0465116279069767,0.0178890876565295,0.00178890876565295,0.00178890876565295,0.0035778175313059,0,0.0035778175313059,0.0178890876565295,0.073345259391771,0,0,0.00536672629695885,0.0500894454382826,0.00178890876565295,0,0.00536672629695885,0.00178890876565295,0.0232558139534884,0.0035778175313059,0.00178890876565295,0.00178890876565295,0.0304114490161002,0.00178890876565295,0.0196779964221825,0.261180679785331,0,0,0,0.0500894454382826,0.00178890876565295,0.0035778175313059,0,0,0,0,0,0,0,0,0.00178890876565295,0,0.00178890876565295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3822,0,0,0.0142857142857143,0,0,0.346428571428571,0.0553571428571429,0.00178571428571429,0.075,0.0214285714285714,0.00357142857142857,0,0.00178571428571429,0,0,0.00892857142857143,0.116071428571429,0,0,0,0.0357142857142857,0,0,0.00357142857142857,0,0.0303571428571429,0,0,0.00714285714285714,0.0160714285714286,0.00535714285714286,0,0.235714285714286,0,0,0,0.00714285714285714,0.00178571428571429,0.00535714285714286,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4083,0,0.00421940928270042,0.0232067510548523,0.00210970464135021,0.00421940928270042,0.324894514767932,0.0443037974683544,0.00210970464135021,0.0316455696202532,0.029535864978903,0.00843881856540084,0,0.00210970464135021,0,0,0.00421940928270042,0.116033755274262,0,0,0,0.080168776371308,0,0,0.0105485232067511,0,0.0316455696202532,0,0,0.00210970464135021,0.0316455696202532,0.0105485232067511,0.00632911392405063,0.185654008438819,0,0,0,0.0232067510548523,0.00210970464135021,0.0147679324894515,0,0,0,0,0,0,0,0,0,0,0.00421940928270042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4344,0,0,0.0150659133709981,0.00376647834274953,0,0.352165725047081,0.0903954802259887,0.00376647834274953,0.103578154425612,0.0282485875706215,0.0131826741996234,0.00188323917137476,0.00941619585687382,0,0,0.00564971751412429,0.0338983050847458,0,0,0.00188323917137476,0.0282485875706215,0.00188323917137476,0,0,0,0.0225988700564972,0,0,0.00188323917137476,0.0225988700564972,0,0.0263653483992467,0.195856873822976,0,0,0,0.0169491525423729,0.00188323917137476,0.00376647834274953,0,0,0.00188323917137476,0,0,0,0,0,0,0,0,0,0,0,0.0131826741996234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
