"sample.depths","sample.ages","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Populus","Amaranthaceae","Poaceae","Epilobium","Fagus","Salix","Tsuga","Fraxinus","Ostrya","Rosaceae.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer","Rubus.chamaemorus","Thalictrum","Abies","Rumex","Polygonum.viviparum","Plantago","Platanus","Brassicaceae","Rubiaceae","Carya","Caryophyllaceae","Castanea","Juglans"
20,1319,0.00605143721633888,0.075642965204236,0,0.00605143721633888,0.0075642965204236,0.010590015128593,0.0121028744326778,0.652042360060514,0.0211800302571861,0.00605143721633888,0.0136157337367625,0.00151285930408472,0.00605143721633888,0.00151285930408472,0,0.164901664145234,0.00453857791225416,0.00151285930408472,0,0.00302571860816944,0,0,0.00302571860816944,0,0,0.00151285930408472,0,0,0,0.00151285930408472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1428,0.00469483568075117,0.0954616588419405,0,0.00312989045383412,0.00312989045383412,0.00625978090766823,0.0109546165884194,0.636932707355243,0.02660406885759,0.00469483568075117,0.00938967136150235,0.00156494522691706,0.0359937402190923,0.00312989045383412,0,0.140845070422535,0.00469483568075117,0.00156494522691706,0,0.00625978090766823,0,0,0,0.00156494522691706,0,0,0,0,0.00156494522691706,0,0,0,0,0,0.00156494522691706,0,0,0,0,0,0,0,0,0,0
24,1534,0.00886524822695036,0.074468085106383,0,0,0.00354609929078014,0.00709219858156028,0.00531914893617021,0.700354609929078,0.00531914893617021,0,0.0177304964539007,0,0.00531914893617021,0.00177304964539007,0,0.159574468085106,0.00354609929078014,0,0,0,0,0,0,0,0,0,0,0,0.00177304964539007,0,0,0,0,0,0.00354609929078014,0,0,0,0,0,0,0,0,0.00177304964539007,0
26,1637,0.00366748166259169,0.0831295843520782,0,0.00611246943765281,0.00244498777506112,0.00611246943765281,0.0146699266503667,0.635696821515892,0.0342298288508557,0.00366748166259169,0.0146699266503667,0.00611246943765281,0.0183374083129584,0,0,0.155256723716381,0.00488997555012225,0,0.00122249388753056,0.00244498777506112,0,0,0,0,0,0,0.00122249388753056,0,0.00122249388753056,0.00244498777506112,0,0,0.00122249388753056,0,0,0,0,0,0,0,0,0,0,0.00122249388753056,0
28,1737,0.00844594594594595,0.113175675675676,0,0.00675675675675676,0,0.00675675675675676,0.00675675675675676,0.587837837837838,0.0371621621621622,0.00168918918918919,0.00506756756756757,0.00168918918918919,0.0219594594594595,0.00168918918918919,0,0.1875,0.00168918918918919,0,0,0.00506756756756757,0,0,0,0,0,0.00168918918918919,0,0,0.00168918918918919,0,0,0,0.00168918918918919,0,0,0,0,0,0.00168918918918919,0,0,0,0,0,0
30,1835,0.00532859680284192,0.0976909413854352,0,0.00355239786856128,0.0088809946714032,0.00710479573712256,0.00532859680284192,0.548845470692718,0.0213143872113677,0.00532859680284192,0.024866785079929,0,0.0124333925399645,0.00177619893428064,0,0.225577264653641,0.00710479573712256,0,0.00355239786856128,0.0124333925399645,0,0,0,0,0.00355239786856128,0.00177619893428064,0,0,0.00177619893428064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177619893428064
36,2110,0.000899280575539568,0.0818345323741007,0,0.000899280575539568,0.00269784172661871,0.00719424460431655,0.00539568345323741,0.70863309352518,0.012589928057554,0.00449640287769784,0.0143884892086331,0,0.0134892086330935,0.00179856115107914,0,0.132194244604317,0.00269784172661871,0,0,0.00449640287769784,0.000899280575539568,0,0.000899280575539568,0,0.000899280575539568,0,0,0,0.000899280575539568,0.000899280575539568,0,0,0,0,0.00179856115107914,0,0,0,0,0,0,0,0,0,0
40,2281,0.00156494522691706,0.104851330203443,0.00156494522691706,0.00469483568075117,0.00156494522691706,0.0172143974960876,0.00625978090766823,0.597809076682316,0.0219092331768388,0.00312989045383412,0.0125195618153365,0.00312989045383412,0.0219092331768388,0.00312989045383412,0.00156494522691706,0.18622848200313,0.00312989045383412,0.00156494522691706,0.00312989045383412,0.00312989045383412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2481,0.00146842878120411,0.140969162995595,0,0.00293685756240822,0.00293685756240822,0.00881057268722467,0.00587371512481645,0.558002936857562,0.0146842878120411,0.00146842878120411,0.00881057268722467,0.00293685756240822,0.00881057268722467,0.00293685756240822,0,0.212922173274596,0.00734214390602056,0,0.00146842878120411,0.00293685756240822,0.00146842878120411,0.00146842878120411,0.00440528634361234,0.00146842878120411,0.00293685756240822,0.00293685756240822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2701,0.00149253731343284,0.11044776119403,0.00149253731343284,0.00149253731343284,0.00298507462686567,0.00895522388059702,0.00149253731343284,0.455223880597015,0.017910447761194,0.00298507462686567,0.00597014925373134,0,0.0149253731343284,0.00149253731343284,0,0.349253731343284,0.0104477611940299,0,0,0.0119402985074627,0,0,0,0,0,0,0.00149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
