"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Ulmus","Juniperus.type","Amaranthaceae","Cerealia","Plantago","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Nemopanthus.mucronatus","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Acer.pensylvanicum","Fraxinus.nigra.type","Ostrya.Carpinus","Tilia","Acer.spicatum","Ericaceae","Lonicera.canadensis","Ilex.Nemopanthus.undiff.","Thalictrum","Apiaceae","Rhamnus.alnifolia.R..frangula","Brassicaceae","Asteraceae.subf..Asteroideae.undiff.","Ilex","Taxus","Viburnum.lentago","Rosaceae","Populus.balsamifera.type","Sambucus","Caryophyllaceae","Populus.deltoides.type","Saxifraga.cernua.type","Caprifoliaceae.undiff.","Shepherdia.canadensis","Liliaceae","cf..Oxyria.digyna","Oxytropis.maydelliana.type","Polygonum.viviparum","Saxifraga.oppositifolia.type","Celtis.occidentalis"
245,3842,0.00373134328358209,0.0205223880597015,0.00186567164179104,0,0,0.296641791044776,0.00746268656716418,0.0541044776119403,0,0.00186567164179104,0,0.00932835820895522,0,0,0.0559701492537313,0.0205223880597015,0,0.0130597014925373,0,0.00746268656716418,0,0,0,0,0.041044776119403,0.0186567164179104,0.00186567164179104,0,0.00746268656716418,0,0,0.0111940298507463,0,0.360074626865672,0,0,0.0373134328358209,0.00746268656716418,0,0.0186567164179104,0.00373134328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,4234,0.0067001675041876,0.016750418760469,0.0016750418760469,0,0,0.507537688442211,0.0067001675041876,0.0653266331658292,0.0016750418760469,0.0016750418760469,0,0.0083752093802345,0,0.0033500837520938,0.0301507537688442,0.0234505862646566,0,0.0150753768844221,0,0.0050251256281407,0,0,0,0,0.0217755443886097,0.0318257956448911,0.0016750418760469,0,0.0251256281407035,0.0050251256281407,0,0.0016750418760469,0.0083752093802345,0.174204355108878,0,0,0.0234505862646566,0.0067001675041876,0.0016750418760469,0.0016750418760469,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0
295,4626,0,0.0182370820668693,0.00303951367781155,0,0,0.516717325227964,0.00455927051671732,0.0288753799392097,0.00303951367781155,0.00303951367781155,0.00151975683890578,0.00303951367781155,0,0,0.013677811550152,0.0258358662613982,0,0.0288753799392097,0,0.0106382978723404,0,0,0,0,0.0106382978723404,0.0258358662613982,0,0,0.00455927051671732,0,0,0.00303951367781155,0,0.240121580547112,0,0,0.0243161094224924,0.00455927051671732,0.00151975683890578,0.0151975683890578,0.00455927051671732,0.00151975683890578,0,0.00151975683890578,0,0,0,0,0,0,0,0,0.00151975683890578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,5189,0.00170940170940171,0.011965811965812,0,0,0.00512820512820513,0.586324786324786,0.00512820512820513,0.0188034188034188,0.00170940170940171,0.00341880341880342,0.00170940170940171,0.00170940170940171,0,0,0.00854700854700855,0.0153846153846154,0.00170940170940171,0.0273504273504274,0,0.0102564102564103,0,0,0,0,0.0290598290598291,0.0222222222222222,0,0,0.0170940170940171,0.00683760683760684,0,0.00170940170940171,0.00170940170940171,0.0786324786324786,0,0.00170940170940171,0.112820512820513,0.00341880341880342,0,0.0102564102564103,0,0,0.00170940170940171,0.00341880341880342,0,0,0,0,0,0,0.00170940170940171,0.00170940170940171,0.00341880341880342,0,0,0.00170940170940171,0,0,0,0,0,0,0,0,0,0,0,0
345,5753,0.00153609831029186,0.0184331797235023,0,0,0,0.50384024577573,0,0.0184331797235023,0.00153609831029186,0,0,0.00614439324116743,0,0,0.0153609831029186,0.0276497695852535,0,0.00921658986175115,0,0.0076804915514593,0.00153609831029186,0,0,0,0.010752688172043,0.0184331797235023,0,0,0.00614439324116743,0.00153609831029186,0,0.00921658986175115,0,0.17357910906298,0,0,0.136712749615975,0.00460829493087558,0,0.021505376344086,0.00460829493087558,0,0.00153609831029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,6316,0.00194931773879142,0.00974658869395711,0.00194931773879142,0.00194931773879142,0.00194931773879142,0.477582846003899,0.00194931773879142,0.0155945419103314,0.00194931773879142,0,0,0.00194931773879142,0,0.00389863547758285,0.0194931773879142,0.0292397660818713,0,0.0292397660818713,0,0.00974658869395711,0,0,0,0,0.0194931773879142,0.0272904483430799,0,0,0.037037037037037,0,0,0,0.00389863547758285,0.187134502923977,0,0.00974658869395711,0.0838206627680312,0.0116959064327485,0,0.00779727095516569,0,0,0,0,0,0,0.00194931773879142,0,0,0,0.00194931773879142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,6880,0,0.0120689655172414,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.36551724137931,0.00517241379310345,0.0155172413793103,0.00172413793103448,0,0,0.00344827586206897,0,0.00172413793103448,0.0189655172413793,0.046551724137931,0,0.0413793103448276,0,0.0103448275862069,0,0,0,0,0.00862068965517241,0.0137931034482759,0.00172413793103448,0,0.0103448275862069,0,0,0.0206896551724138,0,0.337931034482759,0,0,0.0568965517241379,0.00517241379310345,0,0.0103448275862069,0.00344827586206897,0.00172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172413793103448,0,0,0,0,0,0,0,0,0,0,0
420,7443,0.00418994413407821,0.0167597765363128,0.00139664804469274,0.00139664804469274,0.00139664804469274,0.194134078212291,0.00139664804469274,0.00279329608938547,0.00139664804469274,0.00279329608938547,0,0.00837988826815642,0,0.00558659217877095,0.0251396648044693,0.0167597765363128,0.00139664804469274,0.0418994413407821,0,0.0279329608938547,0,0,0,0,0.0698324022346369,0.0391061452513966,0.00139664804469274,0,0.0111731843575419,0.00279329608938547,0,0,0.0111731843575419,0.455307262569832,0,0,0.026536312849162,0.00558659217877095,0,0.0111731843575419,0.00418994413407821,0,0.00139664804469274,0.00139664804469274,0,0,0,0,0,0,0,0,0.00279329608938547,0,0,0.00139664804469274,0,0,0,0,0,0,0,0,0,0,0,0
445,8007,0.0035650623885918,0.0374331550802139,0.0089126559714795,0.0017825311942959,0.0035650623885918,0.288770053475936,0.0071301247771836,0.0053475935828877,0.0017825311942959,0,0,0.0035650623885918,0,0.0035650623885918,0.0552584670231729,0.0267379679144385,0.0017825311942959,0.0392156862745098,0.0035650623885918,0.0089126559714795,0,0,0,0,0.0267379679144385,0.0231729055258467,0,0,0.0142602495543672,0.0035650623885918,0,0.0374331550802139,0.0035650623885918,0.288770053475936,0,0,0.0338680926916221,0.0196078431372549,0.0017825311942959,0.017825311942959,0.0124777183600713,0,0,0.0017825311942959,0,0,0,0,0,0,0,0,0.0089126559714795,0,0,0.0035650623885918,0,0.0017825311942959,0,0,0,0,0,0,0,0,0,0
470,8570,0.0021505376344086,0.0139784946236559,0.0247311827956989,0.0043010752688172,0.0021505376344086,0.275268817204301,0.00537634408602151,0.0021505376344086,0.00537634408602151,0.0010752688172043,0,0.0161290322580645,0,0.0236559139784946,0.0473118279569892,0.0236559139784946,0.010752688172043,0.0408602150537634,0.0021505376344086,0.00752688172043011,0,0.0010752688172043,0,0,0.089247311827957,0.00860215053763441,0,0.0010752688172043,0.0408602150537634,0.0139784946236559,0,0.043010752688172,0.0118279569892473,0.240860215053763,0,0,0.00967741935483871,0.0139784946236559,0.0010752688172043,0.0032258064516129,0.0010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118279569892473,0,0,0,0,0,0,0,0,0,0,0,0
