"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Tilia","Ulmus","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Pinaceae","Fraxinus.nigra.type","Salix","Myrica.gale","Populus.deltoides.type","Acer.pensylvanicum","Ambrosia.type","Ericaceae","Juglans.cinerea","Populus.tremuloides.type","Amaranthaceae","Poaceae","Castanea.dentata","Asteraceae.subf..Asteroideae.undiff.","Viburnum.undiff.","Juniperus.communis.Thuja.occidentalis.type","Acer.spicatum","Acer.undiff.","Juglans.nigra","Taxus","Juniperus.type","Nemopanthus.mucronatus","Saxifraga.oppositifolia.type","Ilex","Caryophyllaceae","Populus.balsamifera.type","Rosaceae.undiff.","Rumex.type.undiff.","Pinus.resinosa.type","Brassicaceae","Liliaceae","Lonicera.caerulea","Acer.saccharinum","Thalictrum","Onagraceae","Rumex.acetosa.type","Shepherdia.canadensis","Dryas","Plantago","Viburnum.edule"
200,6578,0,0.00237529691211401,0,0,0.546318289786223,0.00237529691211401,0.0142517814726841,0,0.00237529691211401,0.00475059382422803,0,0.00712589073634204,0.0498812351543943,0.0403800475059382,0,0.0118764845605701,0.00712589073634204,0.00950118764845606,0.00237529691211401,0.00950118764845606,0.00475059382422803,0.0593824228028504,0.190023752969121,0.00475059382422803,0.00237529691211401,0.0118764845605701,0,0,0,0,0.00237529691211401,0,0,0.00237529691211401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237529691211401,0.00237529691211401,0.00475059382422803,0.00237529691211401,0,0,0,0,0,0,0,0,0,0,0,0,0
225,7584,0.00449438202247191,0.0112359550561798,0.00674157303370787,0.00224719101123596,0.442696629213483,0.00337078651685393,0.0191011235955056,0.00561797752808989,0.00224719101123596,0.00224719101123596,0,0.00112359550561798,0.0842696629213483,0.0584269662921348,0.00112359550561798,0.0382022471910112,0.00224719101123596,0.0202247191011236,0.00224719101123596,0.00224719101123596,0,0.156179775280899,0.11123595505618,0.00224719101123596,0,0.0146067415730337,0,0,0,0,0.00112359550561798,0.00112359550561798,0,0,0.00112359550561798,0,0,0,0,0,0,0,0,0.00112359550561798,0,0,0,0.00112359550561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8064,0.00338409475465313,0.0050761421319797,0.0101522842639594,0,0.248730964467005,0.00169204737732657,0.00846023688663283,0.0050761421319797,0.00846023688663283,0.0101522842639594,0,0.0050761421319797,0.143824027072758,0.0879864636209814,0,0.0169204737732657,0.00338409475465313,0.0372250423011844,0,0.0050761421319797,0,0.291032148900169,0.0710659898477157,0.00169204737732657,0,0.0169204737732657,0,0.00169204737732657,0,0,0.00169204737732657,0,0.0050761421319797,0,0,0,0,0,0,0.0050761421319797,0,0,0,0.00169204737732657,0,0,0,0,0,0,0,0.00338409475465313,0,0,0,0,0,0,0,0,0,0,0,0
250,8220,0.00324149108589951,0.0145867098865478,0,0,0.246353322528363,0,0.0113452188006483,0.00162074554294976,0.00324149108589951,0.00486223662884927,0,0.00162074554294976,0.129659643435981,0.108589951377634,0,0.0243111831442464,0.00810372771474878,0.0307941653160454,0,0.00162074554294976,0,0.322528363047002,0.0502431118314425,0.00324149108589951,0,0.0145867098865478,0.00162074554294976,0,0,0,0.00324149108589951,0,0,0,0,0.00162074554294976,0,0,0,0,0,0,0,0.00486223662884927,0,0,0,0,0.00162074554294976,0,0.00162074554294976,0,0.00486223662884927,0,0,0,0,0,0,0,0,0,0,0
265,8455,0.0036563071297989,0.00548446069469835,0.00182815356489945,0,0.197440585009141,0.00182815356489945,0.00731261425959781,0.00182815356489945,0.00548446069469835,0.00182815356489945,0,0.0127970749542962,0.137111517367459,0.104204753199269,0,0.0292504570383912,0.0109689213893967,0.0255941499085923,0,0.00182815356489945,0.0036563071297989,0.371115173674589,0.0511882998171846,0.00914076782449726,0,0.0036563071297989,0,0.00182815356489945,0,0,0.00182815356489945,0,0,0,0,0,0,0.00182815356489945,0,0.0036563071297989,0,0,0,0.0036563071297989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,8611,0,0.0176125244618395,0.0156555772994129,0.00195694716242661,0.24853228962818,0.00195694716242661,0.00587084148727984,0,0.00391389432485323,0.00587084148727984,0,0.00587084148727984,0.156555772994129,0.0978473581213307,0,0.0293542074363992,0.00195694716242661,0.0215264187866928,0,0.00587084148727984,0,0.330724070450098,0.00391389432485323,0.0136986301369863,0,0.0136986301369863,0,0.00195694716242661,0,0.00195694716242661,0.00391389432485323,0,0,0.00195694716242661,0.00195694716242661,0.00587084148727984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,8767,0,0.0178282009724473,0.0113452188006483,0,0.314424635332253,0.00162074554294976,0.00648298217179903,0,0.00648298217179903,0.00486223662884927,0.00324149108589951,0.0275526742301459,0.118314424635332,0.072933549432739,0,0.0275526742301459,0.00972447325769854,0.0145867098865478,0.00162074554294976,0,0,0.303079416531605,0.0259319286871961,0.00972447325769854,0,0.00972447325769854,0.00162074554294976,0,0,0,0.00162074554294976,0.00162074554294976,0,0,0,0.00162074554294976,0.00162074554294976,0.00162074554294976,0,0,0,0,0,0.00162074554294976,0,0,0,0,0,0,0,0,0,0.00162074554294976,0,0,0,0,0,0,0,0,0,0
300,9001,0.00188679245283019,0.00377358490566038,0.00943396226415094,0.00188679245283019,0.294339622641509,0.00188679245283019,0.00754716981132075,0.00188679245283019,0,0,0.00188679245283019,0.039622641509434,0.137735849056604,0.0962264150943396,0,0.0113207547169811,0.0169811320754717,0.0169811320754717,0,0.00377358490566038,0,0.311320754716981,0.00943396226415094,0.0150943396226415,0,0.00188679245283019,0,0.00377358490566038,0,0,0,0,0.00188679245283019,0.00188679245283019,0,0,0,0,0,0,0,0,0,0.00566037735849057,0,0,0,0,0,0,0,0,0.00188679245283019,0,0,0,0,0,0,0,0,0,0,0
310,9158,0,0.0108108108108108,0.0072072072072072,0,0.293693693693694,0.0036036036036036,0.0018018018018018,0.0018018018018018,0.00540540540540541,0,0,0.0234234234234234,0.127927927927928,0.0702702702702703,0,0.0108108108108108,0.0252252252252252,0.0162162162162162,0,0.00540540540540541,0,0.36036036036036,0.0126126126126126,0.00540540540540541,0,0.009009009009009,0,0.0036036036036036,0,0,0,0,0,0.0018018018018018,0,0,0.0018018018018018,0,0,0.0018018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,9392,0.00204081632653061,0.00204081632653061,0.0122448979591837,0.00408163265306122,0.312244897959184,0.00204081632653061,0.00204081632653061,0,0.00204081632653061,0.00408163265306122,0,0.0183673469387755,0.173469387755102,0.0510204081632653,0,0.0142857142857143,0.0183673469387755,0.0204081632653061,0,0.00204081632653061,0,0.324489795918367,0.0183673469387755,0.00408163265306122,0,0.00816326530612245,0,0,0,0,0,0,0,0.00204081632653061,0,0,0,0,0,0,0.00204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
