"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Lamiaceae","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea"
40,230,0,0,0.001962709,0.000981354,0,0,0,0.023552502,0,0.007850834,0.001962709,0,0,0,0,0,0.001962709,0.00686948,0.00686948,0.002944063,0.000981354,0.001962709,0.011776251,0,0,0,0,0,0.02747792,0.004906771,0.001962709,0,0.048086359,0.021589794,0.076545633,0.003925417,0,0.232580962,0,0,0,0,0,0.00686948,0.005888126,0,0.096172718,0,0.000981354,0.024533857,0,0,0.002944063,0.041216879,0,0,0,0,0,0.000981354,0.113837095,0,0,0,0,0.218842002,0,0,0.000981354
44,254,0,0,0.003211991,0.001070664,0.009635974,0,0,0.023554604,0,0.016059957,0.011777302,0,0,0,0,0,0.003211991,0,0.006423983,0.002141328,0.003211991,0.003211991,0.001070664,0,0,0,0,0,0.026766595,0.001070664,0,0.002141328,0.099571734,0.009635974,0.102783726,0,0,0.208779443,0,0,0,0,0,0.018201285,0.002141328,0,0.050321199,0,0,0.016059957,0,0,0,0.03640257,0,0,0.001070664,0,0,0,0.169164882,0,0,0,0,0.168094218,0,0,0.003211991
48,277,0,0.002663116,0.001331558,0,0.003994674,0,0,0.034620506,0,0.007989348,0.002663116,0,0,0,0,0,0.002663116,0,0.021304927,0.011984021,0.002663116,0.007989348,0.011984021,0,0,0,0,0,0.049267643,0,0.003994674,0.001331558,0.057256991,0.017310253,0.199733688,0,0,0.223701731,0.001331558,0.001331558,0,0,0,0.009320905,0.003994674,0,0.003994674,0,0,0.023968043,0,0,0.001331558,0.039946738,0,0,0,0,0,0.003994674,0.10252996,0,0,0,0,0.143808256,0,0,0
52,301,0,0,0.002836879,0,0,0,0,0.034042553,0,0.012765957,0.007092199,0,0,0,0,0,0.00141844,0.004255319,0.011347518,0.00141844,0,0,0.002836879,0,0,0,0,0,0.038297872,0,0.002836879,0,0.123404255,0,0.146099291,0,0.00141844,0.304964539,0,0,0,0,0,0.017021277,0.004255319,0,0.043971631,0,0,0.031205674,0,0,0,0.069503546,0,0,0,0,0,0,0.10212766,0,0,0,0,0.036879433,0,0,0
56,345,0,0,0.003267974,0,0,0,0,0.032679739,0,0.004901961,0,0,0,0,0,0,0.008169935,0,0.004901961,0.001633987,0.003267974,0.008169935,0.001633987,0,0,0.001633987,0,0,0.011437908,0.003267974,0.001633987,0.001633987,0.156862745,0.006535948,0.155228758,0,0,0.401960784,0,0,0,0,0,0.009803922,0.001633987,0,0.008169935,0,0.001633987,0.006535948,0,0,0,0.068627451,0,0,0,0,0,0,0.086601307,0.001633987,0,0,0,0.006535948,0,0,0
60,390,0,0.008,0.0128,0.0032,0.0048,0,0.0016,0.048,0,0.0352,0.0048,0,0.0016,0,0,0,0,0,0.0176,0.0016,0.0032,0.0032,0.0016,0.0016,0,0,0,0,0.0576,0.0016,0.0032,0,0.12,0,0.1152,0.0032,0.0016,0.3552,0,0,0,0,0.0016,0.0192,0.0048,0,0.0096,0,0,0.0432,0,0,0.0016,0.0496,0,0,0,0,0,0,0.0336,0.0016,0,0,0,0.0288,0,0,0
64,434,0,0.003378378,0.015202703,0,0.010135135,0,0,0.060810811,0,0.008445946,0.003378378,0,0.001689189,0,0,0,0,0,0.028716216,0,0,0.001689189,0.001689189,0.001689189,0,0,0,0,0.069256757,0.005067568,0.003378378,0,0.160472973,0.011824324,0.109797297,0,0.001689189,0.331081081,0,0,0,0,0,0.018581081,0.005067568,0,0,0,0.003378378,0.016891892,0,0,0,0.0625,0,0,0,0,0,0,0.052364865,0,0,0,0.006756757,0.005067568,0,0,0
68,479,0,0,0.009950249,0.011608624,0.008291874,0,0,0.034825871,0,0.048092869,0.001658375,0,0,0,0,0,0.004975124,0.001658375,0.029850746,0,0,0,0.00331675,0,0,0,0,0,0.034825871,0,0,0,0.129353234,0.004975124,0.184079602,0.001658375,0,0.328358209,0,0,0,0,0,0.009950249,0.014925373,0,0.004975124,0,0,0.024875622,0,0,0,0.049751244,0,0,0,0,0,0,0.054726368,0,0,0,0,0.00331675,0,0,0
72,524,0,0,0.004545455,0.003030303,0.021212121,0,0,0.033333333,0,0.010606061,0.001515152,0,0.003030303,0,0,0,0.004545455,0,0.024242424,0.004545455,0,0.003030303,0,0,0,0,0.001515152,0,0.037878788,0.006060606,0.003030303,0.001515152,0.089393939,0.007575758,0.124242424,0.001515152,0,0.381818182,0,0,0,0,0,0.013636364,0,0,0.012121212,0,0,0.021212121,0,0,0,0.1,0,0,0,0,0,0,0.08030303,0,0,0,0.001515152,0.003030303,0,0,0
76,567,0,0,0.013245033,0,0,0,0,0.028145695,0,0.014900662,0,0,0.001655629,0,0,0,0.004966887,0,0.033112583,0.003311258,0,0.004966887,0,0,0,0,0,0,0.031456954,0,0.001655629,0.006622517,0.137417219,0.029801325,0.119205298,0,0,0.395695364,0,0,0,0,0.001655629,0.013245033,0.003311258,0,0,0,0,0.011589404,0,0,0,0.071192053,0,0,0,0,0,0,0.072847682,0,0,0,0,0,0,0,0
80,606,0,0,0.006944444,0,0.005208333,0,0,0.048611111,0,0.015625,0.003472222,0,0,0,0,0,0.001736111,0,0.029513889,0,0.001736111,0,0,0,0,0,0,0,0.032986111,0,0,0.003472222,0.163194444,0.008680556,0.171875,0,0,0.338541667,0,0.001736111,0,0,0,0.045138889,0.010416667,0,0,0,0,0.012152778,0.001736111,0,0,0.053819444,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0.001736111,0,0
84,644,0,0,0.006677796,0.001669449,0,0,0,0.05509182,0,0.015025042,0,0,0,0,0,0,0.001669449,0,0.035058431,0.008347245,0,0.005008347,0.005008347,0,0,0,0,0,0.026711185,0,0.010016694,0,0.115191987,0.005008347,0.175292154,0,0,0.34557596,0,0.001669449,0,0,0,0.028380634,0.003338898,0,0.006677796,0,0.001669449,0.01836394,0,0,0,0.061769616,0,0,0,0,0,0,0.066777963,0,0,0,0,0,0,0,0
86,664,0,0,0.003590664,0,0.003590664,0,0,0.044883303,0,0.021543986,0.001795332,0,0,0,0,0,0,0.003590664,0.019748654,0.003590664,0,0.005385996,0,0,0,0,0,0,0.026929982,0,0.001795332,0.007181329,0.206463196,0.008976661,0.150807899,0,0,0.378815081,0,0,0,0,0,0.021543986,0.005385996,0,0,0,0,0.008976661,0,0,0,0,0,0,0,0.001795332,0,0,0.070017953,0.003590664,0,0,0,0,0,0,0
88,683,0,0,0.008445946,0,0.005067568,0,0,0.050675676,0,0.02027027,0,0,0,0,0,0,0.005067568,0,0.025337838,0.005067568,0,0.005067568,0,0,0,0,0,0,0.030405405,0,0.001689189,0,0.22972973,0.008445946,0.135135135,0,0,0.331081081,0,0,0,0,0,0.018581081,0.003378378,0,0,0,0.001689189,0.013513514,0,0,0,0.043918919,0,0,0,0,0,0,0.055743243,0.001689189,0,0,0,0,0,0,0
92,722,0,0,0.003327787,0,0.003327787,0,0,0.058236273,0,0.009983361,0.003327787,0,0.001663894,0,0,0,0.006655574,0,0.036605657,0.004991681,0.001663894,0,0,0,0,0,0,0,0.026622296,0,0,0.001663894,0.207986689,0.008319468,0.159733777,0,0,0.302828619,0,0,0,0,0,0.013311148,0.004991681,0.001663894,0,0,0,0.014975042,0,0,0,0.076539101,0,0,0,0,0.001663894,0,0.049916805,0,0,0,0,0,0,0,0
96,760,0,0,0,0,0,0,0,0.055829228,0,0.018062397,0,0,0,0,0,0,0.009852217,0.004926108,0.039408867,0.004926108,0,0,0.006568144,0,0,0,0,0,0.027914614,0.001642036,0.001642036,0,0.198686371,0.004926108,0.146141215,0,0,0.293924466,0,0,0,0,0,0.016420361,0.008210181,0,0,0,0,0.014778325,0,0,0,0.068965517,0,0,0,0,0,0,0.077175698,0,0,0,0,0,0,0,0
100,799,0,0.001572327,0.003144654,0.001572327,0.001572327,0,0,0.034591195,0,0.009433962,0.003144654,0,0,0,0,0,0,0.003144654,0.022012579,0.003144654,0,0,0.001572327,0,0,0,0,0,0.029874214,0.001572327,0.003144654,0,0.166666667,0.011006289,0.191823899,0.003144654,0,0.322327044,0,0,0,0,0,0.017295597,0.007861635,0,0,0,0,0.017295597,0,0,0,0.081761006,0,0,0,0,0,0,0.058176101,0,0,0,0,0.003144654,0,0,0
104,837,0,0.001821494,0.003642987,0.003642987,0.001821494,0,0,0.034608379,0,0.009107468,0.003642987,0,0,0,0,0.001821494,0.003642987,0,0.034608379,0,0.001821494,0.001821494,0.001821494,0,0,0,0,0,0.02003643,0.001821494,0,0,0.174863388,0.001821494,0.238615665,0.001821494,0,0.353369763,0,0,0,0,0,0.02003643,0.001821494,0,0.001821494,0,0.001821494,0.007285974,0,0,0,0.027322404,0,0,0,0,0,0,0.043715847,0,0,0,0,0,0,0,0
108,876,0,0.003350084,0.003350084,0.001675042,0.001675042,0,0,0.056951424,0,0.013400335,0.001675042,0,0.001675042,0,0,0,0,0,0.040201005,0.006700168,0.001675042,0.005025126,0.001675042,0,0,0,0,0,0.020100503,0,0.001675042,0,0.165829146,0.001675042,0.185929648,0.001675042,0,0.311557789,0,0,0,0,0.001675042,0.035175879,0.006700168,0,0,0,0.001675042,0.020100503,0,0,0.001675042,0.072026801,0,0,0,0,0,0,0.033500838,0,0,0,0,0,0,0,0
112,915,0,0,0.002994012,0.004491018,0.001497006,0,0,0.065868263,0,0.01497006,0.001497006,0,0.001497006,0,0,0.001497006,0.004491018,0.002994012,0.025449102,0.005988024,0,0,0,0,0,0,0,0,0.016467066,0,0.002994012,0.001497006,0.121257485,0.001497006,0.173652695,0.002994012,0,0.318862275,0,0,0,0,0,0.032934132,0.005988024,0,0,0,0.004491018,0.010479042,0,0,0.001497006,0.085329341,0,0,0,0,0,0,0.082335329,0.001497006,0,0,0,0.002994012,0,0,0
116,953,0,0,0.006745363,0,0.003372681,0,0,0.045531197,0,0.02529511,0.005059022,0,0,0,0,0,0.001686341,0,0.02698145,0.003372681,0.003372681,0.001686341,0,0,0.001686341,0,0.001686341,0,0.023608769,0,0,0,0.180438449,0.006745363,0.200674536,0.003372681,0,0.264755481,0,0,0,0,0,0.040472175,0.001686341,0,0.001686341,0,0,0.008431703,0,0,0,0.065767285,0,0,0,0,0.001686341,0,0.072512648,0,0,0,0,0,0.001686341,0,0
120,992,0,0.001683502,0,0,0.003367003,0,0,0.035353535,0,0.01010101,0,0,0.003367003,0,0,0,0.005050505,0.001683502,0.033670034,0.001683502,0,0.001683502,0,0,0,0,0,0,0.013468013,0,0.008417508,0,0.127946128,0.001683502,0.168350168,0.001683502,0,0.434343434,0,0,0,0,0,0.01010101,0.003367003,0,0.001683502,0,0,0.006734007,0,0,0,0.070707071,0,0,0,0,0,0,0.052188552,0.001683502,0,0,0,0,0,0,0
124,1084,0,0,0.003430532,0.005145798,0.001715266,0,0,0.025728988,0,0.027444254,0.012006861,0,0,0,0,0,0.003430532,0.005145798,0.024013722,0.013722127,0,0.006861063,0,0,0,0,0,0,0.063464837,0,0,0,0.075471698,0.006861063,0.164665523,0,0,0.418524871,0,0,0,0,0,0.012006861,0.001715266,0.001715266,0.003430532,0,0.005145798,0.003430532,0,0,0,0.058319039,0,0,0,0,0,0,0.054888508,0,0,0,0,0.001715266,0,0,0
128,1195,0,0,0,0.003327787,0,0,0,0.044925125,0,0.024958403,0.011647255,0,0,0,0,0,0.001663894,0,0.021630616,0.006655574,0,0.003327787,0,0,0,0.003327787,0,0,0.051580699,0,0,0,0.069883527,0,0.151414309,0.004991681,0,0.4359401,0,0,0,0,0,0.024958403,0,0,0.001663894,0,0,0.019966722,0,0,0,0.068219634,0,0,0,0,0,0,0.048252912,0,0,0,0,0.001663894,0,0,0
132,1305,0,0,0.001538462,0.001538462,0,0,0,0.029230769,0,0.004615385,0.006153846,0,0.001538462,0,0,0,0.003076923,0.001538462,0.021538462,0.007692308,0,0.001538462,0,0,0,0,0,0,0.035384615,0,0,0.001538462,0.096923077,0.003076923,0.155384615,0,0,0.38,0,0,0,0,0,0.035384615,0,0,0,0,0.003076923,0.016923077,0,0,0,0.12,0,0,0,0,0,0,0.070769231,0.001538462,0,0,0,0,0,0,0
136,1416,0,0,0,0.003159558,0.003159558,0,0,0.061611374,0,0.007898894,0,0,0,0,0,0.001579779,0.006319115,0.001579779,0.030015798,0.009478673,0.001579779,0,0,0.001579779,0,0,0,0,0.048973144,0.001579779,0.001579779,0.001579779,0.061611374,0.011058452,0.134281201,0,0,0.421800948,0,0,0,0,0,0.014218009,0,0,0.001579779,0,0.001579779,0.034755134,0,0,0.001579779,0.077409163,0,0,0,0,0,0,0.058451817,0,0,0,0,0,0,0,0
140,1526,0,0.001545595,0,0.00309119,0.00618238,0,0,0.071097372,0,0.004636785,0.00309119,0,0,0,0,0,0,0.001545595,0.027820711,0,0,0.001545595,0,0,0,0,0,0,0.032457496,0,0,0,0.123647604,0.00618238,0.15301391,0.001545595,0,0.341576507,0,0,0,0,0,0.017001546,0.004636785,0,0,0,0,0.020092736,0,0,0,0.091190108,0,0,0,0,0,0,0.088098918,0,0,0,0,0,0,0,0
144,1637,0,0,0.001560062,0.003120125,0.003120125,0,0.001560062,0.04524181,0,0.004680187,0.004680187,0,0,0,0,0.001560062,0.003120125,0,0.03276131,0.00624025,0,0.004680187,0.001560062,0.001560062,0,0,0,0,0.037441498,0,0.001560062,0,0.104524181,0.00624025,0.179407176,0.001560062,0,0.340093604,0,0,0,0,0,0.017160686,0,0,0,0,0,0.004680187,0,0,0,0.135725429,0,0,0,0,0,0,0.056162246,0,0,0,0,0,0,0,0
148,1747,0,0.004901961,0,0.001633987,0.006535948,0,0,0.066993464,0,0.014705882,0.006535948,0,0,0,0,0,0.001633987,0,0.035947712,0.003267974,0,0.003267974,0.001633987,0.001633987,0,0.001633987,0,0,0.034313725,0,0,0,0.10130719,0,0.116013072,0,0,0.426470588,0,0,0,0,0.001633987,0.004901961,0.001633987,0,0,0,0,0.009803922,0,0,0,0.066993464,0,0,0,0,0,0,0.086601307,0,0,0,0,0,0,0,0
152,1857,0,0,0.001587302,0,0.007936508,0,0,0.055555556,0,0.023809524,0.003174603,0,0,0,0,0.001587302,0,0,0.03015873,0.001587302,0,0.001587302,0,0,0,0.001587302,0,0,0.028571429,0,0.003174603,0.001587302,0.1,0.004761905,0.133333333,0.003174603,0,0.407936508,0,0,0,0,0,0.019047619,0,0,0.001587302,0,0,0.017460317,0,0,0,0.073015873,0,0,0,0,0,0,0.077777778,0,0,0,0,0,0,0,0
156,1968,0,0,0.01141925,0.003262643,0,0,0,0.03588907,0,0.01141925,0.001631321,0,0,0,0,0,0.001631321,0,0.034257749,0.001631321,0,0.001631321,0,0,0,0,0,0,0.026101142,0,0,0,0.094616639,0.004893964,0.161500816,0,0,0.425774878,0,0,0,0,0,0.030995106,0.003262643,0,0.003262643,0,0,0.021207178,0,0,0,0.068515498,0,0,0,0,0.001631321,0,0.055464927,0,0,0,0,0,0,0,0
160,2078,0,0,0.004545455,0,0.007575758,0,0,0.028787879,0,0.013636364,0,0,0,0,0,0,0,0,0.027272727,0.004545455,0,0,0,0,0,0,0,0,0.046969697,0,0,0,0.056060606,0.003030303,0.110606061,0.003030303,0,0.440909091,0,0,0,0,0.001515152,0.048484848,0.003030303,0,0,0,0,0.028787879,0,0,0,0.109090909,0,0,0,0,0,0,0.062121212,0,0,0,0,0,0,0,0
164,2189,0,0,0.004524887,0,0,0,0,0.087481146,0,0.003016591,0.003016591,0,0,0,0,0,0,0,0.015082956,0.013574661,0,0,0,0,0,0,0,0,0.031674208,0,0,0,0.079939668,0,0.117647059,0.001508296,0,0.419306184,0,0,0,0,0,0.010558069,0.003016591,0,0.001508296,0,0,0.009049774,0,0,0,0.104072398,0,0,0,0,0.001508296,0,0.093514329,0,0,0,0,0,0,0,0
168,2299,0,0.00143472,0.010043042,0.00143472,0.005738881,0,0,0.028694405,0,0.012912482,0,0,0,0,0,0,0,0,0.041606887,0.00286944,0.010043042,0,0,0,0,0,0,0,0.050215208,0.00143472,0.00143472,0,0.080344333,0,0.055954089,0.00286944,0.00143472,0.420373027,0,0.00286944,0,0,0,0.014347202,0.00286944,0,0,0,0,0.043041607,0,0,0,0.113342898,0,0,0,0,0.00143472,0,0.093256815,0,0,0,0,0,0,0,0
172,2390,0,0.003220612,0.001610306,0,0.009661836,0,0,0.045088567,0,0.024154589,0.003220612,0,0,0,0,0,0,0,0.040257649,0.006441224,0,0,0.006441224,0.004830918,0,0,0,0,0.043478261,0.001610306,0.001610306,0.001610306,0.062801932,0.001610306,0.132045089,0.003220612,0,0.400966184,0,0,0,0,0,0.012882448,0.00805153,0,0,0,0,0.024154589,0,0,0,0.074074074,0,0,0,0,0,0,0.085346216,0.001610306,0,0,0,0,0,0,0
176,2424,0,0.002962963,0,0,0.005925926,0,0,0.037037037,0,0.005925926,0.001481481,0,0.002962963,0,0,0.001481481,0,0,0.019259259,0.007407407,0,0,0.001481481,0.001481481,0,0,0,0,0.019259259,0.001481481,0,0,0.057777778,0.017777778,0.112592593,0.002962963,0,0.437037037,0,0,0,0,0.001481481,0.016296296,0.002962963,0,0,0,0,0.008888889,0,0,0.001481481,0.140740741,0,0,0,0,0,0,0.09037037,0,0,0,0,0.001481481,0,0,0
180,2457,0,0,0.002828854,0.001414427,0.005657709,0,0,0.052333805,0,0.007072136,0,0,0,0,0,0,0.004243281,0.001414427,0.025459689,0.002828854,0,0.001414427,0.008486563,0,0,0.001414427,0.001414427,0,0.041018388,0.001414427,0,0,0.076379066,0.008486563,0.121640736,0.002828854,0,0.376237624,0,0,0,0,0,0,0.004243281,0,0,0,0,0.026874116,0,0,0,0.125884017,0,0,0,0,0,0,0.096181047,0.002828854,0,0,0,0,0,0,0
184,2490,0,0,0.002857143,0,0.01,0,0,0.037142857,0.004285714,0.008571429,0.005714286,0,0.001428571,0,0,0,0.001428571,0,0.018571429,0.005714286,0,0.002857143,0.002857143,0,0,0,0.001428571,0,0.031428571,0,0,0,0.054285714,0.015714286,0.09,0.001428571,0,0.418571429,0,0,0,0,0,0.018571429,0.008571429,0,0,0,0.004285714,0.03,0,0,0,0.118571429,0,0,0,0,0,0,0.105714286,0,0,0,0,0,0,0,0
188,2523,0.001474926,0,0.002949853,0.001474926,0,0,0.001474926,0.028023599,0.002949853,0.005899705,0.005899705,0,0.005899705,0,0,0,0,0,0.020648968,0.010324484,0.002949853,0.002949853,0.010324484,0,0.001474926,0,0,0,0.039823009,0,0,0,0.057522124,0,0.15339233,0.007374631,0,0.418879056,0,0,0,0,0,0.010324484,0,0,0.002949853,0,0,0.016224189,0,0,0,0.120943953,0,0,0,0,0,0,0.066371681,0.001474926,0,0,0,0,0,0,0
192,2557,0,0.001412429,0.002824859,0,0,0,0,0.025423729,0.004237288,0.002824859,0.004237288,0,0.004237288,0,0,0,0,0.002824859,0.033898305,0.009887006,0,0,0.002824859,0,0,0,0,0,0.046610169,0.001412429,0.007062147,0,0.074858757,0,0.097457627,0.005649718,0,0.392655367,0,0,0,0,0.001412429,0.024011299,0.002824859,0,0,0,0,0.008474576,0,0,0,0.151129944,0,0,0,0,0,0,0.088983051,0.002824859,0,0,0,0,0,0,0
196,2590,0,0,0,0,0.006079027,0,0,0.05775076,0.003039514,0.009118541,0,0,0.003039514,0,0,0,0,0.001519757,0.047112462,0.004559271,0.006079027,0.004559271,0.003039514,0,0,0,0.001519757,0,0.044072948,0.001519757,0.009118541,0,0.034954407,0.006079027,0.060790274,0.001519757,0,0.425531915,0,0,0,0,0,0.027355623,0.001519757,0,0.001519757,0,0,0.02887538,0,0,0,0.130699088,0,0,0,0,0,0,0.077507599,0.001519757,0,0,0,0,0,0,0
200,NA,0,0.006134969,0.001533742,0,0,0,0,0.041411043,0,0.004601227,0.001533742,0,0,0,0,0,0,0.001533742,0.053680982,0,0.003067485,0.007668712,0.003067485,0,0,0,0,0,0.32208589,0,0,0,0.035276074,0,0.06595092,0,0,0.226993865,0,0,0,0,0,0.012269939,0.004601227,0,0.001533742,0,0.001533742,0.018404908,0,0,0,0.130368098,0,0,0,0,0,0,0.055214724,0.001533742,0,0,0,0,0,0,0
