"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae.type","Caprifoliaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Ericaceae","Eriogonum","Fabaceae","Fagus","Fraxinus","Humulus","Indeterminable","Juglans","Lamiaceae","Liliaceae","Liquidambar","Lycopodium","Myrica","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Oxalidaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus","Prunus.type","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae.undiff.","Rumex","Salix","Saxifraga","Solanaceae","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Urtica","Viburnum","Vitis","Zea"
25.5,98,0,0,22,0,36,0,18,0,0,0,2,86,0,0,4,42,0,0,0,2,0,0,0,0,2,0,2,32,12,2,36,0,0,0,0,0,0,0,2,2,10,0,2,28,16,114,0,0,4,6,0,0,0,6,186,0,0,0,0,12,0,0,0,0,0,2,0,122,10,0,0,2,0,0,0,0
28.5,125,0,4,6,0,20,2,26,0,0,0,0,74,0,0,4,32,2,0,0,2,0,0,0,0,0,0,0,52,6,0,74,0,0,0,0,0,2,0,2,0,8,0,10,44,34,98,0,0,6,10,0,0,0,0,186,0,0,4,0,8,0,0,0,0,0,0,0,86,2,0,0,28,0,0,0,0
31.5,130,0,4,12,0,14,0,14,0,0,0,0,84,0,0,8,20,0,2,0,0,6,0,0,0,2,0,4,48,4,0,36,0,0,0,0,0,2,0,2,0,2,0,6,26,38,168,0,0,2,10,0,0,0,4,168,0,0,0,2,2,0,0,0,0,0,0,2,108,0,0,2,4,0,0,0,0
34.5,135,0,8,20,2,14,0,26,0,0,0,2,104,0,0,10,34,0,0,0,2,2,0,0,0,2,0,0,52,8,0,44,0,0,0,2,0,0,0,6,0,14,0,12,68,38,142,0,0,2,6,2,0,0,0,198,0,0,0,0,14,0,0,0,0,0,0,0,106,16,4,2,12,0,0,0,0
37,140,0,4,8,0,24,0,6,0,0,0,0,104,0,0,12,22,4,2,0,2,2,2,0,0,0,0,0,40,12,0,54,2,0,0,0,0,0,0,0,4,20,0,4,64,64,120,2,0,0,4,0,0,0,0,176,0,0,0,0,8,4,2,0,0,0,0,0,116,6,2,0,8,0,0,0,2
43,150,0,2,14,0,18,0,14,0,0,0,0,58,2,0,20,32,2,2,0,2,4,0,0,16,2,2,0,48,12,0,76,2,0,0,0,0,0,4,2,0,10,0,10,50,48,126,0,0,4,0,0,2,0,0,140,0,0,0,0,2,0,0,0,2,4,0,0,128,10,4,2,4,0,0,0,0
47,171,0,4,10,0,8,0,6,0,0,0,0,82,0,0,16,20,0,0,0,0,0,2,0,0,0,0,0,54,10,0,114,2,0,0,6,2,0,0,2,2,12,0,6,52,16,156,0,0,4,4,0,0,0,0,170,0,0,0,0,0,0,2,0,0,0,0,2,90,6,4,0,6,0,0,0,0
53,202,0,2,4,0,12,0,0,0,0,0,0,54,0,0,4,10,0,0,0,0,4,0,0,28,4,0,0,36,0,0,102,6,0,0,2,0,0,0,0,0,12,0,4,60,44,142,0,0,6,0,0,0,0,0,174,2,0,0,0,0,0,0,0,2,2,0,0,114,2,4,0,2,0,0,0,0
57,223,0,0,12,0,18,0,0,0,0,2,4,82,2,0,14,18,0,0,0,2,4,2,0,42,2,0,0,30,12,0,20,0,0,0,0,0,0,0,2,0,6,0,8,74,36,98,0,0,4,2,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,2,2,82,4,0,0,0,0,0,0,0
61,386,0,0,12,4,20,0,4,0,0,0,0,88,2,0,16,26,0,0,0,0,2,2,0,0,2,0,0,62,22,0,62,2,0,0,0,0,0,0,0,0,6,0,8,30,42,152,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,62,0,0,122,8,4,0,6,0,0,0,0
