"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betula.undiff.","Brassicaceae","Campanula.type","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Epilobium","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonum.viviparum","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Ribes","Rosaceae.undiff.","Rubus.chamaemorus","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Viburnum.alnifolium","Viburnum.edule"
130,3085,53,4,0,1,9,0,0,0,0,0,0,1,0,0,351,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,11,0,2,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,34,25,9,0,71,52,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,14,4,0,0,0,0
145,3441,40,0,1,0,4,0,1,0,0,0,1,0,0,0,233,0,0,0,0,0,0,0,0,10,10,0,1,0,1,0,6,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,8,5,2,0,0,44,17,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,6,0,0,0,0
155,3678,23,1,2,0,6,0,0,0,0,0,0,1,0,0,194,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,7,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,0,7,6,0,30,34,0,0,0,0,0,4,0,2,1,0,0,5,0,0,0,1,0,0,0,2,0,0,1,3,0,0,1,24,3,0,0,0,0
170,4034,36,0,3,0,15,0,0,1,0,0,4,0,0,0,419,0,0,0,0,0,0,0,0,41,119,0,0,0,0,0,8,0,1,0,1,3,0,1,0,0,0,0,1,0,0,0,2,5,0,0,0,0,3,18,5,2,0,0,114,16,0,5,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,0,1,1,23,0,0,0,0
180,4271,30,0,0,4,3,0,2,0,0,0,1,0,0,0,415,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,33,27,0,0,29,40,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,23,1,0,0,0,0
190,4508,32,0,9,0,10,0,0,0,0,0,2,0,0,0,414,0,0,0,1,0,1,0,0,8,53,0,0,0,0,0,15,0,3,0,2,2,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,14,9,2,1,0,58,12,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,1,2,0,0,1,0,3,0,0,0,0
205,4864,27,1,2,0,6,0,2,2,0,0,1,0,0,0,289,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,2,0,3,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,51,0,5,0,0,55,33,0,5,0,0,0,5,0,4,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,11,0,0,1,29,2,1,0,0,0
220,5220,68,0,4,0,9,0,3,2,0,0,2,0,0,0,229,0,0,0,1,0,1,0,0,11,27,0,0,0,0,0,1,0,2,0,0,5,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,35,5,4,2,0,213,12,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,23,0,2,3,0,10,2,0,0,0
230,5439,40,1,0,0,3,0,0,1,0,0,1,0,0,0,141,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,25,25,0,0,45,63,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,0,0,1,20,4,0,0,0,0
240,5602,54,0,8,0,37,0,1,1,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,27,25,0,0,0,1,0,5,0,12,0,1,9,10,0,0,0,0,0,2,0,3,0,0,14,2,0,1,0,10,23,13,5,0,0,141,11,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,51,0,0,5,2,23,0,0,0,0
255,5847,21,0,1,0,6,0,1,1,0,0,1,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,25,10,2,0,89,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,18,0,0,6,7,5,0,0,0,0
270,6091,27,1,2,0,20,0,1,3,0,0,10,4,0,0,368,0,0,0,0,0,0,0,0,28,14,0,0,0,1,0,4,0,4,0,1,8,379,0,0,1,3,0,0,0,8,2,1,1,0,0,0,0,8,21,16,6,11,0,188,24,0,8,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,21,0,1,3,0,23,1,0,0,0
280,6254,34,2,0,0,14,0,1,4,0,0,1,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,27,67,0,0,124,62,0,7,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,7,2,0,3,37,11,2,0,0,0
290,6417,29,0,7,1,28,0,2,2,0,0,4,2,0,0,465,1,0,0,0,0,0,0,0,28,14,0,0,0,1,0,4,0,6,1,2,14,176,0,0,1,0,0,0,0,5,6,0,3,0,0,1,0,8,24,18,28,26,0,175,23,0,7,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,6,0,5,15,0,106,3,0,0,0
305,6662,31,1,1,0,13,0,1,1,0,0,2,1,0,0,222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,20,17,10,4,0,66,56,0,2,0,0,0,1,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,5,21,4,0,0,0,0
315,6825,49,0,0,0,68,4,0,1,0,0,2,4,0,0,251,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,5,0,0,4,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,35,14,4,3,0,114,21,0,4,0,0,0,4,0,24,1,0,0,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,1,0,17,1,0,0,0
325,6988,11,0,0,1,95,2,0,1,0,0,2,0,0,0,163,0,0,0,1,0,1,0,0,16,4,0,0,0,0,0,0,0,1,0,0,8,3,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,12,37,38,10,20,3,46,22,0,2,0,0,0,5,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,4,0,4,2,0,0,0
330,7070,2,2,0,0,65,0,2,1,0,0,2,2,0,0,165,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,109,39,24,26,0,42,27,0,2,0,0,0,3,0,15,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,2,0,0,2,61,6,1,0,0,0
335,7151,10,0,0,0,41,2,1,1,0,0,3,0,0,0,107,0,0,0,0,0,1,0,0,8,13,2,0,0,0,0,0,0,2,1,0,6,2,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,4,70,24,4,8,0,52,13,0,3,0,0,0,6,0,16,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,3,0,8,0,0,0,0
345,7314,4,0,1,1,13,3,0,2,0,0,5,12,0,0,355,0,0,0,1,3,0,0,0,32,44,0,0,2,1,0,0,0,0,0,18,17,5,1,0,4,0,0,0,0,0,5,0,1,0,0,0,0,14,28,14,6,15,0,82,18,0,30,0,0,0,10,0,35,0,0,0,1,0,0,32,0,0,4,2,2,0,0,0,2,1,0,6,0,13,5,0,0,0
355,7477,7,1,0,0,10,0,2,1,0,0,9,2,0,0,261,0,0,2,2,0,0,0,0,5,19,0,0,3,1,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,14,4,0,0,0,0,0,0,0,0,25,4,9,0,0,0,0,25,0,0,0,2,0,5,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2,0,0,33,112,9,0,0,0,0
360,7559,6,0,0,1,1,1,1,0,0,0,11,3,0,0,150,0,0,0,0,2,0,0,0,15,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,3,2,3,2,9,0,20,7,0,23,0,0,2,7,0,7,0,0,0,1,0,0,43,0,0,1,1,0,0,0,0,2,0,0,1,16,15,0,0,0,0
370,7722,8,0,0,0,4,6,1,0,0,0,16,2,0,0,162,0,0,0,0,3,0,0,0,26,45,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,1,6,1,0,1,0,0,0,0,4,10,3,6,24,0,17,13,0,41,0,0,0,3,1,11,0,0,0,2,0,0,26,0,0,4,0,1,0,0,0,3,1,0,1,15,16,3,0,0,0
380,7885,7,0,0,0,13,9,1,0,0,1,55,0,1,0,57,2,0,0,0,14,0,0,20,10,178,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,9,10,5,7,22,0,22,17,0,261,1,0,1,2,6,2,1,0,0,9,0,0,25,0,0,10,0,1,0,6,0,2,0,0,0,22,2,0,0,0,0
385,7967,11,0,0,0,25,20,0,3,0,1,28,1,1,0,54,8,0,0,1,40,0,0,19,21,275,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,5,5,16,10,7,21,0,20,20,0,394,0,0,0,3,1,15,2,0,0,10,0,0,26,0,0,10,0,1,0,1,0,1,0,0,0,49,5,0,0,0,0
390,NA,5,0,0,0,9,8,1,3,4,1,29,10,4,0,24,6,0,0,0,24,1,0,15,5,185,0,0,1,0,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,1,1,0,1,1,0,0,5,8,9,3,5,25,0,12,16,0,303,0,0,0,5,2,5,3,0,0,9,0,0,38,0,0,1,0,5,0,1,0,1,0,0,1,35,52,1,0,0,0
395,NA,5,0,0,0,22,21,1,5,0,1,24,0,1,0,43,3,0,0,0,41,0,0,16,19,254,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,2,1,0,1,1,0,1,6,11,22,26,13,30,0,14,34,0,527,0,1,0,6,8,8,1,0,0,22,0,0,101,0,0,0,0,1,0,1,0,2,0,0,6,62,22,3,0,0,1
400,NA,6,0,2,0,2,5,1,2,0,0,7,0,0,0,24,1,0,0,0,11,0,0,2,2,98,0,0,0,0,0,1,0,0,0,0,16,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,4,4,4,6,7,0,5,11,0,125,0,0,0,3,2,2,2,0,0,5,1,0,27,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0
405,NA,10,0,1,0,5,14,0,3,0,1,15,0,0,0,79,0,0,0,2,17,0,0,1,16,80,1,0,1,1,0,3,0,2,1,1,25,29,0,0,1,0,0,0,0,4,1,0,2,0,0,1,1,8,11,11,12,19,0,5,25,0,199,0,0,0,14,0,9,7,0,0,4,0,0,44,0,0,0,1,2,0,0,0,2,0,0,4,2,0,1,0,0,0
410,NA,7,0,2,0,2,10,1,6,0,1,16,0,1,0,38,0,0,0,1,10,0,0,1,7,18,0,0,0,0,0,1,0,1,1,1,23,23,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,3,12,11,13,0,3,15,0,84,2,0,0,6,1,5,0,0,0,3,0,0,32,0,0,0,0,1,0,0,1,2,0,0,3,0,7,0,0,1,0
415,NA,14,0,4,0,8,10,1,1,0,0,2,0,0,0,172,0,0,0,1,1,0,0,0,1,16,0,0,0,0,0,0,3,3,0,1,28,73,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,6,4,9,16,16,0,5,19,0,14,0,0,0,0,0,17,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,5,1,20,2,0,0,2
420,NA,8,1,1,0,11,4,0,0,0,0,3,0,0,0,97,0,1,0,1,1,0,0,0,6,11,0,0,1,0,0,1,0,4,0,1,24,35,0,1,0,0,0,1,0,4,1,0,0,0,0,4,0,4,9,5,12,31,0,16,0,0,21,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,1,16,1,0,0,0
425,NA,7,0,1,0,7,2,0,0,0,0,7,0,0,0,60,0,0,0,0,1,0,0,0,9,23,1,0,1,1,0,0,0,3,0,0,24,33,0,0,1,0,0,0,1,1,0,0,2,0,0,5,0,6,0,8,8,11,0,0,21,0,55,0,0,0,0,0,7,0,0,0,1,0,0,9,0,0,0,0,2,0,2,0,4,0,0,0,0,6,1,0,0,0
430,NA,3,0,2,0,6,2,2,1,0,0,3,0,0,0,48,0,0,0,0,1,0,0,0,8,15,0,0,0,0,0,1,0,1,0,0,16,53,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,6,1,3,16,20,0,11,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,2,0,0,2,1,9,3,0,0,0
435,NA,9,0,0,0,3,1,1,2,0,0,2,0,0,0,75,0,0,0,1,1,0,0,0,6,9,0,0,0,0,0,0,0,1,0,1,21,50,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,8,18,5,0,5,6,0,13,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,0
440,NA,12,1,4,0,1,4,0,4,0,0,3,0,1,0,81,0,0,0,0,1,0,0,1,5,16,0,0,0,0,0,1,0,1,0,0,23,59,1,0,0,0,0,0,0,5,0,0,2,1,0,0,0,2,0,4,12,6,0,3,20,0,25,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,3,0,0,6,0,2,0,0,0,0
445,NA,4,0,0,0,4,1,0,0,0,0,2,0,0,0,30,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
450,NA,11,0,0,0,7,0,0,0,0,0,2,0,0,0,41,0,0,0,0,1,0,0,0,4,8,0,0,0,0,0,3,0,0,0,0,17,32,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,2,2,2,16,4,0,2,4,0,27,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0
