"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Cornus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Elaeagnus.commutata","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Ludwigia","Lycopodium.annotinum.type","Lycopodium.clavatum","Lycopodium.obscurum.type","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae.undiff.","Plantago","Poaceae","Polygonaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Salix","Sambucus","Saxifraga.stellaris.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.alnifolium","Viburnum.edule","Viburnum.nudum"
250,4404,11,0,2,6,0,16,1,25,15,0,0,0,0,0,0,0,418,0,0,0,1,0,2,0,1,2,0,0,1,0,0,0,1,0,27,0,5,1,4,0,5,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,2,2,11,5,0,3,228,60,0,0,2,0,0,6,0,0,0,0,0,38,0,0,0,0,0,0,0,2,2,0,0,21,0,1,6,1,9,1,0,0,0,0
275,4697,3,0,1,3,2,4,0,17,3,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,7,4,0,1,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,1,6,1,170,32,0,0,1,0,0,1,0,1,0,0,0,23,0,0,1,0,0,0,0,0,9,0,1,15,0,1,7,1,9,2,0,0,0,0
300,4975,7,0,2,0,0,4,0,11,6,0,0,0,0,2,0,0,162,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,14,0,3,3,0,2,1,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,2,1,0,6,1,24,0,100,27,0,0,2,0,0,1,0,3,0,0,0,11,0,0,0,1,0,0,0,2,0,0,0,24,0,0,5,4,6,1,0,0,0,1
325,5194,2,0,0,5,0,8,2,18,1,0,0,0,0,0,0,0,199,0,0,0,0,0,2,0,0,3,0,0,1,0,3,0,0,0,15,1,3,1,0,0,0,0,0,0,3,0,2,1,0,0,2,0,0,3,0,0,4,2,0,0,0,10,1,15,2,158,38,0,0,2,0,0,2,0,0,0,0,0,15,0,2,0,0,0,0,0,3,7,0,1,113,0,0,6,0,5,2,0,0,1,0
350,5414,2,0,2,1,0,1,0,4,1,1,1,0,3,2,0,0,165,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,9,0,3,2,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,3,1,0,0,132,27,0,0,3,0,0,0,1,0,0,0,0,12,0,0,3,0,0,0,0,1,1,0,0,92,0,0,8,1,11,1,0,0,0,0
375,5634,1,0,0,0,0,5,2,13,2,0,1,0,2,0,0,0,220,0,0,0,0,0,1,0,1,0,0,0,1,0,10,0,0,0,11,1,5,1,0,1,0,3,0,1,3,0,2,2,0,0,1,0,0,0,0,0,2,0,0,1,0,7,1,15,5,166,52,0,0,1,0,0,0,2,0,0,0,0,17,0,0,0,1,0,0,0,2,3,0,1,100,0,0,6,0,4,1,0,0,0,0
399,5845,2,1,0,2,0,7,1,8,7,0,0,0,1,2,0,0,162,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,7,0,2,3,0,3,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,12,0,163,56,0,0,1,0,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,107,0,0,2,4,7,2,0,0,0,0
425,6073,3,0,0,1,0,3,0,13,1,0,0,0,0,0,0,1,99,0,0,1,0,0,0,0,0,1,0,0,0,0,5,1,0,0,5,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,9,3,186,28,0,0,0,1,0,1,0,0,0,0,0,13,0,1,0,0,0,0,0,0,1,0,0,55,0,1,2,1,8,2,0,1,0,0
450,6293,1,0,0,0,0,6,0,8,2,0,1,0,0,0,0,0,130,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,10,0,8,1,0,0,1,0,0,2,0,0,1,0,0,0,3,0,0,2,0,0,2,1,0,0,0,1,1,5,4,190,35,0,0,2,0,0,2,0,1,2,0,0,19,0,0,0,0,0,0,0,0,4,0,1,81,0,1,6,1,5,1,0,0,0,0
475,6512,4,0,0,0,0,4,0,10,4,1,0,0,0,2,0,0,108,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,11,1,16,1,246,31,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,5,1,1,79,0,2,1,1,6,1,0,0,0,0
499,6711,4,0,1,0,0,6,0,6,3,0,0,0,0,0,0,0,136,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,2,0,0,11,1,9,0,295,38,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,3,0,0,53,0,0,3,0,2,2,0,0,0,0
525,6926,5,0,1,1,0,8,0,8,3,0,1,0,1,1,0,0,149,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,9,0,3,2,0,2,0,0,0,0,2,0,0,2,0,1,4,0,0,3,1,0,0,0,1,2,2,11,3,16,10,319,37,0,0,0,0,0,4,0,1,0,0,0,28,0,0,0,0,0,0,0,0,6,0,1,34,0,0,10,0,5,1,0,0,0,0
550,7133,4,0,1,0,0,7,0,4,2,0,3,0,1,0,0,0,119,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,3,0,8,2,0,1,0,0,0,0,1,0,0,3,0,0,3,0,0,2,0,0,0,0,0,2,0,14,3,23,0,410,27,0,0,1,0,0,0,0,0,0,0,0,33,0,0,2,0,0,0,0,0,4,0,0,23,0,0,9,0,3,2,0,0,0,0
575,7340,12,0,0,0,0,9,1,10,4,2,0,0,2,0,0,0,85,0,0,1,1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,8,3,0,1,0,0,3,0,2,0,2,0,0,1,1,0,0,1,0,0,0,0,3,3,0,19,1,23,10,503,42,0,0,2,0,0,6,0,0,0,0,0,32,0,0,0,0,0,0,0,1,14,0,0,13,0,0,8,0,1,1,0,0,0,0
600,7546,6,0,0,2,0,3,0,4,2,0,2,0,0,1,0,1,64,0,0,1,0,0,1,0,2,2,0,0,1,0,3,0,0,0,1,0,6,1,0,1,0,0,1,1,3,0,0,2,0,0,5,0,0,0,0,0,2,0,0,2,0,13,1,8,2,364,43,0,0,1,0,0,3,0,1,0,0,0,17,0,0,0,0,0,0,0,0,7,0,0,7,0,0,6,0,9,0,0,0,0,0
625,7753,7,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,82,0,0,1,0,0,3,0,3,2,0,0,0,0,0,1,0,0,1,0,5,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,15,1,13,5,354,30,0,0,0,0,0,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,1,7,0,0,8,0,6,0,0,0,0,0
650,7960,6,0,1,0,0,3,0,10,9,0,1,0,1,0,0,0,88,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,3,0,1,1,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,1,3,0,23,2,25,0,307,41,0,0,0,0,0,2,0,1,0,0,0,19,0,0,0,2,0,0,0,0,4,1,0,5,0,0,5,2,4,7,0,0,0,0
675,8167,10,0,0,0,0,1,2,3,21,1,0,0,1,1,0,0,107,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,12,3,23,2,209,40,0,0,2,0,0,0,1,0,0,0,0,13,0,0,0,1,0,0,0,0,5,0,0,3,0,0,2,0,6,0,0,0,0,0
700,8373,9,0,0,0,0,1,3,2,19,1,1,0,1,0,0,0,98,0,0,0,1,0,1,0,4,0,0,0,5,0,0,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,13,2,21,0,226,24,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,3,3,0,0,1,0,0,2,1,2,3,0,0,0,0
725,8580,51,0,0,0,0,3,2,2,26,1,2,0,1,3,0,3,241,0,0,1,1,0,1,0,0,4,0,0,2,0,5,0,0,0,0,0,9,2,0,0,0,0,1,0,4,0,1,1,0,0,14,0,0,0,0,0,0,0,0,2,1,38,2,134,4,368,56,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,10,0,0,2,0,0,4,0,5,3,0,1,0,0
740,8704,23,0,0,0,0,3,0,2,11,1,0,0,1,1,0,0,129,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,5,0,1,3,1,0,2,1,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,20,4,216,1,94,33,0,0,0,0,0,2,0,0,0,0,0,21,0,0,0,1,0,0,0,0,7,0,0,0,0,0,4,1,2,1,0,0,0,0
750,8913,18,0,1,0,0,1,0,8,17,0,2,0,1,1,0,0,135,0,0,1,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,6,3,0,2,0,0,6,1,4,0,0,1,0,0,7,0,0,0,0,0,0,0,0,6,0,15,1,163,0,88,35,0,0,1,0,1,6,0,0,1,0,2,25,1,0,0,1,0,0,0,0,2,0,0,1,0,0,9,1,4,2,0,0,0,0
760,9247,11,0,0,0,0,1,1,3,47,1,3,0,0,0,0,0,119,0,0,0,0,0,4,0,1,3,0,0,0,0,8,0,0,0,0,0,6,1,0,0,2,0,0,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,1,2,12,1,149,8,68,45,0,0,0,0,0,4,0,0,0,0,0,19,0,0,0,2,0,0,1,0,3,0,0,0,0,0,5,2,4,3,0,0,0,0
775,9749,17,0,0,0,0,1,2,2,69,0,2,0,1,3,0,1,223,0,0,1,0,0,1,0,3,1,0,0,1,0,1,0,0,0,0,0,8,0,0,0,3,1,7,1,4,0,2,1,0,0,9,0,0,0,0,0,0,0,0,1,0,28,6,196,3,71,37,0,0,4,0,1,6,2,0,1,0,0,20,0,0,1,4,0,0,0,0,2,0,0,0,0,0,5,0,9,2,0,0,0,0
780,9917,5,0,1,0,0,2,0,2,53,0,3,0,2,4,0,0,199,0,0,0,0,0,0,0,3,3,1,0,2,0,0,0,0,1,3,0,7,0,2,2,15,1,62,2,5,0,3,3,0,0,85,0,0,0,0,0,0,1,0,2,3,54,16,29,1,19,7,0,0,5,0,1,54,2,0,0,0,0,29,1,0,1,7,1,0,0,0,3,0,0,1,0,0,4,0,15,1,0,0,0,0
785,10084,3,0,1,0,0,3,2,0,17,1,0,1,9,8,0,1,185,0,0,0,0,0,0,0,4,9,0,0,4,0,12,1,0,0,1,0,6,2,1,0,27,0,84,4,1,0,5,8,0,0,148,0,1,0,0,0,0,0,0,0,1,131,14,26,0,40,12,0,0,9,0,2,56,2,0,0,1,0,50,0,2,3,6,0,0,0,0,1,0,0,4,1,1,12,0,73,4,1,0,2,0
790,10251,3,0,0,1,0,3,0,0,10,1,2,0,8,9,0,0,158,0,0,3,0,0,1,0,3,0,0,1,6,0,0,0,0,0,0,1,10,4,0,4,1,0,168,2,0,0,7,17,0,0,111,0,0,0,0,0,0,0,1,7,1,48,4,37,0,17,8,0,0,7,0,3,201,1,0,1,0,0,40,0,0,0,22,0,0,1,0,1,0,0,1,1,0,12,1,29,2,0,0,1,0
795,10418,2,0,0,0,0,5,1,1,9,0,2,0,10,12,0,1,139,0,1,0,2,0,0,0,3,18,0,0,5,0,5,1,0,1,0,0,4,2,0,2,6,0,110,1,1,0,4,1,0,0,114,0,0,0,0,1,0,0,0,1,0,20,4,28,1,28,7,0,0,4,0,5,181,5,0,0,0,0,33,0,0,2,12,0,0,3,1,0,0,0,1,1,0,10,1,42,1,0,0,0,0
800,10579,1,0,0,0,0,2,0,7,5,0,0,0,10,8,0,3,151,0,0,0,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,8,1,0,3,0,0,156,0,0,0,3,2,0,0,100,0,0,0,0,1,0,0,1,8,0,5,1,29,0,15,5,0,0,2,0,0,173,0,0,1,0,0,42,0,0,0,7,0,0,0,0,1,0,0,1,0,1,7,0,11,0,0,0,0,0
805,10739,4,0,0,0,0,2,0,2,14,0,1,0,6,13,0,1,133,0,0,1,0,1,0,0,0,11,0,0,14,0,10,1,0,2,1,0,7,0,1,0,15,0,140,0,0,0,2,3,0,0,99,3,0,0,0,4,0,0,0,2,0,8,1,27,0,40,5,0,0,8,0,0,215,5,0,0,0,0,38,0,0,0,9,0,0,2,1,0,0,0,6,0,0,13,1,36,1,0,0,0,0
810,10900,2,0,0,0,0,1,0,0,7,0,4,0,5,6,0,3,93,0,0,4,0,0,2,0,1,8,0,0,2,0,0,0,0,0,0,0,3,2,1,0,5,0,53,0,1,0,2,4,0,0,94,0,0,0,0,0,0,0,0,0,0,43,8,19,0,25,6,0,0,8,0,3,71,0,0,2,0,0,44,0,0,0,6,0,0,1,0,0,0,0,3,0,0,9,0,25,0,0,0,3,0
815,NA,12,0,0,0,0,3,0,2,68,1,1,0,5,3,0,0,167,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,2,1,0,0,0,5,0,4,0,1,0,0,0,28,0,2,0,1,0,0,0,7,3,2,18,6,107,0,64,21,0,0,2,0,0,21,0,0,0,0,1,23,0,0,1,1,0,0,0,0,0,1,0,1,0,0,4,1,7,0,0,0,0,0
820,NA,3,0,0,1,0,13,0,12,37,3,2,0,27,5,0,0,303,3,0,1,0,1,1,0,2,83,0,0,17,1,0,8,0,0,3,0,9,6,1,6,87,3,9,0,1,0,3,7,0,0,1,0,0,0,0,2,0,0,1,0,4,23,5,120,3,53,21,0,0,16,0,0,68,9,2,0,0,0,70,0,0,1,33,0,0,20,0,3,0,1,8,1,0,12,2,54,0,0,0,0,0
830,NA,2,0,0,0,0,0,0,14,46,1,6,0,36,4,0,0,130,0,0,0,3,0,0,0,1,71,0,0,19,0,0,2,0,0,1,0,6,1,4,3,25,0,4,0,0,0,8,6,0,0,2,0,0,0,0,0,0,0,0,1,1,27,6,91,2,201,36,1,0,5,0,0,28,1,1,0,0,2,54,2,0,1,40,0,0,20,1,0,0,0,11,0,0,20,2,23,7,0,0,0,0
840,NA,2,0,0,0,0,1,2,3,22,3,3,0,15,5,0,0,115,0,0,1,4,1,1,0,0,54,0,0,10,0,7,0,0,1,0,0,3,1,1,11,0,4,4,0,1,0,13,11,0,0,0,0,0,0,0,2,0,0,0,0,0,48,14,65,0,52,32,0,0,9,0,0,6,0,0,0,0,0,41,1,0,0,48,0,1,11,0,1,0,0,3,0,0,12,4,37,1,0,0,0,0
850,NA,1,0,0,0,0,0,1,8,59,2,4,0,11,4,1,0,159,0,0,1,4,0,0,0,1,55,0,0,4,0,0,3,0,0,2,0,5,4,1,16,6,0,16,1,1,0,5,4,0,0,2,0,0,0,0,2,0,0,1,1,0,8,1,77,0,27,15,0,0,11,0,0,42,29,0,0,0,0,49,0,0,0,30,1,0,1,2,1,0,1,1,0,0,8,3,45,4,2,0,0,0
855,NA,0,0,0,0,0,0,0,15,34,2,0,0,13,0,0,0,169,0,0,1,6,0,0,0,1,30,1,0,4,0,0,0,0,0,0,0,4,8,0,15,0,0,16,3,0,0,4,8,3,0,0,0,0,0,0,0,0,0,0,2,1,19,1,122,0,31,13,0,0,15,0,6,56,0,11,1,0,1,65,1,0,0,21,0,0,0,0,2,0,1,3,0,0,16,4,10,2,0,0,0,0
859,NA,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
