"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.pensylvanicum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Poaceae.undiff.","Juglans.cinerea","Kalmia","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.media","Platanus","Quercus","Rumex","Sambucus","Tilia","Tsuga","Ulmus","Alnus","Myrica","Viburnum","Cerealia","Abies","Acer.spicatum","Ilex","Populus","Ericaceae.undiff.","Nyssa","Geranium","Juglans.nigra","Salix","Taxus","Thalictrum","Rhus","Ranunculus","Liquidambar","Brassicaceae","Primulaceae","Larix","Celtis","Cornus","Prunus.Sorbus","Rosaceae.undiff.","Galium","Portulacaceae","Acer.saccharinum.type","Amaranthaceae","Acer.negundo","Vitis","Sanguisorba","Potentilla.type","Clethra","Cephalanthus","Liliaceae","Cannabaceae","Apiaceae","Caryophyllaceae","Oxyria.digyna","Rubus","Urtica.type","Geum.type","Fabaceae","Dryas.type","Polygonaceae.undiff.","Saxifragaceae","Lamiaceae","Scrophulariaceae"
101,4704,270,8,2,3,0,0,66,7,1,0,3,0,0,65,5,0,0,2,0,7,0,4,17,0,0,1,57,0,0,1,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4894,391,20,1,1,0,1,107,10,0,2,3,2,1,111,16,0,1,1,0,8,1,7,9,0,0,4,53,0,1,1,14,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5105,377,18,3,0,0,0,109,3,1,0,6,0,1,79,17,4,0,4,0,4,2,4,14,0,0,2,56,0,0,1,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,5219,665,16,0,1,1,2,184,10,0,1,4,4,1,136,17,2,1,7,0,8,0,8,20,0,0,1,86,0,0,2,141,5,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,5348,496,11,1,1,0,0,100,2,0,0,0,0,0,94,11,5,0,6,0,10,2,8,10,0,0,2,60,0,0,3,158,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5651,352,10,2,0,1,0,57,5,0,0,0,0,0,75,4,2,1,1,0,2,1,4,12,0,0,1,37,0,0,2,126,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6001,1173,31,0,10,2,0,216,15,3,0,5,0,2,222,18,5,2,15,0,8,2,10,31,0,0,8,160,1,0,3,359,22,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6381,477,12,2,1,0,0,95,3,0,0,4,0,2,108,5,3,1,2,0,5,1,9,7,0,0,4,47,0,0,0,154,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,6772,631,20,4,1,3,0,113,5,0,0,0,0,1,121,8,4,0,0,0,10,2,10,16,0,0,7,72,0,2,2,215,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,7157,374,12,2,0,0,0,67,4,0,1,0,0,1,67,3,2,0,2,0,16,0,4,11,0,0,3,51,0,0,1,111,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,7519,642,8,0,1,1,1,130,1,0,0,3,1,2,103,15,2,1,1,0,9,1,14,22,0,0,8,104,0,0,2,182,19,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,7839,1080,14,6,3,3,0,279,4,1,0,4,0,3,137,14,5,0,1,0,16,2,60,61,0,0,4,157,0,0,8,268,12,5,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,8101,496,6,0,1,1,0,117,0,0,0,3,0,0,29,6,5,1,0,0,17,0,13,58,0,0,1,116,0,0,2,106,7,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8286,472,0,1,1,3,0,31,2,1,0,3,1,6,4,8,10,2,0,0,23,1,41,48,0,0,2,136,0,0,3,114,14,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,8327,523,9,1,1,2,1,35,0,1,0,2,0,3,3,20,7,0,2,0,19,1,50,60,0,0,0,229,0,0,2,51,10,3,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,8351,434,7,0,1,3,0,40,2,1,0,2,2,0,6,13,6,0,1,0,25,0,22,64,0,0,1,192,0,0,1,29,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,8385,1081,35,0,7,6,2,68,2,1,1,7,2,0,2,37,11,1,0,0,45,1,88,187,0,0,6,358,0,0,2,156,32,9,6,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230,8407,724,9,3,6,2,0,45,0,1,1,6,0,1,5,16,16,2,1,0,28,6,69,145,0,0,2,200,0,0,4,130,10,5,3,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8521,822,12,2,2,0,0,40,0,0,1,3,1,0,4,25,6,1,1,0,35,6,77,167,0,0,4,218,0,0,2,183,14,9,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,8679,1928,17,0,7,9,1,107,4,0,1,8,3,4,6,36,30,2,2,0,46,12,239,336,0,0,5,551,0,0,4,432,33,14,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,8874,766,15,4,2,2,0,38,0,1,0,4,0,1,0,20,12,0,1,0,21,5,79,159,0,0,1,232,0,0,2,137,9,13,0,0,0,2,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,9092,1084,8,3,1,0,0,65,3,2,2,4,1,6,3,23,8,0,0,0,38,7,140,248,0,0,4,316,0,0,1,150,21,16,1,0,0,2,0,4,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,9317,1113,17,1,1,2,1,64,4,1,1,6,3,4,1,12,10,1,2,0,37,8,144,278,0,0,6,331,0,0,0,134,19,7,0,1,0,3,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,9570,1104,14,5,5,0,0,69,0,0,1,9,0,5,1,13,15,2,0,0,49,12,159,314,0,0,5,304,0,0,3,88,11,8,2,0,0,4,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,9878,1341,13,0,8,0,4,82,2,0,1,6,1,2,0,9,10,0,0,0,52,15,268,376,0,0,2,367,0,0,1,78,15,13,0,0,0,9,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,10213,1672,14,1,5,4,2,97,1,1,1,21,0,5,0,26,17,1,0,0,100,22,303,460,0,0,4,502,0,0,0,30,24,11,0,0,0,13,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,10544,1664,8,0,1,2,2,116,1,0,2,20,6,8,0,22,19,5,1,0,88,24,184,493,0,0,1,549,0,1,0,35,38,21,0,0,0,7,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,10841,2061,24,2,5,0,2,147,5,1,0,11,2,8,1,36,36,2,1,0,91,31,373,469,0,0,3,688,0,0,0,37,25,33,4,1,0,12,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
340,11074,2153,27,1,4,3,1,162,0,2,2,19,2,8,1,20,52,4,1,0,75,31,458,554,0,0,4,581,0,1,0,32,26,42,2,1,0,26,0,3,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,11223,1360,11,4,6,2,1,130,2,0,0,10,3,1,4,7,24,5,1,0,30,25,206,472,0,0,2,334,0,0,0,11,12,23,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,11291,1812,41,6,9,0,2,284,4,0,2,27,7,10,1,17,25,3,1,0,48,25,371,493,0,0,3,275,0,0,0,12,27,51,2,0,0,38,2,1,4,0,0,0,0,1,5,0,1,0,0,0,0,9,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
370,11336,1250,23,9,5,2,3,242,2,1,0,14,5,6,2,4,30,2,0,0,37,40,209,381,0,0,0,139,0,0,0,11,15,24,2,1,0,33,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,11357,1103,20,0,3,3,4,252,0,2,2,18,2,10,2,4,41,6,1,0,32,41,230,222,0,0,2,111,0,0,0,9,11,23,1,1,0,35,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,11378,1133,13,1,0,2,1,359,1,1,3,17,3,11,6,5,38,4,2,0,41,48,100,261,0,0,1,106,0,0,0,8,4,35,7,0,0,34,3,0,5,0,0,0,0,3,3,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,11419,1019,14,1,0,1,3,265,0,0,2,20,4,3,1,5,25,3,0,0,21,60,159,206,0,0,2,91,0,0,0,5,16,36,8,0,0,54,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400,11481,651,3,0,2,2,4,113,0,1,1,23,1,13,0,1,15,3,1,0,22,91,64,149,0,0,0,42,0,0,0,3,8,29,3,0,0,33,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,11557,817,4,0,0,1,2,195,1,0,2,15,9,10,0,2,10,1,2,0,18,95,79,164,0,0,0,46,1,0,0,12,7,69,5,0,0,31,2,0,9,5,1,0,0,2,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,11657,509,1,0,0,0,1,112,1,0,2,8,5,19,0,0,8,5,0,0,12,77,20,122,0,0,0,30,0,0,0,7,2,35,2,0,0,22,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,11718,529,1,0,1,1,4,103,0,0,5,11,4,9,0,0,8,5,0,0,21,96,23,108,0,0,0,26,1,0,0,8,7,48,2,0,0,15,1,0,1,3,0,0,0,4,0,1,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
440,11954,743,3,0,0,0,3,167,1,0,3,9,4,15,0,3,9,6,0,0,16,166,25,123,0,0,0,25,0,0,0,11,2,83,0,0,0,54,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450,12163,718,0,0,0,1,5,117,0,1,0,11,2,18,0,1,5,10,4,0,29,194,13,116,0,0,0,36,0,0,0,4,6,77,0,0,0,45,0,0,8,0,0,0,0,3,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,12420,615,2,1,0,2,4,41,1,1,3,3,13,22,0,1,6,10,0,0,35,175,13,129,0,0,0,46,0,0,0,1,6,40,3,0,0,37,0,0,10,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0
470,12730,354,0,0,0,0,1,13,0,0,5,3,11,41,0,0,3,11,0,0,30,130,1,56,0,0,0,20,0,0,0,0,4,1,0,0,0,4,0,0,1,0,0,0,0,7,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,0,0,0,0
475,12903,187,0,0,0,2,4,13,0,0,1,3,2,44,0,0,0,5,0,0,2,42,0,35,0,0,0,11,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,7,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
480,13083,106,0,0,0,1,0,3,0,0,0,1,1,23,0,0,0,8,0,0,4,12,0,32,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
