"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus..pentaporate.","Alnus..tetraporate.","Betula","Carya","Celtis","Corylus","Ephedra","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Plantago","Poaceae","Polygonum.lapathifolium.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Adiantum","Botrychium","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodium.clavatum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda.cinnamomea","Polypodiaceae","Pteridium","Sphagnum","Nuphar","Nymphaeaceae.undiff.","Typha.angustifolia","Typha.latifolia","Spore..monolete..psilate.","Spore..monolete..verrucate.","Spore..trilete.","Indeterminable","Unknown"
80,2373,0,4,0,3,0,1,5,10,87,3,0,0,0,0,1,2,0,0,0,0,2,1,0,0,3,3,0,35,78,0,5,24,0,1,30,4,0,1,0,6,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
85,2523,3,0,0,3,0,3,3,10,103,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,5,6,0,14,99,0,0,29,2,0,31,9,0,2,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
95,2824,2,0,0,3,0,2,1,8,98,2,0,0,0,0,0,3,1,0,0,0,1,0,0,0,4,2,0,22,122,0,0,15,1,2,29,4,0,5,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0
100,2975,2,5,0,11,1,1,8,20,241,1,0,1,0,2,0,6,2,0,1,0,0,1,0,0,10,2,10,77,210,0,1,49,0,1,38,17,0,6,0,9,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,1,0,0,0,1,0,0,4,0
105,3098,1,1,0,3,0,2,5,11,96,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,3,3,0,19,134,0,0,17,2,0,3,7,0,5,0,4,8,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,3291,2,0,0,1,0,0,5,13,69,0,0,1,0,1,0,1,3,0,1,0,0,0,0,4,5,0,0,32,152,0,0,16,2,1,3,9,0,6,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,3395,1,0,0,2,0,0,7,21,83,1,0,7,0,1,0,2,0,0,0,0,1,3,0,0,7,1,18,71,157,1,1,49,0,2,1,13,0,3,0,7,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1
125,3500,4,1,0,4,0,0,7,18,64,0,1,9,0,3,0,4,1,0,2,0,0,0,0,0,16,2,0,24,125,2,0,38,3,0,1,7,0,5,0,1,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
135,3709,4,0,0,1,0,0,4,21,48,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,11,165,0,0,42,0,0,2,11,0,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
145,3918,2,0,0,8,0,0,19,46,90,1,0,8,0,3,0,8,3,0,2,2,2,0,0,0,6,4,40,84,380,1,2,92,2,3,3,21,0,19,1,6,8,0,0,4,0,0,1,0,0,0,13,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,3,1,0,1,0,5,1
150,4023,6,1,0,2,0,0,3,12,26,2,0,0,0,3,0,3,1,0,0,1,0,0,0,0,4,1,0,14,200,1,2,30,0,1,3,7,0,9,0,3,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,4128,1,0,0,2,0,0,7,12,34,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,2,0,27,171,0,0,39,1,0,4,4,0,9,0,1,1,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
160,4232,2,6,6,1,0,0,17,29,67,1,0,7,0,1,0,9,3,0,0,0,4,0,0,0,7,2,34,74,282,0,5,89,3,2,3,25,0,14,0,12,4,0,0,2,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,1,0,1,1,1
170,4445,4,0,0,0,0,0,7,16,30,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,8,0,0,4,190,0,1,31,1,0,0,8,0,8,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,4669,1,0,0,6,0,0,11,37,61,1,0,4,0,0,0,12,1,0,5,0,0,3,0,0,5,0,22,74,336,1,3,71,0,1,3,29,0,7,0,6,1,0,0,9,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,10,2
190,4892,0,2,0,7,0,0,3,18,29,2,0,0,0,1,0,10,1,0,4,0,0,0,0,0,12,0,24,39,168,0,3,43,1,0,0,6,0,8,0,6,1,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,9,0
200,5116,4,2,0,2,0,0,11,36,60,0,0,3,0,0,0,11,2,0,0,0,7,2,0,0,6,2,37,133,286,3,1,60,4,1,5,22,0,11,0,8,4,1,0,4,1,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,4,2
210,5339,0,1,0,1,0,0,4,19,41,0,0,4,0,0,0,8,1,0,1,0,1,2,0,0,9,0,15,43,168,0,2,31,2,0,4,10,0,3,0,3,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0
220,5550,2,0,0,6,0,0,6,28,40,0,0,4,0,1,0,6,1,0,0,0,0,0,0,0,3,1,17,137,372,0,3,52,0,0,0,24,1,17,1,12,2,0,0,10,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,2,4,0,0,1,1,0,0,4,0
240,5965,2,0,0,7,0,0,7,30,57,1,0,2,0,2,0,11,1,0,0,0,1,0,0,0,3,0,11,99,328,2,2,67,0,3,0,40,0,9,0,15,2,0,0,6,3,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,1,1,0,4,0,0,4,0
260,6381,2,0,0,9,0,0,9,22,49,1,0,3,0,4,1,6,1,0,0,0,2,1,0,0,4,2,31,111,322,1,1,54,0,1,0,41,0,12,0,11,2,0,0,3,7,0,1,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,1,0,2,2,0
280,6797,1,0,0,1,0,0,4,3,22,1,0,0,0,0,0,5,0,0,2,0,0,2,0,0,5,1,0,38,178,0,6,23,0,2,0,15,0,6,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,7212,4,0,0,4,0,0,6,13,37,0,1,2,0,0,0,5,2,2,0,0,0,2,0,0,17,1,20,93,241,0,3,50,3,3,0,32,0,17,0,7,5,0,1,5,1,1,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,1,0,9,1
320,7628,8,0,0,5,0,0,2,13,22,3,1,1,0,0,1,10,2,0,0,0,3,2,1,0,12,0,29,91,301,0,5,39,1,2,0,29,0,8,0,7,0,0,0,7,6,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,5,0
340,NA,0,0,0,2,0,0,1,19,36,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,12,2,52,44,130,0,0,27,1,2,0,0,0,13,0,7,1,0,1,2,0,0,0,0,0,0,14,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1
360,NA,0,0,0,1,0,0,4,16,23,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,10,0,62,34,165,0,0,21,2,0,0,23,0,11,0,5,1,0,0,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,0
380,NA,2,0,0,0,0,0,1,6,21,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,5,0,111,26,188,0,0,19,1,0,0,15,0,6,0,6,0,0,0,5,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,1,0,0,4,0
400,NA,4,0,0,1,0,0,1,14,24,1,0,0,0,0,0,6,2,0,0,0,0,1,0,0,15,10,115,23,220,0,4,25,1,2,0,42,0,0,0,7,2,0,0,1,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,6,4,0
420,NA,0,0,0,1,0,0,3,8,73,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,8,26,23,11,112,0,1,12,3,0,0,22,0,10,0,6,1,0,0,3,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,6,0
