"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.spicatum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Larix","Picea","Pinus.undiff.","Quercus","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Poaceae","Acer.saccharinum","Acer.saccharum","Populus.grandidentata.type","Pinus.banksiana.P..resinosa","Ostrya","Thuja.plicata.type","Pinus.strobus.type","Carya","Fraxinus.undiff.","Juglans.nigra","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Celtis","Rumex","Salix","Plantago","Acer.undiff.","Corylus","Platanus","Myrica","Juglans.cinerea","Ilex","Sarcobatus.vermiculatus","Populus.balsamifera"
24,354,438,5,3,0,0,178,1,2,10,0,0,3,5,0,14,0,91,10,2,1,2,0,8,1,2,3,2,91,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,481,431,2,1,0,3,127,0,4,16,0,0,0,23,29,25,1,79,9,8,4,4,0,11,4,2,0,4,66,1,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
40,692,414,3,2,0,0,125,1,6,8,0,0,0,4,0,15,2,82,3,12,3,4,0,7,2,9,2,4,116,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,903,471,2,2,0,0,163,2,1,11,0,0,0,15,29,16,3,77,12,6,3,7,0,10,7,2,0,4,83,1,10,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
60,1120,378,1,2,0,1,116,0,2,4,0,0,0,5,0,12,0,83,10,6,0,1,0,11,3,10,8,3,92,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1344,417,5,4,0,0,136,2,2,4,0,0,0,20,0,10,1,84,8,6,2,3,0,9,7,13,0,4,79,2,3,0,2,0,9,0,0,0,0,0,0,1,1,0,0,0
95,1904,408,5,1,0,1,137,0,3,2,0,0,0,19,0,25,0,42,0,3,2,4,0,12,5,11,6,2,118,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
125,2576,466,1,4,0,0,198,0,3,5,0,0,0,6,0,18,1,35,11,7,3,2,0,8,7,15,5,7,120,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,3024,415,2,3,1,3,180,0,2,5,0,0,0,3,0,16,1,66,11,5,1,1,0,6,1,9,6,6,80,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
182,3632,379,1,7,0,0,151,0,0,1,0,0,0,5,0,24,2,43,5,5,2,1,0,16,5,10,4,1,85,0,6,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
210,4093,434,3,2,0,3,144,2,0,2,0,0,2,6,0,18,0,10,3,14,2,1,0,18,2,18,7,15,151,0,7,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
220,4257,350,1,0,0,5,95,0,0,1,0,0,0,3,0,20,1,16,11,8,1,0,0,5,7,37,4,7,123,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4421,334,0,0,0,1,60,1,1,0,0,0,0,3,0,25,2,8,13,11,0,0,0,11,4,38,9,21,124,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4586,373,1,1,0,1,86,2,2,2,0,0,0,2,0,51,2,17,13,9,2,4,0,8,3,27,4,12,113,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,4750,448,1,4,0,1,114,2,3,1,0,0,1,10,0,65,4,3,13,12,3,0,0,14,2,65,7,8,99,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4914,389,3,15,1,0,72,2,4,1,0,0,0,7,0,53,1,9,9,6,3,0,0,14,3,35,13,13,113,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4996,391,0,4,0,1,73,3,2,0,0,0,2,10,0,55,2,14,11,9,1,2,0,14,0,44,11,41,74,0,11,0,1,0,0,0,1,0,0,0,2,0,1,1,1,0
270,5079,363,0,4,1,2,47,3,0,2,0,0,2,4,0,55,2,17,21,2,0,1,0,16,6,54,2,11,103,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
275,5161,459,1,0,1,5,68,2,4,3,2,5,0,9,37,36,1,55,16,8,1,3,0,21,6,36,7,24,101,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0
280,5258,380,1,0,0,4,28,0,2,0,0,7,1,7,0,25,0,46,5,16,4,5,0,8,3,33,3,1,174,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
285,5359,366,1,1,0,3,37,1,1,0,0,10,0,4,0,26,0,60,6,7,3,2,0,4,0,32,5,15,145,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
290,5459,411,0,1,0,4,80,0,1,1,0,0,2,3,0,26,1,66,12,9,6,3,0,12,2,39,2,7,123,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
300,5661,516,1,1,0,4,86,2,0,3,0,0,0,8,0,36,2,65,14,11,5,0,0,10,3,33,7,9,209,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
310,5863,382,1,3,0,2,45,1,0,0,0,0,0,3,0,23,1,50,12,7,3,1,0,9,7,26,0,16,167,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
330,6266,413,5,1,0,0,31,1,2,0,0,0,0,5,0,34,0,17,8,7,2,0,0,5,4,27,8,26,220,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6522,534,2,2,0,4,57,4,0,0,1,5,0,11,104,55,0,2,9,9,4,2,0,14,1,28,12,11,193,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
350,6834,557,1,7,0,4,76,3,2,1,0,11,0,3,75,58,3,1,12,4,5,0,0,20,0,32,14,5,219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
360,7145,523,2,5,0,2,56,4,1,0,0,0,0,2,0,49,0,0,14,5,3,0,0,4,2,37,8,6,315,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
380,7768,447,8,2,2,2,50,1,0,0,0,0,0,7,0,20,0,0,7,8,2,3,1,2,7,30,1,2,286,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
395,8236,708,8,1,0,8,124,1,2,0,0,7,1,11,173,16,0,0,16,17,4,5,0,2,4,77,13,10,200,0,0,1,2,0,1,0,1,0,0,0,2,0,1,0,0,0
415,8859,456,10,1,0,5,141,1,0,0,0,5,1,18,0,9,0,0,12,21,2,3,0,1,4,133,5,0,80,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
445,9442,414,6,0,0,4,128,1,3,0,0,0,2,19,0,9,0,0,11,22,1,1,0,0,6,157,3,3,31,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
455,9613,560,6,0,0,8,149,12,4,0,1,1,2,39,99,27,0,0,10,26,10,4,0,0,2,137,5,0,12,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0
475,9955,575,10,0,2,12,97,7,1,1,0,0,3,33,0,17,0,0,8,8,5,2,0,0,4,327,8,9,12,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
500,10382,428,6,0,2,11,86,2,0,0,1,1,6,47,0,14,0,0,4,5,3,3,0,0,4,206,5,4,12,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
520,10724,486,12,0,0,1,83,2,4,1,0,3,2,22,85,20,0,0,12,4,6,4,0,2,2,162,9,11,30,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,1,0
540,11066,395,8,0,0,6,58,2,0,0,0,6,3,30,64,24,0,0,0,1,5,2,0,2,5,130,6,2,34,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0
560,11407,460,12,0,0,4,55,1,5,0,2,3,4,34,65,25,0,0,15,3,4,0,0,0,7,196,9,0,10,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0
600,12091,439,8,0,0,5,36,6,1,0,0,4,6,37,53,39,0,0,29,3,2,0,0,0,0,186,8,4,1,2,0,0,5,0,0,0,1,0,0,0,1,0,0,0,2,0
620,12433,379,0,0,2,12,20,1,3,0,0,6,14,75,32,34,0,0,33,1,1,5,0,3,1,90,20,5,9,3,0,0,1,1,0,0,4,0,0,0,1,0,2,0,0,0
640,12775,366,7,0,0,26,13,0,9,0,1,4,1,59,0,34,0,0,15,1,8,0,0,1,4,150,5,9,3,3,0,0,5,0,0,0,3,0,0,0,1,0,4,0,0,0
660,NA,337,0,0,0,17,5,3,1,0,0,8,0,53,14,12,0,0,14,1,0,2,0,0,3,179,1,9,2,1,0,0,0,3,0,0,7,0,0,0,1,0,0,0,1,0
675,NA,26,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
685,NA,22,0,0,0,4,1,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
705,NA,439,5,0,0,10,24,2,2,0,0,9,3,50,71,40,0,0,44,2,3,0,0,1,0,140,14,0,5,1,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0
