"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Corylus","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Ostrya.Carpinus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Cupressaceae","Fraxinus.pennsylvanica.type","Tilia","Acer.saccharum","Amorpha.canescens","Acer.rubrum","Vitis","Iva.annua","Brassicaceae","Larix","Picea","Dalea.purpurea","Iva.xanthifolia","Acer.saccharinum","Lycopus.type","Morus","Populus.balsamifera.type","Potentilla.type","Rumex","Urtica.type","cf..Ceanothus","Apiaceae","Ranunculaceae.undiff.","Thalictrum","cf..Lysimachia.thyrsiflora","Juglans.nigra","Celtis","Humulus.Cannabis.sativa","Plantago","Ericaceae","Abies","Ephedra","Euphorbia","Xanthium","Tidestromia","Hydrophyllum"
885,6384,492,19,21,1,2,15,5,0,9,154,0,11,48,4,5,12,40,18,0,39,28,5,42,1,4,0,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,6431,315,18,7,0,1,17,1,0,12,113,0,7,15,3,4,12,11,8,1,21,20,6,31,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
890,6502,324,10,10,1,0,17,4,0,8,113,0,8,29,2,3,3,13,9,1,21,30,6,32,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,6549,341,18,11,0,1,9,2,0,6,119,0,7,26,2,2,8,11,7,0,24,26,4,53,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
895,6620,552,45,23,1,4,11,2,0,21,160,0,10,40,7,6,18,25,20,0,36,36,4,70,0,0,0,3,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
898,6691,234,10,5,0,2,7,3,0,8,81,0,8,25,2,1,8,6,4,0,26,12,4,16,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,6786,221,8,7,0,2,4,6,0,10,76,0,0,27,0,3,4,17,9,0,8,15,7,12,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
906,6881,215,7,9,1,2,3,4,0,12,73,0,9,21,1,1,5,7,4,0,15,13,5,16,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,6976,240,8,9,1,5,14,1,0,5,80,0,3,34,3,3,4,11,8,1,13,6,8,19,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,7023,229,6,9,0,1,8,5,0,14,63,0,9,29,3,0,6,14,8,0,11,15,4,16,0,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,7141,270,12,12,1,2,5,5,0,7,64,0,18,43,3,2,12,16,8,2,13,17,3,20,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,7212,246,10,12,0,1,3,5,0,7,91,2,5,23,0,3,8,17,9,0,16,11,2,17,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,7260,198,9,18,0,2,5,1,0,6,70,0,4,19,1,5,7,6,5,1,9,9,3,11,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,7331,270,12,18,0,2,8,0,0,7,100,0,8,28,5,0,3,16,15,2,19,2,3,18,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,7378,239,8,11,0,1,8,2,0,8,87,0,12,28,3,1,7,16,12,0,8,6,4,10,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
930,7449,294,15,18,0,2,5,1,0,4,123,0,3,41,1,2,3,8,17,1,16,3,10,15,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
932,7497,237,8,10,0,2,5,3,0,4,86,0,11,33,1,6,5,8,6,2,9,7,8,18,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
935,7568,294,18,8,0,2,7,2,0,7,119,0,4,41,2,4,8,11,10,2,22,2,5,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
937,7615,240,16,7,0,3,5,1,0,3,113,0,2,25,1,5,5,8,8,0,9,7,6,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,7686,203,8,11,0,4,3,2,0,9,74,0,0,36,1,0,6,8,14,0,14,2,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942,7733,270,12,13,0,2,3,4,0,8,101,0,5,40,2,5,9,5,13,0,19,2,6,11,1,1,1,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,7804,1143,54,36,0,18,25,8,0,20,438,0,53,131,10,23,38,40,54,1,66,27,17,64,3,1,0,3,2,0,0,3,0,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
947,7852,269,16,10,0,3,3,5,1,4,112,0,4,27,3,3,7,9,10,0,16,4,10,16,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
950,7923,262,23,12,0,4,5,1,0,6,115,0,0,25,2,2,3,13,14,0,14,4,6,9,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,8065,316,30,11,2,1,7,5,0,4,115,0,10,21,1,5,7,16,19,0,18,7,9,23,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
960,8160,345,24,9,1,0,4,2,0,9,119,1,7,31,5,3,5,11,28,0,26,2,16,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
966,8302,287,27,7,0,0,8,3,1,7,99,0,10,20,5,6,8,9,16,0,23,0,7,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
970,8396,274,33,6,2,0,14,6,0,1,111,0,12,8,5,5,5,7,11,1,19,0,9,14,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
976,8539,261,33,5,0,0,4,4,0,3,110,0,4,8,2,4,5,5,12,1,14,1,9,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
980,8633,334,20,19,0,0,5,6,0,7,154,0,6,8,4,2,8,24,11,3,17,2,2,30,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
986,NA,377,14,19,0,1,13,3,0,4,168,1,18,12,3,5,15,15,11,2,10,0,4,54,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
990,NA,407,18,22,2,1,7,9,1,1,178,0,22,12,2,2,7,22,10,1,15,4,8,54,0,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
