"sample.depths","sample.ages","upland.sum","Betula","Carya","Cupressaceae","Cyperaceae","Fagus","Ilex","Impatiens","Picea","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Iva.annua","Myrica","Populus","Poaceae","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Ostrya","Artemisia","Juglans.cinerea","Larix","Platanus","Taxus","Tilia","Fabaceae","Abies","Corylus","Morus","Celtis","Ericaceae","Acer.rubrum","Juglans.nigra","Rosaceae.undiff.","Amaranthaceae","Thalictrum","Vitis","Liliaceae","Xanthium","Shepherdia.canadensis","Dryas","Asteraceae.subf..Cichorioideae","Sanguisorba","Shepherdia.argentea"
120,2483,300,48,2,12,2,20,2,0,2,39,0,0,16,0,10,27,0,1,2,1,2,14,5,1,7,72,9,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
140,2902,300,33,0,17,4,17,3,0,2,20,0,0,20,0,10,10,0,1,2,3,3,8,8,1,4,128,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,3321,301,23,0,11,1,30,0,0,3,34,0,1,29,0,9,13,0,0,3,2,1,21,4,6,11,78,14,0,0,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,3530,300,25,1,8,0,13,1,0,1,21,0,0,21,1,6,3,2,0,3,2,1,12,0,2,4,161,7,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3740,300,63,1,13,1,19,0,0,1,35,0,1,14,1,12,43,1,0,4,3,0,7,2,2,16,49,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,3949,300,58,2,29,3,17,0,0,1,20,0,0,26,1,11,9,0,0,2,2,0,12,4,1,13,71,8,1,0,2,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,4158,300,29,3,17,3,39,0,0,0,21,0,1,56,0,18,3,0,0,0,3,3,9,2,3,3,78,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4577,300,26,2,19,2,20,2,0,2,41,0,1,59,0,15,8,1,0,5,4,2,10,0,1,9,58,7,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4787,300,38,3,28,2,12,1,0,1,30,0,0,25,0,11,5,1,1,1,1,2,24,5,0,15,76,12,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,4898,300,38,2,31,2,8,1,0,0,38,0,2,11,0,10,6,0,1,0,3,1,6,3,3,11,114,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
260,4926,300,25,1,33,2,14,0,0,0,48,0,0,13,1,7,12,2,0,1,5,4,17,6,7,6,87,4,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,4953,300,33,1,32,3,7,0,0,1,38,0,0,9,1,13,19,1,0,0,0,1,16,2,6,4,106,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,4981,300,27,3,26,0,7,0,0,2,38,0,0,10,3,6,17,1,0,1,1,1,10,3,4,17,117,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
320,5008,300,21,1,25,2,7,0,0,1,36,0,1,6,0,9,18,3,0,0,2,0,6,9,2,18,127,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
340,5035,300,23,0,29,3,6,0,0,2,37,0,0,6,0,6,17,1,0,0,0,1,11,2,1,12,140,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,5063,300,23,0,18,3,6,0,0,0,39,0,0,4,0,10,9,3,0,0,1,1,8,5,3,16,144,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
380,5090,300,15,0,17,2,6,0,0,4,42,0,1,7,1,16,9,2,0,1,0,3,14,4,4,29,118,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,5174,300,19,1,19,1,2,0,0,3,30,0,0,27,1,13,7,0,0,1,0,0,10,1,2,62,94,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,5328,300,14,2,20,1,2,0,0,2,37,0,1,32,1,14,8,1,1,1,0,0,7,8,0,41,104,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
420,5637,300,16,2,20,3,4,0,0,2,34,0,1,33,0,8,6,1,0,0,0,1,9,6,0,26,121,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,5945,300,7,0,13,4,5,0,0,1,32,0,1,38,1,12,9,1,0,1,1,1,10,5,8,43,99,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
460,6253,300,2,2,12,4,3,0,1,2,30,0,1,19,2,12,15,0,2,0,0,2,9,5,1,45,126,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,6562,300,17,0,9,1,3,0,0,4,28,0,1,15,0,7,14,2,0,0,1,1,4,3,0,39,141,2,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
500,6870,300,1,1,8,5,5,0,0,0,29,0,0,8,1,13,8,1,0,1,1,1,1,5,2,31,170,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
510,7025,301,7,1,8,1,4,0,0,2,26,0,0,13,1,5,11,1,0,1,0,0,4,1,0,31,172,4,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
520,7179,300,7,0,21,2,2,0,0,1,34,0,1,7,0,9,5,0,0,2,0,4,6,7,1,16,168,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,7487,300,7,1,20,1,5,0,0,0,64,0,3,7,2,8,7,3,0,4,3,1,14,2,2,20,102,18,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
560,7796,300,26,0,3,2,0,0,0,1,14,0,0,1,0,7,2,1,0,5,2,1,1,2,5,67,145,11,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,8104,300,35,0,3,5,0,0,0,2,22,0,1,1,1,9,2,1,0,6,12,3,1,7,1,72,103,5,2,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,8258,300,39,2,14,0,0,0,0,3,21,0,3,0,2,13,0,1,0,5,17,2,4,3,2,104,48,7,1,0,1,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,9725,300,42,0,8,2,0,0,0,5,17,0,0,5,1,7,2,1,1,7,12,5,5,3,0,150,19,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,11192,300,43,0,14,3,1,0,0,8,31,0,2,1,0,10,1,0,0,6,10,1,0,5,1,135,11,8,3,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
620,NA,322,12,1,16,5,0,0,0,26,23,0,3,0,1,14,6,1,0,61,44,3,1,7,2,58,8,14,11,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
630,NA,100,7,0,1,1,0,0,0,15,17,0,2,0,2,4,0,2,1,0,1,1,1,0,1,37,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
640,NA,300,15,0,9,13,0,0,0,20,25,0,5,1,5,21,12,5,0,5,6,12,0,7,1,89,25,0,5,2,1,1,0,0,0,2,0,0,0,0,0,1,0,10,1,0,0,0,0,1,0,0,0
650,NA,100,0,2,2,6,0,0,0,11,13,0,1,0,1,13,0,0,0,0,1,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
660,NA,101,8,0,3,7,0,0,0,14,12,0,4,0,1,5,1,2,0,0,13,1,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
670,NA,101,6,0,2,3,0,0,0,25,9,0,6,0,2,3,0,0,0,0,1,2,1,0,0,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,NA,100,7,0,1,0,0,0,0,18,21,0,7,0,2,8,3,1,0,0,0,1,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,NA,100,4,0,3,4,0,0,0,24,4,0,0,1,0,14,1,0,0,0,3,0,0,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0
740,NA,100,2,0,3,2,0,0,0,26,5,0,0,2,0,2,1,0,1,0,1,0,1,0,0,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
760,NA,100,6,0,3,2,0,0,0,21,0,0,4,1,1,8,3,1,0,0,2,0,1,0,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,NA,100,3,0,0,3,0,0,0,15,6,0,0,0,1,5,1,2,0,0,0,0,1,0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
860,NA,100,9,0,2,4,0,0,0,20,6,0,5,0,3,11,6,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
940,NA,100,4,1,3,16,0,0,0,21,5,0,1,0,1,3,0,0,0,0,2,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
1060,NA,100,6,0,2,7,0,0,0,36,15,0,3,0,0,3,1,0,0,0,1,2,0,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
