"sample.depths","sample.ages","upland.sum","Ambrosia.type","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ilex","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Liliaceae","Fabaceae","Myrica","Pinus","Poaceae","Urtica","Boehmeria","Celtis","Salix","Fraxinus","Asteraceae.subf..Cichorioideae","Apiaceae","Brassicaceae","Polygonum","Phacelia","Plantago","Malvaceae","Artemisia","Liquidambar","Mimosaceae","Juglans","Xyris","Cephalanthus","Primula","Betula","Ericaceae","Corylus","Rhus","Amaranthaceae","Viburnum","Nyssa","Ostrya.Carpinus","Tilia","Campanulaceae","Cornus","Acer","Impatiens","Lamiaceae","Convolvulaceae","Castanea","Galium","Planera.aquatica","Rhamnus","Ranunculaceae","Picea","Onagraceae"
260,15619,306,27,1,1,0,31,0,13,36,1,127,0,0,0,7,26,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,16180,336,36,1,3,0,22,0,16,20,0,156,0,1,0,5,46,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,3,0,2,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
280,16556,322,28,1,2,0,135,0,23,16,0,81,0,0,0,4,16,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,16780,307,16,3,0,0,118,0,34,11,1,95,0,0,0,3,11,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300,17004,326,6,0,0,0,13,0,6,8,0,188,0,0,0,0,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
310,17228,343,19,0,1,0,68,0,20,14,0,91,0,0,0,1,13,0,96,2,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,2,0,3,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
320,17453,305,22,0,0,0,47,0,20,23,0,127,0,0,0,2,14,0,37,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,17677,400,18,2,1,0,57,0,17,6,0,239,1,1,0,2,16,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
340,17901,401,17,3,0,0,53,0,23,10,0,209,0,0,0,1,33,0,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,3,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
350,18126,359,10,0,0,0,23,0,9,4,0,265,0,0,0,0,13,0,7,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,12,0,4,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
360,18350,380,25,4,2,0,156,0,33,22,0,76,2,0,0,2,33,0,1,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
370,18574,336,28,2,1,0,103,0,39,28,0,20,0,0,0,1,76,0,0,1,3,0,0,5,0,1,1,0,0,7,0,0,0,0,0,0,0,0,11,2,0,3,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
380,18798,348,30,1,6,0,131,0,18,21,0,14,0,0,0,3,98,0,6,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,1,0,5,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0
390,19023,350,27,3,1,0,128,0,43,36,0,22,0,0,0,1,55,0,1,1,1,1,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,7,2,0,2,0,0,0,0,2,0,0,0,0,5,0,0,1,1,0,0
400,19247,370,39,3,0,0,92,0,23,30,0,46,0,2,0,2,63,0,5,2,3,0,1,2,0,0,1,0,0,8,0,0,0,0,0,0,3,1,11,4,0,3,0,0,1,0,0,1,2,1,0,11,0,0,8,0,2,0
410,19471,425,48,13,1,0,93,0,45,48,0,33,1,1,0,7,69,0,1,4,1,0,0,4,0,1,1,0,0,8,0,0,1,0,2,0,2,1,16,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,7,1
413,19539,326,29,3,1,0,80,1,39,45,0,12,1,2,0,8,73,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,8,0,0,0,3,4,0,0,0,0,0,0,0,4,0,0,3,0,2,2
420,19696,319,14,0,1,0,106,0,32,31,0,23,0,0,0,1,77,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,9,3,0,3,0,0,1,0,1,1,0,0,0,1,0,0,5,0,2,1
430,19920,434,26,4,2,0,123,0,39,39,0,29,2,0,0,1,99,0,14,1,0,0,0,3,0,3,0,0,0,6,0,0,1,0,0,0,2,0,13,7,1,3,0,0,1,0,0,2,1,1,0,1,1,0,7,0,2,0
440,20144,355,23,5,1,0,120,0,34,32,1,20,0,0,0,1,59,0,4,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,19,8,0,1,0,0,0,0,0,0,0,1,0,5,0,0,6,0,4,0
450,20368,350,30,8,0,0,90,0,34,66,1,17,0,0,0,4,69,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,2,7,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,0,6,1
456,20503,326,30,2,1,0,92,0,26,25,0,16,0,0,0,3,93,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,2,0,13,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,3,0
460,20593,341,36,5,0,0,84,0,17,42,0,7,0,0,0,1,114,0,0,1,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,4,0,7,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,7,0,3,0
466,NA,329,20,2,0,0,89,0,29,36,0,21,0,0,0,1,93,0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,8,0,1,0,0,0,3,0,0,0,0,0,0,8,0,0,4,0,4,1
