"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Fraxinus.americana.type","Carya.ovata","Myrica.gale","Picea.cf..P..glauca","Alnus.viridis.type","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Salix.undiff.","Caryophyllaceae","Taxus","Thalictrum","Amaranthaceae","Acer.saccharinum","Juglans.cinerea","Corylus.cornuta","Viburnum.nudum","Acer.pensylvanicum","Acer.spicatum","Ambrosia.type","Sambucus","Prunus.virginiana","Viburnum.edule","Juglans.nigra","Pinus.resinosa.type","Urtica.type","Morus.rubra.type","Viburnum.lentago","Impatiens","Brassicaceae","Populus.balsamifera.type","Rubiaceae","Potentilla.palustris.type","Prunus.pensylvanica","Celtis.occidentalis","Liliaceae","Viburnum.undiff.","Rhus.typhina","Rhamnus.alnifolia.R..frangula","Prunus.undiff.","Salix.vestita.type","Apiaceae","Onagraceae","Salix.herbacea.type","Cornus","Shepherdia.canadensis","Fabaceae","cf..Oxyria.digyna","Polygonaceae.undiff."
315,5020,665,3,10,1,250,2,1,14,13,6,3,2,4,26,21,0,1,13,1,2,0,8,0,1,9,83,1,0,161,2,0,5,0,0,3,3,0,0,0,0,7,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5269,833,0,8,1,391,1,0,13,6,4,7,0,4,30,26,0,0,12,2,1,0,11,1,2,2,64,0,1,224,1,0,0,0,0,1,4,0,1,1,0,7,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,5568,520,1,2,3,192,1,0,9,13,2,3,0,2,21,22,0,1,16,4,0,0,7,0,4,2,57,0,2,133,0,0,0,0,0,4,1,3,0,0,0,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5892,447,1,4,0,141,1,1,9,11,5,2,2,13,4,18,0,1,8,2,0,0,4,0,0,7,40,0,4,157,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,6265,473,1,11,1,83,3,0,6,9,2,4,2,10,35,29,0,1,15,0,1,1,2,0,0,36,153,0,0,56,1,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6514,875,4,72,1,194,4,2,9,15,4,1,18,7,48,51,0,0,23,0,1,2,12,0,3,22,276,0,2,63,4,0,0,3,0,24,5,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,6763,419,0,3,0,66,1,1,6,7,4,0,0,6,31,36,0,1,8,0,0,2,4,0,0,10,148,0,4,63,1,0,1,0,0,7,1,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7137,538,0,7,1,59,1,0,1,3,1,0,7,4,92,40,0,1,4,1,0,2,1,0,0,9,270,0,2,11,3,1,0,1,0,1,6,0,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,7435,508,0,5,1,85,1,0,1,4,8,0,2,4,37,42,0,3,7,1,0,1,2,1,0,28,252,0,3,4,0,0,2,1,0,2,1,2,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,7759,664,3,4,1,95,2,0,7,15,5,2,2,2,66,93,1,0,30,0,1,0,6,1,0,18,267,0,1,5,1,0,1,4,0,6,4,0,0,1,0,9,1,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,8058,728,0,5,1,196,1,0,5,6,3,2,3,10,125,25,0,2,11,1,2,3,3,0,0,38,218,0,0,0,4,0,0,5,0,33,8,0,0,0,0,12,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,8382,604,0,6,2,143,1,0,4,13,8,0,6,32,24,36,0,1,10,5,2,0,1,0,0,48,192,0,8,2,15,0,0,0,0,14,13,1,0,1,0,7,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
462,8680,415,0,3,2,139,1,0,2,9,2,2,5,3,32,24,0,1,11,0,0,2,2,0,0,76,66,0,1,2,0,0,1,4,0,9,8,0,0,2,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,9004,507,0,0,1,138,0,0,1,7,1,3,4,3,26,32,0,0,9,4,4,3,5,0,0,154,31,0,2,0,1,0,0,8,0,43,12,0,0,2,0,2,0,1,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
487,9303,546,1,0,1,139,5,0,0,2,0,7,0,14,132,13,0,0,4,1,11,7,2,0,0,104,29,0,0,1,7,0,0,10,0,29,17,1,0,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,9627,670,0,2,1,295,1,0,0,3,1,2,0,11,63,35,0,3,5,8,2,0,1,0,0,58,58,0,2,1,7,0,1,6,0,39,47,0,0,11,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,9925,489,0,0,3,256,5,0,0,3,0,1,1,25,6,9,0,0,8,4,6,0,1,0,0,39,19,0,3,0,7,0,0,18,0,39,19,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,10249,567,0,3,3,172,11,0,1,15,2,1,11,34,15,50,1,2,8,17,5,0,2,1,0,29,13,1,8,2,24,0,1,49,0,8,47,0,3,14,0,2,0,0,0,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
535,10498,475,1,1,5,87,10,0,0,9,0,0,6,74,4,31,0,8,6,8,7,0,3,0,0,19,13,0,3,1,12,0,0,52,0,6,73,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
542,10672,597,0,1,8,166,6,1,0,3,0,0,4,16,4,27,0,7,6,8,3,2,2,0,0,26,13,0,1,1,2,0,2,53,0,2,144,0,1,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
550,10872,550,1,1,1,119,9,0,0,1,1,0,3,7,3,15,1,2,9,30,2,2,0,0,0,23,6,0,7,0,4,0,0,36,0,5,207,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
560,11121,638,0,0,9,93,87,8,0,6,1,0,0,28,22,31,2,9,21,1,25,0,0,0,0,76,27,0,5,1,5,0,0,0,0,31,35,1,0,99,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
570,11370,428,0,3,15,51,106,2,0,2,1,0,1,10,10,10,0,2,7,6,54,0,0,0,1,36,3,0,0,0,5,0,0,0,0,27,2,0,0,44,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,5,3,0
580,11619,552,0,9,34,37,132,2,0,1,1,0,0,18,11,6,0,11,4,1,83,0,0,0,0,69,6,0,0,1,9,0,2,1,0,25,1,0,0,15,4,0,6,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,17,0,0,15,0,1,9,12,0
590,NA,544,0,3,15,42,143,0,0,5,3,0,4,17,16,18,0,11,21,0,67,0,3,1,0,51,0,0,0,0,6,0,0,0,0,17,1,0,1,26,1,0,0,2,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,13,0,0,6,0,3,29,8,1
600,NA,413,1,41,28,92,10,3,2,1,3,1,2,3,59,21,0,6,10,6,17,0,0,0,1,12,3,0,2,1,27,0,2,3,0,37,6,1,2,2,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
