"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum.type","Alisma","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Elymus","Ephedra","Epilobium.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.undiff.","Humulus","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemnaceae","Lycopodium.type","Malvaceae","Myriophyllum","Nuphar","Ostrya.Carpinus","Parthenocissus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Rosaceae","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Thalictrum","Tilia","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Utricularia"
410,3223,0,1,0,0,1,26,37,0,0,54,12,1,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2,46,0,0,60,0,0,0,0,12,1,0,0,0,1,1,9,2,0,0,0,0,0,8,4,2,0,0
420,3369,0,0,0,0,2,28,34,1,0,71,10,1,3,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,11,0,0,0,2,44,0,0,52,0,0,0,0,21,1,0,0,0,0,0,7,0,0,0,0,0,0,9,4,3,0,0
430,3516,1,0,0,0,5,27,30,0,0,52,10,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,19,0,0,0,3,40,0,0,50,0,1,0,0,15,1,1,0,0,0,0,6,2,0,0,0,0,0,9,5,5,0,0
440,3662,1,0,0,0,4,26,36,3,0,51,9,0,2,0,0,1,0,0,1,1,32,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,1,0,3,32,0,0,62,0,0,0,0,9,0,1,0,0,2,0,8,0,0,0,0,2,0,10,5,4,0,0
450,3809,0,0,1,0,2,19,25,1,0,64,9,0,1,0,0,1,0,0,1,0,28,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,4,59,0,0,45,0,0,0,0,25,3,0,0,0,0,4,3,0,0,0,0,1,0,10,8,6,0,0
460,3955,0,0,0,0,2,19,58,1,0,67,15,0,2,0,0,0,0,0,0,0,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,42,0,0,25,0,1,0,0,28,0,0,0,0,0,1,1,2,0,0,0,0,0,10,11,2,0,0
470,4102,0,0,0,0,6,28,74,1,0,49,15,0,2,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,1,0,0,1,4,2,0,0,0,0,0,0,0,5,0,0,0,2,29,0,0,27,0,1,0,0,30,1,0,0,0,0,0,5,1,0,0,0,0,0,5,8,1,0,0
480,4248,1,0,0,0,3,24,35,0,0,59,18,1,7,0,0,0,0,0,0,4,29,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,38,0,0,50,0,0,0,1,21,1,1,0,0,0,0,1,1,0,0,0,1,0,5,2,4,0,0
490,4395,0,0,0,0,7,26,37,0,0,50,16,0,10,0,0,0,0,0,0,1,22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,6,50,0,0,29,0,0,0,0,28,1,1,0,0,0,0,3,2,0,0,0,1,0,7,9,6,0,0
500,4541,0,1,1,0,5,30,61,0,0,38,9,1,1,0,0,0,0,0,1,0,24,0,0,0,2,0,0,0,0,0,5,0,0,0,1,1,0,0,2,0,0,0,0,5,0,0,0,0,33,0,0,44,1,0,0,1,20,0,0,1,0,0,0,4,1,0,0,0,0,0,9,12,3,1,0
510,4688,0,0,0,0,2,20,56,1,0,50,13,0,3,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,1,0,0,5,2,1,0,0,0,0,0,0,0,3,0,0,0,12,31,0,0,49,0,0,1,1,22,2,0,0,0,0,1,3,0,0,0,0,0,0,5,7,3,0,0
520,4834,1,0,0,0,4,27,36,1,0,49,13,0,1,0,0,0,0,0,1,1,23,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,5,48,0,0,44,0,1,2,0,31,0,0,0,0,0,1,0,1,0,0,0,0,0,3,11,2,0,0
530,4981,0,0,0,0,3,29,65,1,0,49,11,0,9,0,0,0,0,0,2,0,36,0,0,0,5,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,1,1,0,16,28,0,0,23,0,1,0,0,13,0,0,0,0,0,0,5,1,0,0,0,1,0,6,5,1,0,0
540,5127,0,0,1,0,4,27,55,0,0,65,9,0,0,0,0,0,0,0,0,0,42,0,1,0,3,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,10,0,0,0,2,21,0,0,47,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,10,11,1,0,0
550,5274,1,0,0,0,1,17,73,1,0,62,11,0,2,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,2,36,1,0,34,0,0,0,0,17,0,0,0,0,0,1,5,2,0,0,0,0,0,4,9,5,0,0
560,5420,1,0,0,0,1,17,135,0,0,45,9,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,1,1,20,0,0,30,0,0,0,0,16,0,1,0,0,2,1,0,1,0,0,0,0,0,4,10,1,0,0
570,5567,0,0,0,0,2,24,40,0,0,69,4,0,3,0,0,0,0,0,0,0,17,0,0,0,3,1,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,8,28,0,0,54,0,0,3,1,9,1,0,0,0,1,0,5,0,0,0,0,0,0,5,21,5,0,0
580,5713,0,0,0,0,2,22,42,0,0,69,9,0,1,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0,3,19,0,0,62,0,0,1,1,20,2,0,0,0,0,1,2,0,0,0,0,0,0,5,15,2,0,0
590,5860,0,0,0,0,2,19,47,0,0,59,10,1,3,0,0,0,0,0,0,0,23,0,1,0,1,0,0,0,0,0,0,2,1,4,2,0,0,0,0,0,0,0,0,2,0,2,0,1,23,0,0,65,0,0,0,0,26,0,0,0,0,0,0,8,1,0,0,0,0,0,2,4,0,0,0
600,6006,0,0,0,0,0,20,154,0,0,35,20,0,0,0,0,0,0,0,0,0,18,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,4,20,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0
610,6153,0,0,0,0,3,51,32,1,0,38,8,0,3,0,0,0,0,0,1,0,26,0,2,0,3,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,8,51,0,0,45,0,0,0,0,22,3,0,0,0,0,0,0,1,0,0,0,1,0,3,6,4,0,0
620,6299,1,0,0,0,0,41,69,0,0,43,7,0,1,0,0,0,0,0,1,0,17,0,0,1,0,0,0,0,0,0,0,3,0,4,1,1,0,0,0,0,0,0,0,6,0,0,0,2,28,0,1,57,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0
630,6446,0,0,1,0,3,20,45,2,0,56,5,0,10,0,0,1,0,0,1,0,15,0,2,1,0,0,0,1,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,4,21,0,0,47,0,0,0,2,37,0,0,0,0,0,0,0,1,0,0,0,0,0,2,21,0,0,0
640,6592,0,0,1,0,1,17,54,1,0,59,10,0,7,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,14,21,0,0,35,0,0,1,2,26,0,0,0,0,0,0,0,1,0,0,0,1,1,3,20,0,0,0
650,6739,1,0,1,0,1,27,42,0,0,48,7,0,6,0,0,3,0,0,1,0,22,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,11,14,0,0,41,0,0,0,3,48,1,0,0,0,0,1,0,0,0,0,0,3,0,5,15,2,0,0
660,6885,0,0,1,0,4,33,40,0,0,73,6,1,7,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,11,0,0,53,0,0,0,0,23,3,0,0,0,1,0,0,0,0,0,0,0,0,7,14,4,0,0
670,7032,0,0,0,0,4,30,45,1,0,60,9,0,7,0,0,0,0,0,1,1,23,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,2,0,0,0,13,23,0,0,43,0,0,0,1,21,2,0,0,0,2,0,0,0,0,0,0,2,0,3,8,1,0,0
680,7178,0,0,0,0,5,27,38,2,0,61,15,0,5,0,0,0,0,0,1,0,36,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,16,13,0,0,50,0,0,0,0,18,1,0,0,0,0,0,0,1,0,0,0,1,0,4,9,0,0,0
690,7325,0,0,0,0,1,41,56,0,0,55,4,0,6,0,0,1,0,0,0,0,30,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,13,22,0,0,33,0,0,0,1,25,1,0,0,0,0,0,0,3,0,0,0,1,0,8,5,3,0,0
700,7471,2,0,1,0,4,44,44,1,0,51,5,0,11,0,0,0,0,0,0,0,22,0,0,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,28,25,0,0,29,2,0,0,0,27,2,0,0,0,0,0,0,1,0,0,0,0,0,8,4,5,0,0
710,7618,0,1,0,0,1,44,41,0,0,50,13,0,5,0,0,1,0,1,0,0,15,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,1,14,39,0,1,39,0,0,0,1,20,1,1,0,0,0,0,0,0,0,0,0,2,0,11,3,2,0,0
720,7764,0,0,1,0,2,33,51,2,0,58,10,0,3,0,1,0,0,0,1,0,14,0,2,1,5,0,0,0,0,0,1,0,0,12,2,0,0,0,0,0,0,0,0,3,0,0,0,8,28,0,0,48,0,0,0,0,25,2,0,0,0,0,0,0,1,0,0,0,0,1,6,4,5,0,0
730,7911,0,0,0,0,2,33,39,1,0,57,10,0,11,0,0,0,0,0,1,1,17,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,6,29,0,0,32,0,0,0,1,47,0,0,0,0,0,0,0,3,0,0,0,0,1,6,7,2,0,0
740,8057,1,0,0,0,5,24,32,0,0,62,7,2,3,0,0,0,0,0,1,0,35,0,1,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,12,14,0,0,56,0,0,0,1,29,1,0,0,0,0,3,0,2,0,0,0,0,0,1,9,3,0,0
750,8204,1,0,0,0,0,34,55,0,0,55,7,1,5,0,0,0,0,0,4,0,19,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,47,23,0,0,16,0,0,0,1,25,1,0,0,0,1,0,0,2,0,0,0,0,0,3,3,1,0,0
760,8350,2,0,0,0,3,38,37,0,0,51,5,1,6,0,0,0,0,0,5,0,26,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,19,20,0,0,27,0,0,0,1,40,0,0,0,0,0,1,0,1,0,0,0,0,0,1,16,3,0,0
770,8497,2,0,0,0,1,32,77,0,0,54,8,0,2,0,0,1,0,0,2,0,11,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,19,18,0,0,28,0,0,0,1,29,2,0,0,0,0,0,0,0,0,0,0,0,0,5,13,1,0,0
780,8643,0,0,0,0,2,40,53,0,0,48,7,0,16,0,0,3,0,0,0,0,17,0,0,0,2,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,46,0,0,0,0,24,3,0,1,0,0,0,0,1,0,0,0,0,0,2,6,2,0,0
790,8789,2,0,0,0,3,25,69,0,0,44,7,0,9,0,0,1,0,0,1,0,16,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,13,0,0,35,0,0,0,0,35,4,0,0,0,0,0,0,2,0,0,0,0,0,3,6,6,0,0
800,8936,0,0,0,0,5,31,24,0,0,37,6,0,1,0,0,1,0,0,1,0,45,0,0,1,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,14,21,0,0,54,0,0,0,1,47,1,0,0,0,0,1,0,0,0,0,0,0,0,2,10,1,0,0
810,9082,2,0,0,0,2,29,25,0,0,40,5,1,12,0,0,0,0,0,1,0,25,0,0,6,1,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,34,31,0,0,49,0,0,0,0,28,1,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0
820,9229,1,0,1,0,5,26,35,0,0,48,8,0,8,0,0,1,0,0,2,0,20,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,25,29,0,0,33,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,3,0,0
830,9382,0,0,0,0,1,22,39,0,0,33,10,1,9,0,0,0,0,0,2,0,10,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,14,38,0,0,45,0,0,0,0,45,1,0,0,0,1,0,0,0,0,0,0,0,0,4,25,3,0,0
840,9534,2,0,2,0,3,18,9,0,0,36,6,0,6,0,0,1,0,0,1,0,39,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,13,31,0,0,61,0,1,0,8,35,0,0,0,0,0,1,0,1,0,0,0,1,0,4,20,1,0,0
850,9687,0,0,0,0,2,16,28,0,0,40,5,0,11,0,0,1,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,9,31,0,1,51,0,0,0,3,48,0,0,0,0,0,1,4,2,0,0,0,1,0,9,30,1,0,0
860,9840,1,1,0,0,6,18,24,0,0,56,1,0,13,0,0,1,0,0,1,0,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,27,0,0,63,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,3,0,6,30,3,0,0
870,9992,1,0,0,0,1,8,15,0,0,22,2,0,19,0,0,2,0,2,10,0,22,0,0,0,1,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,53,0,1,1,4,42,0,0,0,0,0,0,3,0,0,1,0,0,0,3,56,2,0,0
880,10145,3,0,0,0,4,11,14,0,0,32,5,0,7,0,0,0,0,0,5,0,52,0,0,2,2,0,0,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,2,1,0,21,35,0,0,47,0,1,0,3,15,0,0,0,0,0,0,6,1,0,0,0,0,0,10,35,1,0,1
890,10298,0,1,2,0,7,10,12,0,0,13,3,0,6,0,0,2,0,0,7,0,45,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,12,23,0,0,82,0,0,0,6,25,0,0,0,0,1,0,1,0,0,0,0,0,0,2,34,4,0,0
900,10450,0,1,3,0,2,7,12,0,0,23,6,0,22,0,0,1,0,0,5,0,24,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,1,1,1,0,19,31,0,0,53,0,0,0,11,26,0,0,0,0,0,0,4,0,0,0,0,0,0,8,43,1,0,0
910,10603,3,0,0,0,2,10,6,0,0,10,1,0,22,0,0,0,0,0,7,0,28,0,0,3,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,3,0,0,0,2,1,4,0,7,39,0,0,42,0,1,0,3,27,3,1,0,0,0,0,3,0,0,0,0,2,0,5,72,0,0,0
920,10756,2,0,1,0,5,7,0,0,0,14,1,0,24,0,0,1,0,0,1,0,33,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,14,39,0,0,56,0,2,0,15,27,0,0,0,0,0,0,4,1,0,1,0,0,0,6,44,4,0,0
930,10909,1,0,2,0,8,10,11,0,0,7,4,0,33,0,0,1,0,0,6,0,21,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,13,48,0,0,33,0,1,0,7,42,0,0,0,0,0,0,1,1,0,0,0,2,0,6,46,2,0,0
934,10970,2,0,4,0,4,12,14,0,0,15,5,0,29,0,0,0,0,0,7,1,11,0,0,1,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,15,56,1,0,29,0,0,0,2,32,0,0,0,0,0,0,6,1,0,0,0,0,0,2,47,2,0,0
938,11031,9,0,0,0,8,3,11,0,0,10,3,1,30,0,0,0,0,0,5,0,13,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,29,57,0,0,26,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,0,0,1
940,11061,5,0,3,0,9,3,2,0,0,17,2,0,58,0,0,0,0,0,7,0,9,0,0,2,1,0,0,0,0,0,1,0,0,5,0,0,0,1,0,1,0,0,0,0,0,2,0,19,34,0,0,35,0,3,1,6,32,1,0,0,0,0,0,2,0,0,0,0,0,0,2,50,4,0,0
942,NA,5,0,1,0,12,4,4,0,0,10,2,0,65,0,0,0,0,0,7,0,15,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,54,26,0,0,23,0,1,0,8,27,1,0,0,0,0,0,2,0,0,0,0,1,0,5,28,0,0,0
944,NA,7,0,0,0,14,3,2,0,0,7,0,0,48,0,0,0,0,0,3,2,33,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,89,10,1,0,25,0,0,0,1,18,0,0,0,0,0,0,3,0,1,1,1,0,0,3,21,1,0,0
951,NA,0,0,0,0,13,4,8,0,0,23,7,0,17,1,0,0,0,0,4,0,28,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,2,1,0,0,123,6,0,0,17,0,0,0,0,16,0,0,0,0,0,0,3,1,0,0,0,0,0,4,21,1,0,0
953,NA,2,0,0,0,8,2,1,0,0,13,1,0,3,0,0,1,1,0,3,0,25,0,0,3,8,0,0,0,0,0,1,0,0,6,0,0,0,0,0,5,0,0,0,1,0,0,0,120,3,0,0,7,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0
