"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Caprifoliaceae.undiff.","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Ribes","Ulmus","Juniperus.type","Amaranthaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Picea.undiff.","Pinaceae","Betula.undiff.","Acer.rubrum","Artemisia","Salix","Asteraceae.subf..Asteroideae.undiff.","Rosaceae.undiff.","Cerealia","Castanea.dentata","Myrica.gale","Tsuga.canadensis","Larix","Ostrya.Carpinus","Liliaceae","Carya.ovata","Betula","Fabaceae.undiff.","Populus.tremuloides.type","Sambucus","Tilia","Rhamnus.alnifolia.R..frangula","Fraxinus.pennsylvanica.type","Juglans.cinerea","Brassicaceae","Thalictrum","Ranunculaceae.undiff.","Rubus.chamaemorus","Juniperus.communis.Thuja.occidentalis.type","Taxus","Alnus.viridis.type","Saxifraga.cernua.type","Pinus.resinosa.type","Shepherdia.canadensis","Caryophyllaceae","Epilobium","Populus.balsamifera.type","Potentilla.palustris.type","Asteraceae.subf..Cichorioideae","Armeria.maritima","cf..Oxyria.digyna","Oxytropis.maydelliana.type","Polygonum.viviparum","Apiaceae","Koenigia.islandica","Viburnum.edule","Viburnum.alnifolium","Fraxinus.americana.type","Juglans.nigra","Campanula.type"
130,3085,643,1,9,0,1,2,2,11,2,0,0,0,52,3,0,0,0,0,0,53,0,1,9,71,0,34,25,351,4,0,0,1,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3441,404,0,4,0,0,10,1,6,2,0,1,8,17,10,0,2,0,1,0,40,1,10,0,44,0,5,2,233,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,3678,390,0,6,0,0,10,0,7,2,0,0,45,34,2,0,1,0,0,0,23,2,1,6,30,0,0,7,194,1,0,0,1,5,0,0,0,3,0,0,1,0,0,0,4,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4034,848,0,15,1,0,119,0,8,1,5,3,18,16,15,0,1,0,0,0,36,3,41,0,114,0,5,2,419,0,4,0,0,0,0,0,5,6,1,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4271,625,4,3,0,0,19,0,8,0,1,0,0,40,4,0,2,0,2,0,30,0,0,0,29,0,33,27,415,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,4508,664,0,10,0,0,53,0,15,3,3,4,14,12,1,0,1,0,0,0,32,9,8,1,58,0,9,2,414,0,2,0,0,1,0,1,3,2,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,4864,525,0,6,2,0,12,0,2,3,5,0,51,33,4,0,1,0,2,0,27,2,1,0,55,0,0,5,289,1,1,0,0,3,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5220,679,0,9,2,0,27,0,1,2,2,8,35,12,5,0,3,0,3,0,68,4,11,2,213,0,5,4,229,0,2,0,0,2,0,1,3,23,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5439,382,0,3,1,0,1,1,1,0,7,0,1,63,1,0,1,0,0,0,40,0,0,0,45,0,25,25,141,1,1,0,0,0,0,0,0,20,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5602,926,0,37,1,0,25,1,5,12,12,10,23,11,9,0,5,0,1,0,54,8,27,0,141,0,13,5,458,0,0,0,0,0,0,0,14,51,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,5847,306,0,6,1,0,0,0,1,1,0,0,1,28,1,0,6,0,1,0,21,1,1,2,89,0,25,10,90,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6091,826,0,20,3,0,14,1,4,4,8,8,21,24,26,0,3,1,1,0,27,2,28,11,188,0,16,6,368,1,10,0,4,1,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6254,791,0,14,4,0,0,0,2,1,7,0,0,62,23,0,3,0,1,0,34,0,0,0,124,0,27,67,406,2,1,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,6417,969,1,28,2,0,14,1,4,6,7,8,24,23,36,0,15,1,2,0,29,7,28,26,175,0,18,28,465,0,4,1,2,0,0,0,3,6,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,6662,480,0,13,1,0,1,0,2,3,2,0,20,56,11,0,5,0,1,0,31,1,0,4,66,0,17,10,222,1,2,2,1,0,0,0,0,3,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,6825,639,0,68,1,0,7,0,0,5,4,3,35,21,24,0,1,0,0,0,49,0,8,3,114,0,14,4,251,0,2,3,4,1,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,6988,520,1,95,1,0,4,0,0,1,2,12,37,22,13,0,4,0,0,0,11,0,16,20,46,0,38,10,163,0,2,6,0,0,0,1,1,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,7070,545,0,65,1,0,4,0,0,0,2,0,109,27,15,0,2,0,2,0,2,0,2,26,42,0,39,24,165,2,2,7,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,7151,399,0,41,1,0,13,0,0,2,3,4,70,13,16,0,3,0,1,0,10,0,8,8,52,0,24,4,107,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,7314,784,1,13,2,0,44,1,0,0,30,14,28,18,35,0,6,4,0,0,4,1,32,15,82,0,14,6,355,0,5,32,12,1,0,0,1,2,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,3,4,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,7477,475,0,10,1,2,19,1,0,0,25,0,0,0,5,0,33,4,2,0,7,0,5,9,0,0,25,4,261,1,9,40,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7559,357,1,1,0,0,28,2,0,0,23,3,2,7,7,0,1,2,1,0,6,0,15,9,20,0,3,2,150,0,11,43,3,1,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
370,7722,448,0,4,0,0,45,0,1,2,41,4,10,13,11,0,1,1,1,0,8,0,26,24,17,0,3,6,162,0,16,26,2,2,0,0,1,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
380,7885,791,0,13,0,0,178,0,0,1,261,9,10,17,2,0,0,0,1,0,7,0,10,22,22,0,5,7,57,0,55,25,0,9,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,2,6,1,0,0,0,9,10,0,0,14,0,1,6,1,1,20,2,1,0,0,0,0,0,0,0
385,7967,1078,0,25,3,0,275,0,0,1,394,5,16,20,15,0,0,0,0,0,11,0,21,21,20,0,10,7,54,0,28,26,1,10,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,8,1,2,0,0,0,20,10,0,0,40,1,0,1,1,1,19,5,0,0,0,0,0,0,0,0
390,NA,791,0,9,3,0,185,0,1,1,303,8,9,16,5,0,1,0,1,0,5,0,5,25,12,0,3,5,24,0,29,38,10,9,0,1,1,1,0,0,0,0,0,0,5,0,0,0,0,1,6,1,3,0,0,0,8,1,0,0,24,1,0,2,4,1,15,5,0,4,0,0,0,0,0,0
395,NA,1301,0,22,5,0,254,0,0,2,527,11,22,34,8,0,6,0,1,0,5,0,19,30,14,0,26,13,43,0,24,101,0,22,0,0,1,2,0,1,0,0,0,0,6,0,0,0,0,1,3,1,1,0,0,0,21,0,0,0,41,0,0,8,1,1,16,6,0,0,1,1,0,0,0,0
400,NA,374,0,2,2,0,98,0,1,0,125,4,4,11,2,0,0,1,1,0,6,2,2,7,5,0,4,6,24,0,7,27,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,5,0,0,0,11,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
405,NA,632,0,5,3,0,80,1,3,2,199,8,11,25,9,0,4,1,0,0,10,1,16,19,5,0,11,12,79,0,15,44,0,4,0,0,2,2,0,1,0,2,0,0,14,0,0,0,1,0,0,0,7,0,0,0,14,0,0,1,17,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
410,NA,333,0,2,6,0,18,0,1,1,84,10,3,15,5,0,3,0,1,0,7,2,7,13,3,0,12,11,38,0,16,32,0,3,0,0,1,2,0,0,0,1,0,0,6,0,1,0,1,1,0,0,0,0,0,0,10,0,0,0,10,0,0,1,1,1,1,0,2,0,0,0,1,0,0,0
415,NA,355,0,8,1,0,16,0,0,3,14,6,4,19,17,0,5,0,1,0,14,4,1,16,5,0,9,16,172,0,2,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
420,NA,275,0,11,0,0,11,0,1,4,21,4,9,0,9,0,3,0,0,0,8,1,6,31,16,0,5,12,97,1,3,3,0,0,0,0,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
425,NA,263,0,7,0,0,23,1,0,3,55,6,0,21,7,0,0,1,0,0,7,1,9,11,0,0,8,8,60,0,7,9,0,1,0,0,2,4,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,NA,211,0,6,1,0,15,0,1,1,40,6,1,0,5,0,2,0,2,0,3,2,8,20,11,0,3,16,48,0,3,7,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
435,NA,176,0,3,2,0,9,0,0,1,13,3,1,6,2,0,0,0,1,0,9,0,6,5,5,0,8,18,75,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,NA,229,0,1,4,0,16,0,1,1,25,2,0,20,2,0,6,0,0,0,12,4,5,6,3,0,4,12,81,1,3,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
445,NA,69,0,4,0,0,2,0,0,0,6,1,2,0,0,0,0,0,0,0,4,0,0,3,0,0,4,8,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,NA,149,0,7,0,0,8,0,3,0,27,2,2,4,4,0,0,1,0,0,11,0,4,4,2,0,2,16,41,0,2,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
