"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Cornus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Hypericum","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Liliaceae","Linnaea.borealis","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Polygonum.convolvulus.type","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubiaceae","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum.alnifolium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.opulus","Viburnum.undiff."
210,2540,10,0,1,0,20,0,5,1,0,1,0,2,0,0,0,153,0,0,1,0,0,0,0,0,0,0,3,11,0,0,0,3,1,0,0,41,3,6,0,0,0,0,2,1,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7,2,2,5,59,24,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,41,0,0,9,1,1,0,0,0,0,0,0,0,0
225,2636,3,0,4,0,18,0,13,2,0,0,0,0,1,0,0,306,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,3,0,55,0,12,5,3,0,0,5,0,0,6,4,0,3,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,8,0,0,13,2,3,0,151,11,2,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,83,0,0,11,1,1,0,0,0,0,1,0,0,0
250,2796,8,0,3,0,23,0,11,3,1,1,0,0,0,0,0,333,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,2,0,0,42,2,9,3,0,0,5,4,2,0,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,7,4,2,0,96,23,7,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,2,47,0,1,6,0,5,0,0,0,0,0,0,0,0
260,2860,6,1,0,0,15,0,6,3,0,1,0,1,1,0,0,305,0,0,2,0,1,0,1,0,0,0,2,6,0,0,0,0,0,0,0,53,0,7,4,3,0,1,6,3,1,21,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,0,0,3,2,5,0,132,28,6,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11,0,0,32,0,1,5,1,6,0,0,0,0,0,0,0,0
275,2957,6,0,2,0,17,0,11,0,1,1,0,0,1,0,0,239,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,31,1,14,2,0,0,2,6,1,0,4,10,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,16,6,8,0,122,17,2,0,0,0,0,2,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,12,1,3,0,0,0,0,0,0,0,0
285,3021,8,0,1,0,9,1,7,4,0,0,0,2,0,0,0,211,0,0,1,0,0,0,1,0,0,0,0,14,0,0,0,0,1,0,0,25,0,5,3,1,0,6,2,0,0,7,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,1,8,2,14,0,79,23,6,0,0,0,0,4,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,13,1,0,6,1,4,0,0,0,0,0,0,0,1
300,3117,1,0,3,0,12,0,6,1,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,49,2,9,1,1,0,2,1,3,0,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,9,4,5,2,128,15,4,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,2,24,0,0,2,0,1,0,0,0,0,0,0,0,0
325,3277,6,0,0,0,12,1,11,1,1,0,0,0,0,0,0,272,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,46,3,10,0,1,0,0,1,1,0,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,2,11,0,117,39,4,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,19,0,0,5,1,5,2,0,0,0,0,0,0,0
350,3438,0,1,1,0,15,0,8,3,1,1,0,1,0,0,0,240,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,51,0,3,3,2,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,5,1,3,0,132,6,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,16,0,0,8,1,3,2,0,0,2,0,0,0,0
360,3502,6,0,6,0,11,0,11,0,0,0,0,1,0,0,0,246,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,38,1,6,2,1,0,0,2,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,14,3,110,21,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,1,3,0,3,3,0,0,0,0,0,0,0
375,3598,6,0,3,0,15,0,14,0,0,2,0,0,0,0,0,258,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,2,0,0,0,33,3,8,3,2,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,10,0,153,40,3,0,0,0,0,4,1,0,0,0,30,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,2,14,0,0,16,0,2,0,0,0,0,1,0,0,0
385,3814,0,0,0,0,12,0,11,3,0,0,0,1,2,0,0,292,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,17,0,5,3,0,0,0,5,0,0,0,3,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,3,0,1,7,1,1,1,122,7,4,0,0,0,0,3,2,0,0,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,3,15,0,1,13,2,14,6,0,0,0,0,0,0,0
400,4215,1,0,1,0,11,0,13,0,0,1,0,0,2,0,0,256,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,7,2,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,1,0,0,0,64,7,5,0,0,1,0,0,0,0,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,31,0,0,12,2,4,1,0,0,0,0,0,0,0
415,4615,2,0,0,0,5,0,7,2,0,2,0,0,2,0,0,239,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,5,2,7,3,0,0,5,10,1,0,4,0,0,1,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,1,5,0,0,2,0,19,0,112,30,2,0,0,0,0,7,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,34,0,0,11,1,4,1,2,0,0,0,0,0,0
425,4776,4,0,0,1,13,0,18,2,1,0,0,3,0,0,0,267,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,3,0,8,0,1,0,2,2,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,13,0,64,10,4,0,0,2,0,5,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,3,114,0,0,6,0,13,1,0,0,0,0,0,0,0
435,4937,0,0,1,0,9,0,10,4,0,0,0,1,1,0,0,250,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,1,1,0,9,0,13,7,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,6,0,0,4,1,2,0,81,6,1,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,118,0,1,15,3,5,2,0,0,0,0,0,0,0
450,5178,1,0,1,0,8,0,10,2,1,0,0,2,0,0,0,208,0,0,1,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,7,0,5,0,0,0,1,4,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,3,10,18,84,76,3,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,91,0,0,11,1,0,0,0,0,0,0,0,0,0
465,5419,0,0,2,0,8,0,11,2,0,2,0,0,1,0,0,164,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,5,0,7,3,0,0,2,4,3,0,4,0,0,2,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,1,0,1,3,2,22,0,107,28,4,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,3,90,0,1,7,1,5,1,0,0,0,0,0,0,0
475,5580,2,0,2,0,12,0,10,0,1,0,0,1,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,5,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,45,24,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,8,2,3,0,0,0,0,0,0,0,0
485,5741,1,0,0,0,4,0,7,0,0,1,0,0,1,0,0,181,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,4,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,1,0,3,0,82,12,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,119,0,0,4,0,6,0,0,0,0,0,0,0,0
500,5982,2,0,1,0,13,1,8,0,1,0,0,3,0,0,0,225,0,0,0,0,1,0,2,0,0,0,2,2,0,1,0,0,0,0,0,6,1,5,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,4,1,21,5,127,19,1,0,0,0,0,4,0,0,0,0,21,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,1,165,0,0,13,1,6,1,0,0,0,0,0,0,0
515,6223,1,0,0,0,10,0,8,3,0,0,0,0,0,0,0,240,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,10,3,10,0,0,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,0,0,3,1,14,0,118,13,0,0,0,1,0,1,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,94,0,0,11,0,6,1,0,0,0,0,0,0,0
525,6384,1,0,2,0,10,1,5,2,0,2,0,0,0,0,0,164,0,0,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,6,0,0,1,0,0,0,168,10,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,74,0,0,7,1,2,0,0,0,0,0,0,0,0
540,6626,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,13,13,258,41,1,0,0,0,0,2,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,60,0,0,9,0,0,0,0,0,0,0,0,0,0
550,6786,7,0,2,0,9,0,11,1,1,0,0,1,0,0,0,92,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,5,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,22,5,268,60,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,15,0,1,10,0,1,0,0,0,0,0,0,0,0
560,6947,8,0,2,0,4,0,7,5,0,3,0,0,0,0,0,97,0,0,1,0,0,0,2,0,0,0,3,6,0,0,0,0,0,0,0,5,1,7,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,12,1,30,1,278,25,0,0,0,0,0,7,1,0,0,0,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,6,0,2,14,1,5,4,0,0,0,0,0,0,0
575,7188,7,0,0,0,2,1,7,29,0,1,0,3,0,0,0,126,0,0,0,0,0,0,3,0,1,0,5,3,0,0,0,0,0,0,0,2,2,7,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,13,4,105,8,175,37,3,0,0,0,0,11,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,1,0,8,0,3,3,0,0,0,0,0,0,0
585,7349,8,0,0,0,0,0,0,15,0,1,0,2,0,0,0,75,0,0,2,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41,4,183,47,0,0,0,0,0,2,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,11,0,1,2,0,0,0,0,0,0,0
600,7590,9,0,0,0,3,1,1,34,3,2,0,0,1,0,0,172,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,10,1,0,0,0,1,0,0,2,0,0,2,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,10,0,1,8,3,167,9,70,47,4,0,0,1,0,11,0,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,0,0,3,0,0,12,0,0,7,0,0,0,0,0,0,0
610,7751,6,0,0,0,2,1,0,16,0,2,0,0,1,0,0,105,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,12,1,149,7,78,45,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,8,0,1,2,0,0,0,0,0,0,0
625,7993,7,0,0,0,0,0,0,67,1,0,0,0,1,0,0,140,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,0,6,1,0,0,0,0,0,0,3,0,0,7,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,330,1,19,23,5,0,0,1,0,13,1,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,0,1,6,0,0,0,0,0,0,0
640,8234,10,0,0,0,5,0,0,22,1,0,0,0,0,0,0,172,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,7,0,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,9,0,0,0,1,4,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,126,1,60,41,4,0,0,2,0,15,0,0,0,0,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,4,0,0,0,0,0,0,0
650,8380,6,0,0,0,2,1,2,55,2,1,0,1,0,0,0,195,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,0,6,11,2,65,0,108,8,10,0,0,2,0,27,1,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,1,7,1,6,9,0,0,0,0,0,0,0
660,8484,3,0,0,0,1,2,0,36,2,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,20,4,107,4,40,13,5,0,0,5,0,22,1,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
670,8588,1,0,0,0,0,1,0,101,1,0,0,4,3,0,0,251,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,11,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,3,14,3,11,0,77,2,6,0,0,4,0,17,0,1,0,0,13,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,9,4,0,0,0,0,0,0,0
675,8640,1,0,0,0,1,0,0,223,0,0,0,1,4,0,0,242,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,4,4,0,5,0,0,0,0,3,0,28,1,0,0,0,0,0,0,1,0,0,4,0,19,7,2,0,0,89,1,1,0,0,11,2,25,0,0,0,0,24,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,1,0,6,0,7,4,0,0,1,0,0,0,0
685,8744,2,0,0,0,3,0,0,8,0,2,0,4,12,0,0,151,0,0,0,1,0,0,3,0,0,0,1,30,2,0,0,0,0,0,1,0,0,3,3,0,1,3,19,1,0,55,0,0,1,0,0,0,5,6,0,144,3,0,0,0,0,0,0,0,0,0,13,0,7,73,12,38,0,22,3,6,0,1,12,0,123,0,0,0,0,42,0,0,1,0,0,25,0,0,0,0,0,0,1,0,1,1,0,3,5,3,5,1,32,14,0,0,0,0,0,0,2
690,8796,1,0,0,0,2,1,1,6,1,2,0,9,4,0,0,97,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,5,1,0,0,3,13,0,0,67,0,0,1,0,0,0,3,7,0,88,3,0,0,0,0,0,0,0,0,1,8,0,13,75,11,23,0,47,6,8,0,0,24,0,152,1,2,0,0,30,0,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,3,0,0,9,1,19,5,1,0,0,0,0,0,0
