"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Castanea","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Sambucus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Populus","Amaranthaceae","Poaceae","Polygonum","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Alnus.undiff.","Fagopyrum","Larix","Alnus.viridis.type","Tilia","Lamiaceae","Humulus","Artemisia","Carya","Juglans","Rosaceae.undiff.","Brassicaceae","Acer.undiff.","Dalea","Iva.undiff.","Shepherdia.canadensis","Prunus","Liquidambar","Celtis","Nyssa","Acer.saccharinum.type","Myrica","Caryophyllaceae","Apiaceae","Acer.pensylvanicum","Ranunculaceae","Fraxinus.pennsylvanica.type","Morus","Cornus","Asteraceae.subf..Cichorioideae","Rubus","Dryas","Iva.xanthifolia.type","Urtica.type","Acer.negundo","Saxifraga.type","Campanulaceae","Potentilla","Epilobium"
920,6475,327,0,2,51,0,0,6,0,0,0,23,7,5,1,7,56,0,0,0,64,3,11,5,0,1,0,1,0,5,1,71,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,6724,389,0,4,45,0,0,1,0,0,0,14,14,4,1,37,80,0,0,0,98,1,18,1,0,1,0,0,0,8,1,39,15,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
960,7018,316,0,0,56,0,0,3,0,3,0,5,10,5,4,30,74,0,0,0,53,1,9,6,0,1,0,1,0,4,0,40,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
980,7337,389,0,0,45,0,0,15,0,0,0,7,8,5,0,82,55,0,2,0,46,0,6,2,0,2,0,0,0,3,0,93,13,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000,7671,496,0,3,43,2,0,6,0,0,0,5,9,21,1,16,81,0,1,0,92,1,1,7,2,0,0,6,0,3,3,179,6,1,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,8026,304,0,0,45,0,0,10,0,0,0,1,7,13,0,10,75,0,0,0,30,1,5,1,2,3,0,2,0,4,0,81,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1040,8417,308,4,0,41,0,0,4,0,0,0,0,4,4,1,57,50,0,0,0,28,2,4,1,1,2,0,3,0,1,0,80,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,8855,452,0,0,85,0,0,6,0,1,0,1,13,14,0,82,103,0,2,0,15,3,6,5,2,3,0,2,0,3,1,80,18,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1080,9353,402,1,0,75,0,0,13,0,0,0,2,11,5,0,70,105,0,0,0,10,0,7,8,1,2,1,0,0,2,0,79,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,9895,303,1,1,53,0,0,8,0,2,0,0,1,16,0,31,58,0,1,0,8,1,8,2,0,2,0,0,0,0,0,76,25,3,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,10427,354,5,2,82,0,0,7,1,0,0,1,11,14,0,13,100,0,3,0,3,0,3,3,0,5,0,1,0,3,0,85,6,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,10892,650,4,4,131,0,0,2,0,0,0,0,4,5,1,126,122,0,2,0,10,0,7,5,0,2,0,0,0,3,0,188,30,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,11263,578,9,3,323,0,0,8,0,1,4,1,8,5,18,65,26,0,3,0,1,0,2,3,0,10,0,2,0,1,0,50,20,3,0,2,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,11604,323,12,1,40,0,0,10,0,1,4,0,6,3,72,29,13,0,2,0,0,3,1,7,0,14,0,7,0,1,0,15,8,26,0,7,21,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1200,11952,306,2,0,76,0,0,9,0,6,2,0,1,17,113,6,1,0,2,0,0,3,0,0,1,1,0,5,0,2,0,18,5,5,0,1,23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,12340,324,1,0,17,0,0,0,0,5,0,0,0,3,200,16,2,0,0,0,0,5,0,10,0,0,0,0,0,1,0,16,16,9,0,0,5,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,12801,307,2,0,13,0,0,2,1,3,0,0,2,9,203,7,16,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,29,3,0,0,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,13364,230,0,0,18,0,0,3,8,11,0,0,0,0,114,9,3,0,5,0,0,10,0,0,0,4,0,2,0,0,0,1,26,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
1280,14018,306,0,0,31,0,0,1,17,5,1,0,0,1,105,8,5,0,1,0,0,7,0,0,2,41,0,2,0,0,0,3,40,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,NA,148,0,0,9,0,0,0,0,22,1,0,0,3,62,2,1,0,4,0,0,0,2,0,0,1,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2
