"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Ulmus"
200,4390,22,0,46,0,1,0,1,2,147,0,0,0,0,1,0,0,1,1,0,0,1,3,0,2,83,3,19,8,0,2,0,0,3,0,1,0,2,2,1,0,0,0,0,0
210,4637,9,0,35,0,0,0,2,1,149,0,0,1,0,0,0,3,3,0,0,1,0,1,0,1,78,5,14,4,0,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0
220,4883,16,0,80,0,2,0,2,0,164,0,0,0,0,0,0,0,0,2,0,1,3,0,0,1,106,23,27,5,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0
230,5129,21,0,60,0,0,0,0,0,171,0,0,0,0,1,0,1,1,3,1,3,1,5,0,3,115,7,19,6,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1
240,5375,23,0,56,0,2,0,0,0,137,0,0,0,0,4,0,3,0,2,0,1,2,3,0,1,101,4,20,5,0,2,0,0,4,0,1,0,0,1,2,0,0,0,0,0
250,5622,14,0,92,1,0,0,0,1,153,0,0,0,0,1,0,0,1,1,0,2,1,2,0,1,50,0,17,3,0,0,0,0,2,0,1,0,1,4,0,0,0,0,0,0
260,5868,12,1,57,0,0,0,0,0,148,0,0,2,0,0,0,1,0,0,0,1,2,2,0,1,73,3,14,7,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,1
270,6114,7,2,35,0,0,0,1,0,124,0,0,0,0,1,0,0,2,3,0,0,5,4,0,3,70,3,12,8,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0
278,6311,24,0,50,0,0,0,2,0,98,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,88,3,31,8,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0
290,6607,9,0,48,0,0,0,0,1,115,0,0,0,0,0,0,0,0,1,0,0,18,4,1,0,54,4,4,8,0,1,0,0,1,0,1,0,0,9,0,0,0,0,1,0
300,6853,5,0,41,0,1,0,2,0,122,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,75,8,16,5,0,2,0,1,2,0,0,0,0,1,3,0,0,0,2,0
305,6976,11,2,53,0,1,0,2,0,93,0,0,0,0,1,0,2,2,1,0,0,0,0,0,4,126,2,31,5,0,0,0,0,3,0,0,0,1,2,1,0,0,0,2,3
310,7099,19,2,53,0,0,0,1,1,117,0,0,0,0,1,1,2,0,5,0,1,9,1,1,3,102,19,19,12,0,2,0,1,1,0,0,0,0,4,0,0,0,0,3,7
315,7222,44,0,49,0,0,0,0,2,192,0,0,1,0,0,0,1,1,3,0,2,15,1,0,5,53,7,30,6,0,0,0,1,6,0,0,0,2,4,0,0,0,0,1,1
320,7345,30,0,32,1,1,0,2,0,99,0,0,1,0,3,0,0,1,1,0,0,15,1,0,5,49,9,12,6,0,0,0,0,1,0,0,0,2,4,1,0,0,0,1,3
325,7469,85,1,43,1,2,0,3,0,75,0,0,1,0,0,0,0,1,9,0,0,24,0,0,5,64,14,21,5,0,3,0,2,1,0,0,0,2,4,1,0,0,0,0,1
331,7616,70,1,57,1,1,0,1,2,69,0,0,0,0,1,0,0,1,1,0,0,22,3,0,2,40,5,10,8,0,0,0,4,3,0,0,0,1,1,0,0,0,0,0,5
338,7789,56,1,37,1,1,0,3,2,27,0,0,0,0,1,0,0,0,2,0,1,26,0,0,10,36,6,2,3,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1
343,NA,76,1,97,1,0,0,3,1,48,1,0,0,0,1,0,0,0,2,0,1,29,1,0,7,57,4,10,2,0,1,0,1,3,0,0,0,3,0,0,0,0,0,0,3
347,NA,15,1,138,0,1,0,1,2,50,0,0,0,0,2,0,0,1,2,0,0,12,2,0,11,30,3,4,7,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
354,NA,28,0,131,2,2,0,1,3,71,0,0,0,0,0,1,0,0,1,0,0,10,7,0,6,40,3,4,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0
