"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Amorpha.type","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Corylus","Cupressaceae","Cyperaceae","Drosera","Equisetum","Ericaceae","Fagus","Fraxinus","Ilex","Isoëtes","Juglans","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodium.type","Pterocarya","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Selaginella","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Urtica.type","Valeriana","Viburnum"
200,3248,5,3,29,0,1,0,0,0,1,103,0,0,1,0,1,0,0,33,20,1,6,0,0,0,0,1,0,4,1,0,0,1,20,80,0,0,1,1,0,15,0,0,0,0,0,0,3,19,1,0,0,0,0
220,3602,7,3,16,0,1,0,0,0,1,140,0,0,4,0,1,0,0,99,27,2,2,0,0,0,0,4,0,5,0,1,0,0,46,100,0,3,0,2,0,11,0,1,0,0,0,0,0,140,0,1,0,0,0
240,3956,1,0,4,0,0,0,0,0,0,61,0,1,2,0,1,0,0,36,9,0,0,0,0,0,0,0,0,2,0,0,2,3,29,108,0,0,0,0,0,3,0,0,0,0,0,0,0,38,0,0,0,0,0
260,4310,6,0,6,0,0,0,0,0,0,88,0,0,2,0,0,0,0,9,3,0,0,0,0,0,0,1,0,2,0,0,1,0,21,209,0,0,0,1,0,8,0,0,0,0,0,0,0,28,0,1,0,0,0
270,4487,20,3,11,0,0,0,0,0,0,114,0,0,7,0,3,0,0,104,21,3,3,0,1,0,0,2,0,1,1,0,1,2,84,101,0,1,0,0,0,12,0,1,0,0,0,0,0,124,0,2,0,0,0
280,4664,7,0,10,0,0,0,0,0,0,84,0,0,3,0,0,0,0,14,7,1,0,0,0,0,0,1,1,1,0,0,0,0,28,125,0,0,0,1,1,12,0,0,0,0,0,0,0,18,0,0,0,0,0
300,5018,12,0,16,0,1,0,0,0,0,139,0,0,2,0,1,0,0,29,1,0,0,0,0,0,0,6,0,5,0,0,0,2,57,219,0,1,0,0,0,31,0,0,0,0,79,0,0,17,0,0,0,0,0
320,5248,17,1,4,0,0,0,0,0,1,719,0,0,1,0,0,0,0,8,4,1,0,0,0,0,0,1,0,11,0,0,0,0,33,71,0,0,0,1,0,9,0,0,0,0,0,0,0,12,0,1,0,0,0
340,5460,2,0,7,0,0,0,0,0,0,78,0,0,3,0,1,0,0,10,9,0,0,0,1,0,0,0,0,2,0,0,0,1,9,52,0,0,0,0,0,7,0,0,0,0,0,0,0,51,0,0,0,0,0
350,5566,4,2,11,0,0,0,0,0,0,110,0,0,4,0,0,0,0,24,5,1,2,0,0,0,1,23,0,12,0,0,1,2,19,172,0,0,0,13,0,22,0,0,0,0,0,0,0,70,0,0,0,0,0
370,5778,6,1,19,0,0,0,0,0,0,165,0,0,2,0,1,0,0,27,11,4,1,0,0,0,0,2,0,8,1,0,1,3,23,112,0,0,0,1,0,31,0,0,0,0,29,0,0,149,3,2,0,0,0
380,5884,10,0,7,0,0,0,0,0,2,61,0,0,1,0,0,0,0,13,2,0,4,0,0,0,0,2,0,3,0,0,1,1,24,141,0,0,0,1,0,13,0,0,0,0,0,0,0,57,0,1,0,0,0
400,6096,6,0,12,1,0,0,0,0,1,58,0,0,1,0,0,0,0,34,5,3,16,0,0,0,0,3,0,6,0,0,0,1,22,147,0,1,0,0,1,11,0,1,0,0,0,0,0,41,0,0,0,0,0
420,6308,5,1,4,2,0,0,0,0,2,71,0,0,1,0,2,0,0,3,3,4,71,0,0,0,0,0,0,0,1,0,0,1,26,162,0,2,0,0,0,32,0,0,1,0,8,0,0,125,2,5,0,0,4
430,6414,1,0,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,381,0,0,0,0,0,3,0,1,0,0,0,0,0,176,0,0,0,0,0
450,6626,25,0,15,0,0,0,0,0,0,46,0,0,0,0,2,0,0,14,0,2,0,0,0,0,0,2,0,7,1,0,1,1,85,252,0,1,0,8,0,20,0,0,0,0,131,0,0,53,0,0,0,0,0
470,6838,16,2,17,0,0,0,0,0,3,34,0,0,2,0,1,0,0,15,1,0,5,0,1,0,0,7,0,5,0,0,2,1,47,213,0,1,0,1,0,22,0,0,0,0,5,0,0,158,1,3,0,0,0
480,6944,10,0,13,0,0,0,0,0,0,76,0,0,3,0,3,0,0,13,14,11,0,0,0,1,0,0,0,1,0,1,0,1,30,54,0,0,0,0,1,0,0,1,0,0,0,0,1,42,0,0,0,0,0
500,7156,0,0,12,0,0,0,0,0,0,64,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,30,33,0,1,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0
520,7590,8,1,7,0,0,0,0,0,0,128,2,0,1,0,15,0,1,1,1,4,1,1,1,0,0,1,0,6,1,0,111,2,50,233,0,0,0,2,0,53,1,0,0,0,3,0,0,18,0,5,0,0,0
530,7823,8,0,9,0,0,0,0,0,3,86,0,1,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,12,0,27,3,1,26,256,0,0,0,0,0,24,0,0,0,0,0,0,0,13,0,5,0,0,0
550,8289,10,1,11,14,0,0,0,0,0,116,0,0,1,0,0,0,4,0,9,1,2,0,0,0,1,1,0,2,1,1,1,1,66,243,0,2,0,4,0,48,0,3,2,0,3,1,0,2,1,6,0,0,0
570,8754,16,1,23,1,0,0,0,0,0,154,0,0,4,0,1,0,0,0,1,1,1,1,0,0,0,3,0,7,1,4,76,2,18,462,0,3,0,8,0,39,0,1,1,0,0,0,0,1,0,5,0,0,1
600,9453,50,1,4,0,0,0,0,1,0,93,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,0,1,5,1,3,1,1,157,107,0,3,0,5,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0
620,9734,2,0,12,0,0,1,0,0,2,324,0,0,3,2,2,0,0,1,8,0,0,0,0,0,0,11,0,6,24,6,0,4,64,23,1,5,0,14,0,16,0,3,4,0,0,0,0,1,1,0,0,0,0
630,9862,3,1,7,0,0,0,0,0,1,114,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,66,223,0,3,0,2,1,20,0,0,2,0,0,0,0,1,1,2,0,0,0
640,9990,6,0,15,0,0,0,0,2,1,178,0,1,3,0,0,0,0,1,0,1,1,0,0,0,0,4,0,4,2,2,3,0,125,161,0,3,0,5,0,7,0,3,4,0,2,0,0,2,0,3,0,0,0
650,10118,19,0,15,0,0,0,0,2,4,91,0,0,2,0,3,0,1,1,0,1,0,3,0,0,0,22,0,87,8,4,0,3,210,88,0,4,0,71,0,19,0,1,25,0,0,0,0,1,17,5,0,0,0
670,10373,2,0,26,0,4,0,1,1,5,205,0,0,11,0,81,0,3,5,0,0,2,52,0,0,0,10,0,8,3,0,0,0,70,63,0,35,0,21,0,3,0,6,18,1,2,0,0,3,0,2,1,0,0
