"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Anacardiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Clethra","Cornus","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Ilex","Iva","Juglans","Juniperus","Liquidambar","Lycopodiaceae","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
191,2435,0,8,0,4,0,22,0,0,0,0,4,1,43,1,9,0,3,4,0,0,10,1,8,24,1,0,0,0,0,3,0,1,0,5,1,0,3,16,4,2,1,6,12,38,4,5,0,0,239,18,2,1,6,0,21,0,1,0
215,3012,0,6,0,0,2,0,0,0,0,0,3,0,37,7,10,1,2,0,0,0,2,1,7,28,3,4,0,0,1,6,0,0,0,0,0,2,2,18,7,5,0,5,7,26,1,4,1,7,177,0,0,0,3,0,10,0,4,1
231,3396,0,5,0,1,0,62,0,1,0,0,4,0,51,1,14,0,8,0,0,0,4,1,9,35,4,5,2,0,0,4,0,0,0,4,1,0,0,6,2,2,0,5,5,32,1,2,1,0,209,7,0,2,2,1,6,2,6,0
247,3755,0,6,0,1,0,98,0,1,0,3,1,0,45,0,3,0,11,0,3,0,0,0,5,10,3,7,5,0,0,1,0,0,0,2,1,1,1,8,0,1,2,1,2,42,3,8,0,4,152,4,1,0,4,0,8,2,2,0
263,4115,0,11,0,2,0,125,0,4,0,2,2,0,35,0,5,1,8,0,0,0,1,2,4,16,4,6,8,0,0,0,1,4,0,7,0,0,1,8,0,2,1,0,5,60,4,1,0,2,164,3,0,0,4,0,6,0,5,0
279,4475,0,5,0,1,0,153,0,4,0,3,0,0,37,0,5,0,3,0,0,0,1,3,0,10,4,6,4,0,0,0,1,7,0,4,0,3,1,8,0,0,0,2,1,38,2,9,0,2,182,3,0,1,6,2,17,3,6,0
295,4834,0,10,0,2,0,100,0,2,0,0,2,0,24,0,2,0,4,0,0,0,0,1,5,24,2,7,12,0,0,2,0,1,0,3,0,0,5,12,0,1,0,4,7,41,7,7,0,0,210,8,0,4,5,0,18,1,1,0
310,5171,0,9,0,1,0,89,1,2,0,0,4,0,38,0,5,0,0,2,4,0,7,0,3,21,0,1,12,0,0,0,0,0,0,0,0,0,1,10,8,0,2,1,3,28,0,2,0,0,161,7,0,1,1,0,8,0,2,0
319,5374,2,2,0,1,1,20,0,7,0,2,3,0,19,0,1,0,1,0,0,0,10,0,3,1,1,2,7,0,0,0,0,5,0,6,0,2,2,1,11,6,5,29,55,325,0,2,0,0,117,1,0,0,18,1,23,0,4,0
335,5733,0,4,0,0,0,39,0,1,0,0,2,0,29,0,2,0,4,0,0,0,2,0,2,29,2,2,2,0,0,0,0,1,0,3,1,3,3,14,0,3,0,0,5,45,1,5,0,0,270,7,0,1,1,1,31,0,7,0
351,6093,0,9,0,3,0,73,0,0,0,1,0,0,26,0,2,0,1,0,0,0,2,2,2,17,2,7,7,0,0,1,0,0,0,2,0,2,3,10,4,0,0,2,11,36,0,8,0,2,221,3,1,1,4,0,24,0,2,0
367,6452,0,8,0,0,0,54,1,1,0,0,1,1,26,0,0,1,4,0,0,0,1,2,0,16,1,4,0,0,0,0,0,0,0,9,1,0,1,4,4,2,1,8,8,59,3,3,1,1,221,5,0,1,3,0,22,3,6,0
395,7081,0,5,0,0,0,19,0,1,0,0,1,0,25,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,4,0,2,3,3,1,4,4,1,3,44,1,3,0,0,217,4,0,1,5,0,11,0,3,0
399,7171,1,6,0,0,0,28,0,2,0,0,1,0,27,0,2,0,7,0,0,0,3,1,2,4,0,1,1,0,0,0,0,2,0,3,1,0,0,1,0,2,0,12,8,120,1,8,0,0,140,1,0,0,3,0,23,1,3,0
415,7531,0,5,0,3,1,23,0,2,0,1,0,0,32,0,2,0,5,0,0,0,4,0,3,10,2,4,3,0,0,0,0,0,0,7,0,4,4,2,0,1,2,17,12,167,0,7,0,0,149,2,0,0,4,0,22,2,4,0
431,7891,3,5,0,1,0,28,2,11,0,0,3,0,41,0,0,0,6,0,0,0,6,4,3,4,5,1,1,0,0,0,0,0,0,7,0,0,5,0,5,2,3,13,21,191,0,1,0,7,137,0,0,0,9,0,15,4,4,0
447,8250,1,3,0,1,0,50,1,3,0,1,6,0,47,0,1,0,1,0,0,0,1,0,2,3,1,3,8,0,1,0,0,0,0,3,0,1,1,0,8,4,3,6,10,155,0,4,0,0,122,3,0,0,15,0,17,0,4,0
463,8610,2,6,0,0,6,43,1,3,0,0,3,0,39,0,0,0,1,0,0,0,10,1,5,5,1,5,6,0,0,0,0,3,0,7,0,3,3,0,15,4,7,27,43,277,0,5,0,1,139,0,1,2,17,0,34,0,4,0
479,8969,0,1,0,0,0,65,1,0,0,2,3,0,34,0,0,0,0,0,0,0,4,2,2,3,0,2,14,0,0,0,0,5,0,7,0,0,3,1,0,2,0,18,22,181,0,5,0,2,107,0,0,0,17,0,29,2,5,1
495,9329,0,1,0,0,0,17,1,1,0,0,1,0,16,0,0,0,1,0,0,0,10,0,1,8,1,3,4,0,0,0,0,0,0,6,0,0,0,2,3,0,2,12,35,270,2,1,1,1,120,1,0,0,3,0,15,0,1,0
511,9688,2,0,0,2,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,3,1,2,3,0,1,0,0,0,0,0,0,3,0,0,1,0,0,2,5,53,63,299,0,1,0,0,61,0,0,0,0,0,14,0,1,0
527,10048,2,0,0,0,0,8,0,0,0,0,0,0,25,0,0,0,1,0,0,0,1,0,0,5,0,2,2,0,0,0,0,1,0,1,0,0,1,0,0,3,5,23,45,295,1,0,0,0,33,0,0,0,0,0,29,1,1,0
543,10408,1,2,0,1,1,25,0,1,0,1,2,0,42,0,0,0,0,0,0,0,3,3,1,6,0,1,3,0,0,0,0,2,0,5,0,0,0,7,6,1,1,24,28,205,0,1,0,0,109,0,0,0,7,0,25,2,5,0
559,10767,4,2,1,0,0,8,0,1,0,0,0,0,38,0,0,0,0,0,0,0,6,1,4,8,3,3,0,0,0,0,0,0,0,3,0,0,3,3,1,1,1,22,92,231,0,2,0,0,54,1,0,1,0,0,9,3,3,0
575,11127,3,4,0,1,0,4,0,0,0,1,0,0,29,0,2,0,0,0,0,0,2,2,0,7,1,4,0,0,0,0,0,0,0,2,1,1,2,1,0,3,5,26,118,211,1,5,0,0,66,0,0,2,1,0,2,0,5,0
584,11329,0,2,0,0,0,13,0,0,0,2,0,0,88,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,2,8,16,23,223,0,3,0,0,44,1,0,0,2,0,5,0,1,0
593,NA,13,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,185,13,0,143,0,2,0,1,11,0,0,2,1,0,0,0,0,0
623,NA,21,0,0,0,0,33,0,3,0,0,2,0,67,0,2,0,0,0,0,0,4,6,0,0,0,3,0,0,0,0,0,5,2,11,1,2,0,0,0,3,193,25,3,138,0,2,0,1,9,1,0,0,1,0,0,0,0,0
637,NA,26,0,0,0,0,1,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,262,4,4,138,0,0,0,0,5,1,0,0,1,0,0,0,0,0
655,NA,0,0,0,0,0,26,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,1,269,26,12,128,0,2,1,0,3,0,0,0,3,0,1,0,0,0
671,NA,6,0,0,0,0,23,1,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,5,210,8,1,192,0,1,0,0,4,1,0,0,1,0,0,0,0,0
719,NA,12,0,0,0,0,2,0,0,0,0,2,0,9,0,0,0,0,0,0,0,7,2,1,0,0,5,0,0,0,0,0,7,0,15,0,0,1,2,1,1,208,40,0,148,0,10,0,0,19,2,0,1,0,0,0,0,0,1
735,NA,6,0,0,0,0,1,0,0,0,0,1,0,11,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,1,1,100,3,3,84,0,0,0,0,3,0,0,2,0,0,0,0,0,0
751,NA,3,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,3,0,2,0,0,0,4,132,3,2,37,0,0,0,0,2,0,0,1,0,0,0,0,0,0
767,NA,8,0,0,0,0,2,1,2,0,1,1,0,33,0,1,0,0,0,0,0,7,0,1,0,1,1,0,1,0,0,0,9,3,7,1,0,2,0,0,5,245,17,1,137,0,11,0,0,13,0,0,2,1,0,0,0,0,0
783,NA,14,0,0,0,0,2,1,3,0,3,1,0,23,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0,17,294,0,0,51,0,1,0,0,17,1,0,2,0,0,0,0,0,0
799,NA,9,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,289,0,0,27,0,1,0,0,1,1,0,0,0,0,0,0,0,0
810,NA,3,0,0,0,0,4,0,0,0,0,0,0,11,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,1,2,113,0,0,29,0,1,0,0,9,0,0,3,0,0,0,0,0,0
835,NA,1,0,0,1,0,8,0,5,0,10,0,0,69,0,1,0,0,0,0,0,8,10,7,0,2,16,0,0,0,1,0,8,0,13,0,0,2,0,0,21,180,19,2,35,0,14,0,0,11,1,0,10,0,0,0,1,0,5
853,NA,2,0,0,0,0,3,0,7,0,6,4,1,40,0,0,3,0,0,0,0,4,24,14,0,0,2,0,0,0,0,0,10,0,11,4,3,0,0,1,3,46,10,0,49,0,11,1,0,8,1,0,13,0,0,0,0,0,0
873,NA,4,0,0,0,0,11,0,3,0,5,0,0,14,0,0,7,0,0,0,0,3,89,20,0,0,3,0,0,0,1,0,3,0,1,0,0,0,0,0,12,58,18,3,89,1,12,0,0,1,2,0,11,1,0,0,0,0,0
890,NA,0,0,0,0,0,5,0,5,0,1,4,0,12,0,0,2,0,0,0,0,1,49,14,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,29,12,0,105,0,13,0,0,2,2,1,13,0,0,0,0,0,1
