"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Euphorbia","Fagus","Fraxinus","Indeterminable","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.undiff.","Lycopodium.clavatum","Lycopodium.obscurum","Morus","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus.tremuloides.type","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.argentea","Sparganium.type","Sphagnum","Thalictrum","Tidestromia.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Vitis"
1640,8055,0,0,0,0,0,13,6,17,0,1,24,2,0,30,0,0,0,0,0,0,0,0,0,15,7,41,0,2,0,0,0,0,10,12,2,0,1,0,0,0,0,1,0,0,0,14,0,0,18,5,32,0,27,16,2,8,107,0,0,7,0,0,0,0,1,1,0,0,0,0,6,0,1,4,0,1
1650,8366,0,0,0,0,0,10,10,17,1,0,19,6,0,22,0,0,0,0,1,1,0,0,0,13,6,15,0,2,0,1,1,0,14,8,2,0,0,0,0,0,0,1,0,0,1,6,0,2,41,3,36,0,24,15,1,4,102,0,0,7,0,1,0,0,0,0,0,1,0,2,13,0,2,1,0,0
1660,8642,0,0,0,0,1,15,21,25,0,0,24,6,0,17,0,0,0,0,0,0,0,0,0,5,3,18,0,2,0,1,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,4,0,7,12,9,55,0,28,12,1,1,54,0,0,7,0,0,1,0,0,0,0,0,0,0,8,0,1,1,0,0
1670,8883,0,1,0,0,0,15,11,39,0,0,31,3,0,23,0,0,0,0,0,0,0,0,0,5,3,18,2,2,1,0,0,0,9,9,5,0,0,0,0,0,0,0,0,0,0,5,0,2,15,0,80,0,27,9,0,7,30,1,0,12,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1
1680,9103,1,0,0,0,1,22,17,20,2,1,22,8,0,16,0,0,0,0,0,0,0,0,0,4,6,26,0,1,0,0,0,0,7,11,0,0,1,0,0,0,0,0,0,0,0,5,0,3,64,6,90,0,43,21,1,9,22,0,1,12,0,0,0,2,2,0,0,0,0,0,8,0,0,1,0,1
1700,9516,0,0,0,0,1,22,4,9,2,0,23,2,0,18,0,0,0,1,0,0,0,0,0,6,2,23,0,0,0,1,0,0,12,3,1,0,0,1,0,0,0,0,1,0,0,4,0,1,73,6,88,0,19,2,1,10,19,0,0,16,0,0,1,0,0,0,0,0,0,1,3,2,2,0,0,0
1720,9955,1,0,0,0,2,35,6,12,0,0,22,4,0,56,0,2,0,0,0,0,0,0,0,6,1,15,0,1,0,3,0,0,12,6,0,0,0,2,0,0,0,0,0,1,0,6,0,7,44,0,131,2,17,2,0,17,12,0,0,13,0,0,0,0,0,0,0,0,0,1,11,0,1,1,0,0
1740,10491,1,0,0,0,1,30,2,9,0,0,18,2,0,30,0,0,0,0,0,0,0,0,0,2,3,52,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,1,0,7,0,6,96,2,99,1,13,0,4,15,14,0,2,8,0,0,0,0,0,0,0,0,0,1,8,2,2,0,0,0
1760,11172,5,0,0,0,0,3,4,0,0,0,10,3,0,66,0,0,0,0,0,0,0,0,0,3,1,11,0,0,0,0,0,0,4,6,0,0,0,3,0,1,0,0,0,0,0,6,0,34,65,0,134,0,7,3,0,5,19,0,0,4,0,0,0,0,1,1,0,0,0,2,26,0,1,0,1,0
1774,11714,2,0,0,0,2,0,2,5,0,0,12,1,0,52,0,0,0,0,2,0,0,1,0,6,3,41,0,3,0,0,0,0,22,7,0,0,0,16,0,0,0,0,0,0,0,5,0,32,38,0,90,0,16,18,0,6,23,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1790,12368,1,0,0,0,1,4,1,2,0,0,15,1,0,24,0,0,0,0,2,0,0,0,0,3,10,22,0,2,0,1,0,0,22,7,0,0,0,17,0,0,0,0,0,0,0,4,0,144,21,0,42,0,14,12,0,1,18,0,0,10,0,0,0,0,2,0,0,0,0,0,20,0,2,1,0,0
