"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Bidens.type","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Catalpa.speciosa","Celastraceae","Celtis.Maclura.type","Cephalanthus.occidentalis","Cheilanthes","Chenopodium.type","Cornus.florida","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dennstaedtia","Diodia","Dodecatheon","Dryopteris","Equisetum","Ericaceae","Fagus","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.quadrangulata.F..nigra.type","Fraxinus.undiff.","Galium","Hypericum","Hypoxis.hirsuta","Ilex","Indeterminable","Iva","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Liquidambar.styraciflua","Liriodendron.tulipifera","Lonicera","Lycopodiaceae","Magnolia","Malvaceae","Mitella","Morus","Myrica.type","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae.undiff.","Polygonum.hydropiper.type","Polypodium","Populus","Potamogeton","Prunus","Pteridium","Quercus","Rhamnus","Robinia","Rubus","Rumex","Salix","Sambucus","Solanaceae","Sparganium.type","Thalictrum","Tilia","Toxicodendron.radicans","Trifolium","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Viburnum","Vitis","Xanthium","Zanthoxylum.americanum","Zea.mays"
160,96,1,0,0,0,2,290,1,0,15,0,0,1,9,2,4,8,1,7,3,0,0,0,0,2,1,0,0,11,0,0,0,0,1,0,1,1,4,5,1,0,0,0,1,8,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,25,65,1,0,0,0,18,1,0,0,1,1,0,73,1,0,1,0,107,1,0,1,0,0,0,0,1,0,3,0,0,0,1,2,0,1
170,104,0,0,0,1,1,112,0,0,0,0,0,1,1,0,0,6,1,7,2,1,1,0,0,0,0,1,3,17,0,0,0,0,0,0,0,4,12,5,1,0,0,0,0,5,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,12,40,0,0,0,1,10,0,0,0,0,0,0,53,0,0,0,0,129,4,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0
180,112,0,0,0,1,1,61,0,0,5,0,0,2,0,0,0,4,0,15,0,0,2,1,0,1,0,0,3,20,0,0,0,0,2,0,0,1,16,6,5,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,4,33,0,18,49,0,0,0,0,5,0,0,1,0,0,0,71,0,0,0,0,99,7,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,0
185,116,0,1,0,0,1,23,1,0,5,0,0,1,1,1,0,5,1,22,0,0,1,0,0,0,1,0,2,25,0,0,0,0,0,0,0,2,19,6,9,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,67,0,16,96,0,0,0,0,12,0,1,0,2,0,0,111,0,0,0,0,7,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
190,120,0,0,0,1,3,144,0,0,9,0,0,7,3,0,0,7,0,13,1,0,0,0,1,1,1,1,7,23,0,0,0,0,0,0,0,2,11,8,10,0,0,0,0,5,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,2,27,0,16,73,2,0,0,0,19,0,0,0,1,0,0,84,0,0,0,0,58,2,0,3,0,0,0,0,0,1,2,0,2,0,0,0,0,0
195,124,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,5,0,17,0,0,0,0,0,1,0,1,3,33,0,0,0,0,0,0,0,1,3,2,7,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,18,131,0,0,1,0,4,0,0,0,0,0,0,108,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,128,0,0,1,0,0,30,0,1,3,0,0,4,0,2,4,2,0,21,0,0,0,1,0,0,0,0,3,15,0,0,0,0,0,0,0,5,5,3,7,0,0,0,0,6,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,67,2,15,102,0,0,0,2,15,0,2,0,1,0,0,113,0,0,3,0,6,1,0,3,0,0,0,0,0,2,2,0,0,1,0,0,1,0
202.5,130,0,0,0,0,1,0,1,3,0,0,0,4,1,1,0,17,0,12,0,0,0,0,1,0,0,0,1,21,0,0,0,0,3,1,1,0,1,2,1,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,11,75,1,34,152,0,0,1,0,8,0,0,0,1,0,0,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
205,231,0,0,0,0,0,4,1,1,0,2,0,6,2,0,1,12,0,18,0,0,0,0,0,0,0,0,1,24,0,0,0,0,1,0,0,0,3,3,2,0,0,0,0,6,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,60,1,17,128,0,0,0,0,8,0,0,0,0,0,1,102,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
207.5,331,0,0,0,1,0,3,1,0,0,0,0,1,0,0,1,4,1,13,1,0,0,2,0,0,1,0,0,23,0,0,0,0,0,0,0,0,8,2,3,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,10,47,0,39,123,0,0,2,0,6,0,1,0,0,0,0,92,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
210,432,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,17,0,19,0,0,0,4,0,1,0,0,0,24,0,0,0,0,0,0,0,1,9,6,2,0,0,1,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,10,56,0,34,112,0,0,1,0,7,0,1,0,0,0,0,93,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
212.5,533,0,1,0,0,0,4,0,0,0,0,0,1,2,0,2,11,0,9,0,0,0,0,0,0,1,0,1,21,0,0,0,0,4,0,0,0,5,5,2,0,0,0,0,6,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,12,57,0,45,110,0,0,2,1,4,0,0,0,0,0,0,99,0,0,1,0,0,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0
215,633,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,10,1,13,1,0,0,0,0,1,0,0,0,18,0,0,0,0,4,0,0,0,3,1,1,0,0,0,0,5,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,4,85,0,38,137,0,0,0,0,5,0,0,0,0,0,0,73,0,0,1,0,2,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0
217.5,734,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,12,0,13,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74,1,48,158,0,0,0,1,0,0,0,0,1,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
220,835,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,13,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,1,0,2,4,4,1,0,0,0,0,6,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,58,0,20,150,0,0,1,0,7,0,1,0,1,0,1,88,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
222.5,935,0,0,0,0,1,6,0,0,0,0,0,4,1,0,2,11,0,31,0,0,0,0,0,0,0,0,1,19,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,5,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,2,0,15,98,1,31,109,0,0,1,0,1,0,0,0,1,0,0,98,0,0,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
225,1036,0,0,0,0,2,3,0,0,0,0,0,3,3,1,1,14,3,26,1,0,1,0,0,0,0,1,1,22,1,0,0,0,5,1,0,1,2,4,3,0,0,0,0,7,0,0,0,1,0,31,1,0,0,0,0,1,0,0,0,0,0,0,0,12,238,2,15,110,0,0,1,0,7,1,0,0,1,0,0,87,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
227.5,1136,0,0,0,0,0,10,2,0,0,0,0,4,0,0,0,6,0,36,0,0,0,0,0,1,0,0,1,38,1,0,0,0,4,1,0,0,2,4,2,0,0,0,0,5,0,1,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,24,174,0,35,115,0,0,1,0,7,0,1,0,0,0,0,91,0,0,4,0,3,0,0,2,1,0,0,0,0,0,6,0,1,0,0,0,0,0
230,1237,0,1,0,0,0,6,1,0,1,0,0,3,2,1,3,6,1,27,1,0,1,0,0,0,0,1,0,33,0,0,0,0,1,0,0,2,2,2,3,0,0,2,0,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,7,89,0,12,118,0,0,0,0,18,0,0,0,3,0,0,117,0,0,2,0,0,1,0,6,0,0,0,0,0,1,4,0,0,0,1,0,0,0
232.5,1338,0,0,0,0,0,6,0,0,0,0,0,4,1,0,1,8,0,15,0,0,0,0,0,0,0,0,2,28,0,0,0,0,5,0,1,0,1,5,1,0,0,0,0,5,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,17,119,0,34,103,0,0,2,0,5,0,0,0,1,0,0,110,0,0,2,0,2,0,0,1,1,0,0,0,0,0,10,0,0,1,0,0,0,0
235,1438,0,1,0,0,0,2,0,0,0,0,0,1,1,0,1,18,0,19,0,0,0,1,0,0,0,0,0,28,3,0,0,0,9,1,0,0,1,4,2,0,0,1,0,4,0,0,1,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,6,151,2,26,118,0,0,1,0,1,0,1,0,2,0,0,103,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
237.5,1539,0,1,0,0,1,5,0,0,0,0,0,1,1,0,0,13,0,17,2,0,0,0,0,0,1,0,0,24,0,0,0,0,4,1,0,0,6,1,1,0,0,0,0,7,1,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,11,78,1,26,121,0,0,1,0,3,0,0,0,1,0,0,102,0,0,2,0,1,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0
240,1640,0,0,0,1,1,10,3,0,0,0,0,3,1,4,0,12,0,20,0,0,0,0,0,0,0,2,2,29,0,0,0,0,0,0,0,1,12,6,4,1,0,0,2,6,0,2,0,1,0,11,0,0,3,0,0,0,0,1,0,2,0,0,0,10,161,1,11,69,0,0,0,0,15,1,0,0,1,0,0,132,0,0,0,0,7,0,0,2,0,0,1,0,0,0,3,0,1,0,1,0,0,0
242.5,1740,0,0,1,0,0,4,3,0,0,1,0,3,2,1,0,8,0,13,2,0,0,0,0,1,3,1,1,14,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,4,0,0,2,0,0,5,0,0,0,0,1,0,1,1,0,2,0,4,0,6,70,0,32,97,0,0,0,0,3,0,0,0,1,0,2,127,0,0,1,0,0,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0
245,1841,0,0,0,1,0,2,0,0,1,0,0,7,0,0,0,6,0,13,0,0,0,0,0,0,0,3,1,19,0,0,0,0,3,3,0,0,4,5,4,0,0,0,0,4,0,0,1,1,0,7,2,0,0,0,0,0,0,0,0,1,2,2,0,5,62,0,23,112,0,0,2,0,8,0,0,0,0,0,1,108,3,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,3,0,0,0,0,0
247.5,1941,0,0,1,0,1,7,2,0,0,0,0,8,1,2,1,16,0,15,1,0,0,0,0,1,1,0,1,32,0,1,0,0,1,0,0,1,2,3,1,1,0,0,0,6,0,1,0,2,0,8,1,0,2,0,0,0,0,0,0,1,1,1,0,10,122,0,25,128,0,0,0,0,10,0,0,0,0,0,1,89,1,0,0,0,2,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
250,2042,0,0,0,0,0,5,2,0,1,0,0,6,1,0,2,16,0,20,1,0,1,0,0,1,3,0,3,40,0,0,0,0,1,2,0,1,4,3,5,0,0,0,0,8,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,102,0,16,94,0,0,0,0,8,1,0,0,1,0,1,126,0,0,1,0,0,1,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0
257.5,2344,0,0,0,0,2,5,3,0,0,0,0,52,0,1,1,12,0,14,1,0,0,0,0,1,1,2,1,36,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,5,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,5,93,0,11,77,0,0,2,0,8,0,0,2,1,0,2,98,2,0,0,0,4,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0
260,2445,0,0,0,0,0,3,0,0,0,0,0,7,1,0,2,10,0,21,0,0,0,0,0,1,0,2,3,45,0,0,0,0,0,0,0,2,2,4,5,0,0,0,0,5,1,0,1,2,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2,53,2,9,70,0,0,2,0,10,0,2,0,3,0,0,125,2,0,4,0,3,0,0,1,0,0,0,0,1,0,13,0,1,1,0,0,0,0
262.5,2545,0,1,0,0,0,2,1,0,0,0,1,8,2,0,1,7,1,21,0,0,1,0,0,1,0,1,3,44,0,0,0,0,0,1,0,1,3,3,4,0,0,0,0,9,0,0,0,1,0,11,2,0,1,0,0,0,0,1,0,0,0,0,0,3,55,3,9,77,0,0,6,0,13,0,0,2,0,0,1,123,2,0,0,0,1,1,0,3,0,1,0,0,0,0,17,0,4,0,0,0,0,0
265,NA,0,0,1,1,1,2,3,0,0,0,0,5,1,0,3,8,0,29,0,0,4,0,0,1,0,1,1,24,0,0,0,0,0,1,0,4,4,0,5,0,0,0,0,4,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,3,11,69,0,0,1,0,7,0,0,0,2,0,1,123,0,0,2,0,2,0,0,3,0,0,0,0,0,0,18,0,2,0,1,0,0,0
267.5,NA,0,0,3,0,0,8,0,0,2,0,0,2,2,0,4,5,0,16,0,0,0,0,0,0,0,0,2,18,1,0,0,0,0,0,0,4,7,1,6,0,0,0,0,4,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,12,2,5,72,0,0,0,4,10,0,0,0,1,0,5,122,1,0,0,0,36,6,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0
269,NA,0,3,0,1,2,5,1,0,0,0,0,2,0,0,1,4,0,20,1,0,0,0,0,0,0,1,0,22,0,0,0,0,0,2,0,2,7,9,8,1,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,1,15,85,0,0,0,0,14,0,0,1,0,0,0,124,0,0,0,0,14,1,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0
