"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Rosaceae.undiff.","Juniperus.type","Ephedra","Poaceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Ericaceae","Brassicaceae","Rhamnus.cathartica","Acer.spicatum","Tilia","Carya.ovata","Castanea.dentata","Salix.undiff.","Populus.balsamifera.type","Corylus.cornuta","Amaranthaceae","Impatiens","Taxus","Nemopanthus.mucronatus","Thalictrum","Caryophyllaceae","Polygonum.lapathifolium.type","Acer.saccharinum","Morus.rubra.type","Pinus.resinosa.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Prunus.pensylvanica","Acer.cf..A..pensylvanicum","Salix.herbacea.type","Lonicera","Epilobium","Polygonaceae.undiff.","Viburnum","Onagraceae.undiff.","Salix.vestita.type","cf..Oxyria.digyna","Prunus.undiff.","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Oxytropis.maydelliana.type","Potentilla.palustris.type","Saxifraga.cernua.type"
600,6897,782,0,1,1,10,1,0,335,12,13,5,3,0,4,0,2,30,0,40,0,1,17,0,0,0,0,2,0,13,1,57,41,0,0,179,1,4,1,0,0,0,0,1,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,7454,597,0,0,6,1,1,3,128,5,2,1,0,3,6,0,3,51,5,31,0,0,15,0,0,0,0,2,1,3,3,22,148,0,1,141,2,4,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,8011,491,0,4,1,4,1,0,92,6,11,1,0,2,6,0,0,46,4,49,0,1,7,0,1,0,0,5,9,11,3,60,137,0,0,4,4,9,0,0,0,1,0,0,0,0,0,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,8567,458,0,0,2,11,3,0,124,3,4,1,0,3,2,0,7,61,3,18,0,1,15,0,0,0,0,2,2,3,11,25,123,0,0,3,5,1,0,0,0,2,0,0,0,2,0,8,0,0,8,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,9124,561,0,0,4,15,1,0,148,6,9,5,0,2,6,0,4,41,4,30,0,4,10,0,0,6,0,8,6,5,6,134,88,0,0,6,0,7,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,9235,585,0,0,25,9,1,1,195,0,4,2,1,0,2,0,4,76,26,31,0,0,7,0,0,9,0,4,9,3,15,61,63,0,0,4,9,8,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
720,9569,703,0,0,49,6,1,1,197,0,8,2,0,1,7,0,1,139,23,21,0,1,9,0,1,0,0,10,0,0,16,43,130,0,2,1,8,6,0,0,0,0,0,1,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
740,10015,974,0,1,24,5,1,3,422,0,16,0,0,2,14,0,7,100,81,44,0,5,19,0,1,16,0,9,0,3,50,16,49,0,1,2,53,13,0,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
750,10237,592,0,0,0,1,0,3,84,6,2,0,2,2,7,11,47,24,95,48,0,2,11,0,0,61,0,6,1,2,33,24,27,0,4,0,50,13,0,0,0,0,0,0,0,12,0,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
760,10460,661,0,0,9,3,2,4,151,0,4,0,0,0,16,0,2,15,183,31,0,2,11,0,1,134,0,6,1,2,0,5,24,0,8,2,7,11,2,0,0,0,0,0,0,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
770,10681,500,0,0,4,4,1,3,132,0,0,0,0,1,1,1,1,13,130,14,0,3,5,0,0,96,0,9,0,1,4,10,20,0,0,1,2,25,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0
780,10902,513,0,0,5,1,0,14,203,0,5,0,0,0,4,0,5,22,103,10,0,5,5,0,2,3,0,8,0,2,1,2,36,0,0,0,2,34,3,0,0,0,0,1,0,16,4,1,0,0,0,0,0,2,0,1,1,0,0,5,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
790,11123,532,1,0,5,2,1,17,59,4,8,0,0,0,1,0,14,26,30,26,0,11,11,0,1,6,0,37,1,0,0,15,31,0,1,4,5,96,11,0,0,0,0,1,0,92,2,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
805,11454,763,0,0,25,2,1,27,43,0,1,0,0,0,2,0,2,21,3,11,0,4,2,0,9,3,0,140,0,0,1,4,78,0,0,3,27,293,1,0,0,0,0,0,0,40,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0
810,11564,775,0,0,21,7,1,24,32,0,2,0,0,0,3,0,6,18,0,10,1,3,0,0,13,2,0,131,0,0,0,7,43,0,0,0,35,323,0,0,0,0,0,0,0,63,0,6,0,0,0,0,0,8,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,5,0,5,0,0,0,0
820,11785,456,0,0,8,6,1,7,13,0,0,0,0,0,0,0,8,22,0,7,0,2,2,0,5,1,0,53,1,0,0,11,21,0,1,0,31,208,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
830,NA,644,0,0,8,12,3,70,14,0,1,0,1,0,7,0,2,20,1,11,0,5,2,0,15,4,0,124,0,0,0,9,21,0,0,0,17,165,1,0,0,0,0,0,0,88,0,3,0,0,0,0,0,2,0,0,11,0,3,0,0,0,6,0,0,0,0,0,7,0,0,1,1,8,1,0
840,NA,419,0,0,3,8,3,9,0,0,3,0,0,0,4,0,2,22,1,6,0,4,1,0,17,3,0,102,0,2,1,2,26,0,1,0,19,109,0,0,0,0,0,1,0,24,0,5,0,0,0,0,0,5,0,0,2,0,0,2,0,0,8,0,0,0,0,0,8,0,0,11,0,2,1,2
845,NA,356,0,0,6,0,5,11,39,5,0,5,0,0,3,0,11,17,9,16,0,4,9,0,3,5,0,53,0,0,1,1,40,0,5,0,3,25,0,0,0,0,0,0,0,29,2,39,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1
848,NA,762,0,0,19,3,1,15,50,0,3,1,0,0,3,0,27,79,1,36,0,2,11,0,10,4,0,134,0,1,0,15,74,0,2,1,26,36,0,0,0,0,0,1,1,157,0,20,2,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,16,2,1,0,0
850,NA,200,0,0,16,2,0,4,40,1,0,0,0,0,2,0,0,14,1,28,0,5,14,0,6,3,0,14,0,0,0,0,8,0,0,0,7,19,0,0,0,0,0,1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
853,NA,80,0,0,2,0,1,2,10,0,0,0,0,0,1,0,1,18,1,8,0,0,5,0,1,0,0,5,0,0,0,0,6,0,1,1,7,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,NA,533,0,0,16,0,2,15,44,4,0,0,1,0,0,0,25,30,0,13,0,3,8,0,5,4,0,99,0,1,0,5,65,0,0,4,12,90,0,0,0,0,0,0,0,57,1,8,3,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0
