"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.saccharinum.type","Acer.undiff.","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Pinaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juglans","Populus","Poaceae","Abies","Cephalanthus","Tsuga","Myricaceae","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Vitis","Galium","Pinus.subg..Pinus","Rumex","Tilia","Urtica.type","Fabaceae","Iva","Larix","Thalictrum","Cornus","Liquidambar","Sarcobatus.vermiculatus","Rosaceae","Shepherdia","Acer.spicatum"
589,10129,325,10,0,0,3,1,0,27,3,0,1,0,0,3,4,0,6,3,21,39,0,15,55,2,85,1,2,23,1,5,1,0,0,0,1,1,2,1,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0
594,10492,310,6,0,1,2,5,3,13,2,0,3,0,0,2,2,0,4,3,15,23,0,0,100,2,85,2,1,25,0,1,3,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
599,10856,312,2,0,0,2,4,3,19,4,0,1,0,0,5,4,0,3,3,10,32,1,40,64,5,70,3,1,18,1,2,3,1,0,0,0,1,2,0,0,1,3,0,2,0,0,0,2,0,0,0,0,0,0,0
604,11028,337,8,0,0,4,4,2,30,2,0,1,1,1,8,2,0,6,4,16,25,3,36,50,1,74,4,1,23,2,5,3,0,0,0,0,1,4,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0
609,11200,311,2,0,0,0,1,1,18,3,0,3,2,0,1,5,0,4,2,14,24,3,26,83,3,45,0,0,39,2,5,1,1,0,0,0,0,0,0,0,1,19,0,2,0,0,0,1,0,0,0,0,0,0,0
614,11372,324,4,0,0,4,2,3,35,3,0,0,1,0,2,1,0,5,1,8,7,3,20,75,0,49,0,0,48,1,1,0,1,0,0,0,1,0,0,0,0,46,0,0,0,0,0,3,0,0,0,0,0,0,0
623,11730,333,5,0,0,0,6,2,72,5,1,1,0,4,1,4,0,14,2,22,12,10,10,58,1,42,1,1,33,1,3,2,4,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,0,0,0,0,0,0
634,12166,323,1,0,0,0,4,8,47,3,0,0,3,4,2,4,1,20,0,30,9,22,3,43,0,33,3,1,23,5,2,5,14,0,0,1,0,0,0,0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0
641,12444,346,1,0,0,1,2,4,40,1,0,0,0,1,3,11,0,23,0,39,4,82,2,44,0,35,1,0,19,3,7,5,4,0,0,0,0,1,0,0,0,8,0,0,0,0,0,4,0,1,0,0,0,0,0
648,12722,331,0,0,0,5,3,3,18,6,2,0,0,3,4,12,0,18,0,24,11,96,2,37,0,28,4,2,17,1,5,2,3,0,0,0,0,3,2,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0
654,12960,320,0,0,1,3,2,9,15,0,0,0,0,5,5,4,0,12,1,19,8,129,0,44,0,30,2,1,7,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
674,13753,161,0,0,0,8,2,9,12,0,0,0,0,3,1,3,0,5,0,7,4,71,0,2,0,8,3,0,3,1,1,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
694,NA,216,0,0,0,5,8,16,7,0,0,1,0,1,6,14,0,14,0,14,5,59,0,1,0,18,4,3,8,0,11,3,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0
714,NA,339,0,0,0,1,11,29,0,2,0,5,0,4,15,12,0,37,3,58,21,76,0,0,2,27,6,1,6,0,7,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,2,0,1,0,0,1,0
734,NA,357,0,0,0,5,23,29,5,1,0,3,1,2,13,23,0,28,3,53,8,58,0,1,1,44,6,1,10,2,9,7,1,0,0,0,0,0,5,1,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0
754,NA,49,0,0,0,0,0,4,0,0,0,0,0,0,2,4,0,3,2,11,2,13,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
774,NA,265,0,0,0,1,8,21,4,2,5,3,0,0,21,25,0,19,4,47,7,42,0,0,1,15,4,6,1,0,7,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,2,1
794,NA,260,0,0,0,1,5,13,3,0,1,1,0,0,10,26,0,12,1,25,0,108,0,1,0,19,3,3,1,0,11,7,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
