"sample.depths","sample.ages","Picea","Abies","Larix","Juniperus.Thuja","Pinus.stomata","Pinus.banksiana.P..resinosa","Pinus.undiff.","Pinus.strobus","Betula","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Populus.balsamifera.type","Ulmus","Tilia","Ostrya.Carpinus","Quercus","Acer.saccharum","Acer.saccharinum.type","Acer.rubrum","Acer.negundo","Acer.undiff.","Carya","Platanus","Morus","Celtis","Tsuga.canadensis","Juglans.cinerea","Juglans.nigra","Fagus","Salix","Alnus.incana.type","Alnus.viridis.type","Corylus","Sarcobatus.vermiculatus","Ephedra.torreyana.type","Ephedra.nevadensis.type","Rosa.type","Shepherdia.argentea","Rhus","Myrica","Ceanothus","Vitis","Cornus.undiff.","Cornus.sericea","Viburnum","Cyperaceae","Poaceae.undiff.","Cerealia.undiff.","Avena.Triticum","Zea","Artemisia","Ambrosia.type","Iva.annua.type","Iva.xanthifolia.type","Xanthium","Bidens","Aster.type","Anthemis.type","Taraxacum.type","Chenopodiaceae.undiff.","Humulus.Cannabis.sativa","Urtica","Plantago.undiff.","Plantago.major.P..media","Rumex","Thalictrum","Dalea.purpurea","Amorpha.type","Potentilla.type","Spiraea.type","Sanguisorba.canadensis","Ranunculaceae.undiff.","Anemone.type","Ranunculus.type","Stachys.type","Polygonum.persicaria","Campanula","Armeria","Gentiana","Caryophyllaceae","Apiaceae","Rubiaceae","Brassicaceae","Fabaceae.undiff.","Trifolium.repens","Onagraceae","Knautia","Liliaceae","Allium.type","Myriophyllum","Potamogeton.natans","Stuckenia.cf..S..pectinata","Typha.latifolia","Typha.angustifolia.type","Sagittaria","Caltha","Nuphar","Alisma","Spore..monolete.","Pteridium","Botrychium","Huperzia","Equisetum","Sphagnum","Pediastrum","Spike..number.counted.","Spike.tablets..concentration..grains.tablet.","Spike.tablets..added..number.","Sample.volume..ml."
305,2445,5,3,4,0,0,154,22,134,35,7,0,3,0,12,1,8,41,3,0,1,0,1,0,0,0,2,1,1,0,0,3,25,10,6,0,0,0,0,0,0,1,0,0,0,0,0,21,19,0,0,0,9,6,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,0,0,6,106,10679,2,1
310,2512,0,2,1,3,0,115,0,168,120,6,0,4,0,10,3,12,54,0,3,0,0,0,0,0,0,1,0,1,0,0,1,30,5,7,1,0,1,0,0,0,1,0,0,0,0,0,12,7,0,0,0,8,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,148,10679,2,1
320,2647,3,8,6,0,0,214,23,240,49,3,1,0,0,9,6,7,49,1,1,0,0,0,0,0,0,0,0,1,0,0,3,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,8,7,1,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,2,0,1,154,10679,2,1
330,2785,3,2,3,0,0,218,0,368,74,5,2,0,0,16,2,17,65,1,0,0,0,0,0,0,0,0,0,2,0,0,7,26,4,10,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0,0,0,19,8,1,0,0,0,9,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,3,151,10679,2,1
335,2854,1,1,5,0,0,116,38,156,73,5,2,0,0,16,1,10,49,1,1,0,0,1,0,0,0,0,0,0,0,0,0,23,4,6,1,1,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,9,10,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,104,10679,2,1
340,2924,3,7,10,1,0,82,0,330,58,5,0,1,0,14,1,13,66,3,1,0,0,0,0,0,0,0,2,0,0,0,0,37,5,12,0,0,0,0,0,0,0,0,1,0,0,0,23,5,0,0,0,22,10,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,2,161,10679,2,1
350,3064,0,1,5,1,0,104,0,469,47,6,0,0,0,3,0,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,2,3,2,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,0,8,2,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,150,10679,2,1
360,3205,4,3,9,1,0,111,19,182,137,7,1,2,1,11,1,27,120,1,0,0,0,0,1,0,0,1,0,0,1,0,3,16,10,12,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,0,13,7,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,1,0,0,0,0,2,146,10679,2,1
370,3347,4,1,6,1,0,68,0,98,155,18,6,8,0,32,1,45,133,3,2,1,0,0,0,1,0,0,1,1,0,0,12,43,11,27,1,0,0,0,0,0,0,0,0,0,0,0,40,34,0,0,0,21,15,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,160,10679,2,1
375,3417,8,4,2,2,0,35,13,26,205,6,1,0,0,10,2,24,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,20,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,21,7,1,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,21,116,10679,2,1
380,3488,7,1,1,1,0,69,0,31,103,21,10,4,1,13,1,33,113,1,1,0,0,0,0,0,0,0,0,0,0,0,3,53,10,0,1,0,0,0,0,0,0,0,0,0,0,0,22,25,0,0,0,18,7,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,11,122,10679,2,1
390,3629,4,5,1,3,0,47,6,21,181,7,5,2,0,23,1,23,146,2,1,0,0,0,0,0,0,0,0,0,0,0,6,14,4,18,1,0,0,0,0,0,1,0,0,2,0,0,27,28,0,0,0,18,5,0,2,0,4,0,0,0,6,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,2,95,10679,2,1
400,3770,3,1,1,1,0,73,0,17,133,4,2,7,1,10,2,34,118,1,0,1,0,0,0,2,0,0,0,0,0,0,9,44,15,16,1,0,0,0,0,0,0,0,0,0,2,0,22,26,0,0,0,20,6,1,0,1,0,5,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,19,129,10679,2,1
405,3840,2,2,2,1,0,44,2,14,78,3,1,0,0,6,2,2,120,1,0,0,0,1,0,0,0,0,0,0,0,0,2,31,6,7,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0,0,0,30,9,0,1,4,0,4,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,73,10679,2,1
420,4050,3,0,0,1,0,39,6,27,30,3,0,5,0,16,0,5,196,1,0,1,0,0,0,1,0,0,1,0,0,0,4,47,31,11,0,2,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,15,10,1,1,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,118,10679,2,1
