"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Bidens.type","Carya","Cephalanthus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Itea","Juglans.nigra","Juglans.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Plantago.major","Plantago.lanceolata","Quercus","Rubus","Salix","Sambucus","Thalictrum","Ulmus","Apiaceae","Populus","Amaranthaceae","Hypoxis","Acer.saccharinum","Acer.saccharum","Achillea.type","Polygonum.hydropiper.type","Castanea","Fraxinus.undiff.","Juglans.cinerea","Acer.negundo","Iva.annua.type","Galium","Ilex","Platanus","Tsuga","Fagus","Urtica.type","Lamiaceae","Amelanchier.type","Zea.mays","Corylus","Iva.xanthifolia.type","Liriodendron","Magnolia","Tilia","Spiraea","Dalea","Cornus.florida","Prunus","Polygonum.aviculare.type","Rumex","Cornus.canadensis.type","Celtis.Maclura","Ranunculaceae.undiff.","Humulus.Cannabis.sativa","Acer.pensylvanicum","Pinus.subg..Strobus","Abies","Sanguisorba.canadensis","Potentilla.type","Cirsium.Carduus.type","Malvaceae","Onagraceae","Caryophyllaceae","Polygonum.viviparum","Asteraceae.subf..Cichorioideae","Alnus.viridis","Larix","Xanthium","Caltha.type","Viburnum.opulus.type"
145,449,557,2,0,3,2,1,0,7,38,112,0,21,10,2,66,7,1,2,11,9,6,0,12,0,0,192,10,10,0,0,6,0,2,2,0,1,2,3,5,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,578,528.5,1,0,1,2,0,2,2,18,123,1,20,22,11,36,6,1,1,10,15,6,2,12.5,0,0,175,16,13,2,1,3,1,2,0,0,0,3,1,3,5,3,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,707,566,3,0,2,5,0,0,10,17,125,0,7,16,11,70,9,1,1,9,5,3,1,9,0,0,195,16,20,2,0,2,0,4,0,0,0,4,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,836,503,1,0,2,5,0,0,2,29,53,0,5,18,3,83,3,1,3,12,1,1,0,9,0,0,208,22,10,0,0,0,1,4,0,0,0,3,2,11,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1661,498.5,5,0,1,5,1,0,6,18,68,0,13,29,5,51,2,1,1,14,4,4,0,6.5,0,0,183,32,13,0,0,4,0,4,0,0,0,5,2,5,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2562,488,0,0,0,11,0,0,7,12,108,0,10,23,3,20,3,0,1,17,3,1,0,0,0,0,171,22,48,0,1,1,0,3,0,0,0,4,1,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3464,484.5,0,0,1,13,0,0,8,29,75,0,6,17,5,39,5,0,0,11,6,4,0,6.5,0,0,176,16,40,0,0,2,3,2,0,0,0,1,1,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4366,399,2,0,0,4,0,1,3,10,39,0,5,22,6,13,6,1,0,9,4,7,2,8,0,0,129,8,93,0,2,2,8,1,0,0,0,2,0,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,5268,425.5,2,0,2,1,0,0,4,14,75,0,4,22,1,18,3,0,0,5,1,3,1.5,1,1,0,151,9,86,0,0,2,0,2,0,0,0,2,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,6169,416,2,0,2,3,0,1,2,13,73,0,8,31,4,6,4,0,0,8,2,6,2,1,0,0,149,12,62,0,0,2,0,1,0,1,0,4,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,7071,414,4,0,1,5,0,0,3,16,55,0,20,13,3,7,3,1,0,11,1,8,4,2,0,0,185,9,45,0,0,3,0,5,0,1,0,2,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,7973,440,4,0,33,7,0,0,6,12,40,0,24,19,2,9,5,0,2,3,0,17,18,11,0,0,144,1,55,0,1,8,0,3,0,2,0,1,0,0,4,1,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,8875,388,0,0,14,6,1,1,10,8,5,0,25,5,0,10,0,1,4,2,2,62,39,3,0,0,153,3,2,0,1,13,0,1,0,8,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,9776,383,2,0,12,7,1,2,9,18,4,0,21,10,1,5,0,0,0,0,1,69,49,6,0,0,137,0,2,0,0,8,1,0,1,8,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,10678,394,0,0,10,6,0,1,14,8,1,0,42,5,0,5,0,0,2,1,0,56,86,4,0,0,119,0,0,0,0,14,0,0,0,12,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,11580,468.5,1,0,8,5,1,1,15,4,0,0,53,19,3,27,0,0,0,0,0,88,29,4.5,0,0,146,1,0,0,4,16,1,1,1,12,0,4,7,0,0,7,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,11863,392,0,0,10,4,1,0,5,6,5,0,20,19,2,15,0,0,1,0,0,14,133,23,0,0,79,0,1,0,1,17,1,1,1,20,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
227,11949,396.5,0,0,12,6,2,4,3,8,11,0,26,30,2,15,0,0,1,0,1,22,118,11.5,0,0,94,1,2,0,1,1,0,4,0,10,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
230,12077,420.5,2,0,23,1,3,3,7,10,18,0,35,59,3,14,0,0,0,0,0,17,72,6,0,0,106,1,5,0,0,7,2,1,0,9,0,2,2,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
232,12163,401,0,0,20,5,2,5,5,2,3,1,29,64,1,10,0,0,1,0,0,19,66,14,0,0,107,1,9,0,0,5,0,1,1,13,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
235,12291,453,6,0,25,5,0,2,16,17,20,0,41,13,0,17,0,0,3,0,0,27,36,14,0,0,162,0,9,0,0,5,0,0,0,6,0,5,0,0,3,0,1,0,0,0,0,2,2,4,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
237,12377,439,0,0,26,9,1,4,6,18,33,0,26,18,0,12,0,2,2,1,0,43,24,6,0,0,177,0,2,0,0,6,0,1,0,7,1,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240,12505,408,0,0,8,4,0,1,4,3,0,0,67,40,2,14,0,0,0,0,0,6,167,22.5,0,0,44,0,1,0,5,1,1,1,1,1,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,12591,459,1,0,11,3,0,0,5,19,83,0,27,26,0,10,0,0,2,2,0,25,18,5,0,0,169,0,21,0,3,4,0,3,1,4,0,4,1,2,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
245,12720,440,0,0,20,9,1,2,1,5,60,0,34,29,1,7,0,0,0,1,0,12,57,14.5,0,0,164,0,6,0,0,2,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0
247,12805,430,0,0,12,5,3,0,6,1,0,1,62,26,2,25,0,0,1,0,0,8,168,40,0,0,46,0,1,0,2,3,3,2,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
250,12934,440,0,0,2,4,1,2,5,3,2,0,82,13,2,26,0,0,0,0,0,8,148,62,0,0,45,0,3,0,2,3,4,1,2,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
255,13148,405,0,0,4,5,4,1,6,4,13,2,42,15,1,14,0,0,1,2,1,7,144,26,0,0,67,2,10,0,1,4,0,5,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0
260,13362,448,0,0,3,2,8,1,7,2,0,0,79,12,2,23,0,0,0,0,0,1,189,50,0,0,29,1,2,0,1,1,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,15,2,1,0,0,1,0,0,0,0,0,0,0,0
270,13791,481,0,0,6,4,6,1,8,1,0,0,101,12,1,23,0,0,0,0,0,3,175,71,0,0,22,1,3,0,4,3,7,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
275,13943,503.5,1,0,6,8,8,1,6,0,0,0,124,14,0,17,0,0,0,0,0,2,179,87,0,0,17,0,6,1,1,3,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,3,0,1,0,0,2,0,0,0,0,0,0
280,14096,503.5,0,0,9,3,6,1,5,1,0,0,114,13,2,36,0,0,0,0,0,3,162,89.5,1,0,25,0,2,0,0,1,5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0
310,15012,465,0,0,10,2,2,1,6,0,1,0,83,8,2,26,0,0,0,0,0,5,160,102,0,0,21,1,1,0,3,1,5,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
340,15929,454,0,0,1,1,4,0,7,1,0,1,88,7,2,16,0,0,0,0,0,3,135,118,0,0,25,2,5,0,1,5,3,0,4,0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0
370,16845,453,0,0,9,2,2,2,6,1,0,0,86,8,1,23,0,0,0,0,0,5,141,128,0,0,11,2,2,0,4,2,0,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
400,17761,397,0,0,2,1,4,1,3,0,0,2,46,6,0,21,0,0,0,0,0,6,124,127,0,0,20,3,1,0,4,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,7,2,0,0,0,0,0,0,0,0,1,0,0,0
430,18677,360.5,0,0,3,1,2,1,0,0,0,0,40,4,1,10,0,0,0,0,0,3,132,138,0,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0
460,19593,424,0,0,3,1,3,2,6,0,0,0,66,2,0,24,0,0,0,0,0,3,137,138,0,0,16,0,1,0,3,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0
490,20510,342.5,0,0,3,3,1,1,2,0,0,0,15,2,0,7,0,0,0,0,0,8,170,98,0,0,11,0,3,0,0,3,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
520,21289,353,0,0,0,2,2,1,1,0,0,0,22,2,0,14,0,0,0,0,0,6,150,128,0,0,8,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0
550,21794,349,0,1,1,1,2,0,0,0,0,0,19,0,0,10,0,0,0,0,0,3,214,85,0,0,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
580,22300,351.5,0,0,1,3,1,2,2,1,0,1,16,2,0,12,0,0,0,1,0,3,164.5,122,0,0,7,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
610,22805,347,0,0,2,0,2,5,1,0,0,1,19,4,0,9,0,0,0,0,0,3,161,119,0,0,8,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
640,23310,346.5,0,0,2,2,0,1,2,1,0,0,15,2,3,12,0,0,0,0,0,6,167.5,102,0,0,17,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
670,23816,337,0,0,1,3,5,2,1,0,0,0,11,1,1,11,0,0,0,0,0,8,201,77,0,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
700,24321,347,0,0,2,0,6,1,5,0,0,2,9,1,0,9,0,0,0,0,0,6,176,110,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
710,NA,339.5,0,0,1,1,2,0,0,0,0,1,5,1,1,5,0,0,0,0,0,10,65,224,0,0,12,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2,0,0,0,0
715,NA,337,0,1,0,2,1,0,3,1,0,2,11,1,0,11,0,0,0,0,0,10,82,189,0,0,16,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
