"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Caltha","Carya","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.lucidula","Indeterminable","Iva","Juglans","Larix","Liquidambar","Lycopodium.annotinum","Menyanthes.trifoliata","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vitis"
523,5737,0,0,1,11,0,1,3,4,1,0,6,2,0,9,0,0,0,0,0,0,1,2,4,0,4,2,6,4,14,0,0,7,0,7,0,0,0,0,0,0,0,1,21,0,0,9,8,22,1,2,0,1,0,0,122,0,0,1,0,0,0,0,0,3,2,0,44,2,0,0,0
534,6366,0,0,0,3,0,4,0,4,0,2,10,5,0,9,0,0,4,0,0,0,0,1,2,0,2,2,5,3,18,0,0,4,0,3,0,0,0,0,0,0,0,1,14,0,0,0,0,29,0,5,0,2,1,0,160,0,0,0,0,0,0,0,0,2,2,0,28,0,0,0,0
540,6709,0,0,1,11,0,0,3,3,0,3,9,4,0,4,0,0,4,0,0,0,3,10,4,1,2,2,8,15,25,0,0,2,1,3,0,0,0,0,0,0,0,1,33,0,0,4,23,16,2,4,0,0,0,2,128,0,0,1,0,0,0,0,0,5,0,0,30,2,2,0,0
544,6938,0,0,0,9,0,1,3,3,0,4,8,2,0,5,0,0,3,0,0,0,2,2,4,0,1,0,4,4,10,0,0,12,1,6,0,0,0,0,0,0,0,0,24,0,0,6,7,16,2,6,0,0,0,0,135,0,0,2,0,0,0,0,0,2,0,0,42,0,1,0,0
550,7296,0,0,0,20,0,0,4,4,0,0,4,4,2,7,0,0,3,0,0,0,1,5,3,0,3,1,3,4,13,0,0,13,0,4,1,0,0,0,0,0,0,0,28,0,0,3,14,14,4,3,0,0,1,3,101,0,0,1,0,0,0,0,0,6,0,1,69,0,0,0,0
554,7587,1,0,0,12,0,0,0,6,0,0,5,2,0,5,0,0,9,0,0,0,1,1,4,0,5,0,10,6,20,0,0,8,0,4,0,0,0,0,0,0,0,0,22,2,0,0,0,0,3,0,0,2,0,1,135,0,0,1,0,0,0,0,0,4,0,0,41,1,0,0,0
557,7805,0,0,0,24,0,0,2,2,0,2,2,0,0,4,0,0,11,1,0,0,1,3,3,0,2,0,0,3,7,0,0,1,0,5,0,0,0,0,0,0,0,1,47,0,0,2,5,19,4,3,0,1,0,1,110,0,0,1,0,0,0,0,0,3,0,0,46,2,0,0,1
559,7950,0,1,0,10,0,0,1,1,0,2,0,0,0,6,0,0,6,0,0,0,1,2,0,0,1,0,9,5,14,0,0,6,0,1,0,0,0,0,0,1,0,0,25,0,1,3,5,7,1,0,0,1,0,0,152,0,0,0,0,0,0,0,0,6,0,1,57,4,0,0,1
564,8313,1,0,1,10,0,0,2,2,0,3,4,3,0,3,0,0,6,1,0,0,3,2,5,0,1,1,5,2,13,0,0,4,1,9,0,0,0,0,1,0,0,0,67,1,0,5,17,43,3,3,0,0,0,0,94,0,0,2,0,0,0,0,0,3,0,1,55,1,0,0,1
569,8676,0,0,0,15,0,0,1,1,0,4,2,0,1,14,0,0,5,0,0,0,1,5,3,0,1,2,3,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,59,0,0,2,21,26,4,3,0,1,0,0,106,0,0,1,0,0,0,0,0,1,0,0,36,1,0,0,0
574,9040,0,0,0,3,0,5,0,5,0,5,5,3,1,6,0,0,3,1,0,0,1,4,6,0,0,3,7,1,16,0,0,6,0,2,3,0,0,0,0,0,0,0,32,0,0,0,0,54,3,1,0,2,0,1,109,0,0,1,0,0,0,0,0,4,0,0,29,1,2,1,0
579,9403,0,0,2,15,0,0,4,4,0,3,5,3,0,12,1,0,1,0,0,0,2,12,6,0,0,0,5,2,11,0,0,3,0,3,0,0,0,0,0,0,0,0,28,0,1,0,17,49,0,9,1,2,0,2,94,0,0,3,0,0,0,0,0,2,0,0,38,0,0,0,0
584,9766,0,2,1,10,0,0,0,0,0,2,2,3,0,17,0,0,5,0,0,0,1,8,2,0,0,0,8,3,15,0,0,3,0,0,1,0,0,0,0,0,0,0,27,0,1,19,46,41,1,1,0,2,0,1,86,0,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0
589,10129,0,1,0,10,0,0,2,3,1,1,1,0,2,27,0,0,3,0,0,0,0,3,4,0,0,0,6,3,21,0,0,7,0,1,1,0,0,0,1,0,0,0,39,0,0,5,15,55,2,1,0,5,0,0,85,0,0,1,0,0,0,0,0,3,0,0,23,1,0,0,0
594,10492,0,0,0,6,0,1,0,2,0,3,5,3,1,13,0,0,2,0,0,0,0,2,2,0,0,1,4,3,15,0,0,6,0,0,0,0,0,0,3,0,0,0,23,0,0,0,0,100,2,3,0,1,1,0,85,0,0,2,0,0,0,0,0,3,0,1,25,1,0,0,1
599,10856,1,1,0,2,0,0,2,2,0,1,4,3,1,19,0,0,4,0,0,0,0,5,4,0,0,0,3,3,10,1,0,10,0,1,2,0,0,0,0,0,0,0,32,1,0,3,40,64,5,3,0,2,0,2,70,0,0,3,0,0,0,0,0,2,0,0,18,1,0,0,0
604,11028,0,1,0,8,0,0,4,4,0,1,4,2,1,30,0,0,2,0,0,0,1,8,2,0,0,0,6,4,16,0,0,7,0,2,0,0,0,0,0,0,0,0,25,3,1,12,36,50,1,3,0,5,0,2,74,0,0,4,0,0,0,0,0,4,0,1,23,0,0,0,0
609,11200,1,0,0,2,0,0,0,0,0,3,1,1,0,18,0,0,3,0,0,0,0,1,5,0,0,0,4,2,14,1,0,4,0,2,1,0,0,0,0,0,0,0,24,3,2,19,26,83,3,1,0,5,0,1,45,0,0,0,0,0,0,0,0,2,0,0,39,1,0,0,0
614,11372,1,1,0,4,0,0,0,4,0,0,2,3,0,35,0,0,3,0,0,0,0,2,1,0,0,1,5,1,8,0,0,8,0,1,3,0,0,0,0,0,0,0,7,3,1,46,20,75,0,0,0,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0
623,11730,4,0,0,5,0,0,0,0,0,1,6,2,1,72,0,0,5,1,0,0,4,1,4,0,0,0,14,2,22,0,0,5,0,1,1,0,0,0,0,0,0,0,12,10,0,14,10,58,1,2,0,3,0,5,42,0,0,1,0,0,0,0,0,0,0,0,33,5,0,1,0
634,12166,14,0,0,1,0,0,0,0,0,0,4,8,1,47,0,0,3,0,0,0,4,2,4,0,1,0,20,0,30,0,0,5,0,5,5,0,0,0,1,0,0,0,9,22,3,27,3,43,0,5,0,2,0,2,33,0,0,3,0,0,0,0,0,0,0,0,23,2,0,0,0
641,12444,4,0,0,1,0,0,1,1,0,0,2,4,0,40,0,0,1,0,0,1,1,3,11,0,0,2,23,0,39,0,0,8,0,3,4,0,1,0,0,0,0,0,4,82,0,8,2,44,0,5,1,7,0,2,35,0,0,1,0,0,0,0,0,0,0,0,19,1,1,0,0
648,12722,3,0,0,0,0,0,3,5,2,0,3,3,2,18,0,0,6,2,0,0,3,4,12,0,0,2,18,0,24,0,0,2,0,1,8,0,1,0,0,0,0,0,11,96,0,12,2,37,0,2,0,5,0,1,28,0,0,4,0,0,0,1,0,0,0,0,17,1,0,0,0
654,12960,0,0,0,0,0,1,0,3,0,0,2,9,1,15,1,1,0,0,0,0,5,5,4,0,0,2,12,1,19,0,0,6,0,1,7,0,0,0,0,0,0,0,8,129,0,0,0,44,0,9,0,6,0,0,30,0,0,2,0,0,0,0,0,0,0,0,7,3,0,0,0
674,13753,0,0,0,0,0,0,8,8,0,0,2,9,0,12,0,0,0,0,0,0,3,1,3,0,0,0,5,0,7,0,0,7,0,1,1,0,0,0,0,0,0,0,4,71,0,0,0,2,0,8,1,1,0,0,8,0,0,3,0,0,0,2,1,0,0,0,3,2,0,0,0
694,NA,2,0,0,0,0,0,4,5,1,1,8,16,3,7,0,0,0,0,0,0,1,6,14,0,0,1,14,0,14,0,0,10,0,0,1,0,0,0,0,0,0,0,5,59,0,0,0,1,0,3,0,11,1,0,18,9,0,4,0,0,0,1,1,0,0,1,8,3,0,0,0
714,NA,0,0,0,0,0,0,1,1,0,5,11,29,1,0,0,0,2,0,0,0,4,15,12,0,0,3,37,3,58,0,0,10,0,0,3,1,0,0,0,0,0,0,21,76,0,1,0,0,2,6,0,7,0,2,27,0,0,6,0,1,0,0,2,0,0,0,6,4,0,0,1
734,NA,1,0,0,0,0,0,0,5,5,3,23,29,1,5,1,1,1,0,0,0,2,13,23,0,0,6,28,3,53,0,0,14,0,2,0,0,1,0,0,0,0,0,8,58,1,0,0,1,1,7,0,9,0,0,44,0,0,6,0,0,0,1,4,0,0,0,10,0,0,10,1
754,NA,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,3,2,11,0,0,2,0,0,3,0,0,0,1,0,0,0,2,13,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
774,NA,0,0,0,0,1,0,1,1,0,3,8,21,6,4,0,0,2,5,0,0,0,21,25,0,0,2,19,4,47,0,0,15,0,0,1,0,0,0,0,0,0,0,7,42,0,0,0,0,1,13,0,7,0,0,15,1,0,4,0,2,0,1,2,0,0,0,1,2,1,1,0
794,NA,0,0,0,0,0,0,1,1,0,1,5,13,3,3,0,0,0,1,0,0,0,10,26,0,0,5,12,1,25,0,0,17,0,0,6,0,0,0,1,0,0,0,0,108,0,1,0,1,0,7,0,11,2,0,19,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0
