"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Juglans.nigra","Larix","Picea","Quercus","Salix","Thalictrum","Alnus","Pinus","Populus","Amaranthaceae","Ericaceae","Tilia","Poaceae","Acer.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra.type","Rosaceae","Abies","Rumex","Ulmus","Acer.rubrum","Corylus","Ostrya.Carpinus","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis","Carya","Fagus","Iva.annua.type","Fraxinus.pennsylvanica.type","Plantago","Xanthium","Platanus","Iva.xanthifolia.type"
100,1654,0,0.0120845921450151,0.0966767371601208,0,0.0453172205438066,0,0,0.640483383685801,0.0120845921450151,0.00906344410876133,0,0.0634441087613293,0.0876132930513595,0.00604229607250755,0.00906344410876133,0.00302114803625378,0,0.00604229607250755,0,0,0.00604229607250755,0,0,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1837,0.00298507462686567,0.0208955223880597,0.0835820895522388,0.00597014925373134,0.0447761194029851,0,0.00597014925373134,0.561194029850746,0,0.00298507462686567,0,0.107462686567164,0.137313432835821,0.00597014925373134,0,0.00298507462686567,0,0.00298507462686567,0,0,0.00597014925373134,0,0.00298507462686567,0.00298507462686567,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2019,0,0.00911854103343465,0.121580547112462,0,0.0425531914893617,0,0.00911854103343465,0.544072948328267,0,0.00303951367781155,0,0.151975683890578,0.088145896656535,0.00303951367781155,0.00303951367781155,0.0151975683890578,0,0.00303951367781155,0,0,0.00303951367781155,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2202,0,0.00914634146341463,0.0884146341463415,0.00609756097560976,0.0274390243902439,0,0.024390243902439,0.560975609756098,0.00609756097560976,0.00914634146341463,0,0.125,0.11890243902439,0.00304878048780488,0.00304878048780488,0.00609756097560976,0,0,0,0,0.00609756097560976,0.00304878048780488,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2384,0,0.0119047619047619,0.0535714285714286,0,0.0505952380952381,0,0,0.660714285714286,0.00297619047619048,0,0,0.068452380952381,0.139880952380952,0,0,0.00595238095238095,0,0,0,0,0.00297619047619048,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2566,0,0.052924791086351,0.0779944289693593,0.00278551532033426,0.0222841225626741,0,0.011142061281337,0.610027855153203,0.00557103064066852,0.00278551532033426,0,0.0974930362116992,0.108635097493036,0,0,0,0,0.00278551532033426,0,0,0.00278551532033426,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0
160,2749,0,0.00903614457831325,0.114457831325301,0,0.0240963855421687,0,0.00602409638554217,0.623493975903614,0.00301204819277108,0,0,0.0993975903614458,0.105421686746988,0.00602409638554217,0.00301204819277108,0,0,0,0,0,0,0,0,0.00301204819277108,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0
170,2931,0,0.0247678018575851,0.0835913312693498,0.00309597523219814,0.021671826625387,0,0.00309597523219814,0.591331269349845,0,0.0123839009287926,0,0.126934984520124,0.111455108359133,0,0,0.00928792569659443,0,0.00309597523219814,0,0,0,0,0.00309597523219814,0.00619195046439629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3163,0,0.0091743119266055,0.073394495412844,0,0.0214067278287462,0,0.0122324159021407,0.611620795107034,0.00305810397553517,0.00305810397553517,0,0.134556574923547,0.113149847094801,0.00611620795107034,0,0.00611620795107034,0,0,0,0,0.00305810397553517,0,0,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3445,0.003003003003003,0.018018018018018,0.063063063063063,0.009009009009009,0.024024024024024,0,0.021021021021021,0.63963963963964,0.006006006006006,0.009009009009009,0,0.108108108108108,0.072072072072072,0.006006006006006,0.009009009009009,0,0,0.003003003003003,0,0,0,0,0.003003003003003,0,0,0.003003003003003,0,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0
200,3727,0.00303030303030303,0.0303030303030303,0.0787878787878788,0,0.0272727272727273,0,0.00909090909090909,0.590909090909091,0.00606060606060606,0,0,0.139393939393939,0.0878787878787879,0,0.00303030303030303,0,0,0.00303030303030303,0,0,0.00909090909090909,0,0.00606060606060606,0.00606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4008,0,0.027355623100304,0.0851063829787234,0.00303951367781155,0.027355623100304,0,0.00911854103343465,0.550151975683891,0,0.0060790273556231,0,0.130699088145897,0.13677811550152,0,0,0.00303951367781155,0,0.0060790273556231,0,0,0.00911854103343465,0,0,0.00303951367781155,0,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0
220,4290,0.00304878048780488,0.0274390243902439,0.115853658536585,0.00609756097560976,0.048780487804878,0,0.00914634146341463,0.554878048780488,0,0.00304878048780488,0,0.125,0.097560975609756,0,0.00609756097560976,0,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4571,0.00314465408805031,0.00943396226415094,0.0660377358490566,0.00314465408805031,0.0188679245283019,0,0.0314465408805031,0.562893081761006,0.00314465408805031,0.00314465408805031,0,0.166666666666667,0.116352201257862,0.00628930817610063,0,0.00314465408805031,0,0,0,0,0.00314465408805031,0,0,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4853,0,0.0174418604651163,0.0755813953488372,0,0.0232558139534884,0,0,0.680232558139535,0.00872093023255814,0.00290697674418605,0,0.066860465116279,0.107558139534884,0,0,0.00581395348837209,0,0.00581395348837209,0,0,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5135,0.012779552715655,0.0223642172523962,0.130990415335463,0,0.0287539936102236,0,0.0159744408945687,0.559105431309904,0.00638977635782748,0.00319488817891374,0,0.105431309904153,0.10223642172524,0,0,0,0,0,0,0,0,0.00638977635782748,0,0,0,0.00319488817891374,0,0,0,0.00319488817891374,0,0,0,0,0,0,0,0,0
