"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subtribe.Ambrosiinae","Betula","Botrychium","Carya","Caryophyllaceae","Cornus","Corylus","Dryopteris.type","Elaeagnus","Ephedra","Epilobium","Fraxinus","Huperzia.selago","Juglans","Lamiaceae","Lycopodiella.inundata","Onagraceae.undiff.","Picea","Pinus","Poaceae","Populus","Ranunculaceae.undiff.","Rosaceae","Salix","Shepherdia.canadensis","Symphoricarpos.albus","Symphoricarpos.occidentalis","Thalictrum","Tsuga","Ulmus","Viburnum"
370,12409,2,18,28,98,14,0,10,34,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,458,56,108,56,0,2,42,28,0,0,2,2,6,0
380,12460,4,0,32,136,12,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,48,72,24,0,0,36,24,0,0,0,0,0,0
385,12486,0,20,20,126,14,0,10,28,0,0,0,0,20,0,0,0,0,20,0,2,0,0,0,448,86,82,76,2,0,24,20,0,0,2,0,0,0
390,12512,4,20,20,126,14,0,10,30,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,456,58,88,108,0,2,30,10,0,0,0,0,2,0
395,12560,2,24,24,220,18,0,12,48,0,0,0,0,12,0,0,0,0,24,0,2,0,0,0,438,24,74,152,0,2,80,42,0,0,0,0,2,0
400,12608,2,18,26,260,12,4,8,16,0,0,0,0,8,0,2,0,0,16,0,4,0,0,0,298,26,98,128,0,0,26,42,0,0,4,0,2,0
405,12656,2,0,18,224,22,0,8,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,320,34,60,14,0,0,14,70,0,0,0,0,0,0
410,12704,0,0,20,154,12,0,8,20,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,418,26,46,24,0,0,24,30,0,0,0,0,0,0
415,12752,0,10,10,126,0,0,0,10,0,0,0,0,8,0,4,0,0,10,0,0,0,0,0,200,36,60,78,0,0,28,20,0,0,0,0,0,0
420,12800,0,14,30,166,14,0,0,20,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,460,60,94,34,0,0,64,20,0,0,0,0,0,0
425,12848,0,26,30,130,14,0,0,20,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,478,60,90,54,2,0,60,10,0,0,0,0,0,0
435,12944,0,0,40,150,20,0,10,24,0,0,0,0,0,0,2,0,2,10,2,0,0,0,0,522,64,80,20,2,0,34,14,0,0,4,0,0,0
450,13088,0,0,12,68,0,0,0,12,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,350,52,38,12,0,0,14,22,0,0,0,0,0,0
460,13184,0,10,22,84,10,0,0,14,0,0,0,0,0,0,2,2,0,14,0,0,0,0,0,212,58,62,34,2,2,28,42,0,0,2,0,0,0
480,13377,0,0,20,132,28,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,570,80,28,0,4,2,18,114,0,0,0,0,0,0
490,13473,0,0,20,164,16,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,444,30,54,0,0,0,16,38,0,0,0,0,0,0
500,NA,0,0,28,174,24,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,570,68,38,0,0,0,20,54,0,0,0,0,0,0
