"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Ilex","Iva.xanthifolia.type","Larix","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Vitis","Juniperus.Thuja","Polygonum","Amaranthaceae.undiff.","Fabaceae.undiff.","Morus","Salix","Thalictrum","Tilia","Urtica.type","Myrica","Comptonia.peregrina","Amorpha.type","Fraxinus.pennsylvanica.type","Asteraceae.subf..Cichorioideae","Plantago.major","Zea.mays","Shepherdia","Acer.undiff.","Juglans.cinerea","Cornus","Potentilla.type","Iva.annua.type","Castanea","Hydrophyllum","Sambucus","Dalea","Ranunculus","Liliaceae","Fraxinus.undiff.","Ledum.Chamaedaphne.calyculata","Lamiaceae","Juglans.nigra","Cannabaceae","Galium","Juglans.undiff.","Ephedra","Rhamnaceae","Rubus","Hypericum","Sarcobatus.vermiculatus","Alnus.viridis.type","Acer.spicatum","Laportea.type","Apiaceae","Saxifragaceae","Valeriana","Populus.balsamifera.type","Rosaceae.undiff.","Caryophyllaceae","Xanthium"
451,2139,0.0160427807486631,0.0213903743315508,0.0053475935828877,0.0374331550802139,0.0106951871657754,0.0053475935828877,0.449197860962567,0.0053475935828877,0.0106951871657754,0,0,0,0.0160427807486631,0.0106951871657754,0,0,0,0,0.0053475935828877,0.0106951871657754,0.0160427807486631,0.0053475935828877,0.176470588235294,0,0.0160427807486631,0.0641711229946524,0.0267379679144385,0.0106951871657754,0.0320855614973262,0,0,0.0053475935828877,0,0,0,0,0,0,0.0106951871657754,0,0.0053475935828877,0,0,0.0160427807486631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,2217,0.0116618075801749,0.0204081632653061,0.00291545189504373,0.032069970845481,0,0.00291545189504373,0.282798833819242,0,0,0,0.00583090379008746,0.00291545189504373,0.0204081632653061,0.0087463556851312,0,0.00291545189504373,0,0,0.0145772594752187,0.00291545189504373,0,0.282798833819242,0.128279883381924,0.00291545189504373,0.00291545189504373,0.0408163265306122,0.0816326530612245,0.0087463556851312,0.0204081632653061,0,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0,0.00583090379008746,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0.00291545189504373,0,0,0,0,0,0,0,0,0,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,2297,0.00793650793650794,0.0105820105820106,0.00264550264550265,0.0264550264550265,0.00529100529100529,0.00264550264550265,0.243386243386243,0,0.00264550264550265,0,0.00264550264550265,0,0.00793650793650794,0.0105820105820106,0.00264550264550265,0,0.00529100529100529,0,0.00529100529100529,0.0158730158730159,0.00793650793650794,0.30952380952381,0.132275132275132,0.00264550264550265,0.00264550264550265,0.0555555555555556,0.0873015873015873,0.00529100529100529,0.0185185185185185,0,0,0,0,0.00264550264550265,0,0,0.00529100529100529,0,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264550264550265,0,0,0,0.00264550264550265,0,0,0,0,0,0.00264550264550265,0.00264550264550265,0.00264550264550265,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,2378,0.00602409638554217,0.0120481927710843,0.00301204819277108,0.0512048192771084,0.00903614457831325,0.00602409638554217,0.186746987951807,0,0,0.00301204819277108,0.0150602409638554,0.00301204819277108,0.00903614457831325,0.0120481927710843,0,0,0.0120481927710843,0,0.00903614457831325,0.00903614457831325,0.00903614457831325,0.286144578313253,0.147590361445783,0,0.0150602409638554,0.0331325301204819,0.102409638554217,0.00602409638554217,0.0240963855421687,0,0,0.00301204819277108,0,0.00602409638554217,0,0.00301204819277108,0,0.00301204819277108,0,0,0,0,0.00301204819277108,0.00301204819277108,0,0,0,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0,0.00301204819277108,0,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,2484,0,0.0119402985074627,0,0.0238805970149254,0,0.00298507462686567,0.214925373134328,0,0.00895522388059702,0.00298507462686567,0.00298507462686567,0.00298507462686567,0.0119402985074627,0.00597014925373134,0,0,0.00597014925373134,0,0.0119402985074627,0.00298507462686567,0.0149253731343284,0.328358208955224,0.134328358208955,0,0.00298507462686567,0.0447761194029851,0.116417910447761,0.00895522388059702,0.017910447761194,0,0,0,0,0.00298507462686567,0,0,0,0,0.00298507462686567,0,0,0.00895522388059702,0,0,0,0,0,0,0,0.00298507462686567,0,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,2568,0.0119047619047619,0.00892857142857143,0,0.0327380952380952,0,0.00892857142857143,0.235119047619048,0.00297619047619048,0,0,0.00297619047619048,0,0.00297619047619048,0,0,0,0.00595238095238095,0,0.00297619047619048,0,0.0208333333333333,0.279761904761905,0.18452380952381,0,0.0148809523809524,0.0327380952380952,0.0922619047619048,0.00892857142857143,0.0238095238095238,0,0,0.00595238095238095,0,0.00892857142857143,0,0,0,0,0.00595238095238095,0,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,2653,0.00333333333333333,0.01,0.00333333333333333,0.03,0,0.00333333333333333,0.253333333333333,0,0.00333333333333333,0.00666666666666667,0.01,0,0.02,0.0166666666666667,0.00333333333333333,0,0.00666666666666667,0,0.01,0.00333333333333333,0.02,0.283333333333333,0.12,0.00333333333333333,0.01,0.0666666666666667,0.0633333333333333,0.00333333333333333,0.03,0,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
524,2739,0.0166204986149584,0.0166204986149584,0.00277008310249307,0.0138504155124654,0.00277008310249307,0.00554016620498615,0.14404432132964,0,0.00277008310249307,0,0.00277008310249307,0.00277008310249307,0.0138504155124654,0.00831024930747922,0,0.00277008310249307,0.00277008310249307,0,0.00277008310249307,0.00277008310249307,0.0110803324099723,0.240997229916898,0.268698060941828,0.00277008310249307,0,0.07202216066482,0.10803324099723,0.00277008310249307,0.0249307479224377,0,0,0,0,0.00554016620498615,0.00277008310249307,0,0.00554016620498615,0,0.00831024930747922,0,0,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,3096,0.00598802395209581,0.0149700598802395,0.0029940119760479,0.0419161676646707,0.0119760479041916,0.00598802395209581,0.179640718562874,0,0,0.0029940119760479,0.0029940119760479,0,0.0029940119760479,0.00598802395209581,0,0,0.00598802395209581,0.0029940119760479,0.0029940119760479,0.0029940119760479,0.0239520958083832,0.37125748502994,0.191616766467066,0,0.00898203592814371,0.0568862275449102,0.0329341317365269,0,0.0119760479041916,0.0029940119760479,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0
600,3434,0.00643086816720257,0.0160771704180064,0.00321543408360129,0.0257234726688103,0.00964630225080386,0.00643086816720257,0.144694533762058,0,0.00321543408360129,0,0.00321543408360129,0,0.022508038585209,0.00643086816720257,0.00321543408360129,0,0.00321543408360129,0,0.00964630225080386,0.0128617363344051,0.0192926045016077,0.366559485530547,0.167202572347267,0.00321543408360129,0.0353697749196141,0.0739549839228296,0.0160771704180064,0.00643086816720257,0.0257234726688103,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
