"sample.depths","sample.ages","Carya","Asteraceae.undiff.","Cyperaceae","Quercus","Ambrosia","Fabaceae","Amaranthaceae","Thalictrum","Pinus","Cephalanthus","Casuarina","Polygonaceae","Myrica","Liquidambar","Poaceae","Cupressaceae.Taxaceae","Ericaceae","Betula","Magnolia","Ilex","Fraxinus","Ulmus","Euphorbiaceae","Bumelia","Bursera.simaruba","Alnus","Melastomataceae","Celtis","Salix","Anacardiaceae","Apiaceae"
23,180,0.0116279069767442,0.0174418604651163,0.0581395348837209,0.063953488372093,0.00581395348837209,0.0232558139534884,0.447674418604651,0,0.25,0,0,0.00581395348837209,0.0930232558139535,0,0,0,0.00581395348837209,0,0,0,0,0.00581395348837209,0.0116279069767442,0,0,0,0,0,0,0,0
25,440,0.00806451612903226,0,0.185483870967742,0.0483870967741935,0.00806451612903226,0,0.403225806451613,0,0.25,0,0,0.00806451612903226,0.0483870967741935,0,0.0161290322580645,0,0.00806451612903226,0,0,0,0,0,0,0.00806451612903226,0.00806451612903226,0,0,0,0,0,0
27,700,0.00952380952380952,0.0285714285714286,0.0952380952380952,0.0285714285714286,0,0,0.552380952380952,0,0.219047619047619,0,0,0.0285714285714286,0.0285714285714286,0,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,959,0.010752688172043,0.021505376344086,0.139784946236559,0.010752688172043,0,0.021505376344086,0.494623655913978,0,0.279569892473118,0,0,0.010752688172043,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1108,0,0.0064516129032258,0.264516129032258,0.0193548387096774,0,0,0.316129032258064,0,0.32258064516129,0,0,0.0129032258064516,0.0064516129032258,0,0.0258064516129032,0,0,0.0129032258064516,0,0,0,0.0064516129032258,0,0,0,0.0064516129032258,0,0,0,0,0
33,1256,0,0.0148148148148148,0.0444444444444444,0.0222222222222222,0,0.00740740740740741,0.577777777777778,0,0.274074074074074,0,0,0.0148148148148148,0.0148148148148148,0,0.0148148148148148,0,0,0.00740740740740741,0,0,0,0,0,0,0,0.00740740740740741,0,0,0,0,0
35,1405,0,0.0118343195266272,0.00591715976331361,0.0118343195266272,0,0,0.591715976331361,0,0.301775147928994,0.00591715976331361,0,0,0.0414201183431953,0,0.0118343195266272,0,0.00591715976331361,0.0118343195266272,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1553,0,0.0251256281407035,0.050251256281407,0.0452261306532663,0,0.0050251256281407,0.462311557788945,0,0.336683417085427,0,0,0.0201005025125628,0.0402010050251256,0,0.0100502512562814,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1702,0,0,0,0.0222222222222222,0,0,0.488888888888889,0,0.411111111111111,0,0,0,0.0333333333333333,0,0,0.0111111111111111,0.0222222222222222,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1851,0,0.0120481927710843,0.0240963855421687,0.0481927710843374,0,0.0120481927710843,0.433734939759036,0,0.301204819277108,0,0,0.0240963855421687,0.0843373493975904,0,0.0120481927710843,0,0.036144578313253,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0
43,1889,0,0.0116279069767442,0.0116279069767442,0.0232558139534884,0,0,0.593023255813954,0,0.255813953488372,0,0,0.0232558139534884,0.0581395348837209,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1928,0.00746268656716418,0.00746268656716418,0.0447761194029851,0.0298507462686567,0,0.00746268656716418,0.455223880597015,0,0.432835820895522,0,0,0,0,0,0,0,0.00746268656716418,0,0,0.00746268656716418,0,0,0,0,0,0,0,0,0,0,0
47,1967,0,0.0285714285714286,0.00952380952380952,0.0380952380952381,0,0,0.485714285714286,0,0.342857142857143,0,0,0,0.0380952380952381,0,0,0,0.0285714285714286,0,0,0,0,0.00952380952380952,0,0,0,0,0,0.00952380952380952,0.00952380952380952,0,0
49,2006,0,0,0,0.0416666666666667,0,0,0.458333333333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2044,0,0.0116279069767442,0.0581395348837209,0,0,0,0.5,0,0.395348837209302,0,0,0.0232558139534884,0,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2083,0.00641025641025641,0.032051282051282,0.032051282051282,0.0705128205128205,0,0.0128205128205128,0.480769230769231,0,0.320512820512821,0,0,0,0.032051282051282,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0
55,2122,0,0.0148148148148148,0.00740740740740741,0.0222222222222222,0,0,0.622222222222222,0,0.281481481481481,0,0,0.00740740740740741,0.0222222222222222,0,0,0,0.0148148148148148,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0
57,2161,0,0.03125,0.00625,0.0375,0,0,0.46875,0,0.4,0,0,0,0.03125,0,0.01875,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2199,0,0.010989010989011,0.0164835164835165,0.010989010989011,0,0.00549450549450549,0.747252747252747,0,0.17032967032967,0,0,0.010989010989011,0.00549450549450549,0,0.00549450549450549,0.00549450549450549,0,0.00549450549450549,0,0,0,0,0.00549450549450549,0,0,0,0,0,0,0,0
61,2238,0.005,0.005,0,0.045,0,0,0.72,0,0.195,0,0,0.005,0.02,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
63,NA,0,0.00657894736842105,0,0.0131578947368421,0,0,0.842105263157895,0,0.111842105263158,0,0,0.00657894736842105,0.00657894736842105,0,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657894736842105,0
65,NA,0,0.00632911392405063,0.00632911392405063,0.0316455696202532,0,0,0.778481012658228,0,0.132911392405063,0,0,0,0.0379746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632911392405063
67,NA,0,0,0.0404040404040404,0.0202020202020202,0,0.0101010101010101,0.717171717171717,0,0.181818181818182,0,0,0.0101010101010101,0,0,0.0202020202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,NA,0,0.0328947368421053,0.0328947368421053,0.0328947368421053,0,0.00657894736842105,0.677631578947368,0,0.177631578947368,0.00657894736842105,0,0,0.0197368421052632,0,0,0,0,0.00657894736842105,0,0,0,0,0.00657894736842105,0,0,0,0,0,0,0,0
71,NA,0,0.0434782608695652,0.00869565217391304,0.0347826086956522,0,0,0.695652173913043,0,0.147826086956522,0,0,0,0.0347826086956522,0,0.0260869565217391,0,0,0,0,0,0,0,0,0,0,0.00869565217391304,0,0,0,0,0
