"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Salix","Ulmus","Alnus","Pinus","Populus","Poaceae","Humulus","Fraxinus.nigra","Juglans.nigra","Celtis","Sarcobatus.vermiculatus","Vitis","Acer.saccharum","Asteraceae.undiff.","Corylus","Tilia","Iva.annua","Fraxinus.pennsylvanica","Juglans.cinerea","Ranunculus","Epilobium","Rumex","Shepherdia.canadensis","Potentilla","Caryophyllaceae","Rosaceae.undiff.","Acer.negundo","Liliaceae","Thalictrum","Polygonum","Urtica","Ephedra","Ericaceae"
870,12250,511,1,3,25,32,0,2,4,32,18,6,280,0,9,16,14,13,7,4,11,0,8,0,0,0,0,2,4,3,0,0,1,0,10,0,0,0,2,1,2,0,0,1,0,0,0,0
870,12250,511,1,3,25,32,0,2,4,32,18,6,280,0,9,16,14,13,7,4,11,0,8,0,0,0,0,2,4,3,0,0,1,0,10,0,0,0,2,1,2,0,0,1,0,0,0,0
880,12296,420,0,6,28,28,0,2,0,42,4,4,208,0,11,14,11,11,3,4,10,1,9,0,0,1,0,1,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0
890,12342,358,3,4,16,24,0,3,0,17,6,3,241,0,6,2,5,5,2,1,5,1,3,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0
900,12387,366,1,3,9,16,0,3,0,23,19,1,246,0,2,4,3,4,5,1,11,0,4,0,0,0,0,0,0,3,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0
910,12433,351,0,1,12,9,0,2,1,24,12,3,250,0,4,1,2,5,6,2,4,0,5,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
920,12479,148,0,0,3,10,0,0,1,25,3,0,84,0,0,2,1,2,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
930,12525,152,0,2,7,16,0,1,0,38,2,1,67,0,0,2,2,3,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
940,12571,121,1,1,2,8,0,0,0,41,5,0,52,0,0,1,0,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
950,12617,131,0,0,8,6,0,0,0,25,2,1,73,0,0,1,0,2,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3
960,12663,128,0,2,8,11,0,0,0,18,0,0,66,0,0,1,0,1,2,0,3,0,1,0,0,0,0,0,10,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
