"sample.depths","sample.ages","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Pinus","Amaranthaceae","Poaceae","Cupressaceae","Abies","Iva.annua","Shepherdia.canadensis","Juglans.cinerea","Fraxinus.nigra","Myrica","Populus","Tilia","Ulmus","Iva.xanthifolia","Apiaceae","Thalictrum","Quercus","Onagraceae"
135,4010,0,0.245222929936306,0.0159235668789809,0.00318471337579618,0.00318471337579618,0.426751592356688,0.00318471337579618,0,0.277070063694268,0,0.0159235668789809,0,0.00636942675159236,0,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4207,0.0165289256198347,0.192837465564738,0.0247933884297521,0.00275482093663912,0.00550964187327824,0.418732782369146,0,0,0.305785123966942,0,0.0165289256198347,0,0.0137741046831956,0,0.00275482093663912,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4403,0,0.248502994011976,0.0149700598802395,0,0.0029940119760479,0.440119760479042,0.0029940119760479,0,0.260479041916168,0,0.0179640718562874,0,0.00898203592814371,0,0,0,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0
150,4600,0,0.23598820058997,0.0265486725663717,0,0.00589970501474926,0.392330383480826,0.00589970501474926,0.00294985250737463,0.303834808259587,0,0.0117994100294985,0,0.0117994100294985,0,0,0,0,0,0,0,0,0,0,0,0,0.00294985250737463,0,0
155,4796,0.00606060606060606,0.263636363636364,0.0333333333333333,0.00303030303030303,0.00303030303030303,0.396969696969697,0.00606060606060606,0,0.263636363636364,0,0.00909090909090909,0,0.0121212121212121,0,0,0,0,0,0,0,0,0,0.00303030303030303,0,0,0,0,0
160,4992,0.00284090909090909,0.289772727272727,0.0142045454545455,0.00568181818181818,0.00568181818181818,0.326704545454545,0.00852272727272727,0,0.335227272727273,0.00284090909090909,0.00284090909090909,0,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5189,0,0.332386363636364,0.0284090909090909,0.00284090909090909,0.00568181818181818,0.269886363636364,0.00284090909090909,0.00284090909090909,0.315340909090909,0.00284090909090909,0.0113636363636364,0,0.0170454545454545,0,0.00284090909090909,0,0,0,0,0,0,0,0,0,0,0.00284090909090909,0.00284090909090909,0
170,5385,0.00313479623824451,0.326018808777429,0.0250783699059561,0,0.0188087774294671,0.22884012539185,0,0,0.373040752351097,0,0.0125391849529781,0,0.0125391849529781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5581,0.00611620795107034,0.36085626911315,0.0489296636085627,0.00611620795107034,0.00305810397553517,0.17737003058104,0.0091743119266055,0.00305810397553517,0.370030581039755,0,0.00611620795107034,0,0.00611620795107034,0,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0
180,NA,0,0.300813008130081,0.043360433604336,0,0.002710027100271,0.0596205962059621,0.010840108401084,0,0.550135501355014,0,0.013550135501355,0,0.010840108401084,0.002710027100271,0,0,0,0,0.002710027100271,0.002710027100271,0,0,0,0,0,0,0,0
185,NA,0,0.278735632183908,0.0660919540229885,0.0028735632183908,0,0.0517241379310345,0.00862068965517241,0,0.554597701149425,0,0.0114942528735632,0,0.0201149425287356,0.0028735632183908,0,0,0,0,0,0,0,0,0.0028735632183908,0,0,0,0,0
190,NA,0.00597014925373134,0.262686567164179,0.385074626865672,0.00597014925373134,0,0.0417910447761194,0.0149253731343284,0.00298507462686567,0.188059701492537,0.00298507462686567,0.0537313432835821,0,0.0298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00597014925373134,0
195,NA,0.0121580547112462,0.191489361702128,0.151975683890578,0.0060790273556231,0,0.0425531914893617,0.0759878419452888,0.0060790273556231,0.227963525835866,0.0060790273556231,0.121580547112462,0,0.133738601823708,0,0.00303951367781155,0,0,0,0.00303951367781155,0,0,0,0.0060790273556231,0,0,0,0.00911854103343465,0.00303951367781155
