"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Celtis","Corylus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Huperzia.lucidula","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Nymphaeaceae.undiff.","Osmunda.cinnamomea","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus.type","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus.balsamifera","Populus.grandidentata.type","Pteridium","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Sphagnum","Thuja.plicata.type","Tilia","Tsuga","Typha.angustifolia","Ulmus","Unknown","Unknown..monolete..psilate."
24,354,5,3,0,8,0,0,2,1,1,0,0,178,0,0,0,0,2,10,0,0,4,0,0,0,0,0,3,1,0,0,0,1,1,0,3,5,2,91,0,0,0,2,0,1,0,14,0,0,0,0,2,0,91,1,10,1,0
30,481,2,1,0,11,0,0,8,0,4,3,0,127,1,0,1,0,4,16,0,0,5,0,0,0,0,0,0,0,0,1,1,2,3,0,0,23,2,66,29,0,1,4,0,4,0,25,0,0,0,0,4,1,79,0,9,0,0
40,692,3,2,0,7,0,0,12,1,3,0,0,125,0,0,0,0,6,8,0,0,3,0,0,0,1,0,0,2,0,0,0,0,2,0,2,4,9,116,0,0,0,4,0,2,2,15,0,0,0,0,4,2,82,0,3,0,0
50,903,2,2,0,10,0,1,6,2,3,0,3,163,1,0,1,0,1,11,0,0,10,1,0,0,0,0,0,2,0,0,0,0,1,0,0,15,2,83,29,0,0,7,0,7,0,16,0,0,0,0,4,3,77,0,12,1,0
60,1120,1,2,0,11,0,0,6,0,0,1,0,116,1,0,0,0,2,4,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,8,5,10,92,0,0,0,1,0,3,0,12,0,0,0,0,3,0,83,0,10,1,0
70,1344,5,4,0,9,0,0,6,2,2,0,2,136,2,0,9,0,2,4,0,0,3,0,0,0,1,0,0,0,0,1,1,1,1,0,0,20,13,79,0,0,0,3,0,7,0,10,0,0,0,0,4,1,84,0,8,0,0
95,1904,5,1,0,12,0,0,3,0,2,1,1,137,0,0,0,1,3,2,0,0,8,0,0,0,0,0,0,2,0,1,0,1,0,0,6,19,11,118,0,0,0,4,0,5,0,25,0,0,0,0,2,0,42,0,0,0,1
125,2576,1,4,0,8,0,0,7,0,3,0,0,198,0,0,1,0,3,5,0,0,9,0,0,0,0,0,0,0,2,0,0,0,2,0,5,6,15,120,0,0,0,2,0,7,0,18,0,0,0,0,7,1,35,0,11,0,2
145,3024,2,3,0,6,1,0,5,0,1,3,0,180,0,0,0,0,2,5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,80,0,0,0,1,0,1,0,16,0,2,0,0,6,1,66,0,11,0,1
182,3632,1,7,0,16,0,1,5,0,2,0,3,151,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,10,85,0,0,1,1,0,5,0,24,0,0,0,0,1,2,43,0,5,1,0
210,4093,3,2,0,18,0,0,14,2,2,3,2,144,0,0,0,0,0,2,0,0,7,0,0,2,1,0,2,1,0,1,0,0,3,0,7,6,18,151,0,0,0,1,0,2,0,18,0,1,0,0,15,0,10,0,3,0,0
220,4257,1,0,0,5,0,0,8,0,1,5,0,95,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,37,123,0,0,0,0,0,7,0,20,0,0,0,0,7,1,16,0,11,0,0
230,4421,0,0,0,11,0,0,11,1,0,1,0,60,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,9,3,38,124,0,0,0,0,0,4,0,25,0,0,0,0,21,2,8,0,13,0,1
240,4586,1,1,0,8,0,0,9,2,2,1,0,86,0,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,27,113,0,0,0,4,0,3,1,51,0,1,0,0,12,2,17,0,13,0,1
250,4750,1,4,0,14,0,0,12,2,3,1,0,114,0,0,0,0,3,1,0,0,16,1,0,0,0,0,1,0,0,0,0,0,2,0,7,10,65,99,0,0,0,0,0,2,0,65,0,0,0,0,8,4,3,0,13,0,0
260,4914,3,15,0,14,1,0,6,2,3,0,2,72,0,0,0,0,4,1,0,0,10,0,0,0,0,0,0,3,0,0,0,0,1,0,13,7,35,113,0,0,0,0,0,3,0,53,0,0,0,0,13,1,9,0,9,0,0
265,4996,0,4,0,14,0,0,9,3,1,1,1,73,0,0,0,0,2,0,0,0,11,0,1,0,1,0,2,0,0,0,0,0,0,0,11,10,44,74,0,0,2,2,0,0,1,55,0,1,1,1,41,2,14,0,11,0,0
270,5079,0,4,0,16,1,2,2,3,0,2,2,47,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,54,103,0,0,0,1,0,6,1,55,0,0,0,0,11,2,17,0,21,0,0
275,5161,1,0,0,21,1,0,8,2,1,5,1,68,0,2,0,0,4,3,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,9,36,101,37,0,0,3,0,6,0,36,0,4,0,0,24,1,55,0,16,0,1
280,5258,1,0,0,8,0,2,16,0,4,4,2,28,3,0,0,0,2,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,3,0,3,7,33,174,0,0,0,5,0,3,3,25,0,0,0,0,1,0,46,0,5,0,2
285,5359,1,1,0,4,0,0,7,1,3,3,1,37,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,4,32,145,0,0,1,2,0,0,0,26,0,0,0,1,15,0,60,0,6,0,0
290,5459,0,1,0,12,0,0,9,0,6,4,0,80,0,0,0,0,1,1,0,0,7,0,0,0,0,0,2,1,0,0,0,0,1,0,2,3,39,123,0,0,0,3,1,2,0,26,0,1,2,0,7,1,66,0,12,0,0
300,5661,1,1,0,10,0,0,11,2,5,4,1,86,0,0,0,0,0,3,0,0,5,0,0,2,1,0,0,0,1,0,0,0,3,1,7,8,33,209,0,0,0,0,0,3,0,36,0,0,0,0,9,2,65,0,14,0,0
310,5863,1,3,0,9,0,0,7,1,3,2,0,45,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,26,167,0,0,0,1,0,7,2,23,0,1,0,0,16,1,50,0,12,0,1
330,6266,5,1,0,5,0,0,7,1,2,0,0,31,1,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,1,0,8,5,27,220,0,0,0,0,0,4,0,34,0,0,0,0,26,0,17,0,8,0,0
340,6522,2,2,0,14,0,0,9,4,4,4,1,57,2,0,0,0,0,0,1,5,0,0,1,2,0,0,0,0,0,0,0,0,1,0,12,11,28,193,104,0,0,2,0,1,1,55,0,0,0,0,11,0,2,0,9,0,0
350,6834,1,7,0,20,0,0,4,3,5,4,0,76,0,0,0,0,2,1,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,3,32,219,75,0,0,0,0,0,0,58,0,1,0,0,5,3,1,0,12,0,0
360,7145,2,5,0,4,0,0,5,4,3,2,4,56,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,8,2,37,315,0,0,0,0,0,2,1,49,0,1,0,0,6,0,0,0,14,0,0
380,7768,8,2,1,2,2,0,8,1,2,2,1,50,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,30,286,0,0,0,3,0,7,9,20,0,0,0,0,2,0,0,0,7,0,0
395,8236,8,1,0,2,0,0,17,1,4,8,2,124,0,0,1,0,2,0,0,7,0,0,0,3,1,1,1,0,0,0,0,0,0,0,13,11,77,200,173,0,2,5,0,4,5,16,0,1,0,0,10,0,0,0,16,0,3
415,8859,10,1,0,1,0,0,21,1,2,5,0,141,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,0,1,0,1,0,0,5,18,133,80,0,0,0,3,0,4,2,9,0,3,0,0,0,0,0,0,12,0,0
445,9442,6,0,0,0,0,0,22,1,1,4,2,128,0,0,0,0,3,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,3,19,157,31,0,0,0,1,0,6,17,9,0,1,0,0,3,0,0,0,11,0,0
455,9613,6,0,0,0,0,0,26,12,10,8,2,149,1,0,0,2,4,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,39,137,12,99,0,0,4,0,2,3,27,0,0,0,0,0,0,0,0,10,0,1
475,9955,10,0,0,0,2,0,8,7,5,12,5,97,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,8,33,327,12,0,0,0,2,0,4,2,17,0,4,0,0,9,0,0,0,8,0,0
500,10382,6,0,0,0,2,0,5,2,3,11,0,86,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,47,206,12,0,0,0,3,0,4,3,14,2,4,0,0,4,0,0,0,4,0,0
520,10724,12,0,0,2,0,0,4,2,6,1,0,83,0,0,0,2,4,1,0,3,0,0,0,1,1,0,2,1,0,1,3,0,0,0,9,22,162,30,85,0,2,4,0,2,3,20,0,0,1,0,11,0,0,0,12,0,0
540,11066,8,0,0,2,0,0,1,2,5,6,2,58,2,0,0,0,0,0,0,6,0,0,0,3,1,0,3,0,0,0,0,0,0,0,6,30,130,34,64,0,0,2,0,5,3,24,0,2,0,0,2,0,0,0,0,0,0
560,11407,12,0,0,0,0,0,3,1,4,4,4,55,0,0,0,0,5,0,2,3,0,0,0,1,1,0,4,0,0,0,0,0,0,0,9,34,196,10,65,0,0,0,0,7,1,25,0,1,0,0,0,0,0,0,15,1,0
600,12091,8,0,0,0,0,0,3,6,2,5,5,36,2,0,0,0,1,0,0,4,0,0,0,2,0,0,6,0,0,0,0,1,0,0,8,37,186,1,53,0,1,0,0,0,2,39,0,1,2,0,4,0,0,0,29,1,0
620,12433,0,0,0,3,2,0,1,1,1,12,1,20,3,1,0,0,3,0,0,6,0,0,0,5,2,0,14,0,0,0,0,0,0,0,20,75,90,9,32,0,1,5,0,1,9,34,0,4,0,0,5,0,0,0,33,0,2
640,12775,7,0,0,1,0,0,1,0,8,26,5,13,3,0,0,0,9,0,1,4,0,0,0,5,4,0,1,0,0,0,0,0,0,0,5,59,150,3,0,0,1,0,0,4,0,34,0,3,0,1,9,0,0,0,15,0,0
660,NA,0,0,0,0,0,0,1,3,0,17,0,5,1,3,0,0,1,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,53,179,2,14,0,1,2,0,3,4,12,0,7,1,0,9,0,0,0,14,0,2
675,NA,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0
685,NA,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0
705,NA,5,0,0,1,0,0,2,2,3,10,4,24,1,0,0,0,2,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,50,140,5,71,0,0,0,0,0,5,40,0,9,0,0,0,0,0,0,44,0,1
