"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Ephedra","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Juglans","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Nuphar","Ostrya","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.viviparum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Salix","Selaginella","Shepherdia.canadensis","Sparganium","Sphagnum","Typha","Ulmus","Unknown"
10,1551,1,0,1,64,0,0,4,1,58,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,455,9,1,10,0,0,5,0,0,0,0,0,0,1,0,0,2,1,0,0,24,0,0,2
12,1794,1,0,3,67,0,1,5,2,67,0,0,0,0,3,22,0,0,0,0,3,0,0,0,0,3,0,1,1,2,3,0,0,0,0,0,480,5,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
14,2020,0,1,3,54,1,0,5,1,45,0,0,0,0,8,9,0,0,0,1,5,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,442,3,0,3,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,15,0,0,1
15,2127,0,0,0,49,0,1,2,0,54,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,579,5,0,17,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0
18,2424,0,1,2,66,1,0,1,2,45,0,0,0,0,6,8,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,430,3,1,5,0,0,0,0,3,1,0,0,1,1,0,0,1,0,0,0,28,0,0,0
20,2604,0,0,23,500,0,5,15,2,230,0,0,0,2,2,1,1,0,1,0,12,0,1,0,0,1,0,13,7,4,6,1,8,1,5,0,1249,22,3,11,0,0,13,0,19,0,0,0,1,0,0,0,7,0,0,0,38,0,1,4
25,2996,0,0,9,76,3,1,5,0,60,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,1,3,1,2,2,0,2,0,377,6,1,6,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
30,3313,0,0,2,70,0,0,4,2,37,0,0,0,2,1,3,1,0,0,0,6,1,0,0,0,1,1,1,1,0,1,0,2,0,0,0,432,5,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0
33,3473,0,0,8,68,0,0,0,1,50,0,0,0,0,8,4,1,0,0,1,2,0,0,0,0,0,0,3,1,2,1,0,0,0,1,0,347,7,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2
40,3773,0,0,10,145,0,3,5,1,72,0,0,0,0,18,7,0,0,0,0,5,0,2,0,0,0,0,2,1,0,3,0,2,0,0,0,496,11,1,6,0,1,7,0,2,0,1,0,0,0,0,0,1,0,0,0,19,0,1,2
45,3939,1,0,16,125,0,0,6,1,71,0,0,0,0,14,3,0,0,1,2,5,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,553,3,0,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
50,4078,0,0,9,132,0,4,4,3,53,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,1,3,0,1,0,429,1,0,2,0,0,6,0,0,1,1,0,1,0,0,0,1,1,0,0,3,0,0,2
55,4202,0,0,16,170,1,0,2,1,95,0,0,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,522,3,0,1,0,0,3,0,2,2,0,0,0,0,0,1,1,0,0,0,11,0,0,3
60,4324,0,0,5,251,0,2,8,2,73,0,0,0,1,5,3,1,0,0,1,4,0,1,0,0,0,0,0,1,2,2,1,1,0,0,0,274,5,1,7,0,0,5,0,4,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0
65,4454,0,0,1,221,0,4,9,1,73,0,0,0,0,2,2,0,0,0,0,5,0,0,1,0,0,0,1,2,1,0,0,4,0,0,0,322,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
70,4605,0,0,3,280,1,1,3,1,85,0,0,0,0,2,2,1,0,0,0,5,0,0,0,0,0,0,1,2,2,1,2,3,0,0,0,373,5,0,2,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,7,0,1,1
75,4788,0,0,5,237,0,1,0,1,88,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,7,2,0,1,1,0,1,0,449,2,0,6,0,0,4,0,3,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0
80,5016,0,0,11,339,0,0,6,0,75,0,0,0,1,4,11,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,2,1,1,0,334,7,0,2,0,0,13,0,6,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1
85,5300,0,0,0,117,2,4,4,1,59,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,380,2,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,2
90,5653,0,0,15,273,0,0,2,1,58,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,1,1,1,2,1,0,0,0,244,6,0,1,1,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
95,6085,0,0,2,256,4,2,5,0,108,0,0,0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,18,0,3,1,0,0,0,0,0,236,6,2,2,0,0,16,0,9,0,2,0,2,0,0,0,1,0,0,0,12,0,1,2
100,6610,0,0,5,181,3,2,9,3,272,0,0,0,0,18,33,0,0,0,0,9,0,1,0,2,1,0,8,4,2,4,4,0,0,0,0,227,6,0,10,0,0,14,0,7,0,0,1,0,0,0,0,5,0,0,2,43,0,0,2
103,NA,0,0,5,110,2,10,5,1,151,0,1,0,1,4,25,3,0,1,0,11,0,1,1,2,0,0,7,22,8,2,4,1,0,0,1,224,2,0,3,0,0,17,0,6,4,1,0,1,0,0,0,10,0,1,0,41,0,0,4
107,NA,0,0,0,18,2,5,2,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,75,3,0,1,0,0,6,0,3,0,1,0,0,0,0,0,7,0,0,0,27,0,0,3
