"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Castanea","Ceanothus","Celtis","Cephalanthus","Cerealia","Cornus","Corylus","Cyperaceae","Dryopteris","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Indeterminable","Iva.annua.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.type","Larix","Liquidambar","Lycopodiaceae","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.herbs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Viburnum","Vitis"
1252,3633,0,2,0,0,0,10,1,0,10,3,0,35,0,0,0,0,0,0,0,30,0,0,2,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,8,0,8,9,5,0,3,0,212,2,0,0,0,0,0,0,0,0,0,0,12,4,0,2
1284,3928,0,1,0,1,0,6,1,1,2,2,0,51,0,0,0,0,0,0,1,5,0,0,2,2,7,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,5,3,0,1,0,1,0,8,10,3,0,1,2,224,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0
1316,4223,0,5,0,2,2,3,0,1,3,0,0,56,0,0,0,0,0,0,1,17,0,0,8,1,8,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,8,2,0,0,0,0,0,6,1,0,0,0,0,211,0,0,0,0,2,0,0,0,0,0,0,11,2,0,0
1332,4371,0,3,1,0,0,6,0,1,12,3,0,48,0,0,1,0,0,0,1,8,0,0,11,3,16,0,1,1,4,7,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,4,0,9,3,3,1,0,0,272,2,0,0,0,0,0,0,1,0,0,0,24,1,0,0
1348,4519,0,2,0,1,0,5,0,0,9,2,0,59,0,0,0,0,0,0,3,6,1,0,8,4,4,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5,0,9,13,3,1,1,0,218,1,0,0,0,0,0,0,1,0,0,0,16,2,0,0
1380,4814,0,2,0,1,0,7,0,1,10,3,0,82,0,0,0,0,0,0,0,11,0,0,1,1,10,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,12,11,2,2,0,1,256,1,0,0,2,2,0,0,0,0,1,1,11,2,0,0
1413,5119,0,2,0,0,2,4,0,1,2,0,0,47,0,0,0,0,0,1,1,11,0,0,2,2,7,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3,4,0,1,0,2,0,11,6,3,0,2,1,196,0,0,0,1,1,0,0,1,0,0,0,20,3,0,0
1460,5552,0,12,0,2,0,4,0,0,12,0,0,48,0,0,0,0,0,0,2,12,0,0,19,0,7,0,2,0,7,4,0,0,0,0,0,0,0,0,0,0,0,9,3,0,2,0,5,0,14,3,1,1,0,0,277,1,0,0,0,1,0,0,0,1,0,0,41,0,0,0
1503,5949,0,7,0,0,0,4,0,0,17,1,0,25,0,0,1,1,0,0,1,9,0,0,30,3,9,0,0,0,7,16,0,0,0,0,0,0,0,1,0,0,0,9,3,1,1,1,1,0,9,3,0,1,0,0,168,0,0,0,0,1,0,0,1,0,0,0,39,0,0,0
1524,6143,0,5,0,0,1,8,0,0,2,0,0,50,0,0,1,0,0,0,1,3,0,0,40,1,14,0,4,0,20,4,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,5,0,7,5,0,2,0,0,215,1,0,0,0,0,0,0,0,0,0,0,51,2,0,0
