"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
69,1513,0,9,10,4,98,3,5,2,0,0,83,3,0,0,0,3,0,3,8,3,28,22,0,0,84,0,0,148,3,1,0,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,1,5,0,0,2,5,1
71,1583,0,12,7,5,75,0,2,0,0,0,88,3,0,0,0,0,0,0,2,2,51,20,0,1,82,0,0,158,3,0,0,0,1,0,3,0,2,2,0,0,0,0,0,0,0,0,0,8,3,0,0,0,5,0
73,1653,0,9,7,7,91,7,4,0,0,2,106,5,2,0,0,1,0,3,10,5,35,7,3,0,76,0,0,182,5,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,1,7,0
75,1723,0,7,9,4,88,5,2,0,0,1,118,2,0,0,0,4,0,4,4,4,26,12,3,2,63,0,1,162,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,3,0,0,0,6,0
77,1792,0,8,13,5,86,4,5,0,1,1,116,8,2,0,0,8,0,2,4,2,24,10,2,1,94,0,1,139,3,1,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,4,1,0,1,0,8,1
79,1862,0,10,8,2,58,2,0,0,5,2,107,0,0,0,0,3,0,3,3,5,21,14,1,1,74,0,1,174,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,3,2,3,0
81,1922,1,11,12,6,54,4,3,0,2,1,105,1,0,0,0,6,0,1,11,3,20,17,0,0,86,0,0,176,7,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,1,4,3,0,0,0,6,1
83,1982,0,3,12,5,62,9,3,1,3,1,130,2,0,0,0,6,0,3,2,3,26,23,0,0,82,0,0,170,3,1,1,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,6,0
85,2043,0,8,11,4,50,6,4,2,0,1,126,4,0,0,0,4,0,3,4,4,23,25,1,2,67,1,1,182,2,0,0,2,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,3,1,0,1,0,4,1
87,2103,2,5,10,10,60,3,3,0,0,1,140,3,0,0,0,2,0,0,5,3,20,16,3,1,94,0,0,146,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,9,2
89,2163,1,7,19,9,78,9,2,0,1,6,110,5,0,0,0,3,0,3,2,2,19,18,1,0,85,0,0,135,6,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,1,4,0
91,2223,0,12,11,8,76,6,0,3,1,2,126,2,2,0,0,5,0,1,4,1,29,14,3,0,93,0,0,118,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,7,1
93,2283,1,5,11,6,85,10,3,0,0,1,120,4,1,0,0,3,0,2,2,1,41,11,1,0,84,0,0,132,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
95,2343,1,5,13,8,68,3,10,0,0,1,113,7,0,0,0,9,0,0,2,0,42,20,0,0,81,0,2,135,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,4,0,1,0,7,1
97,2404,3,6,7,5,76,4,4,0,1,5,131,5,0,0,0,2,0,2,2,0,26,31,3,1,64,3,0,151,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,4,1
99,2464,0,12,13,0,56,4,3,0,1,5,114,3,2,0,0,5,0,5,2,2,15,24,0,1,99,0,0,144,6,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,4,1,4,0,3,2,7,1
