"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea"
280,3682,406,0,0,28,1,33,33,1,0,0,0,0,0,0,72,5,16,0,6,2,0,0,0,0,0,0,0,0,22,0,3,1,5,1,0,105,1,0,0,6,10,48,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
290,3815,406,0,1,30,2,48,32,4,0,0,0,0,0,0,52,8,19,0,5,1,1,0,0,0,1,0,0,0,24,0,6,2,3,6,0,108,2,0,0,6,6,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
295,3882,415,0,0,26,2,45,16,1,0,0,0,1,0,0,90,9,21,0,6,0,0,0,0,1,1,0,1,0,17,0,7,0,4,3,0,108,0,0,0,7,9,36,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4015,362,0,0,28,1,28,12,1,0,0,0,0,0,0,76,7,35,0,2,0,0,0,0,0,0,0,0,0,64,0,6,0,2,5,0,43,0,0,0,10,12,27,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,4146,403,0,0,34,5,68,19,0,0,0,0,0,0,0,115,8,19,0,0,0,0,0,0,0,0,0,0,0,15,0,3,1,3,4,0,40,2,0,0,12,6,44,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,4272,391,0,1,34,5,42,7,0,0,0,0,0,0,0,86,6,28,0,3,0,1,0,0,1,0,0,0,0,33,0,3,0,3,7,0,56,0,0,0,19,10,38,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,4392,373,0,0,28,2,29,16,2,0,0,0,0,0,0,130,4,15,2,4,1,1,0,0,0,0,0,0,0,13,0,4,1,5,6,0,57,0,0,0,10,7,30,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
345,4502,367,0,0,34,5,47,11,2,0,0,0,0,0,0,80,6,22,0,0,0,1,2,0,0,0,0,0,0,22,1,1,0,5,13,0,66,0,0,0,6,3,34,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
355,4602,450,0,1,38,3,37,18,0,0,0,0,0,0,0,84,19,23,0,0,1,2,0,0,0,0,0,0,1,23,1,10,0,12,17,0,91,0,0,0,8,13,43,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
360,4647,349,0,1,17,3,20,9,2,2,0,0,0,0,0,60,9,20,0,5,0,0,0,0,0,0,0,0,0,26,1,9,1,6,12,0,99,0,0,0,11,1,24,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,4691,340,0,0,15,0,22,5,2,0,0,0,0,0,0,57,7,21,0,3,1,0,0,0,0,0,0,1,0,30,1,2,2,5,14,0,103,0,0,0,9,6,24,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
375,4771,478,0,0,23,2,40,19,0,0,0,0,0,0,0,95,7,39,0,4,1,0,0,0,0,0,0,0,0,30,0,4,0,2,17,0,111,1,0,0,16,9,51,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
380,4810,399,0,0,26,5,38,19,1,0,0,0,1,0,0,100,9,26,0,1,0,3,0,0,0,0,0,0,0,23,0,2,0,0,10,0,91,0,0,0,6,2,31,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
395,4920,387,0,0,34,2,16,22,0,0,0,0,0,0,0,85,6,20,0,8,2,2,0,0,0,0,0,0,0,22,0,4,2,3,12,0,87,0,0,0,5,11,40,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
405,4993,452,0,0,30,3,37,26,1,0,0,0,0,0,0,67,10,37,0,4,0,3,0,0,0,0,0,0,0,30,1,3,0,2,16,1,104,2,0,0,9,3,48,2,1,0,1,2,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
415,5068,387,0,1,24,2,25,9,2,0,1,0,1,0,0,78,5,18,0,12,0,1,0,0,0,0,0,0,0,30,0,4,0,4,6,0,88,0,0,0,8,6,51,1,2,0,3,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
425,5150,455,0,0,42,2,48,7,1,0,0,0,0,0,0,129,6,24,0,7,0,0,0,0,0,0,0,0,0,23,2,1,1,4,27,0,66,1,0,0,11,3,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,5239,420,0,0,28,1,34,24,2,0,0,0,0,0,0,118,4,15,0,9,0,1,0,0,0,0,0,0,0,34,0,3,0,4,6,0,65,2,0,0,7,3,53,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
445,5340,463,0,0,29,1,34,19,0,0,0,0,0,0,0,128,3,20,0,9,0,2,0,0,0,0,0,0,0,26,0,5,0,9,21,0,77,0,0,0,12,14,46,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
455,5455,567,0,0,47,1,35,21,0,0,2,0,0,0,0,151,14,34,0,11,1,0,0,0,0,0,0,0,1,21,0,5,0,5,28,0,68,0,0,0,36,22,56,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
465,5586,390,0,0,42,0,24,15,0,0,0,0,0,0,0,65,11,16,0,13,0,1,0,0,0,0,0,0,0,18,0,5,0,2,32,0,46,0,0,0,10,38,48,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
475,5732,427,0,0,32,5,16,13,0,0,0,0,0,0,0,108,7,28,0,2,0,2,0,0,0,0,0,0,0,17,0,3,0,5,16,0,77,0,0,0,10,29,53,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
481,5824,477,0,0,15,2,22,19,0,0,0,0,0,0,1,128,5,23,0,3,0,3,0,0,0,0,0,0,0,43,0,8,0,4,22,0,82,0,0,0,12,34,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
