"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alisma","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Impatiens","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lemna","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Xanthium","Zea.mays"
100,662,1,0,0,4,2,0,3,4,14,0,1,5,2,18,0,2,0,0,0,0,1,12,10,7,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0,7,6,84,0,0,37,1,0,1,25,0,0,1,1,1,0,0,0,3,1,0,5,22,6,14,4,0,0,0,0
110,731,0,0,0,1,1,0,2,2,2,0,0,5,1,3,0,0,2,0,0,0,1,3,8,6,0,0,0,0,7,1,0,0,0,0,0,0,0,1,1,0,1,120,0,0,28,0,0,2,9,0,0,0,0,0,0,0,0,0,1,0,3,32,0,18,1,0,1,0,0
120,800,0,0,0,4,0,0,1,0,0,0,0,0,0,8,0,0,3,0,0,0,0,11,28,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,155,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,14,0,3,1,0,0,0,0
130,870,2,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,8,23,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,9,0,6,1,0,0,0,0
140,939,0,0,0,1,0,0,3,0,1,0,1,2,0,14,0,0,1,0,0,0,0,7,10,3,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,2,1,114,0,0,2,0,0,2,36,0,0,0,0,0,0,0,0,3,0,0,2,20,0,2,0,0,0,0,0
150,1008,0,0,0,4,0,0,3,0,1,0,0,1,0,12,1,0,0,0,0,0,0,29,24,3,2,0,2,0,8,3,0,0,0,0,0,0,0,0,0,3,0,113,0,0,7,0,0,3,35,0,0,0,0,1,0,0,0,0,0,0,1,17,0,3,2,0,0,0,0
160,1077,1,0,0,4,0,0,1,0,1,0,0,0,0,14,0,0,5,0,0,0,0,27,19,6,0,1,1,0,4,4,0,0,0,1,0,0,0,0,0,6,1,79,0,0,2,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,25,0,4,0,0,0,0,0
170,1146,1,0,0,4,0,0,1,0,0,0,0,0,0,8,0,0,3,0,0,0,0,43,14,5,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,6,1,99,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,21,1,14,0,0,0,0,0
180,1215,0,0,0,11,0,0,1,0,3,0,1,0,0,12,0,0,0,0,0,0,2,16,78,2,0,2,2,0,17,0,0,0,0,0,0,0,0,0,0,4,2,86,0,1,4,0,0,1,31,0,1,0,0,0,0,0,0,0,0,0,4,35,0,7,1,0,0,0,0
190,1284,0,0,0,2,0,0,2,1,2,0,1,1,0,10,0,0,3,0,0,0,0,49,6,8,2,1,3,0,9,6,0,0,0,0,0,0,0,0,1,0,0,90,0,1,1,2,0,5,32,0,0,0,0,0,0,0,0,1,0,0,1,35,3,5,3,0,0,0,0
200,1354,0,0,0,3,1,0,1,0,2,0,0,1,0,13,0,0,6,0,0,0,0,11,0,15,1,0,1,0,9,1,0,1,0,0,0,0,0,0,0,3,0,100,0,1,1,0,0,0,32,0,0,0,0,0,1,0,1,0,0,1,1,12,2,9,2,0,0,0,0
210,1423,0,0,0,4,1,0,0,0,0,0,0,1,0,10,1,0,5,0,0,0,0,42,2,8,1,0,1,0,10,1,0,0,0,0,0,0,0,0,1,7,1,105,0,0,3,1,0,0,30,0,0,0,0,0,0,0,0,3,0,1,5,13,1,8,2,1,1,0,0
220,1492,1,0,0,3,0,0,2,0,1,0,3,0,0,20,0,0,6,0,0,0,1,24,0,15,2,2,4,0,2,1,0,0,0,1,0,0,0,0,1,5,1,90,0,0,5,0,0,0,31,0,0,1,1,1,0,0,0,60,0,0,1,11,1,6,1,0,0,0,0
230,1561,0,0,0,19,8,0,6,0,0,0,1,3,0,8,0,0,5,0,0,0,0,32,3,20,0,2,2,0,6,4,0,0,0,0,0,0,0,0,1,2,1,75,0,1,0,0,0,5,16,0,0,0,0,0,0,0,0,4,0,1,16,15,4,10,6,0,0,0,0
240,1630,0,0,1,12,1,0,4,1,0,0,0,1,0,9,0,0,4,0,0,0,0,75,1,24,4,0,4,1,7,1,0,0,0,0,0,0,0,0,0,9,0,80,0,2,93,0,0,2,28,0,0,0,1,0,0,0,0,34,0,0,0,11,4,10,4,0,1,0,0
250,1699,0,0,0,15,1,0,1,0,0,0,0,4,0,10,0,0,5,0,0,0,0,42,0,17,3,0,3,0,9,0,0,0,0,0,0,2,2,1,0,4,1,93,0,0,175,0,0,1,24,0,0,0,0,0,0,0,0,3,0,0,1,17,2,10,0,0,0,0,0
260,1768,0,0,0,5,1,0,2,0,0,0,0,1,0,8,0,0,3,0,0,0,0,30,0,24,2,1,3,0,3,0,0,0,0,0,0,1,1,0,0,3,1,93,0,3,245,0,0,0,30,0,0,0,2,0,0,0,0,5,0,0,2,17,5,5,0,0,0,0,0
270,1838,0,0,0,10,0,0,4,0,0,0,0,1,0,20,0,0,5,0,0,0,0,54,1,21,3,1,4,0,1,3,0,0,0,0,0,1,1,0,0,1,1,49,0,1,711,0,0,0,45,0,0,0,0,0,0,0,0,2,0,0,4,18,2,13,1,0,0,0,0
280,1907,0,0,0,9,1,0,0,0,0,0,1,0,0,17,0,0,8,0,1,0,1,54,3,17,1,2,3,0,7,1,0,0,0,0,0,1,1,3,0,5,0,73,0,0,65,0,0,1,37,0,0,0,4,0,0,0,0,21,1,0,1,13,29,14,0,0,0,0,0
290,1976,2,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,6,0,5,1,1,2,0,12,1,0,0,0,0,0,0,0,0,0,2,0,124,0,3,1,0,0,3,17,0,0,0,0,0,0,0,0,6,0,0,2,18,3,7,1,0,0,0,0
300,2045,0,0,0,15,2,0,0,9,2,0,0,0,0,3,1,0,4,0,0,0,0,27,2,6,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,2,2,119,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,41,0,1,1,18,26,7,1,0,0,0,0
310,2110,0,0,0,26,0,0,0,2,0,0,0,1,0,4,0,0,1,0,0,0,0,5,5,3,0,1,0,0,23,0,0,0,0,0,0,0,0,0,1,0,2,83,0,0,2,0,0,3,14,0,0,0,0,0,0,0,0,1,0,0,6,51,1,9,6,0,0,0,0
320,2170,0,0,0,44,3,0,2,1,1,0,0,4,0,9,1,0,0,1,0,0,0,2,20,0,1,1,2,0,27,1,0,0,0,3,0,0,0,0,0,1,4,81,0,0,1,0,0,9,13,0,0,0,0,0,0,0,0,0,1,0,24,10,0,9,7,0,0,0,0
340,2292,0,0,0,31,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,2,1,25,0,0,1,0,0,5,9,0,0,0,0,0,0,1,0,0,2,0,13,2,0,13,9,0,2,0,0
360,2413,0,0,0,12,13,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,26,0,0,0,0,0,10,0,1,0,0,4,0,0,0,0,1,0,2,50,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,14,0,16,3,0,5,35,0,0,0,0
420,2777,0,0,0,16,16,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,47,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,3,0,13,5,0,3,83,0,0,0,0
440,2898,0,0,0,26,13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,1,0,1,3,8,0,0,0,0,1,0,0,0,0,1,0,2,40,0,0,3,0,0,1,6,0,0,0,0,0,0,0,0,0,8,0,16,6,0,2,46,0,0,0,0
460,3019,0,0,0,27,28,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,1,56,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,1,0,5,44,0,0,2,0,0,9,4,0,0,0,0,0,0,0,0,0,12,0,11,3,0,3,70,0,0,0,0
480,3140,0,0,0,23,16,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,49,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,2,0,11,3,0,4,26,0,0,0,0
490,3201,0,0,0,18,15,0,1,0,2,0,0,3,0,4,0,0,4,0,0,0,0,3,27,2,0,0,0,0,4,0,0,1,0,3,0,0,0,0,2,1,3,128,0,0,2,0,0,4,7,0,0,0,0,0,0,0,0,0,2,0,10,14,2,6,9,0,0,0,0
500,3262,0,0,0,21,13,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,3,14,2,0,0,0,0,9,1,0,0,0,1,0,0,0,0,1,0,7,126,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,2,0,13,17,0,4,19,0,0,0,0
510,3322,0,0,0,27,14,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,3,17,3,1,1,2,0,12,0,0,1,0,0,0,0,0,0,1,0,5,116,0,0,0,0,0,6,6,0,1,0,0,1,0,0,0,0,5,0,12,21,1,3,19,0,0,0,0
520,3383,0,0,0,27,7,0,0,1,1,0,0,0,0,4,0,0,3,0,0,0,0,6,13,5,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1,1,2,93,0,1,5,0,0,1,8,0,0,0,0,0,0,0,0,0,3,0,12,26,0,17,15,0,0,0,0
530,3443,1,0,0,15,2,0,0,2,0,0,0,1,0,4,2,0,1,0,0,0,0,2,2,32,4,0,4,0,13,2,0,0,0,0,0,0,0,0,0,2,3,31,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,5,26,0,61,2,0,0,0,0
540,3504,0,0,0,16,1,0,3,1,0,0,0,2,0,7,0,0,4,0,0,0,1,6,6,46,1,1,2,0,3,4,0,0,0,0,0,0,0,0,0,6,5,36,0,0,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,18,16,0,13,1,0,0,0,0
550,3565,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,12,25,2,0,2,0,6,5,0,1,0,0,0,0,0,0,1,3,1,72,0,2,1,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,16,21,1,14,1,0,0,0,0
560,3625,1,0,0,2,2,0,2,0,0,0,0,0,0,19,0,0,6,0,0,0,1,1,3,15,4,0,4,0,3,5,0,0,0,0,0,0,0,0,0,4,0,29,0,1,0,0,0,1,27,0,0,0,1,0,0,0,0,0,1,0,5,23,1,48,3,0,2,0,0
570,3686,1,0,0,19,2,0,0,0,0,0,0,1,0,5,0,0,4,0,0,0,0,0,9,20,3,0,3,0,3,6,0,0,0,1,0,0,0,0,1,4,1,51,0,1,4,0,0,3,27,1,0,0,0,0,0,0,0,0,1,1,12,21,0,22,3,0,0,1,0
590,NA,0,0,0,31,1,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,2,29,1,0,1,0,5,2,0,2,0,0,0,0,0,0,1,16,2,12,0,1,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,1,5,33,2,16,1,0,1,0,0
