"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae","Ambrosia.Iva","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Campanula","Carya","Caryophyllaceae","Castanea","Cephalanthus.occidentalis","Coniferophyta.undiff.","Cornus","Corylus","Cupressaceae","Cyperaceae","Diospyros","Diphasiastrum.complanatum","Drosera","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes.lacustris","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar.styraciflua","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.obscurum","Menyanthes.trifoliata","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus.occidentalis","Poaceae","Polemonium","Polygonum.lapathifolium.type","Polypodiaceae","Populus","Pteridium","Quercus","Rhamnaceae","Rosaceae.undiff.","Sagittaria","Salix","Sanguisorba.canadensis","Selaginella.selaginoides","Sphagnum","Stuckenia.vaginatus.type","Thalictrum","Tilia","Tsuga","Typha.angustifolia.Sparganium","Ulmus","Unknown","Unknown..trilete..undiff.","Urticaceae"
100,6625,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,48,0,0,0,0,2,6,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,3,0,35,0,0,5,0,1,0,1,1,293,0,0,0,10,0,0,0,0,0,1,16,2,1,4,0,0
110,7325,0,0,2,0,0,0,0,0,1,4,0,0,1,4,0,5,0,0,0,8,0,1,92,0,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,12,0,1,1,0,0,0,3,0,7,0,1,3,0,2,12,1,0,231,1,0,0,40,0,0,0,0,1,1,10,0,1,7,0,0
120,8044,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,5,7,0,0,13,0,1,67,0,0,0,0,4,3,0,0,0,0,5,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,5,0,0,0,2,3,22,0,0,3,0,6,13,7,17,205,0,0,0,29,0,0,2,0,1,0,14,0,1,5,0,0
130,8787,0,0,0,1,0,0,0,0,0,6,5,0,0,5,0,4,0,0,0,7,0,0,32,0,0,0,0,3,1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,3,0,6,50,10,2,163,0,0,0,39,0,0,0,0,0,2,38,0,0,7,4,0
140,9554,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,67,1,66,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,9,0
145,9944,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,3,0,0,1,1,0,0,4,0,0,36,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,221,23,73,39,0,0,0,6,0,0,0,0,1,0,1,1,0,6,15,0
150,10338,8,0,1,1,0,26,10,51,0,1,0,3,0,31,0,0,3,0,0,9,4,0,13,0,0,12,0,84,0,3,0,2,90,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,10,2,1,0,0,0,2,0,0,32,0,0,17,4,0,8,0,0,10,1,5,62,8,12,84,0,0,0,6,0,0,0,0,3,0,5,0,0,28,14,0
160,11131,3,0,0,0,0,72,27,13,0,1,0,0,0,46,0,1,1,0,0,1,1,0,0,3,0,13,1,3,0,0,0,0,62,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,50,0,0,1,0,1,10,0,0,3,1,1,11,0,10,56,0,0,0,1,1,0,0,0,3,0,12,1,0,8,0,0
170,11921,40,0,2,3,0,43,7,4,0,0,0,0,0,18,0,4,0,1,0,3,2,1,0,0,1,1,0,25,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,7,0,2,13,0,35,0,0,32,3,1,43,0,0,6,0,1,13,2,4,54,0,0,0,0,0,0,1,0,2,1,22,15,0,2,0,0
175,12310,31,0,1,0,0,149,9,20,0,0,0,1,0,25,0,2,0,0,0,0,0,0,0,10,0,5,1,46,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,16,20,2,7,4,0,51,0,0,11,1,0,0,2,0,18,0,2,0,0,0,0,0,0,5,1,0,6,1,7,0,0
185,13066,37,1,3,1,0,91,3,4,0,0,0,3,0,26,0,11,0,0,1,1,0,0,2,10,0,3,0,72,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,33,1,32,13,2,61,0,0,12,0,0,1,1,1,22,0,0,0,1,1,0,1,0,2,0,0,7,1,6,1,0
190,13426,10,0,1,0,0,188,7,15,0,0,0,0,0,22,0,5,0,0,0,1,0,0,0,0,0,2,0,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,28,23,1,47,0,0,5,0,0,1,0,1,8,0,0,0,1,3,0,0,0,1,0,0,3,0,5,0,0
200,14098,6,0,0,0,0,156,16,12,0,0,1,3,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,42,19,8,40,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,0,2,0,3,0,0
210,14686,55,0,1,1,0,60,5,9,0,3,0,3,0,17,0,1,1,1,0,0,1,0,0,0,1,1,0,38,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,31,0,0,0,0,0,2,0,0,0,12,0,0,0,1,11,0,0,48,16,7,48,0,0,7,0,0,0,1,0,38,0,0,0,0,0,0,0,0,1,0,0,7,0,3,0,0
210.1,14692,25,0,0,1,0,81,0,1,0,1,0,5,0,22,0,8,0,0,0,2,0,0,0,17,0,4,0,69,0,1,0,0,4,0,0,1,1,0,0,0,0,1,0,11,72,0,0,1,0,0,0,0,0,0,11,0,0,0,0,16,15,0,36,13,1,62,0,0,7,0,0,0,1,1,25,0,3,0,0,1,0,0,0,1,0,0,4,0,3,0,0
220,15168,17,0,0,0,0,143,0,11,0,0,0,0,0,18,0,2,0,0,0,1,0,0,0,0,0,0,2,59,0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,42,20,1,68,0,0,7,0,0,0,0,0,6,0,1,0,0,1,0,0,0,1,0,0,3,0,3,0,0
220.1,15173,19,0,1,0,0,157,3,4,0,0,0,3,0,11,0,3,1,1,0,0,0,0,0,7,0,0,0,26,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,4,197,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,10,0,22,13,3,49,0,0,7,0,0,0,0,2,12,0,0,0,0,1,0,0,0,1,0,0,1,1,3,0,0
230,15527,7,0,0,0,0,212,7,15,1,1,0,4,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,23,12,1,35,0,0,4,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,7,1,7,0,0
230.1,15530,2,1,1,0,0,175,4,4,0,0,0,0,0,26,1,0,2,0,0,0,0,0,0,10,0,0,0,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,19,21,0,43,0,0,8,1,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,5,0,0,0,0
240,15776,22,0,0,0,0,138,2,6,0,0,0,1,0,22,0,1,2,2,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,110,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,58,25,6,50,0,0,5,0,0,1,0,0,4,0,0,0,2,2,1,0,0,2,0,0,5,0,5,1,0
250,15937,18,0,0,0,0,185,9,20,0,0,0,1,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,5,5,28,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,6,0,7,0,0
260,16034,12,0,0,0,0,205,5,10,0,0,0,1,0,15,0,1,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,359,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,33,9,4,29,0,0,8,0,1,0,0,0,5,0,0,0,1,1,0,2,0,3,0,0,1,1,8,0,0
270,16092,17,0,0,0,0,197,2,8,0,0,0,1,0,25,0,8,1,1,0,0,0,0,0,0,0,1,0,24,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33,10,4,34,0,0,6,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,3,0,0,0,0
280,16133,15,0,0,0,0,129,14,28,0,0,0,0,0,19,0,3,1,0,0,0,0,0,0,8,0,0,0,27,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,294,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,47,18,8,54,0,0,7,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,10,0,9,3,0
290,16181,13,0,0,0,0,209,0,3,0,0,2,2,0,24,1,4,0,0,0,0,1,0,0,5,0,0,0,14,0,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,76,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,16,0,19,16,2,61,0,0,5,1,0,0,6,1,6,0,0,0,0,3,0,0,0,2,0,0,2,0,4,0,0
300,16260,16,0,0,0,0,180,17,29,0,0,1,4,0,19,1,8,0,0,0,1,0,0,0,8,0,0,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,175,1,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,41,6,5,40,0,0,6,1,0,0,0,0,6,0,1,0,0,1,0,0,0,2,0,0,3,1,7,0,0
310,16391,8,0,0,1,0,231,4,8,0,0,0,1,0,29,1,6,0,0,0,0,1,0,1,6,0,0,0,18,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,76,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,9,0,10,11,2,50,0,0,4,0,0,0,1,0,8,0,1,0,0,3,0,0,0,2,0,0,4,0,0,0,0
310.1,16393,7,0,0,0,1,234,4,12,0,0,0,1,0,25,0,5,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,67,0,0,0,0,0,0,0,0,1,4,1,0,0,0,3,0,2,32,7,0,34,0,0,6,0,1,0,1,1,7,0,1,0,0,0,0,0,0,2,0,0,5,0,1,0,0
320,16583,12,0,1,0,0,201,5,30,0,0,0,1,0,33,2,7,1,0,0,1,0,0,0,7,0,0,0,13,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,24,8,6,48,0,0,3,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,3,0,2,0,0
330,16836,12,0,1,0,0,154,0,4,0,1,1,0,0,30,1,3,1,0,0,0,0,0,0,20,0,0,0,22,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,4,263,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,30,4,14,0,0,81,0,0,13,0,0,0,10,0,6,0,1,0,0,1,1,0,0,2,0,0,2,0,1,0,0
335,16986,32,0,1,0,0,122,0,4,0,1,0,0,0,23,0,8,1,0,0,0,0,0,0,16,0,0,0,12,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,3,74,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,31,18,53,0,1,83,0,0,5,1,0,1,2,0,5,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0
340,17151,15,0,1,0,0,48,16,21,0,0,1,2,2,12,0,2,0,0,0,0,0,0,0,23,0,0,0,8,0,0,0,0,26,0,0,0,1,0,0,1,0,0,0,4,493,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,12,1,70,2,4,117,0,0,6,1,0,0,0,0,9,0,1,0,1,1,0,0,2,3,0,0,15,0,5,0,0
345,17332,8,0,1,0,0,24,0,16,0,1,0,0,2,14,0,6,1,0,0,0,0,0,0,16,0,0,0,26,0,0,1,0,46,0,0,0,0,0,0,0,0,1,0,10,4437,0,0,0,0,0,0,1,0,7,1,0,0,1,1,2,23,14,50,0,1,178,0,0,6,0,0,0,5,0,8,0,0,0,1,3,0,0,0,1,0,0,19,0,1,0,0
350,17527,22,0,1,0,0,29,4,7,0,1,3,1,0,4,0,2,0,1,1,0,0,0,0,16,0,0,0,25,0,0,0,0,71,0,0,0,2,0,0,0,0,0,0,7,195,0,1,0,0,0,2,0,0,4,1,0,0,0,3,1,17,4,72,14,0,100,0,0,6,0,0,0,1,0,17,0,4,0,1,1,0,0,0,2,0,0,12,0,4,0,0
360,17957,15,0,0,0,0,15,3,0,0,0,2,0,0,16,0,2,0,5,0,0,1,0,0,27,0,0,0,11,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,10,2459,0,0,0,0,0,0,0,0,1,0,8,0,0,3,1,2,0,119,4,2,148,0,0,9,0,0,1,0,0,8,0,0,0,0,6,0,0,0,2,0,0,9,1,2,0,0
370,18429,18,0,2,0,0,165,0,6,0,0,0,0,0,31,0,8,3,0,0,0,0,0,1,12,0,0,1,23,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,1899,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,10,14,44,0,0,122,0,0,9,0,0,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,5,0,4,0,0
380,18932,11,0,0,0,0,16,0,1,1,1,0,0,6,14,0,8,0,0,0,1,0,0,0,18,1,1,0,20,0,0,0,0,67,0,0,0,1,2,0,0,0,0,0,3,6623,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,27,28,63,0,0,243,0,0,8,0,1,0,0,0,6,0,1,0,0,1,0,0,0,2,0,1,14,0,2,0,0
390,19457,4,0,0,0,0,2,0,3,1,2,0,1,1,10,1,5,2,2,0,1,0,0,0,17,0,0,0,16,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,1,4760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,99,0,0,198,0,0,10,0,0,0,0,0,6,0,0,0,2,3,0,0,1,5,0,0,8,0,9,0,0
400,19991,2,0,0,0,0,0,0,2,2,2,1,0,0,9,3,0,0,1,0,0,2,0,0,18,0,0,0,10,0,0,0,1,142,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,6,11,164,0,1,13,0,0,0,1,0,6,0,0,0,0,2,1,0,0,2,0,0,11,0,7,0,0
400.1,19996,1,0,0,0,0,3,0,1,0,0,0,0,0,11,4,1,1,1,0,0,0,0,0,10,0,1,0,35,0,0,0,0,184,0,0,0,0,0,0,1,0,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,27,116,0,0,286,0,0,12,0,0,0,1,0,7,0,0,0,1,2,0,0,1,0,0,0,11,0,16,0,0
405,NA,2,0,0,0,0,0,1,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,77,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,95,0,0,235,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,0
