"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.simplex.type","Botrychium.undiff.","Carya","Caryophyllaceae","Castanea","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Huperzia.selago","Indeterminable","Isoëtes","Juglans.cinerea","Larix","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum.alterniflorum","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera","Potamogetonaceae","Potentilla","Pteridium","Quercus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Saxifraga.oppositifolia.type","Selaginella.rupestris","Selaginella.selaginoides","Selaginella.sibirica","Shepherdia.canadensis","Sparganium","Sphagnum","Spiraea","Thalictrum","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Woodsia.ilvensis"
772,13322,0,0,0,0,0,0,0,0,0,1,0,4,3,95,0,0,0,0,0,0,0,29,8,0,0,39,0,0,4,1,0,1,0,6,13,0,0,1,0,17,1,4,54,0,1,0,2,2,12,29,7,1,13,10,5,0,0,0,4,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,1,0
782,NA,0,0,0,0,0,0,0,1,0,0,0,2,5,73,0,0,0,0,0,0,0,40,14,0,1,56,0,0,9,0,0,0,4,3,10,0,0,2,0,33,6,5,121,0,0,0,5,3,0,15,4,4,17,17,11,0,0,0,6,0,0,2,0,0,0,2,1,0,8,0,0,0,0,0,0,0
794,NA,0,0,0,0,0,0,2,0,0,1,1,2,3,201,0,0,0,0,0,0,0,15,21,0,1,49,0,0,11,0,0,2,0,14,9,0,5,0,0,9,6,3,67,0,0,0,1,6,1,6,22,0,12,3,9,0,0,0,10,0,0,11,0,0,0,0,0,1,12,0,0,0,0,0,1,0
804,NA,0,0,1,0,0,0,0,1,0,0,1,2,4,86,0,0,0,0,0,0,0,2,25,0,1,64,0,1,12,0,0,0,0,11,0,0,0,1,0,5,7,3,25,0,0,1,5,1,3,9,8,3,12,10,7,3,2,0,5,0,1,10,0,0,0,1,0,0,8,0,0,1,0,0,1,0
812,NA,0,0,0,0,0,0,0,2,0,0,0,8,3,116,0,0,0,0,0,0,0,2,29,0,0,60,0,0,14,0,0,1,0,6,0,0,0,3,0,7,8,1,29,0,0,0,5,1,0,11,8,1,19,5,7,0,1,1,9,0,0,33,0,0,0,2,2,0,13,0,0,0,0,1,1,0
820,NA,0,0,0,0,0,0,0,2,1,0,0,3,4,95,0,0,0,0,0,0,0,3,61,0,0,35,0,0,15,0,0,0,0,11,0,0,0,1,0,1,17,1,33,0,0,0,11,2,0,10,14,0,23,7,6,0,0,0,4,0,0,54,0,0,0,4,0,0,14,0,0,0,0,0,3,0
832,NA,0,0,0,0,0,1,0,0,0,3,2,5,1,39,0,1,0,0,0,0,0,0,46,0,0,57,1,0,19,0,0,4,0,14,0,0,0,0,0,3,10,3,19,0,0,0,15,1,1,4,4,1,16,7,1,1,1,1,22,0,0,68,0,0,0,5,1,0,6,0,0,0,0,1,0,1
840,NA,1,0,0,0,0,0,1,0,0,0,3,4,1,15,0,0,0,1,0,0,0,0,56,0,3,81,0,1,14,0,0,0,0,10,0,0,0,1,0,5,7,3,7,0,0,0,6,1,3,9,3,0,9,5,0,0,1,0,12,0,0,81,1,0,0,3,4,0,3,0,0,0,1,3,5,0
852,NA,0,0,0,0,0,0,1,0,0,0,1,6,1,10,0,2,0,0,0,0,0,0,47,0,0,125,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,2,2,11,8,1,0,1,0,3,0,2,57,0,0,0,6,6,0,1,0,0,0,0,1,8,0
860,NA,0,0,0,0,0,1,0,4,0,3,0,3,5,9,2,0,0,1,0,0,0,0,80,0,0,61,2,0,16,0,0,0,0,7,0,0,0,1,0,0,0,1,4,0,0,0,1,0,0,3,15,0,24,4,0,0,2,0,8,1,3,36,0,0,0,11,0,0,1,0,3,0,0,0,8,0
864,NA,0,0,0,0,0,0,2,4,0,2,1,7,5,16,0,0,0,11,0,0,0,1,73,0,0,2,0,0,9,0,0,0,1,24,2,0,0,0,0,0,0,1,3,0,0,0,2,0,1,7,8,1,51,8,1,0,0,0,11,0,32,43,0,0,0,8,0,0,0,0,2,0,0,0,8,0
875,NA,0,0,0,0,0,6,5,18,0,7,0,11,10,17,0,0,0,46,0,0,0,2,71,0,0,5,0,0,2,0,0,0,4,28,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,19.5,11,0,70,12,1,0,1,1,1,0,30,10,2,7,0,0,0,0,3,0,2,0,0,2,7,0
887,NA,0,0,0,0,0,6,6,16,0,5,0,11,4,18,0,0,0,36,0,0,0,1,54,0,0,4,0,0,2,0,0,0,1,22,1,0,0,1,0,0,0,0,3,0,0,0,2,2,3,22.5,6,0,44.5,20,1,0,0,3,2,0,7,53,0,3,0,0,0,0,4,0,2,0,0,1,1,0
898,NA,0,0,0,0,0,6,4,12,0,5,0,16,25,13,0,0,1,11,0,0,0,0,21,0,0,7,0,0,1,0,0,0,1,13,10,0,0,0,0,0,1,0,5,0,0,0,0,2,1,10,19,0,91.5,16,0,0,0,2,4,0,1,9,0,6,0,0,0,0,2,1,2,0,0,1,1,0
