"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cornus.sericea","Cornus.undiff.","Corylus","Cupressaceae","Cyperaceae","Cystopteris.bulbifera","Dalea","Dryas","Elaeagnus","Ephedra.torreyana.type","Equisetum","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Lamiaceae","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Osmunda.cinnamomea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polygalaceae","Polypodiaceae","Populus.balsamifera","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Salix","Sarcobatus.vermiculatus","Saxifraga","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha.latifolia","Ulmus","Urtica.type","Vitis"
450,8081,8,0,0,26,8,4,7,0,15,1,211,0,0,0,0,0,0,5,7,8,0,0,0,0,0,2,0,0,19,0,0,5,1,0,0,1,5,1,4,0,2,0,0,43,259,9,0,5,0,4,5,0,0,2,8,0,0,1,2,0,0,0,0,2,0,1,1,10,0,1
460,8380,16,0,1,34,10,9,7,0,12,3,97,1,0,0,1,0,0,4,9,11,0,0,0,0,0,3,0,0,8,0,0,4,0,0,1,0,3,2,0,0,0,0,2,29,0,11,279,6,0,4,4,1,0,5,2,0,0,2,1,0,0,0,0,2,1,1,0,2,0,0
470,8679,5,0,0,19,6,7,6,0,12,3,158,0,0,0,0,0,0,3,15,9,0,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,6,1,2,2,0,0,0,30,357,3,0,8,0,6,8,0,0,7,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
480,8978,12,0,0,28,15,8,3,0,19,2,143,0,0,0,0,0,0,5,15,4,0,0,0,0,0,2,0,0,0,0,0,5,0,3,1,0,11,0,2,2,0,1,1,40,346,2,0,11,0,5,5,0,0,8,3,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0
490,9276,8,0,0,17,32,5,12,0,16,3,115,0,1,0,0,0,0,1,6,4,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,4,0,1,1,0,0,0,66,186,2,0,9,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
497,9486,1,0,1,11,44,8,4,0,11,3,243,0,0,0,0,0,0,1,12,11,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,17,0,0,3,0,0,2,109,312,2,0,1,0,1,6,0,0,3,6,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0
502,9635,21,0,0,21,40,2,0,0,15,4,163,0,1,0,0,0,0,0,5,6,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,11,0,0,2,0,0,2,61,0,0,296,8,0,1,1,0,1,5,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
505,9725,0,0,0,10,25,4,2,0,6,2,143,0,0,1,0,0,0,1,9,11,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,6,0,0,0,0,0,1,82,0,0,178,8,0,1,4,0,0,3,1,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0
510,9874,0,0,0,21,46,15,6,0,11,14,162,0,0,0,0,0,0,1,9,14,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,7,0,0,0,1,0,1,83,0,0,228,7,1,0,6,1,0,6,4,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0
515,10024,0,0,0,18,62,7,2,0,11,8,125,0,0,0,0,0,0,1,8,6,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,13,0,0,0,0,0,3,99,0,0,300,2,0,0,3,0,0,3,2,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0
520,10173,0,0,0,15,40,7,9,0,19,10,82,0,0,0,0,0,0,2,11,8,0,0,0,0,0,1,0,0,3,0,0,4,1,0,0,0,18,1,0,0,0,0,4,101,0,0,309,7,0,2,4,1,0,0,3,0,0,3,1,0,0,0,0,1,0,0,0,4,0,0
525,10323,2,0,0,14,48,16,15,0,20,4,114,0,0,1,0,0,0,12,6,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,0,0,0,0,0,2,75,0,0,150,6,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0
535,10622,1,0,0,6,9,8,2,1,14,2,155,0,0,0,0,0,0,15,4,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,5,0,0,1,0,0,4,50,0,0,159,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
540,10771,3,0,0,3,0,2,7,0,16,7,57,0,0,1,1,0,0,0,21,9,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,0,1,1,0,6,86,0,0,382,4,0,1,3,0,0,3,4,0,1,4,1,0,0,0,0,0,1,0,2,5,0,0
545,10921,0,0,0,3,1,6,3,0,25,10,100,0,0,0,0,0,0,3,17,3,0,0,0,0,0,4,0,0,7,0,0,1,3,1,0,0,19,0,0,1,0,0,5,113,0,0,256,6,0,0,4,0,0,0,8,0,0,8,2,0,0,1,0,0,0,0,1,9,0,0
550,11070,0,0,1,1,3,8,2,0,35,7,101,0,1,0,0,0,1,6,24,17,0,0,0,0,0,0,0,0,10,0,1,1,1,1,1,0,25,0,0,1,0,0,8,152,0,0,161,22,0,0,11,1,0,4,17,3,0,6,2,0,0,1,0,2,1,0,3,22,0,0
555,NA,0,0,2,1,3,19,8,0,36,10,36,0,1,0,0,0,0,2,25,39,0,0,0,1,0,8,0,0,10,0,1,4,5,0,0,0,15,1,0,2,0,0,10,155,0,0,123,19,0,1,27,0,0,5,17,0,0,8,2,0,0,4,1,0,3,0,0,31,1,0
560,NA,0,0,0,1,2,18,2,0,25,11,26,0,1,1,0,0,0,2,25,45,0,1,1,0,1,3,0,0,6,0,1,8,1,1,0,0,11,1,0,1,0,0,2,84,0,0,153,22,0,3,20,2,0,4,12,1,0,14,1,0,0,5,0,1,0,0,0,24,1,0
565,NA,0,0,1,1,4,11,4,0,43,7,4,0,2,1,1,0,0,2,19,31,0,0,0,1,0,2,0,0,2,1,1,7,5,4,1,0,3,0,0,0,0,0,6,75,0,0,185,17,0,1,9,0,0,9,7,0,0,11,1,1,0,1,0,3,0,0,0,22,0,0
585,NA,1,0,0,3,5,12,7,0,35,13,15,0,0,1,0,0,0,5,25,21,0,0,0,0,0,0,0,0,8,0,2,19,2,3,2,0,0,0,0,0,0,0,7,39,0,0,114,17,1,5,3,0,0,10,4,0,0,10,1,0,0,1,0,1,0,1,0,26,1,0
605,NA,0,0,0,2,2,16,7,0,39,22,5,0,0,1,0,0,0,1,16,17,0,0,0,0,0,1,0,0,7,1,0,15,3,2,0,0,1,0,0,0,0,0,9,42,0,0,153,15,0,7,5,0,0,21,16,0,0,13,0,0,0,2,1,2,0,0,0,38,2,0
625,NA,0,0,1,0,4,5,3,0,33,6,10,0,1,0,0,0,0,2,14,33,0,0,2,0,0,3,0,2,12,0,1,11,1,0,0,0,1,1,1,1,0,0,3,69,0,0,149,6,0,0,4,1,0,7,19,0,0,7,0,0,0,0,0,0,3,0,0,64,0,0
