"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae.Taxaceae","Fagus","Fraxinus","Juglans","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae"
399,4157,314,1,1,7,36,0,0,0,0,2,3,0,0,1,111,147,0,2,0,0,0,0,2,0,1
419,4365,327,1,0,5,58,0,0,0,0,0,5,1,0,1,140,106,0,3,0,3,0,0,2,0,2
439,4573,326,1,0,7,45,1,1,2,0,3,2,2,0,1,118,132,0,1,2,1,2,0,1,0,4
459,4782,322,0,2,5,40,1,1,1,0,1,6,0,0,0,112,140,0,5,0,0,1,1,2,0,4
479,4990,344,0,0,6,28,0,0,4,0,0,4,0,1,0,102,186,0,2,1,2,1,1,0,0,6
499,5198,346,1,0,4,69,1,0,0,0,2,5,0,0,0,84,171,1,0,3,2,0,1,0,0,2
519,5406,330,1,1,7,71,2,0,8,0,2,6,0,1,0,63,157,0,3,0,1,3,1,1,0,2
539,5614,331,0,1,6,66,0,0,5,1,0,10,0,0,0,64,159,0,11,2,0,0,1,0,0,5
559,5822,321,0,0,7,52,0,0,4,0,0,4,0,0,0,80,155,0,5,1,4,0,0,2,0,7
579,6136,316,1,0,4,46,0,0,1,0,1,3,2,1,0,45,195,0,1,4,2,1,1,2,1,5
599,6449,323,0,1,3,55,1,0,2,0,1,8,2,0,0,63,171,0,6,3,4,0,0,0,0,3
619,6763,320,0,1,6,51,0,0,7,0,0,10,0,1,0,47,182,1,7,1,3,0,0,0,0,3
639,6993,322,0,0,0,36,0,0,12,0,0,6,0,0,0,57,197,0,5,0,2,0,1,1,0,5
659,7139,310,0,2,5,33,0,0,11,1,1,4,0,0,0,36,184,0,3,1,10,3,4,1,1,10
679,7285,312,1,0,2,45,0,0,10,0,1,4,0,1,1,35,196,0,4,1,2,0,1,1,0,7
699,7432,323,0,0,1,38,0,0,6,0,1,3,0,0,0,43,210,0,4,4,3,0,4,0,0,6
719,7578,318,0,0,3,43,0,0,6,0,0,7,0,0,0,28,213,0,5,1,1,2,1,2,0,6
739,7724,316,0,0,0,40,1,0,3,0,1,2,3,0,0,36,213,0,5,1,1,2,1,1,0,6
759,8014,310,0,0,1,25,0,0,1,0,0,4,0,1,0,38,207,0,5,1,4,1,10,3,0,9
779,8544,309,0,1,2,55,0,2,1,1,0,6,3,0,0,42,172,0,5,0,0,0,6,7,0,6
