"sample.depths","sample.ages","Carya","Asteraceae.undiff.","Ilex","Quercus","Alnus","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Ambrosia.Iva","Aster","Casuarina","Bursera.simaruba","Betula","Cupressaceae.Taxaceae","Celtis","Cyrilla.racemiflora","Cephalanthus","Ericaceae","Liquidambar","Fabaceae","Nyssa","Euphorbiaceae","Ulmus","Lamiaceae","Polygonaceae","Arecaceae","Melastomataceae","Fraxinus","Acer"
27,419,0,0.00934579439252336,0,0.0373831775700935,0,0.0373831775700935,0.429906542056075,0.429906542056075,0,0,0.0280373831775701,0.0186915887850467,0,0,0,0,0,0,0,0,0.00934579439252336,0,0,0,0,0,0,0,0,0,0
29,470,0,0,0.0104166666666667,0.0520833333333333,0,0.0520833333333333,0.489583333333333,0.34375,0,0.03125,0.0104166666666667,0,0,0,0,0,0,0,0,0,0.0104166666666667,0,0,0,0,0,0,0,0,0,0
31,521,0,0,0,0.0736842105263158,0,0.0421052631578947,0.578947368421053,0.284210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0.0105263157894737,0,0,0,0,0,0,0
33,555,0,0,0,0.0597014925373134,0.0149253731343284,0.0373134328358209,0.492537313432836,0.328358208955224,0.0298507462686567,0,0.0149253731343284,0,0,0,0,0,0,0,0,0.0149253731343284,0,0,0,0,0.00746268656716418,0,0,0,0,0,0
35,589,0,0,0,0.032258064516129,0.010752688172043,0.043010752688172,0.559139784946237,0.290322580645161,0.010752688172043,0,0.043010752688172,0,0,0,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,691,0,0,0,0.032258064516129,0,0.032258064516129,0.483870967741935,0.451612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,725,0,0,0,0.018348623853211,0,0.018348623853211,0.440366972477064,0.504587155963303,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,759,0,0,0,0.0247933884297521,0.00826446280991736,0.0661157024793388,0.429752066115702,0.421487603305785,0,0.0330578512396694,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826446280991736,0,0,0,0
49,827,0,0,0,0,0,0.0526315789473684,0.513157894736842,0.434210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,862,0.010989010989011,0,0.010989010989011,0.043956043956044,0,0.032967032967033,0.263736263736264,0.571428571428571,0.010989010989011,0.010989010989011,0.010989010989011,0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0.010989010989011,0,0
55,984,0,0,0,0.00393700787401575,0,0.00393700787401575,0.248031496062992,0.704724409448819,0,0.0196850393700787,0.0196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1045,0,0,0,0.041958041958042,0.006993006993007,0.006993006993007,0.265734265734266,0.636363636363636,0,0,0.006993006993007,0,0,0,0,0.006993006993007,0,0,0,0,0,0,0,0,0,0,0.027972027972028,0,0,0,0
61,1167,0,0,0,0.0190114068441065,0.00380228136882129,0.0114068441064639,0.387832699619772,0.55893536121673,0.0114068441064639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00380228136882129,0,0,0.00380228136882129,0
63,1228,0,0,0,0.0148148148148148,0.0037037037037037,0.0333333333333333,0.403703703703704,0.518518518518518,0.0037037037037037,0.0037037037037037,0.00740740740740741,0,0,0,0,0,0,0,0,0.0037037037037037,0.0037037037037037,0,0,0,0,0,0.0037037037037037,0,0,0,0
65,1289,0,0,0,0.0108695652173913,0.0108695652173913,0.0271739130434783,0.222826086956522,0.673913043478261,0.00543478260869565,0.016304347826087,0.00543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0.0108695652173913,0,0,0.016304347826087,0,0,0,0
67,1351,0,0.0066006600660066,0,0.0297029702970297,0,0.0297029702970297,0.141914191419142,0.762376237623762,0.0033003300330033,0.0099009900990099,0.0066006600660066,0,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0.0066006600660066,0,0,0,0
71,1473,0,0.00840336134453781,0,0.0588235294117647,0.00840336134453781,0.0504201680672269,0.453781512605042,0.369747899159664,0.0168067226890756,0,0.0168067226890756,0,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0,0,0,0,0,0,0,0.00840336134453781
