"sample.depths","sample.ages","upland.sum","Acer.negundo","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Pinus","Poaceae","Brassicaceae","Dalea","Lamiaceae","Abies","Amorpha.type","Corylus","Asteraceae.subf..Cichorioideae","Thalictrum","Populus","Rumex","Apiaceae","Cupressaceae","Plantago","Fraxinus.nigra.type","Ephedra","Carya","Rosaceae","Fagus","Acer.saccharum.type","Iva.annua.type","Celtis","Juglans.nigra","Shepherdia","Platanus"
305,3571,332,1,26,73,7,20,11,3,0,2,3,31,2,0,0,16,5,7,41,74,0,2,0,1,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
330,3862,374,0,10,71,37,14,19,2,1,1,0,37,5,3,0,21,1,12,39,97,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
345,4036,370,2,24,63,5,25,33,7,0,0,1,28,5,2,0,9,3,9,46,105,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
375,4385,384,0,21,78,7,40,32,4,0,2,1,25,3,1,0,19,3,9,55,81,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
400,4676,476,0,18,109,16,31,24,2,2,0,3,47,4,3,0,15,3,12,56,124,0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,4968,400,0,25,85,8,33,33,2,0,1,2,45,2,2,0,13,4,7,32,100,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
450,5259,337,0,20,88,10,22,19,2,1,2,2,15,2,0,0,17,2,8,39,81,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
475,5550,364,0,35,56,5,27,34,0,1,1,2,32,2,3,0,20,3,6,44,88,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
490,5724,328,2,20,72,6,19,25,5,2,0,4,37,2,1,0,15,3,7,32,70,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
515,6015,402,0,26,92,4,26,29,3,1,0,0,39,1,0,0,18,2,11,43,99,0,2,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
535,6248,421,0,20,100,6,34,31,4,2,0,2,24,5,6,0,16,2,9,54,102,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
555,6481,319,0,5,78,3,17,29,4,0,0,1,24,0,2,0,11,1,9,40,88,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
565,6597,326,0,9,67,7,37,23,1,0,0,1,18,5,0,0,13,3,8,35,90,0,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
580,6772,325,0,13,85,9,40,15,2,1,1,0,18,6,1,0,9,2,3,45,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
585,6830,333,0,10,68,4,60,15,0,0,0,2,22,2,2,0,12,2,1,56,71,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
600,7005,346,0,6,43,3,158,13,0,0,0,1,9,0,1,0,15,1,9,45,39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,NA,372,0,14,37,1,177,30,0,0,0,2,4,0,0,0,6,0,4,50,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,NA,387,0,28,47,1,146,30,1,2,0,1,5,0,0,0,14,1,3,71,34,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,NA,427,0,7,31,0,284,49,0,0,1,0,1,0,0,0,10,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,NA,74,0,8,6,0,42,1,0,0,0,0,0,0,0,0,2,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
