"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Corylus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus.incana","Ambrosia","Alnus.viridis","Fraxinus","Ostrya.type","Populus","Poaceae","Plantago","Ericaceae","Larix","Ranunculaceae","Cyperaceae","Fagus","Castanea","Carya","Rhamnaceae","Acer","Cupressaceae","Amaranthaceae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Myrica","Brassicaceae","Shepherdia.canadensis","Rosaceae","Polygonum","Urticaceae","Rubiaceae","Vitaceae","Juglans","Elaeagnaceae.undiff.","Fabaceae","Lamiaceae","Oxyria.digyna","Tilia"
340,5181,595,4,1,313,0,215.5,7,0,11.5,3,0,1,1,1,10,0,7,2,0,4,0,0,0,5,0,2,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,5228,455,1,1,238,0,162,3,5,14,5,0,0,0,0,8,0,8,0,0,1,0,1,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5274,548,0,3,284,0,184.5,16,4,15.5,3,0,1,0,2,17,2,8,1,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,5321,473,1,2,240,0,176.5,4,2,14.5,0,1,0,0,3,18,2,4,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,5367,451.5,0,3,208,0,198,0,1,12.5,4,0,0,0,0,14,0,5,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
365,5541,545,3,1,273,0,158,9,5,41,4,0,0,1,0,18,1,14,0,0,0,2,0,0,2,1,3,0,0,0,0,1,1,1,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0
370,5716,485.5,0,0,278,0,145,3,2,20.5,4,0,2,0,1,13,1,8,3,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,5890,515,0,1,238,0,181.5,9,3,36.5,0,1,1,0,0,19,1,12,2,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
380,6064,453.5,2,2,174,0,212,4,0,14.5,2,0,1,2,1,9,1,14,3,0,1,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
385,6239,480,4,1,200,0,198,3,7,23,0,0,3,1,0,9,1,18,0,0,2,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
390,6413,469,0,2,206,1,182.5,4,3,26.5,2,0,2,1,2,5,0,14,2,0,2,1,0,0,2,1,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
395,6587,463.5,2,1,183,0,184.5,8,3,43,4,0,0,0,0,6,3,16,1,0,3,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6761,460.5,1,1,174,0,168.5,11,15,60,4,0,1,1,5,7,2,4,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
405,6936,480,2,2,208,0,187.5,4,7,28.5,5,0,0,1,5,5,3,14,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,7110,465,0,4,121,0,244,5,2,50,2,0,1,0,2,5,2,6,3,0,3,0,0,0,1,0,6,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
415,7284,470.5,0,2,193,0,212.5,6,4,16,3,0,1,0,2,6,2,8,4,0,3,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
420,7459,481.5,0,2,160,0,221.5,3,0,48,5,0,1,0,4,9,1,6,0,0,6,2,0,0,2,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
425,7633,505.5,3,2,185,0,231.5,8,10,29,4,0,1,0,3,3,0,6,3,0,0,0,0,0,1,0,10,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,7808,528.5,0,6,152,0,240,13,6,53.5,5,0,4,0,3,11,2,12,4,1,2,1,0,0,1,0,7,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
435,7983,471,0,1,181,0,206.5,1,8,26.5,4,0,2,0,2,0,2,12,5,0,4,0,0,0,4,0,8,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
440,8158,538,0,3,287,0,154,8,2,25,5,0,4,0,4,2,6,4,5,0,4,0,0,1,4,0,15,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
445,8332,482.5,3,2,240,0,154,0,2,20.5,6,0,1,1,3,2,5,15,2,0,2,2,0,0,5,0,7,2,0,0,0,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
450,NA,511,0,4,280,0,120.5,12,2,29.5,7,0,2,0,4,6,1,8,2,0,10,0,0,0,13,0,0,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,NA,593.5,3,9,162,0,225.5,5,9,14,20,0,6,1,2,2,9,34,6,0,4,4,0,1,31,1,30,0,0,0,0,4,6,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
455,NA,603,1,3,175,0,214.5,5,17,16.5,7,0,10,1,1,6,4,42,4,0,4,4,0,0,34,4,37,0,0,0,0,2,0,6,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
457,NA,546.5,1,12,109,0,230,6,8,15.5,9,0,18,1,2,4,6,36,1,0,4,2,0,0,42,0,25,1,0,2,0,1,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
460,NA,413.5,0,8,92,0,121.5,26,16,18,8,0,8,0,4,6,3,30,6,0,2,8,0,1,6,1,39,1,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
463,NA,554,1,9,69,0,263,12,41,14,6,0,11,0,6,0,8,26,6,1,3,2,0,2,4,0,58,0,0,0,0,1,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
465,NA,367,1,2,83,0,122,29,14,33,10,0,7,0,2,5,4,17,8,1,1,2,0,0,3,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
